Date,Symbol,Open,High,Low,Close,Volume
2022-02-02,CEG,50.0348,56.23,49.8,53.01,36292274.0
2022-02-03,CEG,52.19,56.57,50.3,53.62,9053019.0
2022-02-04,CEG,52.6,54.33,50.12,50.14,7097154.0
2022-02-07,CEG,50.0,50.04,46.0,46.07,10252394.0
2022-02-08,CEG,45.13,47.56,44.17,45.5,8184870.0
2022-02-09,CEG,44.75,47.45,43.88,47.31,4724087.0
2022-02-10,CEG,45.51,48.5,45.38,47.05,2762130.0
2022-02-11,CEG,46.76,48.91,46.06,48.09,3904922.0
2022-02-14,CEG,48.19,49.0,46.99,48.11,2416717.0
2022-02-15,CEG,47.7,48.45,47.2,48.0,2615714.0
2022-02-16,CEG,47.72,48.47,46.95,47.2,6128672.0
2022-02-17,CEG,46.32,47.08,45.19,45.29,3400881.0
2022-02-18,CEG,45.15,45.9,44.8,45.41,2573663.0
2022-02-22,CEG,45.41,45.68,43.49,43.54,2954327.0
2022-02-23,CEG,43.69,43.99,42.18,43.09,3194117.0
2022-02-24,CEG,43.15,44.59,42.22,44.32,2805301.0
2022-02-25,CEG,44.3,44.93,43.74,43.91,2306807.0
2022-02-28,CEG,43.3,46.62,42.46,45.98,7123178.0
2022-03-01,CEG,45.62,48.05,45.35,47.79,4568286.0
2022-03-02,CEG,48.0,50.3,47.33,49.46,4188544.0
2022-03-03,CEG,49.82,50.33,47.547,49.52,2536791.0
2022-03-04,CEG,49.17,51.04,48.25,51.0,2793314.0
2022-03-07,CEG,51.06,52.58,49.87,51.65,3070773.0
2022-03-08,CEG,51.18,55.32,50.85,52.32,4322990.0
2022-03-09,CEG,52.44,53.68,50.59,51.33,3456645.0
2022-03-10,CEG,50.57,51.64,49.27,51.32,3101878.0
2022-03-11,CEG,51.42,51.84,48.29,49.32,3347971.0
2022-03-14,CEG,51.86,51.86,48.59,50.95,3406467.0
2022-03-15,CEG,51.34,51.59,49.9,51.29,2551833.0
2022-03-16,CEG,51.71,52.4,50.35,51.77,3320033.0
2022-03-17,CEG,51.88,52.71,50.91,50.99,2585129.0
2022-03-18,CEG,50.65,51.41,48.88,49.01,14788392.0
2022-03-21,CEG,48.91,49.43,48.6,49.22,2769349.0
2022-03-22,CEG,50.35,52.05,50.01,51.14,4150634.0
2022-03-23,CEG,50.7,51.77,50.7,50.99,2811248.0
2022-03-24,CEG,51.18,52.58,50.7671,52.41,2611921.0
2022-03-25,CEG,52.24,53.82,52.03,53.8,2798207.0
2022-03-28,CEG,54.38,56.85,54.05,56.78,3715773.0
2022-03-29,CEG,57.0,57.39,54.63,56.33,2523318.0
2022-03-30,CEG,56.17,57.79,55.7,57.5,2238028.0
2022-03-31,CEG,58.34,59.08,55.78,56.25,4775625.0
2022-04-01,CEG,56.36,58.3,55.7,58.02,2428599.0
2022-04-04,CEG,58.36,58.7,57.53,58.38,2163500.0
2022-04-05,CEG,58.65,60.32,58.45,59.0,2438081.0
2022-04-06,CEG,58.9,60.08,58.37,59.6,2571114.0
2022-04-07,CEG,59.76,61.07,59.35,60.91,4222751.0
2022-04-08,CEG,61.22,64.9,60.9,64.02,5203285.0
2022-04-11,CEG,64.18,64.6615,60.41,60.68,3787886.0
2022-04-12,CEG,61.0,63.21,60.88,61.87,2791901.0
2022-04-13,CEG,62.04,64.55,61.75,64.2,3738873.0
2022-04-14,CEG,64.12,64.72,62.181,62.55,2212451.0
2022-04-18,CEG,62.29,64.17,62.29,63.31,1392989.0
2022-04-19,CEG,63.63,66.89,62.88,66.71,2435109.0
2022-04-20,CEG,67.82,68.68,65.065,65.41,2415117.0
2022-04-21,CEG,65.0,66.3,62.15,62.67,2735121.0
2022-04-22,CEG,62.5,64.4558,62.29,62.43,2329804.0
2022-04-25,CEG,62.36,62.84,59.44,62.27,2537445.0
2022-04-26,CEG,61.8,62.22,59.91,59.95,2435391.0
2022-04-27,CEG,60.01,61.19,59.73,60.09,2262694.0
2022-04-28,CEG,60.22,61.35,58.8,61.31,3644246.0
2022-04-29,CEG,61.5,61.86,59.15,59.21,3065344.0
2022-05-02,CEG,59.3,59.99,56.9,58.2,2757026.0
2022-05-03,CEG,58.45,60.45,58.45,59.7,2500054.0
2022-05-04,CEG,60.12,62.295,59.8432,61.81,2940940.0
2022-05-05,CEG,61.22,61.99,59.17,60.16,2338573.0
2022-05-06,CEG,60.26,61.23,58.7,60.27,3089846.0
2022-05-09,CEG,60.57,60.57,56.57,57.62,2525070.0
2022-05-10,CEG,58.25,59.87,56.735,57.04,2504948.0
2022-05-11,CEG,57.11,59.03,56.53,57.37,2165639.0
2022-05-12,CEG,57.31,57.85,53.08,53.47,4090395.0
2022-05-13,CEG,54.53,55.9005,53.63,54.61,2338194.0
2022-05-16,CEG,54.42,57.13,54.34,56.59,1914637.0
2022-05-17,CEG,56.85,59.48,55.98,59.32,2231575.0
2022-05-18,CEG,59.42,60.255,56.93,57.28,6113025.0
2022-05-19,CEG,57.13,57.51,54.92,57.23,2470526.0
2022-05-20,CEG,57.51,58.94,55.49,56.65,2634626.0
2022-05-23,CEG,57.5,57.59,55.86,56.6,1875918.0
2022-05-24,CEG,56.55,57.36,55.07,56.78,1885529.0
2022-05-25,CEG,56.88,59.34,56.88,59.17,2304049.0
2022-05-26,CEG,59.18,63.0427,59.17,62.47,4023569.0
2022-05-27,CEG,62.4,66.64,62.0,66.6,3076865.0
2022-05-31,CEG,65.54,66.39,61.37,62.08,9909093.0
2022-06-01,CEG,62.38,63.92,62.15,63.65,2291341.0
2022-06-02,CEG,63.69,64.12,61.98,63.75,1967775.0
2022-06-03,CEG,63.26,65.82,63.12,65.17,2145237.0
2022-06-06,CEG,65.57,66.94,65.385,66.39,2449956.0
2022-06-07,CEG,65.52,66.7,65.1612,66.55,3113182.0
2022-06-08,CEG,66.44,66.47,63.13,64.77,2179944.0
2022-06-09,CEG,64.26,64.46,61.16,61.21,2098323.0
2022-06-10,CEG,59.85,61.06,59.21,59.79,1858978.0
2022-06-13,CEG,58.27,58.99,55.2,55.48,2418189.0
2022-06-14,CEG,56.03,56.48,53.32,54.44,2681028.0
2022-06-15,CEG,55.7,59.555,55.68,58.2,5451098.0
2022-06-16,CEG,56.33,58.35,56.08,58.26,6660716.0
2022-06-17,CEG,58.55,59.5,55.485,58.1,10274251.0
2022-06-21,CEG,58.1,60.94,58.1,60.38,6408284.0
2022-06-22,CEG,59.28,60.43,58.865,59.21,4899719.0
2022-06-23,CEG,59.88,61.23,57.79,58.65,2911776.0
2022-06-24,CEG,58.84,60.34,57.98,59.28,9137854.0
2022-06-27,CEG,59.12,59.871,58.42,59.42,2126405.0
2022-06-28,CEG,59.84,60.91,57.83,58.08,1664289.0
2022-06-29,CEG,57.96,58.155,56.32,57.31,1699169.0
2022-06-30,CEG,56.9,58.834,56.55,57.26,2810078.0
2022-07-01,CEG,56.72,58.09,56.62,57.6,1817144.0
2022-07-05,CEG,57.15,57.37,52.89,54.94,3016878.0
2022-07-06,CEG,55.13,57.22,54.56,56.76,1991283.0
2022-07-07,CEG,57.57,59.9,57.57,59.11,2157843.0
2022-07-08,CEG,58.94,59.81,57.42,59.65,2448577.0
2022-07-11,CEG,59.65,60.14,58.41,59.84,2045697.0
2022-07-12,CEG,59.41,61.11,58.92,59.23,2027103.0
2022-07-13,CEG,58.15,60.28,58.15,59.82,1771655.0
2022-07-14,CEG,58.29,58.97,57.09,57.92,2900032.0
2022-07-15,CEG,54.96,56.646,52.64,55.66,5667156.0
2022-07-18,CEG,56.33,56.67,54.59,54.81,2939365.0
2022-07-19,CEG,55.44,55.5,54.17,55.0,2610952.0
2022-07-20,CEG,55.16,55.345,53.37,54.07,3017854.0
2022-07-21,CEG,53.86,54.855,53.31,54.16,2007604.0
2022-07-22,CEG,54.79,55.6,53.42,54.0,1701014.0
2022-07-25,CEG,53.98,55.06,53.37,54.96,2071504.0
2022-07-26,CEG,55.4,56.67,54.89,55.5,2264807.0
2022-07-27,CEG,55.03,55.76,54.18,55.53,1899648.0
2022-07-28,CEG,62.58,65.94,62.19,64.59,8943225.0
2022-07-29,CEG,63.85,66.6,63.64,66.1,4335200.0
2022-08-01,CEG,66.05,66.6,64.13,65.3,2999270.0
2022-08-02,CEG,65.3,66.79,64.99,65.84,1949085.0
2022-08-03,CEG,66.63,67.38,65.54,67.17,2673645.0
2022-08-04,CEG,65.51,68.37,65.51,67.46,2657544.0
2022-08-05,CEG,69.76,75.98,69.75,74.3,4460619.0
2022-08-08,CEG,77.01,77.63,74.97,75.89,3408849.0
2022-08-09,CEG,75.75,76.77,75.02,75.72,3165960.0
2022-08-10,CEG,76.05,77.2,75.5,77.12,2442043.0
2022-08-11,CEG,77.12,80.06,76.68,78.83,2710673.0
2022-08-12,CEG,79.65,81.68,79.04,81.5,2442608.0
2022-08-15,CEG,80.25,82.43,80.25,81.2,2151383.0
2022-08-16,CEG,81.1,82.11,80.9,81.4,2033208.0
2022-08-17,CEG,80.42,81.45,79.1,79.7,2823202.0
2022-08-18,CEG,79.42,82.145,79.42,81.6,2292071.0
2022-08-19,CEG,80.31,81.28,79.85,80.84,2066677.0
2022-08-22,CEG,80.75,80.75,79.52,79.65,2013198.0
2022-08-23,CEG,80.27,80.89,79.6,79.75,1238949.0
2022-08-24,CEG,79.66,80.8153,79.31,80.37,1685640.0
2022-08-25,CEG,80.01,82.83,79.765,82.74,1777267.0
2022-08-26,CEG,82.74,83.23,80.6,80.83,1901281.0
2022-08-29,CEG,79.65,81.99,79.15,81.0,1370678.0
2022-08-30,CEG,81.58,81.58,78.98,79.69,2001004.0
