Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,CE,75.24,77.67,70.27,73.27,2111057.0
2020-03-13,CE,79.45,79.51,72.35,78.41,1744127.0
2020-03-16,CE,70.57,74.21,66.12,66.13,1269195.0
2020-03-17,CE,68.14,70.66,64.44,70.43,2000404.0
2020-03-18,CE,64.83,65.42,52.7,59.12,1465682.0
2020-03-19,CE,58.2,72.29,56.46,63.83,2125558.0
2020-03-20,CE,65.04,69.39,62.02,64.73,2135322.0
2020-03-23,CE,64.31,65.32,60.33,62.2,1615852.0
2020-03-24,CE,67.15,69.3,65.13,66.91,1563735.0
2020-03-25,CE,67.36,75.65,65.59,72.87,1609564.0
2020-03-26,CE,73.0,75.88,70.0,75.53,1702272.0
2020-03-27,CE,72.16,72.78,70.33,71.27,911651.0
2020-03-30,CE,72.61,74.93,69.67,74.1,938339.0
2020-03-31,CE,74.05,75.22,72.0609,73.39,1205782.0
2020-04-01,CE,69.95,71.24,67.51,68.05,1288841.0
2020-04-02,CE,68.15,72.21,66.525,68.6,1753149.0
2020-04-03,CE,68.34,71.43,66.98,67.1,1292766.0
2020-04-06,CE,70.79,73.49,70.56,72.47,1375044.0
2020-04-07,CE,75.64,78.0,74.485,75.84,1270312.0
2020-04-08,CE,76.81,82.48,76.1416,81.98,1261594.0
2020-04-09,CE,81.15,86.9,81.15,83.91,1172286.0
2020-04-13,CE,83.07,83.82,80.3776,82.1,894846.0
2020-04-14,CE,83.78,84.03,80.41,81.31,1160566.0
2020-04-15,CE,77.0,77.58,74.53,75.18,962686.0
2020-04-16,CE,75.49,78.21,71.42,72.26,1757927.0
2020-04-17,CE,74.95,78.99,74.54,78.16,1170935.0
2020-04-20,CE,76.85,78.235,74.8,76.02,873496.0
2020-04-21,CE,73.79,75.1,72.88,73.46,565725.0
2020-04-22,CE,75.65,76.71,73.6,75.5,633627.0
2020-04-23,CE,76.02,79.32,76.02,78.02,630168.0
2020-04-24,CE,78.8,79.39,77.16,78.79,1589500.0
2020-04-27,CE,78.51,83.41,78.47,82.61,1209441.0
2020-04-28,CE,84.45,86.91,79.55,81.94,1856654.0
2020-04-29,CE,81.09,87.05,81.09,86.34,1008601.0
2020-04-30,CE,84.3,84.885,82.28,83.07,1030800.0
2020-05-01,CE,81.29,81.29,78.93,79.31,1000089.0
2020-05-04,CE,78.26,78.3,76.31,77.84,966179.0
2020-05-05,CE,79.23,81.41,77.83,78.01,749962.0
2020-05-06,CE,79.13,79.5,77.27,77.58,607727.0
2020-05-07,CE,78.48,80.96,78.48,80.35,954280.0
2020-05-08,CE,82.0,83.38,81.64,82.72,658230.0
2020-05-11,CE,80.71,80.98,79.255,80.01,722359.0
2020-05-12,CE,80.46,81.96,77.795,77.85,710498.0
