Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,CLX,160.21,169.8,158.0,158.7,3474488.0
2020-03-13,CLX,164.0,168.33,156.6801,167.77,3289298.0
2020-03-16,CLX,170.2,178.25,164.5,170.9912,5552994.0
2020-03-17,CLX,178.91,205.0,176.43,197.88,7696834.0
2020-03-18,CLX,197.12,214.26,185.47,198.5,7306733.0
2020-03-19,CLX,193.57,199.54,187.03,191.78,4695124.0
2020-03-20,CLX,190.61,191.05,175.21,177.4,5867353.0
2020-03-23,CLX,177.44,177.44,168.54,170.14,3577007.0
2020-03-24,CLX,171.42,175.69,165.22,168.32,3069484.0
2020-03-25,CLX,167.2,170.48,161.11,165.66,5040651.0
2020-03-26,CLX,168.0,175.0,167.02,173.11,4030042.0
2020-03-27,CLX,170.45,177.43,168.51,173.19,2314854.0
2020-03-30,CLX,177.6,179.86,174.0,174.48,2462642.0
2020-03-31,CLX,173.6,174.55,170.69,173.25,2292560.0
2020-04-01,CLX,171.88,177.49,170.98,174.66,2687750.0
2020-04-02,CLX,173.79,182.29,173.79,179.7,3189305.0
2020-04-03,CLX,178.31,182.43,174.8714,177.54,2416029.0
2020-04-06,CLX,177.6,182.34,173.4065,181.38,2748045.0
2020-04-07,CLX,179.8,184.76,178.51,181.5,2664287.0
2020-04-08,CLX,182.88,182.94,178.51,181.04,2144434.0
2020-04-09,CLX,179.23,186.77,178.52,184.21,2177394.0
2020-04-13,CLX,183.52,187.28,182.3926,185.47,1209872.0
2020-04-14,CLX,189.99,195.82,188.07,194.37,2794548.0
2020-04-15,CLX,193.78,198.6086,193.78,195.64,1706573.0
2020-04-16,CLX,197.0,198.75,194.2601,196.49,1942569.0
2020-04-17,CLX,194.12,194.74,189.26,193.5,2614030.0
2020-04-20,CLX,195.64,198.6166,192.09,192.43,2160675.0
2020-04-21,CLX,193.02,193.37,189.71,190.77,1675648.0
2020-04-22,CLX,191.18,193.56,188.88,191.93,2392968.0
2020-04-23,CLX,190.98,191.92,188.66,189.92,1777464.0
2020-04-24,CLX,189.87,191.64,188.5,190.65,1820769.0
2020-04-27,CLX,191.01,191.5,188.64,189.05,1900469.0
2020-04-28,CLX,188.9,189.53,186.56,186.94,1708447.0
2020-04-29,CLX,181.36,186.54,180.59,183.93,2013106.0
2020-04-30,CLX,185.49,187.99,182.51,186.44,4539900.0
2020-05-01,CLX,193.0,197.76,189.03,192.71,5079817.0
2020-05-04,CLX,195.12,200.46,193.9138,199.27,3999063.0
2020-05-05,CLX,199.4,204.7522,198.5301,203.48,2380855.0
2020-05-06,CLX,204.06,204.59,199.0573,199.79,1838543.0
2020-05-07,CLX,201.44,205.23,201.11,201.99,1701850.0
2020-05-08,CLX,203.7,206.28,202.35,204.05,1474996.0
2020-05-11,CLX,204.45,208.26,203.43,205.81,1709204.0
2020-05-12,CLX,206.51,208.88,205.51,205.68,1266664.0
2020-05-13,CLX,205.28,207.99,204.62,206.74,1589449.0
2020-05-14,CLX,205.51,207.9,201.6015,206.21,1462434.0
2020-05-15,CLX,206.85,210.49,206.36,209.83,2934430.0
2020-05-18,CLX,207.28,208.43,203.65,203.95,2514536.0
2020-05-19,CLX,203.0,204.13,200.75,201.72,1404527.0
2020-05-20,CLX,205.83,205.85,202.54,204.24,1419087.0
2020-05-21,CLX,204.75,204.75,198.17,199.4,1517403.0
2020-05-22,CLX,198.8,200.2755,197.69,198.59,1285970.0
2020-05-26,CLX,198.51,198.79,195.05,197.13,2859681.0
2020-05-27,CLX,195.39,200.4899,193.334,200.0,2165036.0
2020-05-28,CLX,200.75,205.0,200.57,204.96,1639460.0
2020-05-29,CLX,205.49,206.69,203.36,206.25,2115761.0
2020-06-01,CLX,206.21,207.39,203.8,204.21,1375837.0
2020-06-02,CLX,204.02,206.85,204.02,206.76,1300093.0
2020-06-03,CLX,206.97,207.57,205.03,205.97,1253121.0
2020-06-04,CLX,205.53,206.65,203.43,204.25,1150019.0
2020-06-05,CLX,202.81,202.81,194.29,197.57,2975871.0
2020-06-08,CLX,194.5,199.25,194.0,198.76,1949228.0
2020-06-09,CLX,200.0,203.22,198.02,202.07,2246931.0
2020-06-10,CLX,202.93,208.15,202.3,207.3,2594085.0
2020-06-11,CLX,208.45,210.42,203.95,204.93,3046210.0
2020-06-12,CLX,205.1,208.31,203.93,205.12,1979561.0
2020-06-15,CLX,207.4,208.45,204.91,208.03,2002599.0
2020-06-16,CLX,208.09,211.39,207.45,208.73,1515338.0
2020-06-17,CLX,209.95,212.88,209.69,212.0,1395292.0
2020-06-18,CLX,212.94,215.55,212.1,214.59,1787434.0
2020-06-19,CLX,218.17,219.38,215.8453,217.64,4104837.0
2020-06-22,CLX,218.44,218.87,216.59,216.9,1470374.0
2020-06-23,CLX,217.07,217.94,212.92,213.38,1664485.0
2020-06-24,CLX,212.98,215.3032,211.6901,212.03,2098942.0
2020-06-25,CLX,214.52,216.75,210.652,214.92,1735395.0
2020-06-26,CLX,216.5,218.0,215.22,215.3,2054134.0
2020-06-29,CLX,216.0,218.2,215.31,217.58,1073273.0
2020-06-30,CLX,219.59,221.7,216.5,219.37,2007049.0
2020-07-01,CLX,218.23,220.22,216.8,219.57,1177924.0
2020-07-02,CLX,220.86,224.55,220.81,222.16,1752280.0
2020-07-06,CLX,222.79,223.4637,219.1,221.42,1465656.0
2020-07-07,CLX,220.74,224.98,220.52,223.81,1393357.0
2020-07-08,CLX,224.46,226.73,223.11,225.57,1253168.0
2020-07-09,CLX,225.36,230.28,225.36,229.5,1016534.0
2020-07-10,CLX,229.25,230.53,227.56,229.76,978665.0
2020-07-13,CLX,230.57,232.1,225.04,225.74,1324299.0
2020-07-14,CLX,225.99,230.68,225.5,230.52,1149316.0
2020-07-15,CLX,226.73,229.0,224.06,225.5,1652669.0
2020-07-16,CLX,226.26,229.16,225.59,227.91,994250.0
2020-07-17,CLX,229.11,230.72,227.51,228.38,1388562.0
2020-07-20,CLX,228.0,229.11,226.5,227.74,808466.0
2020-07-21,CLX,228.0,228.59,225.64,226.73,962875.0
2020-07-22,CLX,227.42,227.75,224.47,227.55,885492.0
2020-07-23,CLX,229.0,232.21,227.56,227.84,1027709.0
2020-07-24,CLX,227.5,228.945,225.75,227.04,807794.0
2020-07-27,CLX,226.8,230.02,226.8,229.22,836983.0
2020-07-28,CLX,229.0,230.47,227.6,228.55,768667.0
2020-07-29,CLX,229.55,232.27,228.82,231.0,996727.0
2020-07-30,CLX,232.1,233.0,229.64,231.26,904415.0
2020-07-31,CLX,233.25,238.0,233.04,236.51,3129244.0
2020-08-03,CLX,230.22,234.15,227.6755,231.96,3840175.0
2020-08-04,CLX,231.9,238.41,231.9,237.74,2108326.0
2020-08-05,CLX,238.19,239.87,234.3198,237.16,1526669.0
2020-08-06,CLX,236.96,238.22,234.5911,236.15,1891589.0
2020-08-07,CLX,235.77,238.23,235.61,237.49,1139863.0
2020-08-10,CLX,237.87,237.94,232.4,233.36,922786.0
2020-08-11,CLX,231.84,231.89,221.705,222.3,2212335.0
2020-08-12,CLX,223.52,228.6,223.26,226.95,1331671.0
2020-08-13,CLX,226.96,227.64,224.27,224.7,1123898.0
2020-08-14,CLX,224.01,225.48,223.75,224.25,1071242.0
2020-08-17,CLX,224.25,227.8659,224.25,226.78,1490664.0
2020-08-18,CLX,226.0,229.2,222.39,228.17,1571680.0
2020-08-19,CLX,228.68,229.63,226.24,227.94,795277.0
2020-08-20,CLX,228.16,229.225,226.69,228.3,1225394.0
2020-08-21,CLX,228.59,228.59,225.55,226.33,1173179.0
2020-08-24,CLX,227.33,227.33,221.96,223.13,1852496.0
2020-08-25,CLX,222.98,223.23,218.73,219.17,2441040.0
2020-08-26,CLX,218.86,220.78,217.7592,220.29,2615598.0
2020-08-27,CLX,220.18,223.4,219.4,220.69,1411527.0
2020-08-28,CLX,219.99,220.7,215.62,217.13,1980404.0
2020-08-31,CLX,217.29,224.35,217.29,223.5,1894162.0
2020-09-01,CLX,223.94,224.07,217.92,220.09,1428333.0
2020-09-02,CLX,221.0,225.38,220.28,223.74,1409619.0
2020-09-03,CLX,221.29,223.71,213.79,216.72,2098923.0
