Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,CL,64.85,67.45,63.2,63.89,11151143.0
2020-03-13,CL,66.43,69.21,64.2,69.1,12998828.0
2020-03-16,CL,62.16,66.31,62.04,62.34,9435327.0
2020-03-17,CL,64.19,70.43,63.31,70.2,10424545.0
2020-03-18,CL,67.8,72.14,65.35,67.69,10232895.0
2020-03-19,CL,67.81,68.99,65.06,66.65,10554608.0
2020-03-20,CL,66.74,66.8525,61.39,62.08,10311209.0
2020-03-23,CL,62.09,63.47,58.49,60.47,9210130.0
2020-03-24,CL,61.11,65.88,59.61,61.18,11355708.0
2020-03-25,CL,60.76,62.22,59.01,59.89,11681605.0
2020-03-26,CL,60.36,64.34,60.19,63.82,10666514.0
2020-03-27,CL,64.03,66.63,63.36,65.26,7034347.0
2020-03-30,CL,65.8,66.93,64.97,66.58,5460692.0
2020-03-31,CL,66.01,66.49,64.96,66.36,6482089.0
2020-04-01,CL,64.75,65.85,64.09,65.55,4663351.0
2020-04-02,CL,64.78,68.69,64.71,68.17,6384545.0
2020-04-03,CL,67.95,68.69,66.75,67.62,5343350.0
2020-04-06,CL,69.6,71.73,69.13,70.5,6265157.0
2020-04-07,CL,70.28,71.79,68.835,69.04,6672035.0
2020-04-08,CL,69.64,70.75,68.85,70.22,5140264.0
2020-04-09,CL,70.66,71.47,69.76,69.91,3872877.0
2020-04-13,CL,69.63,70.21,69.21,69.49,3798097.0
2020-04-14,CL,71.33,73.89,70.61,73.11,5553156.0
2020-04-15,CL,72.2,72.94,71.685,72.65,3856807.0
2020-04-16,CL,72.8,73.275,71.74,72.84,3975576.0
2020-04-17,CL,73.3,73.7,71.53,73.42,4314843.0
2020-04-20,CL,72.93,73.31,72.13,72.16,3891185.0
2020-04-21,CL,71.5,71.75,70.25,70.61,3607807.0
2020-04-22,CL,71.2,71.73,70.555,71.21,3862196.0
2020-04-23,CL,71.05,71.6,70.7,71.23,4394950.0
2020-04-24,CL,70.75,71.91,70.6,71.4,4124250.0
2020-04-27,CL,71.92,71.95,70.89,71.03,3263984.0
2020-04-28,CL,71.94,71.94,70.44,71.11,3256532.0
2020-04-29,CL,70.54,70.84,68.84,70.16,5087225.0
2020-04-30,CL,69.75,70.79,69.17,70.27,9368613.0
2020-05-01,CL,70.2,71.0,68.31,68.53,4947357.0
2020-05-04,CL,68.65,69.86,68.02,69.48,5480805.0
2020-05-05,CL,69.5,70.13,69.02,69.52,2681536.0
2020-05-06,CL,69.39,69.49,67.8,67.84,4893362.0
2020-05-07,CL,68.9,69.65,68.16,68.8,4485367.0
2020-05-08,CL,69.75,69.82,68.78,69.37,4653150.0
2020-05-11,CL,69.53,69.995,68.92,69.38,3234940.0
2020-05-12,CL,69.74,69.98,68.5,68.73,4248386.0
2020-05-13,CL,69.01,69.55,67.84,68.3,4284059.0
2020-05-14,CL,68.11,68.29,65.54,67.06,5302857.0
2020-05-15,CL,66.77,68.97,66.4,68.95,9443834.0
2020-05-18,CL,69.95,70.75,69.1839,70.22,5546240.0
2020-05-19,CL,69.82,70.38,69.14,69.25,5719303.0
2020-05-20,CL,69.67,70.59,69.46,70.47,3730457.0
2020-05-21,CL,71.01,71.01,69.76,70.26,5452271.0
2020-05-22,CL,70.02,70.93,70.02,70.75,3737180.0
2020-05-26,CL,71.34,71.48,69.1,69.43,7097661.0
2020-05-27,CL,69.68,70.66,69.445,70.59,4343467.0
2020-05-28,CL,71.6,72.4741,71.2,72.09,5147541.0
2020-05-29,CL,72.14,72.575,71.56,72.33,5092543.0
2020-06-01,CL,72.27,72.99,71.96,72.73,2861757.0
2020-06-02,CL,72.68,73.11,71.63,72.44,4221436.0
2020-06-03,CL,72.9,72.9,71.61,71.65,5355734.0
