Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,CME,178.41,187.85,171.25,172.265,4626600.0
2020-03-13,CME,180.27,184.16,164.76,182.01,4824357.0
2020-03-16,CME,163.0,168.46,148.37,148.54,6170764.0
2020-03-17,CME,153.77,168.43,149.9,166.02,3957622.0
2020-03-18,CME,156.0,159.1,137.49,142.97,5036563.0
2020-03-19,CME,145.46,158.33,131.8,155.22,4642689.0
2020-03-20,CME,155.16,163.87,140.19,158.81,6241960.0
2020-03-23,CME,157.82,157.82,136.72,139.54,4178579.0
2020-03-24,CME,147.2,153.255,144.67,152.26,3550133.0
2020-03-25,CME,152.0,160.59,146.35,156.33,4551987.0
2020-03-26,CME,158.0,176.98,157.01,174.84,4088132.0
2020-03-27,CME,167.0,178.33,164.16,171.34,2595190.0
2020-03-30,CME,174.9,176.9,170.88,173.99,2501755.0
2020-03-31,CME,172.14,174.81,166.86,172.91,2965458.0
2020-04-01,CME,164.47,167.62,162.55,166.2,2593325.0
2020-04-02,CME,166.53,169.48,162.81,168.57,2591891.0
2020-04-03,CME,167.02,174.88,166.1,173.74,1915638.0
2020-04-06,CME,179.77,184.0,178.38,182.44,2677623.0
2020-04-07,CME,187.33,189.48,176.22,176.81,2743587.0
2020-04-08,CME,179.87,181.86,176.18,180.97,1959579.0
2020-04-09,CME,181.87,191.04,181.87,190.16,3746669.0
2020-04-13,CME,187.58,188.58,181.22,182.6899,1548388.0
2020-04-14,CME,183.72,189.15,183.72,188.07,2126244.0
2020-04-15,CME,183.94,186.99,183.44,184.98,1949072.0
2020-04-16,CME,186.5,188.24,184.21,187.34,1398049.0
2020-04-17,CME,189.79,192.26,188.0,191.62,1911333.0
2020-04-20,CME,192.14,192.27,180.17,184.62,2945464.0
2020-04-21,CME,179.5,182.59,170.93,178.02,2725879.0
2020-04-22,CME,181.41,182.42,177.33,179.39,1977686.0
2020-04-23,CME,178.79,181.9798,177.66,178.48,1495788.0
2020-04-24,CME,181.29,183.62,179.24,182.72,1654492.0
2020-04-27,CME,184.58,188.815,183.45,187.75,2240386.0
2020-04-28,CME,188.5,192.0,183.18,184.32,2321444.0
2020-04-29,CME,186.67,190.76,181.12,181.47,2653022.0
2020-04-30,CME,180.33,180.73,174.46,178.169,2750378.0
2020-05-01,CME,175.45,176.95,171.71,173.65,2943688.0
2020-05-04,CME,174.55,174.9984,170.6655,172.56,2486786.0
2020-05-05,CME,175.09,180.7,173.39,178.51,1820155.0
2020-05-06,CME,179.53,180.4,173.41,173.7,1678064.0
2020-05-07,CME,176.59,182.48,174.81,178.49,1845464.0
2020-05-08,CME,180.46,181.81,179.74,181.53,1583117.0
