Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,CNC,52.75,60.6665,51.865,57.13,9612596.0
2020-03-13,CNC,59.5,63.97,56.98,63.57,9396102.0
2020-03-16,CNC,56.03,58.43,54.02,54.03,7971365.0
2020-03-17,CNC,55.13,58.52,52.75,57.99,8361864.0
2020-03-18,CNC,54.03,55.66,43.96,52.68,8602487.0
2020-03-19,CNC,51.96,54.5,48.03,53.6,6320631.0
2020-03-20,CNC,54.48,57.35,47.95,48.85,9718619.0
2020-03-23,CNC,47.97,48.07,44.81,45.55,7905353.0
2020-03-24,CNC,48.17,50.25,46.27,48.73,8731933.0
2020-03-25,CNC,48.5,54.85,46.71,52.29,6860005.0
2020-03-26,CNC,53.25,58.61,52.17,58.3,7331374.0
2020-03-27,CNC,55.63,57.48,53.9,55.1,5485631.0
2020-03-30,CNC,55.24,58.96,54.87,57.71,4994145.0
2020-03-31,CNC,57.71,59.91,56.23,59.41,9687805.0
2020-04-01,CNC,56.5,57.64,55.65,56.12,5262970.0
2020-04-02,CNC,55.52,57.46,54.02,56.36,3295519.0
2020-04-03,CNC,55.95,56.75,53.83,54.6,4613113.0
2020-04-06,CNC,56.99,60.62,56.3701,60.12,5365045.0
2020-04-07,CNC,62.41,63.22,59.2,60.15,5728093.0
2020-04-08,CNC,60.63,65.86,59.7,65.15,5329373.0
2020-04-09,CNC,65.13,68.63,64.47,66.42,7482581.0
2020-04-13,CNC,65.92,66.15,63.82,65.15,5646287.0
2020-04-14,CNC,66.79,67.5,65.85,66.4,6849385.0
2020-04-15,CNC,66.35,69.48,65.96,69.02,6498542.0
2020-04-16,CNC,69.48,73.21,68.96,72.85,4744296.0
2020-04-17,CNC,74.7,74.7,70.5,71.29,4995348.0
2020-04-20,CNC,70.36,70.74,68.16,68.42,5552938.0
2020-04-21,CNC,67.78,68.09,65.78,66.24,4456118.0
2020-04-22,CNC,67.95,69.29,67.63,68.35,4445719.0
2020-04-23,CNC,69.03,70.261,68.43,69.24,4663328.0
2020-04-24,CNC,69.95,70.75,68.935,70.58,3171547.0
2020-04-27,CNC,71.38,72.45,69.91,70.82,4039087.0
2020-04-28,CNC,69.79,70.03,65.15,67.17,9158096.0
2020-04-29,CNC,68.51,68.59,66.03,66.17,5424150.0
2020-04-30,CNC,65.5,67.854,65.01,66.58,6160766.0
2020-05-01,CNC,65.35,66.57,63.7939,64.97,3785963.0
2020-05-04,CNC,64.92,65.92,63.86,65.86,2494270.0
2020-05-05,CNC,66.44,68.68,65.5,68.35,3482413.0
2020-05-06,CNC,68.31,68.3673,65.38,65.5,3010511.0
2020-05-07,CNC,66.5,66.78,64.29,64.61,2917461.0
2020-05-08,CNC,65.57,66.17,65.02,65.88,2231725.0
2020-05-11,CNC,65.37,67.97,65.255,67.54,4565713.0
2020-05-12,CNC,68.38,68.86,66.59,66.75,4011048.0
2020-05-13,CNC,66.28,66.41,63.84,64.69,3870073.0
