Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,CNP,16.4,16.4,14.63,14.87,13883832.0
2020-03-13,CNP,15.57,15.735,14.0,15.55,12672014.0
2020-03-16,CNP,14.21,14.45,12.35,12.48,13086274.0
2020-03-17,CNP,12.75,14.66,12.21,14.65,12962592.0
2020-03-18,CNP,13.68,13.86,11.67,12.47,10389519.0
2020-03-19,CNP,12.35,12.74,11.58,12.23,7271416.0
2020-03-20,CNP,12.48,13.73,11.68,12.48,18809841.0
2020-03-23,CNP,12.37,12.86,11.93,12.1,8164173.0
2020-03-24,CNP,13.1,13.87,12.895,13.63,7393596.0
2020-03-25,CNP,14.0,15.75,13.07,15.13,11207696.0
2020-03-26,CNP,15.17,16.23,15.02,15.89,9775110.0
2020-03-27,CNP,15.22,17.025,15.08,16.3,10391010.0
2020-03-30,CNP,16.4,16.55,15.52,16.23,7555632.0
2020-03-31,CNP,16.07,16.22,15.3405,15.45,9529809.0
2020-04-01,CNP,14.49,14.58,13.65,14.12,10577950.0
2020-04-02,CNP,13.81,14.7,13.58,14.13,19886850.0
2020-04-03,CNP,13.98,14.17,13.06,13.44,20130159.0
2020-04-06,CNP,14.09,15.47,13.85,15.3,9564100.0
2020-04-07,CNP,16.46,16.65,15.39,15.47,12113419.0
2020-04-08,CNP,15.7,16.895,15.43,16.82,7515230.0
2020-04-09,CNP,17.2,18.24,17.2,17.81,11119554.0
2020-04-13,CNP,17.88,17.92,16.75,16.89,6901046.0
2020-04-14,CNP,17.29,17.45,16.8,17.0,5966937.0
2020-04-15,CNP,16.23,16.4,15.73,15.87,9236312.0
2020-04-16,CNP,15.9,16.13,15.46,15.79,6271425.0
2020-04-17,CNP,16.33,16.9,16.25,16.53,8237551.0
2020-04-20,CNP,15.95,16.35,15.62,15.75,7669550.0
2020-04-21,CNP,15.29,15.8,15.18,15.51,5517221.0
2020-04-22,CNP,15.89,16.4,15.31,16.19,6294931.0
2020-04-23,CNP,16.25,16.7,16.21,16.42,7587994.0
2020-04-24,CNP,16.52,16.78,16.155,16.68,6882664.0
2020-04-27,CNP,16.78,17.4,16.71,17.32,6286425.0
2020-04-28,CNP,17.75,18.13,17.27,17.41,5280866.0
2020-04-29,CNP,18.03,18.18,17.58,17.69,5279571.0
2020-04-30,CNP,17.51,17.535,16.77,17.03,7673527.0
2020-05-01,CNP,16.68,16.73,16.17,16.46,3883111.0
2020-05-04,CNP,16.3,16.39,15.75,16.36,5022221.0
2020-05-05,CNP,16.6,16.8,16.33,16.39,4202589.0
2020-05-06,CNP,16.5,16.56,15.93,15.98,6432888.0
2020-05-07,CNP,17.71,19.12,17.53,17.81,28511838.0
2020-05-08,CNP,18.09,18.68,18.09,18.59,18267474.0
2020-05-11,CNP,18.37,18.49,17.83,18.18,10485113.0
2020-05-12,CNP,17.94,18.26,17.79,17.79,19391356.0
2020-05-13,CNP,17.67,17.67,16.63,16.9,8674618.0
2020-05-14,CNP,16.64,17.33,16.395,17.28,15063138.0
2020-05-15,CNP,17.11,17.225,16.555,16.8,14437117.0
2020-05-18,CNP,17.65,17.9,17.4,17.49,13905502.0
2020-05-19,CNP,17.35,17.41,16.89,17.04,7967229.0
2020-05-20,CNP,17.12,17.3,16.85,16.92,9343359.0
2020-05-21,CNP,16.94,17.145,16.7,16.76,7369841.0
2020-05-22,CNP,16.78,16.97,16.72,16.92,6915163.0
2020-05-26,CNP,17.51,17.83,17.41,17.49,9418564.0
2020-05-27,CNP,18.02,18.13,17.435,17.5,9427225.0
2020-05-28,CNP,17.83,18.12,17.54,18.02,9168144.0
2020-05-29,CNP,17.88,17.995,17.36,17.78,14261796.0
2020-06-01,CNP,17.78,18.25,17.71,18.05,7637319.0
2020-06-02,CNP,18.03,18.27,17.93,18.1,11060264.0
2020-06-03,CNP,18.37,18.68,18.33,18.46,9990689.0
2020-06-04,CNP,18.36,18.375,17.83,18.05,9166874.0
2020-06-05,CNP,18.54,18.98,18.21,18.25,15199133.0
2020-06-08,CNP,18.4,19.325,18.38,19.09,17470898.0
2020-06-09,CNP,18.75,18.82,18.245,18.63,16330597.0
2020-06-10,CNP,18.72,18.845,18.2,18.39,11114553.0
2020-06-11,CNP,17.64,17.93,17.38,17.77,14670573.0
2020-06-12,CNP,18.36,18.6,17.73,18.0,11326382.0
2020-06-15,CNP,17.59,18.595,17.34,18.27,9751145.0
2020-06-16,CNP,18.94,19.34,18.33,18.39,9617605.0
2020-06-17,CNP,18.5,18.62,18.155,18.46,9607539.0
2020-06-18,CNP,18.28,18.635,18.23,18.35,11085951.0
2020-06-19,CNP,18.51,18.65,17.78,17.79,30589971.0
2020-06-22,CNP,17.7,18.14,17.585,18.05,9705561.0
2020-06-23,CNP,18.27,18.37,17.935,18.18,7799156.0
2020-06-24,CNP,18.03,18.54,17.88,18.33,13643336.0
2020-06-25,CNP,18.21,18.34,17.89,18.15,10153334.0
2020-06-26,CNP,18.03,18.11,17.53,17.7,17010933.0
2020-06-29,CNP,17.91,18.62,17.725,18.62,9735362.0
2020-06-30,CNP,18.63,18.805,18.39,18.67,7180052.0
2020-07-01,CNP,18.7,19.405,18.665,19.27,11171743.0
2020-07-02,CNP,19.48,19.775,19.4,19.46,8416462.0
2020-07-06,CNP,19.75,19.95,19.32,19.6,8086872.0
2020-07-07,CNP,19.4,19.625,19.24,19.49,6042180.0
2020-07-08,CNP,19.46,19.48,19.23,19.33,6426772.0
2020-07-09,CNP,19.22,19.23,18.51,18.95,16923712.0
2020-07-10,CNP,19.0,19.35,18.95,19.27,4584275.0
2020-07-13,CNP,19.35,19.505,19.13,19.21,8193180.0
2020-07-14,CNP,19.23,19.58,19.18,19.28,11859320.0
2020-07-15,CNP,19.56,19.855,19.28,19.3,5735335.0
2020-07-16,CNP,19.3,19.47,19.05,19.29,5135651.0
2020-07-17,CNP,19.38,19.94,19.295,19.86,9013567.0
2020-07-20,CNP,19.86,19.98,19.055,19.18,5281834.0
2020-07-21,CNP,19.25,19.42,19.06,19.4,7507369.0
2020-07-22,CNP,19.29,20.115,19.21,20.01,8162123.0
2020-07-23,CNP,19.96,20.585,19.88,20.21,6949236.0
2020-07-24,CNP,20.24,20.35,19.62,19.74,3947500.0
2020-07-27,CNP,19.65,19.74,18.86,19.07,8201778.0
2020-07-28,CNP,19.01,19.57,19.0,19.35,4224977.0
2020-07-29,CNP,19.42,19.47,19.11,19.43,4344341.0
2020-07-30,CNP,19.2,19.22,18.77,19.13,7729749.0
2020-07-31,CNP,19.16,19.295,18.4,19.01,21984209.0
2020-08-03,CNP,18.94,19.55,18.765,19.32,6546513.0
2020-08-04,CNP,19.26,19.92,19.26,19.49,9257415.0
2020-08-05,CNP,19.68,19.83,18.9,19.02,9653151.0
2020-08-06,CNP,19.05,20.505,19.05,20.27,12299815.0
2020-08-07,CNP,20.19,20.7,20.15,20.41,7672825.0
2020-08-10,CNP,20.58,21.04,20.49,20.98,4762812.0
2020-08-11,CNP,21.22,21.415,20.5983,20.61,5799418.0
2020-08-12,CNP,20.83,20.95,20.39,20.4,10257779.0
2020-08-13,CNP,20.26,20.87,20.26,20.74,6560003.0
2020-08-14,CNP,20.64,20.65,20.27,20.54,5491757.0
2020-08-17,CNP,20.54,20.835,20.46,20.65,5721187.0
2020-08-18,CNP,20.66,20.77,20.11,20.24,7751588.0
2020-08-19,CNP,20.14,20.48,20.11,20.25,3997182.0
2020-08-20,CNP,20.13,20.19,19.81,19.82,6334846.0
2020-08-21,CNP,19.91,20.08,19.7,19.79,4777428.0
2020-08-24,CNP,19.83,20.26,19.81,20.22,4458410.0
2020-08-25,CNP,20.39,20.39,19.895,20.01,3602783.0
2020-08-26,CNP,19.89,19.89,19.55,19.64,3908243.0
2020-08-27,CNP,19.69,19.92,19.61,19.76,3741457.0
2020-08-28,CNP,19.85,19.98,19.61,19.95,2746456.0
2020-08-31,CNP,19.98,20.13,19.88,20.07,5807586.0
2020-09-01,CNP,19.85,20.045,19.74,20.0,3449360.0
2020-09-02,CNP,19.98,20.545,19.875,20.45,3867674.0
2020-09-03,CNP,20.59,20.75,19.96,20.15,4264159.0
2020-09-04,CNP,20.23,20.3,19.6,19.87,3862840.0
2020-09-08,CNP,19.87,19.94,19.31,19.37,4265403.0
2020-09-09,CNP,19.58,19.725,19.385,19.53,6583311.0
2020-09-10,CNP,19.46,19.77,19.4,19.45,4115646.0
2020-09-11,CNP,19.45,19.56,19.26,19.45,3155821.0
2020-09-14,CNP,19.57,19.8567,19.42,19.54,5462000.0
2020-09-15,CNP,19.58,19.66,18.86,19.01,5161731.0
2020-09-16,CNP,19.02,19.77,19.02,19.74,7976738.0
2020-09-17,CNP,19.57,19.585,19.13,19.29,5505932.0
2020-09-18,CNP,19.24,19.29,18.84,18.93,13226211.0
2020-09-21,CNP,18.8,19.25,18.67,18.9,7572981.0
2020-09-22,CNP,18.84,19.11,18.785,18.91,3698641.0
2020-09-23,CNP,18.93,19.13,18.84,18.86,5986336.0
2020-09-24,CNP,18.82,19.135,18.6,18.9,4455576.0
2020-09-25,CNP,18.75,19.005,18.665,18.99,3821703.0
2020-09-28,CNP,19.17,19.295,18.99,19.02,3260404.0
2020-09-29,CNP,19.11,19.26,18.78,19.0,3051704.0
2020-09-30,CNP,19.14,19.49,19.06,19.35,6232724.0
2020-10-01,CNP,19.44,19.48,19.19,19.4,3634908.0
2020-10-02,CNP,19.2,19.98,19.1,19.93,6057636.0
2020-10-05,CNP,20.02,20.235,19.71,20.19,3649362.0
2020-10-06,CNP,20.29,20.81,20.09,20.57,5717068.0
2020-10-07,CNP,20.7,20.92,20.47,20.65,4322678.0
2020-10-08,CNP,20.77,21.36,20.68,21.32,4995509.0
2020-10-09,CNP,21.39,21.535,21.21,21.37,5900122.0
2020-10-12,CNP,21.4,21.815,21.22,21.61,6754078.0
2020-10-13,CNP,21.39,21.585,20.77,20.82,6231381.0
2020-10-14,CNP,20.85,21.06,20.605,20.79,3268048.0
2020-10-15,CNP,20.59,20.99,20.59,20.92,2355553.0
2020-10-16,CNP,20.95,21.12,20.645,20.85,2638817.0
2020-10-19,CNP,20.73,21.01,20.725,20.8,3954976.0
2020-10-20,CNP,20.92,21.97,20.8123,21.34,6253046.0
2020-10-21,CNP,21.25,21.82,21.21,21.53,6117050.0
2020-10-22,CNP,21.55,22.135,21.435,22.07,4352843.0
2020-10-23,CNP,22.32,22.49,22.01,22.23,4197911.0
2020-10-26,CNP,21.85,22.19,21.76,22.13,5400119.0
2020-10-27,CNP,22.22,22.46,22.1,22.33,5462412.0
2020-10-28,CNP,21.78,22.27,21.25,21.3,5213880.0
2020-10-29,CNP,21.21,21.67,20.89,21.48,4962931.0
2020-10-30,CNP,21.49,21.55,21.0,21.13,5370677.0
2020-11-02,CNP,21.42,21.56,21.06,21.47,5492490.0
2020-11-03,CNP,21.79,22.18,21.67,21.79,4217512.0
2020-11-04,CNP,21.76,22.2,21.49,21.56,4400427.0
2020-11-05,CNP,21.85,23.17,21.85,22.67,6717118.0
2020-11-06,CNP,22.71,22.905,22.45,22.86,4860781.0
2020-11-09,CNP,23.95,24.4,23.48,23.73,9548802.0
2020-11-10,CNP,23.9,24.14,23.76,24.1,5330337.0
2020-11-11,CNP,24.12,24.575,23.97,24.07,5288376.0
2020-11-12,CNP,23.87,23.87,23.11,23.44,4286345.0
2020-11-13,CNP,23.59,24.265,23.545,24.25,5091831.0
2020-11-16,CNP,24.62,25.11,24.595,25.09,9473874.0
2020-11-17,CNP,24.72,25.39,24.62,25.17,9418363.0
2020-11-18,CNP,25.15,25.17,23.74,23.75,6750952.0
2020-11-19,CNP,23.61,23.78,23.145,23.43,6778167.0
2020-11-20,CNP,23.35,23.62,23.28,23.46,4154769.0
2020-11-23,CNP,23.56,24.0,23.54,23.98,6305114.0
2020-11-24,CNP,24.29,24.495,23.89,24.36,8219421.0
2020-11-25,CNP,24.41,24.695,24.275,24.51,3632992.0
2020-11-27,CNP,24.59,24.7,24.04,24.07,3098988.0
2020-11-30,CNP,24.03,24.13,23.08,23.19,12400184.0
2020-12-01,CNP,23.38,23.61,22.83,22.83,7797318.0
2020-12-02,CNP,22.74,22.96,22.395,22.93,6507213.0
2020-12-03,CNP,22.89,23.15,22.75,22.79,6441700.0
2020-12-04,CNP,22.84,23.2,22.74,22.86,3909498.0
2020-12-07,CNP,22.76,23.56,22.61,23.14,5708962.0
2020-12-08,CNP,23.02,23.1,22.45,22.5,4537015.0
2020-12-09,CNP,22.61,22.7,22.0,22.23,16036866.0
2020-12-10,CNP,22.14,22.32,21.66,21.8,7902415.0
2020-12-11,CNP,21.71,21.975,21.6,21.75,5163706.0
2020-12-14,CNP,22.0,22.05,21.6,21.64,7196330.0
2020-12-15,CNP,21.76,22.29,21.6,22.24,5421036.0
2020-12-16,CNP,22.27,22.31,21.73,21.87,4576973.0
2020-12-17,CNP,22.0,22.27,21.86,21.88,4614030.0
2020-12-18,CNP,21.91,22.03,21.7,21.87,16102174.0
2020-12-21,CNP,21.63,21.66,20.965,21.05,7124969.0
2020-12-22,CNP,21.05,21.13,20.72,20.82,5465375.0
2020-12-23,CNP,21.02,21.615,21.02,21.5,4851739.0
2020-12-24,CNP,21.47,21.585,21.21,21.58,1150620.0
2020-12-28,CNP,21.68,21.78,21.41,21.41,3206828.0
2020-12-29,CNP,21.55,21.67,21.19,21.3,4154160.0
2020-12-30,CNP,21.24,21.55,21.17,21.42,1967153.0
2020-12-31,CNP,21.4,21.685,21.25,21.64,2339640.0
2021-01-04,CNP,21.67,21.74,21.175,21.34,4424828.0
2021-01-05,CNP,21.41,21.635,21.195,21.57,4384646.0
2021-01-06,CNP,21.92,22.19,21.82,21.95,4713457.0
2021-01-07,CNP,21.97,22.02,20.865,20.88,7971629.0
2021-01-08,CNP,20.96,20.96,20.52,20.71,8319669.0
2021-01-11,CNP,20.62,20.87,20.57,20.79,3788427.0
2021-01-12,CNP,20.75,20.98,20.52,20.7,4876878.0
2021-01-13,CNP,20.62,20.94,20.55,20.82,3796675.0
2021-01-14,CNP,20.82,20.94,20.58,20.85,4035768.0
2021-01-15,CNP,21.29,21.52,20.995,21.46,5827534.0
2021-01-19,CNP,21.6,21.7899,21.38,21.69,4804585.0
2021-01-20,CNP,21.47,21.73,21.28,21.48,4169342.0
2021-01-21,CNP,21.52,21.77,21.28,21.69,4189426.0
2021-01-22,CNP,21.56,21.59,21.28,21.44,3385827.0
2021-01-25,CNP,21.34,21.86,21.25,21.67,4116726.0
2021-01-26,CNP,21.73,22.055,21.54,21.95,3768688.0
2021-01-27,CNP,21.62,21.825,20.635,20.86,5709845.0
2021-01-28,CNP,21.0,21.84,20.92,21.58,5027733.0
2021-01-29,CNP,21.41,21.68,20.825,21.09,5925611.0
2021-02-01,CNP,21.29,21.6,21.1,21.24,3457296.0
2021-02-02,CNP,21.43,21.765,21.28,21.5,4032333.0
2021-02-03,CNP,21.45,21.5,20.975,21.15,3712627.0
2021-02-04,CNP,21.1,21.45,20.93,21.43,4509467.0
2021-02-05,CNP,21.63,21.63,21.26,21.4,2613438.0
2021-02-08,CNP,21.34,21.43,20.935,21.03,4217411.0
2021-02-09,CNP,21.1,21.34,20.935,21.28,5213190.0
2021-02-10,CNP,21.41,21.555,21.27,21.46,2900140.0
2021-02-11,CNP,21.48,21.59,21.18,21.25,2592960.0
2021-02-12,CNP,21.17,21.44,21.1,21.38,3755405.0
2021-02-16,CNP,21.39,21.66,21.259,21.54,6756422.0
2021-02-17,CNP,21.48,21.615,20.68,21.53,7619156.0
2021-02-18,CNP,21.51,22.1,21.44,21.8,4976335.0
2021-02-19,CNP,21.78,21.91,21.42,21.43,4463407.0
2021-02-22,CNP,21.18,21.34,20.17,20.67,8361507.0
2021-02-23,CNP,20.67,20.94,20.61,20.78,4699781.0
2021-02-24,CNP,20.7,21.2,20.51,20.81,4510943.0
2021-02-25,CNP,20.8,21.45,19.53,19.75,10073886.0
2021-02-26,CNP,19.53,19.85,19.31,19.44,11974894.0
2021-03-01,CNP,19.8,20.03,19.565,19.6,5146168.0
2021-03-02,CNP,19.69,19.71,19.51,19.57,4992692.0
2021-03-03,CNP,19.46,19.64,19.38,19.45,4748239.0
2021-03-04,CNP,19.74,20.41,19.56,19.87,5225337.0
2021-03-05,CNP,20.12,20.8,20.05,20.66,5457351.0
2021-03-08,CNP,21.04,21.04,20.6,20.81,5718921.0
2021-03-09,CNP,20.76,21.05,20.59,20.9,8657611.0
2021-03-10,CNP,20.89,21.5,20.875,21.32,9025246.0
2021-03-11,CNP,21.32,21.84,21.19,21.29,5525944.0
2021-03-12,CNP,21.35,22.075,21.24,21.97,8545645.0
2021-03-15,CNP,22.05,22.59,21.97,22.57,5365893.0
2021-03-16,CNP,22.42,22.535,22.13,22.44,6523826.0
2021-03-17,CNP,22.42,22.54,22.22,22.27,4985525.0
2021-03-18,CNP,22.28,22.34,21.92,21.94,3929924.0
2021-03-19,CNP,22.0,22.53,21.77,22.26,12350834.0
2021-03-22,CNP,22.18,22.38,21.79,21.96,4684568.0
2021-03-23,CNP,21.9,22.13,21.7,21.88,5370252.0
2021-03-24,CNP,21.78,22.18,21.73,21.75,4023446.0
2021-03-25,CNP,21.85,22.41,21.54,22.3,3974114.0
2021-03-26,CNP,22.32,22.46,21.755,21.97,4083528.0
2021-03-29,CNP,21.89,22.845,21.89,22.65,4794438.0
2021-03-30,CNP,22.54,22.81,22.24,22.8,3954491.0
2021-03-31,CNP,22.68,22.87,22.45,22.65,4540221.0
2021-04-01,CNP,22.65,22.7,22.455,22.65,2144341.0
2021-04-05,CNP,22.74,23.06,22.7031,22.94,2642655.0
2021-04-06,CNP,22.85,23.26,22.8,23.24,3633058.0
2021-04-07,CNP,23.35,23.42,23.205,23.36,4086694.0
2021-04-08,CNP,23.44,23.48,23.1,23.23,7294123.0
