Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,CSCO,34.5,35.82,33.0,33.2,58131424.0
2020-03-13,CSCO,35.18,37.68,33.33,37.64,61736029.0
2020-03-16,CSCO,33.23,36.99,32.4001,33.71,50358637.0
2020-03-17,CSCO,34.7,36.25,33.6,35.5,48107915.0
2020-03-18,CSCO,33.76,37.71,33.31,37.35,62595005.0
2020-03-19,CSCO,37.05,39.32,36.15,37.71,64857071.0
2020-03-20,CSCO,38.27,38.47,35.4,35.6,61284868.0
2020-03-23,CSCO,35.51,35.82,33.74,34.6,44763243.0
2020-03-24,CSCO,36.405,38.68,35.54,38.6,55061278.0
2020-03-25,CSCO,38.65,39.95,37.5,37.67,48763788.0
2020-03-26,CSCO,37.97,40.92,37.3664,40.58,44798498.0
2020-03-27,CSCO,39.21,40.15,38.41,38.82,35752834.0
2020-03-30,CSCO,39.45,40.485,38.96,40.32,30436907.0
2020-03-31,CSCO,40.13,40.415,39.11,39.31,29793305.0
2020-04-01,CSCO,38.17,38.86,37.8742,38.33,30977277.0
2020-04-02,CSCO,37.84,39.945,37.47,39.8,30700926.0
2020-04-03,CSCO,39.82,40.29,38.54,39.06,23962505.0
2020-04-06,CSCO,40.46,41.68,39.78,41.43,37008671.0
2020-04-07,CSCO,42.66,42.74,40.59,40.64,33639576.0
2020-04-08,CSCO,41.17,42.2,40.865,41.74,25637358.0
2020-04-09,CSCO,42.09,42.2,40.85,41.2,30440121.0
2020-04-13,CSCO,41.04,41.46,40.53,41.209,22686295.0
2020-04-14,CSCO,41.91,42.82,41.53,42.78,26561479.0
2020-04-15,CSCO,42.2028,42.37,41.23,41.52,20648865.0
2020-04-16,CSCO,41.76,41.79,40.68,41.5,29514135.0
2020-04-17,CSCO,42.25,42.64,41.74,42.48,37474546.0
2020-04-20,CSCO,41.92,43.29,41.79,42.54,26094037.0
2020-04-21,CSCO,41.83,41.99,40.41,40.55,35951112.0
2020-04-22,CSCO,41.27,42.09,41.11,41.76,21339818.0
2020-04-23,CSCO,41.89,42.55,41.53,41.62,18561193.0
2020-04-24,CSCO,41.84,42.66,41.65,42.52,16584968.0
2020-04-27,CSCO,42.7,43.22,42.58,43.06,21480026.0
2020-04-28,CSCO,43.5,43.625,42.41,42.49,18492667.0
2020-04-29,CSCO,43.346,43.48,42.93,43.34,20942842.0
2020-04-30,CSCO,43.1654,43.1677,42.17,42.34,30963987.0
2020-05-01,CSCO,41.72,41.81,40.765,40.92,25477671.0
2020-05-04,CSCO,40.9549,41.41,40.49,41.35,17923278.0
2020-05-05,CSCO,41.61,41.925,41.39,41.46,16881509.0
2020-05-06,CSCO,41.56,41.69,40.97,41.15,18190666.0
2020-05-07,CSCO,41.59,41.765,41.215,41.37,22622647.0
2020-05-08,CSCO,42.02,43.02,41.7,42.99,24453292.0
2020-05-11,CSCO,42.78,43.65,42.605,43.32,30289680.0
2020-05-12,CSCO,43.94,44.3,43.19,43.22,28721168.0
2020-05-13,CSCO,43.39,43.57,41.31,41.95,40229392.0
2020-05-14,CSCO,43.43,44.58,43.26,43.85,53611602.0
2020-05-15,CSCO,42.93,44.38,42.85,44.27,34481732.0
2020-05-18,CSCO,45.21,45.295,44.3301,45.06,30181495.0
2020-05-19,CSCO,44.83,44.98,44.41,44.605,26290603.0
2020-05-20,CSCO,45.05,45.82,45.03,45.44,22675226.0
