Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,CSX,53.55,56.4,51.88,53.41,13436526.0
2020-03-13,CSX,56.5,58.79,54.01,57.94,13330999.0
2020-03-16,CSX,49.02,53.36,47.56,48.93,12270260.0
2020-03-17,CSX,49.51,54.93,48.17,54.26,9663130.0
2020-03-18,CSX,50.67,52.48,48.064,50.97,8645835.0
2020-03-19,CSX,50.53,56.2,48.785,55.01,6804491.0
2020-03-20,CSX,54.51,55.18,49.6,49.88,11864490.0
2020-03-23,CSX,49.43,50.79,46.81,47.66,8437153.0
2020-03-24,CSX,50.98,55.69,49.51,55.5,8671229.0
2020-03-25,CSX,55.11,60.57,55.01,56.53,8490299.0
2020-03-26,CSX,57.12,59.13,55.83,58.57,7261807.0
2020-03-27,CSX,56.27,57.82,55.03,56.29,6614826.0
2020-03-30,CSX,56.11,58.26,55.74,58.02,5617257.0
2020-03-31,CSX,57.72,58.15,56.3204,57.3,6819316.0
2020-04-01,CSX,54.1,55.23,53.25,54.85,5457460.0
2020-04-02,CSX,54.17,57.115,53.63,56.86,6227608.0
2020-04-03,CSX,56.61,57.66,55.9,56.77,5855375.0
2020-04-06,CSX,60.66,61.69,59.215,61.27,7581245.0
2020-04-07,CSX,64.33,64.82,60.8,61.15,6212084.0
2020-04-08,CSX,62.23,63.88,61.8,63.52,4363105.0
2020-04-09,CSX,63.89,64.8,63.1,64.0,5544215.0
2020-04-13,CSX,63.31,63.88,60.94,61.57,4527920.0
2020-04-14,CSX,62.12,63.39,62.05,62.54,3855045.0
2020-04-15,CSX,60.37,61.01,59.9,60.89,3722642.0
2020-04-16,CSX,61.21,61.21,58.965,60.64,6260112.0
2020-04-17,CSX,62.92,63.66,62.03,62.77,9907836.0
2020-04-20,CSX,61.015,62.57,60.27,61.0,6235960.0
2020-04-21,CSX,59.33,60.305,58.8,59.48,5218751.0
2020-04-22,CSX,60.65,62.41,59.47,60.89,5948781.0
2020-04-23,CSX,63.9,64.125,61.3,61.47,5106417.0
2020-04-24,CSX,62.58,64.0,61.375,63.82,4729914.0
2020-04-27,CSX,65.5,66.78,64.77,66.41,7882491.0
2020-04-28,CSX,67.1992,67.64,65.83,66.85,7214799.0
2020-04-29,CSX,68.38,69.28,67.77,68.15,4515318.0
2020-04-30,CSX,67.02,67.82,66.01,66.259,9400957.0
2020-05-01,CSX,65.59,65.59,64.55,65.0,8086652.0
2020-05-04,CSX,64.72,64.72,63.05,63.74,4201219.0
2020-05-05,CSX,64.36,64.97,63.57,63.77,4765665.0
2020-05-06,CSX,63.95,64.22,62.52,62.63,5694257.0
2020-05-07,CSX,63.59,64.42,63.19,63.92,3760835.0
2020-05-08,CSX,64.75,66.3,64.68,66.11,3168894.0
2020-05-11,CSX,65.19,66.7,65.135,65.91,3593840.0
2020-05-12,CSX,66.2,66.2,64.14,64.16,3383671.0
2020-05-13,CSX,64.09,64.09,61.675,62.33,4549553.0
2020-05-14,CSX,61.92,63.09,60.0,62.97,4477573.0
2020-05-15,CSX,62.04,62.61,61.62,62.0,7205318.0
2020-05-18,CSX,64.49,66.9,64.05,66.39,4505136.0
2020-05-19,CSX,66.64,67.56,65.96,65.96,4855208.0
2020-05-20,CSX,68.84,69.81,68.11,68.36,5882517.0
2020-05-21,CSX,68.1,68.28,66.917,67.8,3761839.0
2020-05-22,CSX,67.5,68.63,67.42,68.53,3080070.0
2020-05-26,CSX,70.48,72.16,70.04,72.14,6283998.0
2020-05-27,CSX,72.79,73.93,72.71,73.6,6194198.0
2020-05-28,CSX,73.9829,74.0,70.705,71.25,6505574.0
2020-05-29,CSX,70.95,72.35,70.01,71.58,6598024.0
2020-06-01,CSX,70.98,71.58,70.33,70.865,3026727.0
2020-06-02,CSX,71.68,72.465,71.13,72.18,3539208.0
2020-06-03,CSX,73.41,74.87,73.0,74.67,4556381.0
2020-06-04,CSX,74.1,74.48,73.7,74.04,3541479.0
2020-06-05,CSX,75.95,76.91,74.93,75.08,6588536.0
2020-06-08,CSX,74.82,75.99,73.82,74.33,5316930.0
2020-06-09,CSX,73.57,74.22,73.06,73.66,3790459.0
2020-06-10,CSX,73.66,74.13,72.36,73.29,4659943.0
2020-06-11,CSX,71.78,72.4,68.22,68.29,5637548.0
2020-06-12,CSX,70.51,70.67,68.06,69.57,4570779.0
2020-06-15,CSX,67.91,70.56,67.44,70.15,4402311.0
2020-06-16,CSX,72.56,72.57,69.585,70.36,4480048.0
2020-06-17,CSX,71.07,71.07,69.83,69.9,3653622.0
2020-06-18,CSX,69.24,70.12,69.08,69.47,3287247.0
2020-06-19,CSX,70.4,70.47,67.75,67.99,9941968.0
2020-06-22,CSX,67.75,68.67,67.07,68.6,4077503.0
2020-06-23,CSX,69.32,69.865,68.75,69.43,3586803.0
2020-06-24,CSX,68.43,68.86,67.44,67.5,4225115.0
2020-06-25,CSX,67.32,68.35,66.4126,68.22,3293840.0
2020-06-26,CSX,68.0,68.29,65.37,65.91,11518083.0
2020-06-29,CSX,66.57,68.52,66.34,68.5,4038632.0
2020-06-30,CSX,68.16,70.31,67.99,69.74,4382205.0
2020-07-01,CSX,69.86,70.29,67.87,68.24,3676261.0
2020-07-02,CSX,69.16,69.88,68.68,68.86,2904563.0
2020-07-06,CSX,69.73,70.68,69.69,70.25,3183925.0
2020-07-07,CSX,69.43,70.03,68.35,68.52,3243949.0
2020-07-08,CSX,68.64,69.25,68.17,69.1,3275130.0
2020-07-09,CSX,68.29,69.05,67.48,67.86,4829126.0
2020-07-10,CSX,67.69,68.09,67.16,67.54,4141933.0
2020-07-13,CSX,68.21,69.975,67.58,68.64,4505680.0
2020-07-14,CSX,68.06,69.45,67.8,69.34,4329579.0
2020-07-15,CSX,70.5,71.015,69.38,70.66,5362634.0
2020-07-16,CSX,70.29,71.87,70.2001,71.07,3083762.0
2020-07-17,CSX,71.65,72.45,71.0,72.16,3364594.0
2020-07-20,CSX,71.86,72.04,70.88,71.56,3253166.0
2020-07-21,CSX,71.92,72.59,71.6,72.43,2873822.0
2020-07-22,CSX,72.5,73.77,72.29,73.26,4589171.0
2020-07-23,CSX,72.07,72.95,70.93,71.53,5568915.0
2020-07-24,CSX,71.75,72.61,71.245,71.34,3255038.0
2020-07-27,CSX,70.99,72.205,70.92,71.59,3841245.0
2020-07-28,CSX,71.3,71.33,69.95,70.1,3220711.0
2020-07-29,CSX,70.69,72.13,70.3823,71.92,4615073.0
2020-07-30,CSX,70.98,71.3,70.06,70.24,3515579.0
2020-07-31,CSX,69.91,71.39,68.07,71.34,6321653.0
2020-08-03,CSX,71.1924,71.65,70.28,70.35,3045485.0
