Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,CTAS,231.98,236.018,214.24,225.69,2062631.0
2020-03-13,CTAS,233.25,244.07,223.605,243.58,1393437.0
2020-03-16,CTAS,197.57,207.68,197.57,202.51,1864914.0
2020-03-17,CTAS,206.56,210.65,195.85,209.12,2041425.0
2020-03-18,CTAS,173.57,182.39,163.19,177.98,2017324.0
2020-03-19,CTAS,176.23,185.37,160.39,183.0,1553912.0
2020-03-20,CTAS,180.17,189.42,167.35,175.09,2965121.0
2020-03-23,CTAS,177.22,177.22,154.33,157.06,1804100.0
2020-03-24,CTAS,165.82,178.76,165.31,173.8,1519806.0
2020-03-25,CTAS,174.22,200.56,168.86,192.33,1844261.0
2020-03-26,CTAS,194.36,197.98,182.54,192.58,1874872.0
2020-03-27,CTAS,187.44,187.7499,180.0,181.57,1124616.0
2020-03-30,CTAS,181.9,183.6,175.35,180.45,1172655.0
2020-03-31,CTAS,178.49,179.58,171.9193,173.22,2048245.0
2020-04-01,CTAS,165.44,167.38,160.55,162.69,1221156.0
2020-04-02,CTAS,160.25,167.29,158.89,165.19,1531474.0
2020-04-03,CTAS,163.26,167.5,162.19,164.23,1111804.0
2020-04-06,CTAS,169.0,180.6,168.28,179.49,1472251.0
2020-04-07,CTAS,190.78,195.33,185.35,185.9,1744751.0
2020-04-08,CTAS,188.48,193.97,185.51,192.41,1018999.0
2020-04-09,CTAS,197.94,207.15,197.505,198.74,1000127.0
2020-04-13,CTAS,198.75,198.85,191.46,195.08,866151.0
2020-04-14,CTAS,200.66,203.95,198.64,201.7,963109.0
2020-04-15,CTAS,196.76,197.01,186.11,187.07,1055349.0
2020-04-16,CTAS,189.32,191.13,186.49,190.64,866247.0
2020-04-17,CTAS,198.99,204.7499,196.61,204.16,939699.0
2020-04-20,CTAS,200.02,202.55,193.21,193.91,834850.0
2020-04-21,CTAS,189.85,191.89,187.98,190.5,761018.0
2020-04-22,CTAS,193.6,198.8,192.8,197.44,727223.0
2020-04-23,CTAS,198.16,203.56,198.16,199.42,1014310.0
2020-04-24,CTAS,201.28,202.67,198.27,200.18,867297.0
2020-04-27,CTAS,201.68,213.06,200.0,212.47,688580.0
2020-04-28,CTAS,219.28,223.2,214.41,218.17,1317431.0
2020-04-29,CTAS,223.1,232.1,221.27,230.95,1102970.0
2020-04-30,CTAS,228.0,228.2551,221.01,221.83,1020906.0
2020-05-01,CTAS,216.98,218.15,210.97,211.81,945997.0
2020-05-04,CTAS,209.3,210.23,206.38,209.64,774986.0
2020-05-05,CTAS,211.6,214.89,210.35,210.74,586397.0
2020-05-06,CTAS,212.0,212.69,208.15,210.17,542212.0
2020-05-07,CTAS,212.67,216.64,211.33,213.4,449230.0
2020-05-08,CTAS,216.05,219.0,214.12,218.21,415963.0
2020-05-11,CTAS,215.77,216.755,213.05,214.38,493594.0
2020-05-12,CTAS,215.0,216.1098,205.71,205.745,803909.0
2020-05-13,CTAS,202.2,203.48,197.135,199.47,1435852.0
2020-05-14,CTAS,204.91,229.24,204.24,228.71,2486084.0
2020-05-15,CTAS,225.85,230.66,222.88,227.42,1736974.0
2020-05-18,CTAS,232.13,239.43,232.13,236.43,1108167.0
2020-05-19,CTAS,237.41,244.36,236.03,238.98,1113564.0
2020-05-20,CTAS,240.6,243.48,238.76,240.53,1053642.0
2020-05-21,CTAS,241.59,245.72,240.81,242.56,601854.0
2020-05-22,CTAS,241.57,242.13,239.68,240.65,482580.0
2020-05-26,CTAS,249.12,254.99,247.15,252.73,927503.0
2020-05-27,CTAS,254.95,256.96,247.33,251.58,807878.0
2020-05-28,CTAS,252.07,254.64,250.0804,251.72,539556.0
2020-05-29,CTAS,251.5,251.5,243.09,247.96,1531207.0
2020-06-01,CTAS,248.5,252.17,247.11,250.94,523790.0
2020-06-02,CTAS,251.46,255.35,249.45,255.0,939403.0
2020-06-03,CTAS,258.91,271.9,256.63,270.81,814003.0
2020-06-04,CTAS,268.48,270.73,266.13,269.21,604293.0
2020-06-05,CTAS,276.13,286.61,275.95,286.5,1156685.0
2020-06-08,CTAS,289.98,292.11,285.35,291.51,837011.0
2020-06-09,CTAS,285.87,286.91,281.81,282.91,679101.0
2020-06-10,CTAS,283.77,283.77,275.06,278.18,657819.0
2020-06-11,CTAS,266.68,271.7,261.9,264.0,979459.0
2020-06-12,CTAS,271.4,272.97,260.46,266.2,621421.0
2020-06-15,CTAS,258.6,267.58,257.3263,266.53,655497.0
2020-06-16,CTAS,278.93,278.93,269.67,273.63,513878.0
2020-06-17,CTAS,272.97,276.4,271.44,273.28,424023.0
2020-06-18,CTAS,271.29,277.21,270.47,275.81,466502.0
2020-06-19,CTAS,280.67,282.54,269.43,270.16,1305069.0
2020-06-22,CTAS,266.75,271.05,265.18,270.06,676692.0
2020-06-23,CTAS,272.75,274.64,270.25,272.55,486230.0
2020-06-24,CTAS,269.04,271.01,258.74,261.63,739125.0
2020-06-25,CTAS,260.29,263.4,258.87,262.57,581221.0
2020-06-26,CTAS,263.77,263.77,254.07,256.5,1475760.0
2020-06-29,CTAS,257.95,263.8405,255.37,263.61,484455.0
2020-06-30,CTAS,261.6,267.83,260.01,266.36,831001.0
2020-07-01,CTAS,271.71,272.03,266.19,267.97,728883.0
2020-07-02,CTAS,271.32,276.49,270.18,270.65,525519.0
2020-07-06,CTAS,275.41,277.0,272.65,273.63,575821.0
2020-07-07,CTAS,270.88,272.915,269.08,269.98,491891.0
2020-07-08,CTAS,268.49,272.0,268.08,271.31,500378.0
2020-07-09,CTAS,269.37,270.74,261.79,266.14,478255.0
2020-07-10,CTAS,263.93,268.139,263.72,266.88,315534.0
2020-07-13,CTAS,269.81,272.605,265.52,266.36,600398.0
2020-07-14,CTAS,262.52,270.8,261.65,270.3,398566.0
2020-07-15,CTAS,271.34,279.21,271.27,278.4,483121.0
2020-07-16,CTAS,277.35,278.75,274.55,277.45,527325.0
2020-07-17,CTAS,279.94,280.62,275.0,280.06,349942.0
2020-07-20,CTAS,279.91,280.78,276.7133,277.82,464153.0
2020-07-21,CTAS,283.16,285.89,280.53,284.08,403951.0
2020-07-22,CTAS,284.75,290.0,283.835,289.36,559709.0
2020-07-23,CTAS,284.99,311.015,282.69,303.01,1150584.0
2020-07-24,CTAS,303.87,307.087,295.49,302.6,795127.0
2020-07-27,CTAS,303.0,303.795,296.8,298.28,608265.0
2020-07-28,CTAS,298.79,299.54,293.32,293.56,558639.0
2020-07-29,CTAS,297.22,306.565,295.84,305.8,706833.0
2020-07-30,CTAS,301.45,303.89,295.52,301.81,609781.0
2020-07-31,CTAS,301.65,302.16,296.98,301.87,1035862.0
2020-08-03,CTAS,301.72,303.12,298.35,298.74,588178.0
2020-08-04,CTAS,298.63,304.0,297.05,301.64,653575.0
2020-08-05,CTAS,304.71,305.985,297.48,299.97,458236.0
2020-08-06,CTAS,299.73,303.51,298.0159,303.03,407514.0
2020-08-07,CTAS,302.67,310.38,300.0,310.01,502839.0
2020-08-10,CTAS,310.45,316.52,309.61,316.4,605869.0
2020-08-11,CTAS,320.35,324.39,316.58,318.33,744822.0
2020-08-12,CTAS,319.21,324.36,319.21,319.89,389538.0
2020-08-13,CTAS,317.71,321.235,317.45,318.98,282819.0
2020-08-14,CTAS,316.77,321.29,314.97,316.44,419499.0
2020-08-17,CTAS,318.46,321.48,317.845,320.99,414672.0
2020-08-18,CTAS,321.01,322.15,318.26,318.77,299345.0
