Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,CTVA,22.87,24.95,22.26,22.34,7181010.0
2020-03-13,CTVA,23.83,25.0,21.55,24.82,8120745.0
2020-03-16,CTVA,21.51,23.34,20.565,20.74,7158361.0
2020-03-17,CTVA,21.23,24.14,20.72,22.67,8255997.0
2020-03-18,CTVA,21.08,23.4,20.38,21.57,8290279.0
2020-03-19,CTVA,21.18,24.8,20.54,23.26,5899875.0
2020-03-20,CTVA,23.2,23.24,21.11,22.53,13582253.0
2020-03-23,CTVA,22.03,23.5294,21.42,21.92,9911123.0
2020-03-24,CTVA,23.01,23.97,21.5,22.33,9201808.0
2020-03-25,CTVA,22.75,25.14,22.14,23.4,6677284.0
2020-03-26,CTVA,23.11,24.85,22.885,24.14,8170809.0
2020-03-27,CTVA,23.11,24.81,22.665,23.21,5107517.0
2020-03-30,CTVA,23.28,24.32,22.91,24.09,5025878.0
2020-03-31,CTVA,24.23,24.57,23.35,23.5,4739628.0
2020-04-01,CTVA,23.11,23.6,22.35,22.51,7752723.0
2020-04-02,CTVA,22.85,23.43,21.8172,22.24,7233880.0
2020-04-03,CTVA,22.21,23.05,22.12,22.62,7253342.0
2020-04-06,CTVA,23.5,24.5724,23.22,24.26,7285010.0
2020-04-07,CTVA,25.0,25.93,24.35,24.53,6163638.0
2020-04-08,CTVA,24.55,26.17,24.41,26.05,5053490.0
2020-04-09,CTVA,26.2,28.07,26.2,27.93,6637202.0
2020-04-13,CTVA,27.32,27.49,25.9,26.56,3840811.0
2020-04-14,CTVA,27.59,27.845,26.04,26.44,3192370.0
2020-04-15,CTVA,26.07,26.15,24.615,25.51,3260012.0
2020-04-16,CTVA,25.38,25.7439,24.58,25.16,3076734.0
2020-04-17,CTVA,25.94,26.315,24.92,25.51,7002930.0
2020-04-20,CTVA,25.6,25.86,24.57,24.63,5522704.0
2020-04-21,CTVA,24.01,24.95,23.86,24.27,6284380.0
2020-04-22,CTVA,24.75,25.215,24.29,24.94,4231793.0
2020-04-23,CTVA,25.28,25.84,25.01,25.4,3053527.0
2020-04-24,CTVA,25.58,26.68,25.38,26.27,4757197.0
2020-04-27,CTVA,26.33,26.56,25.51,25.56,5279510.0
2020-04-28,CTVA,26.15,26.515,25.81,26.19,4125703.0
2020-04-29,CTVA,26.81,27.26,26.46,27.05,2369846.0
2020-04-30,CTVA,26.7,26.7,25.86,26.19,3233227.0
2020-05-01,CTVA,25.83,25.83,25.09,25.49,2838385.0
2020-05-04,CTVA,25.15,25.46,24.8181,25.42,4972104.0
2020-05-05,CTVA,25.4,26.51,25.21,26.18,2752635.0
2020-05-06,CTVA,26.19,26.73,25.01,25.01,3713798.0
2020-05-07,CTVA,25.97,27.25,25.97,26.45,4866398.0
2020-05-08,CTVA,26.72,26.97,25.46,25.98,5220049.0
2020-05-11,CTVA,25.1,25.15,24.29,24.38,8231395.0
2020-05-12,CTVA,24.29,24.45,23.22,23.25,5370026.0
