Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,DAY,50.5,52.66,47.58,48.62,2463172.0
2020-03-13,DAY,51.53,55.365,48.38,55.05,1936602.0
2020-03-16,DAY,49.65,49.65,45.81,47.56,2262813.0
2020-03-17,DAY,48.44,49.27,44.38,49.05,1880619.0
2020-03-18,DAY,45.43,46.6,38.4,44.15,2264827.0
2020-03-19,DAY,44.03,46.57,40.76,45.9,1702309.0
2020-03-20,DAY,46.08,49.52,44.68,47.76,2185773.0
2020-03-23,DAY,47.08,49.14,45.23,46.72,1814966.0
2020-03-24,DAY,47.72,50.37,47.56,49.83,1485011.0
2020-03-25,DAY,49.83,53.96,48.77,50.29,1457075.0
2020-03-26,DAY,50.1,54.47,49.68,52.24,1101553.0
2020-03-27,DAY,50.1,50.91,47.91,48.65,1157461.0
2020-03-30,DAY,48.88,51.73,48.36,51.41,612764.0
2020-03-31,DAY,50.79,51.31,48.9,50.07,1267864.0
2020-04-01,DAY,47.68,48.62,45.18,46.0,1425719.0
2020-04-02,DAY,45.19,45.995,42.58,43.28,1833352.0
2020-04-03,DAY,42.54,43.18,38.9,39.21,2694672.0
2020-04-06,DAY,41.15,44.59,40.1631,44.47,1321354.0
2020-04-07,DAY,46.92,47.1,44.17,45.47,1266948.0
2020-04-08,DAY,46.27,50.21,45.475,49.52,1289266.0
2020-04-09,DAY,50.99,56.215,50.295,53.9,2438708.0
2020-04-13,DAY,53.52,54.26,51.9655,53.0,1705415.0
2020-04-14,DAY,54.01,56.325,54.01,54.74,1615310.0
2020-04-15,DAY,52.64,54.14,51.45,52.5,1308796.0
2020-04-16,DAY,51.45,52.715,49.62,50.15,824595.0
2020-04-17,DAY,51.85,53.87,51.5976,53.58,842509.0
2020-04-20,DAY,52.46,54.91,52.43,53.37,795325.0
2020-04-21,DAY,51.35,52.32,49.26,50.36,780162.0
2020-04-22,DAY,51.84,52.625,50.92,51.69,544227.0
2020-04-23,DAY,49.89,52.04,49.24,51.5,1734513.0
2020-04-24,DAY,52.48,52.95,51.25,51.62,1363971.0
2020-04-27,DAY,52.73,54.77,52.055,54.44,764509.0
2020-04-28,DAY,55.53,55.67,52.94,53.92,1045387.0
2020-04-29,DAY,56.22,60.0,55.44,59.83,1331446.0
