Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,DECK,142.77,142.77,130.73,131.1,801754.0
2020-03-13,DECK,138.04,139.78,121.14,129.63,1078324.0
2020-03-16,DECK,113.0,117.22,107.78,111.34,799873.0
2020-03-17,DECK,113.02,115.09,99.07,110.73,900358.0
2020-03-18,DECK,103.32,104.965,78.7,91.16,961972.0
2020-03-19,DECK,91.28,105.51,82.25,103.76,1025544.0
2020-03-20,DECK,103.75,112.2,101.51,103.9,1019622.0
2020-03-23,DECK,104.59,115.9,99.99,113.69,973742.0
2020-03-24,DECK,121.68,133.96,119.91,133.43,797546.0
2020-03-25,DECK,134.33,137.5748,127.5,129.55,982740.0
2020-03-26,DECK,131.87,140.76,127.76,140.57,618607.0
2020-03-27,DECK,136.36,136.48,129.4064,133.09,492778.0
2020-03-30,DECK,131.34,140.5,129.64,139.13,388335.0
2020-03-31,DECK,137.53,140.58,132.73,134.0,503460.0
2020-04-01,DECK,128.17,128.85,121.86,123.75,510008.0
2020-04-02,DECK,123.97,129.12,121.89,126.69,370244.0
2020-04-03,DECK,125.4,126.02,118.44,122.11,409332.0
2020-04-06,DECK,132.12,138.74,128.17,138.36,580043.0
2020-04-07,DECK,145.38,150.125,140.03,141.17,486801.0
2020-04-08,DECK,143.0,146.9,141.25,145.08,320756.0
2020-04-09,DECK,149.43,151.63,144.6273,148.88,465105.0
2020-04-13,DECK,146.83,147.55,140.75,143.35,432271.0
2020-04-14,DECK,148.17,149.88,144.66,145.49,231903.0
2020-04-15,DECK,140.46,142.84,137.58,138.93,504912.0
2020-04-16,DECK,138.9,140.97,136.13,139.26,282805.0
2020-04-17,DECK,144.54,149.18,143.28,145.65,392108.0
2020-04-20,DECK,142.65,146.51,139.79,140.66,284886.0
2020-04-21,DECK,136.56,138.36,131.75,131.97,394557.0
2020-04-22,DECK,137.04,137.175,132.7,132.77,474305.0
2020-04-23,DECK,132.53,137.11,130.64,132.75,372130.0
2020-04-24,DECK,133.15,139.03,131.495,137.42,442795.0
2020-04-27,DECK,139.45,147.31,136.47,146.4,528302.0
2020-04-28,DECK,151.65,157.31,147.53,147.92,309880.0
2020-04-29,DECK,154.83,159.1,150.01,155.58,319649.0
2020-04-30,DECK,152.49,153.165,148.0,148.76,402976.0
2020-05-01,DECK,147.92,149.015,142.14,143.29,343746.0
2020-05-04,DECK,140.43,144.89,138.61,140.25,550581.0
2020-05-05,DECK,143.38,148.225,141.96,143.6,432236.0
2020-05-06,DECK,143.9,145.29,139.73,142.64,492806.0
2020-05-07,DECK,144.98,148.73,144.22,144.56,261627.0
2020-05-08,DECK,147.94,150.38,145.1,149.18,236307.0
2020-05-11,DECK,147.33,147.97,143.0,147.35,493464.0
2020-05-12,DECK,147.46,147.89,138.31,138.51,358269.0
2020-05-13,DECK,136.0,138.17,130.76,135.47,474600.0
2020-05-14,DECK,132.14,139.72,128.92,139.52,399143.0
2020-05-15,DECK,138.48,141.755,135.5,140.83,364011.0
2020-05-18,DECK,148.04,156.88,148.04,152.97,618162.0
2020-05-19,DECK,152.3,156.64,150.594,154.51,466053.0
2020-05-20,DECK,156.62,164.23,156.62,162.51,611974.0
2020-05-21,DECK,162.19,168.39,159.06,168.03,758937.0
2020-05-22,DECK,178.82,189.61,170.0,179.24,1109449.0
2020-05-26,DECK,186.51,188.56,179.405,180.05,687265.0
2020-05-27,DECK,183.98,196.0,182.86,195.28,753644.0
2020-05-28,DECK,197.03,197.03,185.555,186.39,568540.0
2020-05-29,DECK,184.63,186.57,181.31,182.53,572016.0
2020-06-01,DECK,183.22,197.07,183.22,195.82,863676.0
2020-06-02,DECK,196.81,204.1,195.509,203.97,811995.0
2020-06-03,DECK,208.34,214.035,205.44,212.58,782309.0
2020-06-04,DECK,212.27,213.04,200.01,204.0,756328.0
2020-06-05,DECK,213.46,218.185,204.18,205.06,770581.0
2020-06-08,DECK,205.48,206.43,199.33,200.45,502555.0
2020-06-09,DECK,197.55,199.63,194.56,195.44,474297.0
2020-06-10,DECK,196.06,202.235,193.73,198.15,491558.0
2020-06-11,DECK,190.0,194.46,186.7,191.02,526677.0
2020-06-12,DECK,198.25,198.55,189.71,196.09,432217.0
2020-06-15,DECK,190.42,193.6999,186.79,193.1,401714.0
2020-06-16,DECK,200.91,200.94,189.905,196.88,388896.0
2020-06-17,DECK,198.22,199.95,193.68,198.39,560756.0
2020-06-18,DECK,197.98,205.36,195.8067,200.45,709297.0
2020-06-19,DECK,203.01,206.07,194.27,196.01,676195.0
2020-06-22,DECK,196.01,201.19,194.09,200.73,354044.0
2020-06-23,DECK,203.72,204.18,198.34,202.14,380836.0
2020-06-24,DECK,201.51,205.01,193.26,194.52,552656.0
2020-06-25,DECK,192.67,196.88,191.44,193.06,329462.0
2020-06-26,DECK,191.38,192.56,184.63,186.11,545213.0
2020-06-29,DECK,187.87,196.64,186.33,194.67,399019.0
2020-06-30,DECK,193.61,197.9,193.01,196.39,338791.0
2020-07-01,DECK,197.18,199.44,192.645,194.35,369613.0
2020-07-02,DECK,198.69,201.02,193.17,194.2,238166.0
2020-07-06,DECK,198.99,199.075,192.855,194.9,326995.0
2020-07-07,DECK,192.49,194.125,188.62,189.1,325196.0
2020-07-08,DECK,189.66,193.46,189.3,193.36,263951.0
2020-07-09,DECK,195.45,196.59,184.21,190.02,469133.0
2020-07-10,DECK,191.26,196.24,189.69,196.04,276958.0
2020-07-13,DECK,198.03,200.1495,192.0,193.74,311340.0
2020-07-14,DECK,192.69,198.71,188.81,198.43,346056.0
2020-07-15,DECK,204.19,207.85,199.36,201.95,475414.0
2020-07-16,DECK,202.0,203.49,200.16,202.68,385832.0
2020-07-17,DECK,202.72,203.99,198.67,201.35,256710.0
2020-07-20,DECK,200.09,201.46,194.31,196.27,288293.0
2020-07-21,DECK,198.39,202.925,197.39,201.3,343779.0
2020-07-22,DECK,204.45,208.8608,202.94,206.44,489513.0
2020-07-23,DECK,204.56,210.395,204.4,206.45,431800.0
2020-07-24,DECK,206.73,209.12,204.61,205.78,303704.0
2020-07-27,DECK,206.12,213.5,205.93,211.12,490719.0
2020-07-28,DECK,210.03,213.81,208.85,210.62,364610.0
2020-07-29,DECK,212.19,220.36,211.46,218.83,425690.0
2020-07-30,DECK,215.28,219.81,212.77,214.15,471396.0
2020-07-31,DECK,198.23,215.1,196.21,209.25,637417.0
2020-08-03,DECK,210.79,210.79,204.4501,206.62,419118.0
2020-08-04,DECK,205.31,207.09,202.84,205.46,646755.0
2020-08-05,DECK,206.97,214.325,205.61,211.46,297123.0
2020-08-06,DECK,210.49,210.49,204.01,206.51,290608.0
2020-08-07,DECK,206.0,210.63,204.01,210.56,232523.0
2020-08-10,DECK,211.99,221.1943,211.47,218.5,461847.0
2020-08-11,DECK,220.78,225.7,220.12,223.32,430887.0
2020-08-12,DECK,224.85,225.32,220.79,220.87,407751.0
2020-08-13,DECK,219.24,219.98,215.88,217.9,208262.0
2020-08-14,DECK,216.71,218.775,215.37,215.71,251028.0
2020-08-17,DECK,217.39,217.39,210.38,212.16,440893.0
2020-08-18,DECK,212.75,213.42,208.86,210.83,409846.0
2020-08-19,DECK,211.08,211.94,207.345,207.7,263923.0
2020-08-20,DECK,205.73,211.2,203.88,207.76,237855.0
2020-08-21,DECK,208.06,210.03,205.7,209.39,172666.0
2020-08-24,DECK,209.86,212.215,207.33,209.28,299780.0
2020-08-25,DECK,210.21,211.32,206.091,209.74,451220.0
2020-08-26,DECK,209.74,212.22,208.98,211.59,257555.0
2020-08-27,DECK,213.25,215.0915,210.3,210.82,197969.0
2020-08-28,DECK,213.07,213.07,207.47,210.39,191857.0
2020-08-31,DECK,210.5,210.5,203.42,203.87,351022.0
2020-09-01,DECK,203.94,210.075,202.28,209.97,302030.0
2020-09-02,DECK,212.49,212.5,205.68,207.63,268287.0
2020-09-03,DECK,207.52,207.52,196.755,198.24,324496.0
2020-09-04,DECK,200.3,201.315,193.83,197.08,363684.0
2020-09-08,DECK,194.21,203.88,192.58,199.89,364209.0
2020-09-09,DECK,201.79,204.03,199.07,202.97,288083.0
2020-09-10,DECK,204.44,205.775,197.7,198.29,341675.0
2020-09-11,DECK,201.24,203.96,198.6,203.21,404337.0
2020-09-14,DECK,205.08,208.965,204.455,208.19,257071.0
2020-09-15,DECK,209.37,214.66,208.5,214.43,426079.0
2020-09-16,DECK,216.84,222.82,215.4034,219.39,509730.0
2020-09-17,DECK,215.39,218.51,212.14,213.33,405457.0
2020-09-18,DECK,215.49,215.49,205.54,208.91,659461.0
2020-09-21,DECK,204.64,207.22,202.17,207.05,327991.0
2020-09-22,DECK,208.16,214.0,206.91,213.67,321508.0
2020-09-23,DECK,214.72,223.24,213.71,214.51,660748.0
2020-09-24,DECK,214.31,219.8,209.9,217.65,281817.0
2020-09-25,DECK,216.19,218.0399,213.11,215.21,279466.0
2020-09-28,DECK,217.23,221.77,217.23,219.27,252040.0
2020-09-29,DECK,218.28,219.635,214.2,217.91,251918.0
2020-09-30,DECK,218.58,221.63,217.54,220.01,384573.0
2020-10-01,DECK,222.84,238.0,221.94,235.6,826976.0
2020-10-02,DECK,229.76,238.47,229.76,237.38,334244.0
2020-10-05,DECK,238.19,239.59,232.81,238.5,258208.0
2020-10-06,DECK,239.99,240.32,233.84,234.97,379556.0
2020-10-07,DECK,239.05,242.41,237.87,240.34,340008.0
2020-10-08,DECK,243.33,247.0307,240.6901,245.26,330110.0
2020-10-09,DECK,247.8,251.52,245.29,251.21,360176.0
2020-10-12,DECK,255.53,257.8789,251.98,253.34,363684.0
2020-10-13,DECK,250.19,254.13,248.0,253.63,423691.0
2020-10-14,DECK,254.12,257.54,253.9388,256.1,353919.0
2020-10-15,DECK,254.01,262.85,251.35,262.1,318278.0
2020-10-16,DECK,261.88,266.68,259.8622,262.32,620119.0
2020-10-19,DECK,263.8,267.1,247.01,253.0,771386.0
2020-10-20,DECK,253.82,256.28,249.36,249.52,359659.0
