Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,DELL,33.98,34.92,32.31,32.74,7013544.0
2020-03-13,DELL,35.18,35.95,33.14,35.95,5035209.0
2020-03-16,DELL,30.13,34.31,29.18,32.21,5240885.0
2020-03-17,DELL,32.81,33.46,30.24,31.32,5200897.0
2020-03-18,DELL,29.0,30.15,25.51,28.87,4710781.0
2020-03-19,DELL,29.0,32.71,28.18,31.96,4430881.0
2020-03-20,DELL,32.84,36.89,32.02,32.49,7317031.0
2020-03-23,DELL,32.92,35.73,31.53,33.94,3847456.0
2020-03-24,DELL,36.46,38.86,34.53,38.85,3767850.0
2020-03-25,DELL,39.37,42.4,38.17,39.34,3996049.0
2020-03-26,DELL,39.94,42.9,39.5,42.54,3580694.0
2020-03-27,DELL,40.23,40.99,38.27,38.75,3306770.0
2020-03-30,DELL,39.71,41.17,38.78,39.8,3856875.0
2020-03-31,DELL,39.46,41.0,38.89,39.55,2042424.0
2020-04-01,DELL,37.75,38.8645,36.51,36.9,2580292.0
2020-04-02,DELL,36.58,38.05,36.17,37.14,2047310.0
2020-04-03,DELL,36.97,37.68,35.53,36.44,2336715.0
2020-04-06,DELL,38.47,39.14,37.91,38.91,3636683.0
2020-04-07,DELL,39.92,40.78,38.15,38.37,3904324.0
2020-04-08,DELL,38.8,40.69,38.6,40.38,3900450.0
2020-04-09,DELL,41.67,42.75,41.1416,41.56,4708089.0
2020-04-13,DELL,40.66,41.32,39.92,40.46,1821782.0
2020-04-14,DELL,41.19,42.35,40.8,41.34,2609044.0
2020-04-15,DELL,40.03,40.863,39.6,40.45,2147397.0
2020-04-16,DELL,40.74,41.19,39.87,41.1,1656681.0
2020-04-17,DELL,42.23,42.27,41.0,41.51,3842442.0
2020-04-20,DELL,40.34,41.76,40.15,40.96,3063919.0
2020-04-21,DELL,39.93,40.15,37.2,37.4,3636300.0
2020-04-22,DELL,38.3,39.2,37.89,38.75,5079769.0
2020-04-23,DELL,39.21,39.78,38.7,38.91,1671596.0
2020-04-24,DELL,39.33,39.975,38.5,39.69,1973062.0
2020-04-27,DELL,40.16,40.614,40.01,40.19,1570648.0
2020-04-28,DELL,40.99,41.36,40.2,40.84,2929422.0
2020-04-29,DELL,41.54,43.67,41.4,43.39,3453885.0
2020-04-30,DELL,43.0,43.426,42.336,42.69,1894091.0
2020-05-01,DELL,41.59,41.99,39.78,40.0,1955772.0
2020-05-04,DELL,39.67,40.57,38.79,40.55,1408451.0
2020-05-05,DELL,41.0,41.659,40.15,40.19,1213120.0
2020-05-06,DELL,40.6,41.13,40.21,40.49,1217050.0
2020-05-07,DELL,41.06,41.83,40.86,41.75,1325577.0
2020-05-08,DELL,42.4,43.8,42.26,43.65,2191798.0
2020-05-11,DELL,43.26,43.77,42.53,43.37,1902413.0
