Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,DLR,128.79,130.72,124.62,127.31,9869727.0
2020-03-13,DLR,133.75,143.61,127.63,143.34,6945131.0
2020-03-16,DLR,132.42,139.62,127.51,128.31,7308168.0
2020-03-17,DLR,131.58,139.75,128.94,138.24,8563498.0
2020-03-18,DLR,131.81,139.67,128.33,137.34,8565003.0
2020-03-19,DLR,137.2,137.35,121.39,125.27,4708150.0
2020-03-20,DLR,125.95,129.63,119.01,121.2,5824760.0
2020-03-23,DLR,119.09,120.48,105.0,107.9,4193809.0
2020-03-24,DLR,111.55,118.21,107.6301,116.72,5059058.0
2020-03-25,DLR,116.98,128.99,116.98,121.43,4929119.0
2020-03-26,DLR,121.81,134.86,121.2101,134.13,4459319.0
2020-03-27,DLR,130.33,135.94,129.64,132.85,4573289.0
2020-03-30,DLR,134.58,140.98,134.3101,139.81,4178244.0
2020-03-31,DLR,139.17,139.53,130.0182,138.91,4465310.0
2020-04-01,DLR,132.85,135.16,127.12,134.48,2798769.0
2020-04-02,DLR,132.3,136.28,131.06,135.01,3022108.0
2020-04-03,DLR,133.96,137.57,132.19,136.49,3073380.0
2020-04-06,DLR,141.15,142.4,138.96,139.5,2730963.0
2020-04-07,DLR,142.85,144.06,139.23,140.5,2658916.0
2020-04-08,DLR,140.75,147.11,139.03,145.81,2346560.0
2020-04-09,DLR,146.97,152.59,146.625,148.29,3258824.0
2020-04-13,DLR,146.85,146.98,140.19,140.71,2581877.0
2020-04-14,DLR,143.96,147.82,143.53,144.88,4088035.0
2020-04-15,DLR,142.65,144.09,138.85,140.9,5206910.0
2020-04-16,DLR,141.47,142.88,139.3,141.95,4345963.0
2020-04-17,DLR,145.0,149.74,142.6859,149.2,2043512.0
2020-04-20,DLR,147.48,148.0,143.19,143.72,2585585.0
2020-04-21,DLR,142.1,146.16,140.89,144.7,2883758.0
2020-04-22,DLR,146.96,150.51,146.505,149.18,2389864.0
2020-04-23,DLR,148.97,151.65,148.24,148.53,2227919.0
2020-04-24,DLR,149.08,150.42,147.6,150.03,1739162.0
2020-04-27,DLR,151.93,155.06,149.85,154.23,1936779.0
2020-04-28,DLR,156.41,158.36,153.54,154.15,1800829.0
2020-04-29,DLR,155.83,156.6,148.27,148.61,2090322.0
2020-04-30,DLR,146.49,150.605,146.0166,149.49,4018576.0
2020-05-01,DLR,146.47,149.21,145.5,145.92,1527216.0
2020-05-04,DLR,146.44,147.12,143.19,145.77,1515682.0
2020-05-05,DLR,145.7,149.11,144.495,148.0,1113697.0
2020-05-06,DLR,149.19,151.72,148.0,149.7,1205629.0
2020-05-07,DLR,150.29,151.0,147.2,149.03,1955112.0
2020-05-08,DLR,153.18,153.18,143.0,145.06,2223425.0
2020-05-11,DLR,143.63,146.22,143.34,144.36,2278908.0
2020-05-12,DLR,143.82,144.2,132.55,132.93,4229157.0
2020-05-13,DLR,132.7,136.8225,131.25,133.42,2757091.0
2020-05-14,DLR,132.0,134.44,130.1,132.72,2770093.0
2020-05-15,DLR,132.41,132.67,129.2,130.77,3660100.0
2020-05-18,DLR,134.39,135.98,130.12,131.43,3766199.0
2020-05-19,DLR,131.34,132.6,130.25,131.41,2291164.0
2020-05-20,DLR,133.02,133.3699,129.81,132.75,2183244.0
2020-05-21,DLR,131.84,132.01,129.82,130.75,2209580.0
