Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,DXCM,218.51,255.0,215.0,247.64,1819049.0
2020-03-13,DXCM,256.32,259.0,220.0,244.02,1669028.0
2020-03-16,DXCM,215.0,218.9,202.0,202.3,2070814.0
2020-03-17,DXCM,205.25,207.21,182.07,198.74,2623534.0
2020-03-18,DXCM,189.53,225.0,187.0,191.16,1773407.0
2020-03-19,DXCM,191.22,219.65,191.16,206.24,1476293.0
2020-03-20,DXCM,208.31,223.33,203.32,209.5,1556920.0
2020-03-23,DXCM,209.55,221.49,196.565,210.3,1424484.0
2020-03-24,DXCM,216.77,239.206,216.0,236.21,1416870.0
2020-03-25,DXCM,239.67,254.0,237.01,239.33,1102987.0
2020-03-26,DXCM,243.95,253.5,239.2103,250.21,1765127.0
2020-03-27,DXCM,246.03,270.0,240.61,262.96,1593982.0
2020-03-30,DXCM,265.31,280.9695,255.07,278.0,1322550.0
2020-03-31,DXCM,272.63,277.0779,263.03,269.27,2449016.0
2020-04-01,DXCM,255.51,263.94,252.1799,254.81,1141273.0
2020-04-02,DXCM,250.0,270.97,250.0,266.38,1201974.0
2020-04-03,DXCM,263.62,272.4775,257.07,260.75,1177618.0
2020-04-06,DXCM,272.37,272.37,261.0,269.31,2640320.0
2020-04-07,DXCM,272.97,280.0,250.01,250.71,1428718.0
2020-04-08,DXCM,255.38,260.39,250.26,258.01,1189266.0
2020-04-09,DXCM,259.95,276.615,258.6,275.27,1204521.0
2020-04-13,DXCM,279.88,285.79,270.11,273.26,1306721.0
2020-04-14,DXCM,276.79,285.25,274.0549,280.67,1419601.0
2020-04-15,DXCM,278.9,300.0,277.63,291.69,1330006.0
2020-04-16,DXCM,295.0,309.09,295.0,306.275,1630831.0
2020-04-17,DXCM,310.87,329.59,303.33,323.4,5074869.0
2020-04-20,DXCM,322.87,328.53,316.0,323.27,1336075.0
2020-04-21,DXCM,320.41,322.92,307.0,308.39,1494361.0
2020-04-22,DXCM,311.49,323.55,311.34,320.63,758610.0
2020-04-23,DXCM,318.57,328.9,317.14,322.04,902853.0
2020-04-24,DXCM,327.43,334.27,324.4882,332.44,1129551.0
2020-04-27,DXCM,343.54,344.55,330.0,335.05,1680126.0
2020-04-28,DXCM,335.01,338.0,312.15,313.53,1887400.0
2020-04-29,DXCM,340.0,346.21,328.3604,345.47,2235439.0
2020-04-30,DXCM,343.0,350.97,335.0,335.17,1603471.0
2020-05-01,DXCM,331.0,343.27,328.3958,341.52,1060781.0
2020-05-04,DXCM,343.06,352.84,339.43,352.51,1114143.0
2020-05-05,DXCM,359.95,374.41,351.0923,364.28,1468303.0
2020-05-06,DXCM,371.24,381.3775,365.5215,366.52,1359763.0
2020-05-07,DXCM,391.83,408.49,389.01,404.36,3953756.0
2020-05-08,DXCM,407.1,414.63,398.2171,405.5,3744895.0
2020-05-11,DXCM,404.05,428.0,403.6,421.36,31517121.0
2020-05-12,DXCM,420.3,421.77,410.1,410.8,3156564.0
2020-05-13,DXCM,412.93,414.53,402.0,407.2,2083301.0
2020-05-14,DXCM,401.55,408.71,396.72,403.05,1602988.0
2020-05-15,DXCM,399.05,418.98,396.85,417.73,1296946.0
2020-05-18,DXCM,425.02,428.59,413.235,414.44,1186999.0
2020-05-19,DXCM,411.92,418.085,399.69,404.57,1508361.0
2020-05-20,DXCM,409.79,410.985,395.1349,399.96,1214097.0
2020-05-21,DXCM,399.31,403.21,390.85,399.37,864683.0
2020-05-22,DXCM,396.74,405.54,387.12,405.25,769133.0
2020-05-26,DXCM,408.49,411.75,380.08,381.79,1723826.0
2020-05-27,DXCM,380.2,380.2,336.26,359.63,3025152.0
2020-05-28,DXCM,360.62,378.69,359.635,361.83,1638104.0
2020-05-29,DXCM,367.48,379.09,364.0,378.31,1549487.0
2020-06-01,DXCM,382.5,383.8775,372.12,378.7,851726.0
2020-06-02,DXCM,376.01,380.75,368.41,375.75,826605.0
2020-06-03,DXCM,374.0,376.74,360.03,365.86,1216297.0
2020-06-04,DXCM,363.66,364.83,340.34,344.85,2156915.0
2020-06-05,DXCM,340.05,367.415,336.02,364.49,2249859.0
2020-06-08,DXCM,362.25,370.24,352.27,368.62,1400145.0
2020-06-09,DXCM,373.0,389.325,373.0,380.5,1713675.0
2020-06-10,DXCM,385.22,387.71,371.86,385.17,1134958.0
2020-06-11,DXCM,378.0,381.57,360.918,362.71,1396951.0
2020-06-12,DXCM,368.5989,385.89,362.97,370.23,1386147.0
2020-06-15,DXCM,363.0,399.54,358.68,398.75,1762832.0
2020-06-16,DXCM,402.0,403.37,386.2801,393.0,1298015.0
2020-06-17,DXCM,398.52,407.34,395.6711,403.18,1202641.0
2020-06-18,DXCM,405.11,407.41,399.12,401.91,798791.0
2020-06-19,DXCM,405.15,412.25,403.12,409.36,2071418.0
2020-06-22,DXCM,415.03,415.49,404.78,406.33,914395.0
2020-06-23,DXCM,407.37,414.57,405.0,406.9,797277.0
2020-06-24,DXCM,405.76,411.72,387.02,394.3,1087643.0
2020-06-25,DXCM,395.21,398.69,380.0678,398.09,1082337.0
2020-06-26,DXCM,399.94,404.56,375.24,383.06,4326087.0
2020-06-29,DXCM,387.69,398.55,376.88,398.2,1078549.0
2020-06-30,DXCM,397.8,408.74,391.825,405.4,1287012.0
2020-07-01,DXCM,408.96,408.96,395.3,400.21,1047592.0
2020-07-02,DXCM,402.22,415.475,398.06,407.35,1148587.0
2020-07-06,DXCM,412.2,432.8962,408.81,423.18,1319921.0
2020-07-07,DXCM,427.4,439.49,424.18,425.86,1089771.0
2020-07-08,DXCM,429.26,435.4,426.09,435.11,946555.0
2020-07-09,DXCM,435.8,445.52,428.5,440.5,1147988.0
2020-07-10,DXCM,439.33,442.73,433.0,439.64,1145605.0
2020-07-13,DXCM,441.43,446.5,402.45,404.23,1623595.0
2020-07-14,DXCM,396.56,411.32,381.12,410.34,1593976.0
2020-07-15,DXCM,415.0,419.99,407.23,417.94,851174.0
2020-07-16,DXCM,413.13,416.22,400.71,413.22,595267.0
2020-07-17,DXCM,416.66,429.75,413.25,424.43,881516.0
2020-07-20,DXCM,430.76,437.0,427.39,432.37,774280.0
2020-07-21,DXCM,432.37,435.0,420.3801,429.02,651043.0
2020-07-22,DXCM,430.82,434.74,417.68,426.15,485238.0
2020-07-23,DXCM,427.26,437.67,416.04,420.01,790054.0
2020-07-24,DXCM,420.46,424.8771,402.65,421.75,676423.0
2020-07-27,DXCM,428.16,428.16,411.58,423.43,873280.0
2020-07-28,DXCM,423.17,431.535,416.6,417.79,1179555.0
2020-07-29,DXCM,429.83,444.72,411.68,427.08,1946310.0
2020-07-30,DXCM,423.35,432.23,416.24,431.36,891412.0
2020-07-31,DXCM,434.78,442.1266,425.01,435.54,1003409.0
2020-08-03,DXCM,440.62,449.4477,432.39,443.67,920800.0
2020-08-04,DXCM,442.095,442.82,434.635,441.89,687146.0
2020-08-05,DXCM,441.75,455.0,436.605,451.79,787517.0
2020-08-06,DXCM,452.41,452.89,429.56,439.0,883364.0
2020-08-07,DXCM,440.88,456.23,435.02,440.7,985876.0
2020-08-10,DXCM,439.31,439.83,406.2139,421.22,1146393.0
2020-08-11,DXCM,415.01,419.21,403.15,411.15,907817.0
2020-08-12,DXCM,412.2,430.42,412.2,427.89,669537.0
2020-08-13,DXCM,432.8,439.9882,430.74,435.28,650644.0
2020-08-14,DXCM,436.5,440.45,423.1034,425.16,506376.0
2020-08-17,DXCM,428.97,441.84,427.4256,440.92,571440.0
2020-08-18,DXCM,445.1592,446.311,434.0829,437.22,577476.0
2020-08-19,DXCM,438.72,441.28,429.04,432.88,552950.0
2020-08-20,DXCM,431.91,441.06,431.5,431.88,538291.0
2020-08-21,DXCM,432.88,434.805,424.0,426.9,658644.0
2020-08-24,DXCM,427.7369,428.99,414.5001,422.79,574214.0
2020-08-25,DXCM,411.41,430.7,411.0923,430.07,568804.0
2020-08-26,DXCM,425.64,433.52,423.03,425.69,618118.0
2020-08-27,DXCM,425.27,431.22,413.02,427.75,701392.0
2020-08-28,DXCM,428.32,431.02,417.8,418.95,541416.0
2020-08-31,DXCM,418.04,427.83,412.6009,425.41,786264.0
2020-09-01,DXCM,423.02,431.29,419.9055,422.19,703400.0
2020-09-02,DXCM,423.91,449.98,413.02,447.71,1638690.0
2020-09-03,DXCM,436.0,446.46,409.0,412.95,1625683.0
2020-09-04,DXCM,412.64,414.82,377.35,398.24,1324508.0
2020-09-08,DXCM,390.89,396.1795,383.18,389.19,801097.0
2020-09-09,DXCM,398.45,403.86,390.24,401.68,834202.0
2020-09-10,DXCM,405.33,405.67,388.55,390.02,844866.0
2020-09-11,DXCM,396.05,399.405,377.81,383.46,647110.0
2020-09-14,DXCM,386.21,399.73,386.1,393.61,702862.0
2020-09-15,DXCM,398.58,400.485,391.9833,397.97,486184.0
2020-09-16,DXCM,399.83,403.97,391.52,393.92,722379.0
2020-09-17,DXCM,382.62,389.6,375.62,386.21,1301212.0
2020-09-18,DXCM,390.82,401.06,381.01,389.31,2283635.0
2020-09-21,DXCM,385.0,393.21,381.655,391.69,740949.0
