Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,D,74.5,76.99,69.8,71.51,7544250.0
2020-03-13,D,76.0,78.36,71.32,78.29,8421457.0
2020-03-16,D,71.28,77.0,67.88,68.65,7158218.0
2020-03-17,D,70.19,82.7,70.19,80.48,8781408.0
2020-03-18,D,75.18,80.65,73.48,80.26,7252356.0
2020-03-19,D,79.99,80.02,71.07,71.85,8599342.0
2020-03-20,D,72.02,72.04,66.35,67.22,12211816.0
2020-03-23,D,67.11,67.11,57.79,59.39,8501102.0
2020-03-24,D,62.82,67.41,62.0201,65.67,7072854.0
2020-03-25,D,64.83,70.81,64.03,67.34,5724784.0
2020-03-26,D,67.31,73.5,67.01,72.44,5328535.0
2020-03-27,D,70.1,75.92,69.4,73.07,4772815.0
2020-03-30,D,74.29,78.02,74.25,76.81,6402079.0
2020-03-31,D,75.66,76.22,71.9,72.19,5321309.0
2020-04-01,D,69.04,70.82,67.84,69.93,4907275.0
2020-04-02,D,68.85,72.58,68.55,71.06,3838605.0
2020-04-03,D,70.46,71.44,68.62,69.55,3781252.0
2020-04-06,D,71.9,75.1134,71.56,74.11,5647286.0
2020-04-07,D,75.63,76.24,73.1501,73.44,4804445.0
2020-04-08,D,74.08,78.9,73.58,78.22,4406938.0
2020-04-09,D,78.63,82.64,78.63,81.59,5866655.0
2020-04-13,D,80.6,81.16,78.42,79.53,3052291.0
2020-04-14,D,81.6,82.17,80.34,82.02,3851567.0
2020-04-15,D,80.79,80.98,79.4,79.79,3393562.0
2020-04-16,D,80.47,80.88,78.03,78.07,4075850.0
2020-04-17,D,79.76,81.95,78.89,81.51,3266580.0
2020-04-20,D,80.89,81.305,78.91,79.11,3806978.0
2020-04-21,D,77.9,78.32,76.1,76.61,3359413.0
2020-04-22,D,78.05,79.5,77.62,78.74,3278000.0
2020-04-23,D,78.5,78.8241,76.54,76.91,2860655.0
2020-04-24,D,77.69,78.32,76.57,77.92,2809836.0
2020-04-27,D,78.23,79.08,78.0,78.52,2602213.0
2020-04-28,D,79.66,80.78,78.87,79.27,2726454.0
2020-04-29,D,80.57,80.57,77.985,78.67,3134249.0
2020-04-30,D,78.0,78.16,76.45,77.13,3702083.0
2020-05-01,D,76.29,76.6187,75.17,75.61,3020547.0
2020-05-04,D,75.57,76.17,74.55,75.8,2478110.0
2020-05-05,D,76.49,78.98,76.4,77.94,4165018.0
2020-05-06,D,77.94,78.74,77.45,77.73,5618890.0
2020-05-07,D,78.55,78.96,77.66,78.1,4900759.0
2020-05-08,D,78.72,78.9,77.57,78.4,3585351.0
2020-05-11,D,77.68,79.69,77.33,79.24,3083053.0
2020-05-12,D,79.29,80.12,78.86,78.95,4998963.0
2020-05-13,D,78.49,79.14,77.41,79.01,4564380.0
2020-05-14,D,78.54,80.38,76.735,79.63,4309866.0
2020-05-15,D,79.25,79.48,77.41,78.22,10750307.0
