Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,ELV,262.03,278.69,253.46,256.21,3357036.0
2020-03-13,ELV,267.5,271.36,251.05,270.34,3291275.0
2020-03-16,ELV,226.51,247.981,216.27,224.04,3004722.0
2020-03-17,ELV,229.76,246.71,224.92,238.32,3699311.0
2020-03-18,ELV,224.45,230.0,186.61,206.96,3850274.0
2020-03-19,ELV,206.22,212.62,193.475,200.87,3506453.0
2020-03-20,ELV,204.29,217.94,185.69,191.59,5313715.0
2020-03-23,ELV,188.65,189.575,171.03,174.68,3615285.0
2020-03-24,ELV,183.98,201.0,181.115,196.84,3338437.0
2020-03-25,ELV,190.09,226.84,187.04,216.37,3758134.0
2020-03-26,ELV,221.28,238.79,215.0,235.67,2990827.0
2020-03-27,ELV,217.61,228.5,217.16,222.96,2745539.0
2020-03-30,ELV,224.66,233.88,220.16,230.58,2223523.0
2020-03-31,ELV,235.28,235.83,223.895,227.04,3309087.0
2020-04-01,ELV,217.01,221.55,210.41,214.3,2359568.0
2020-04-02,ELV,210.53,219.4999,203.99,211.39,2878799.0
2020-04-03,ELV,208.89,210.93,199.165,203.3,1936524.0
2020-04-06,ELV,214.56,227.52,212.18,225.72,3034305.0
2020-04-07,ELV,235.7,236.567,220.94,224.05,2591116.0
2020-04-08,ELV,227.15,248.83,226.41,247.02,2613236.0
2020-04-09,ELV,240.94,248.055,239.93,242.46,2377106.0
2020-04-13,ELV,240.78,243.49,237.65,240.53,1157676.0
2020-04-14,ELV,245.76,254.19,245.24,252.01,2276235.0
2020-04-15,ELV,249.15,254.35,245.11,250.47,2614884.0
2020-04-16,ELV,254.51,273.39,250.62,271.84,2911395.0
2020-04-17,ELV,279.01,279.905,263.21,267.82,2276176.0
2020-04-20,ELV,262.48,273.21,261.19,263.2,1743956.0
2020-04-21,ELV,255.0,259.9,249.3,249.37,2043825.0
2020-04-22,ELV,255.09,265.5,254.8,262.96,1294341.0
2020-04-23,ELV,264.71,266.24,258.44,261.55,1685683.0
2020-04-24,ELV,265.48,267.23,260.57,264.12,1493413.0
2020-04-27,ELV,267.56,271.74,263.01,270.06,1928522.0
2020-04-28,ELV,274.22,276.8,262.002,268.22,1886496.0
2020-04-29,ELV,280.0,282.35,264.0,280.61,2195990.0
2020-04-30,ELV,278.74,285.98,276.2,280.73,2443554.0
2020-05-01,ELV,275.34,277.0,264.65,269.57,1373490.0
2020-05-04,ELV,268.0,273.51,265.05,271.0,1398662.0
2020-05-05,ELV,274.5,278.82,269.81,275.07,1276620.0
2020-05-06,ELV,276.27,277.86,270.0,270.62,975629.0
2020-05-07,ELV,273.87,274.2,265.01,265.73,1095613.0
2020-05-08,ELV,270.5,274.76,268.81,274.33,1091537.0
2020-05-11,ELV,270.94,276.72,270.91,272.37,1418922.0
2020-05-12,ELV,275.88,280.78,272.96,272.96,1382560.0
2020-05-13,ELV,271.01,272.9,262.235,267.8,1882184.0
2020-05-14,ELV,265.17,274.26,263.29,273.28,1419661.0
2020-05-15,ELV,271.06,279.83,270.58,278.09,1291647.0
2020-05-18,ELV,284.97,287.77,278.9,279.96,1564501.0
2020-05-19,ELV,280.0,286.0,277.99,281.1,1095493.0
2020-05-20,ELV,285.0,285.0,278.16,280.0,1211464.0
2020-05-21,ELV,278.95,283.14,277.07,278.68,1266463.0
2020-05-22,ELV,279.1,279.74,275.58,277.11,1019824.0
2020-05-26,ELV,283.77,285.99,280.56,283.42,1354625.0
2020-05-27,ELV,286.25,287.64,277.565,287.25,1454737.0
2020-05-28,ELV,290.0,296.685,288.6112,291.37,1419336.0
2020-05-29,ELV,291.89,294.88,286.76,294.11,2494878.0
2020-06-01,ELV,293.23,293.99,285.22,290.03,1644784.0
2020-06-02,ELV,291.18,296.405,287.57,294.2,1558532.0
2020-06-03,ELV,296.0,299.32,287.91,289.27,1515161.0
2020-06-04,ELV,286.84,288.475,279.54,282.09,1655701.0
2020-06-05,ELV,283.35,290.52,282.12,287.89,1853701.0
2020-06-08,ELV,286.35,301.66,286.1,300.59,1999440.0
2020-06-09,ELV,300.0,300.0,290.0,291.01,1500191.0
2020-06-10,ELV,293.0,293.14,286.53,288.54,1267741.0
2020-06-11,ELV,283.9,284.17,262.27,264.54,2264097.0
2020-06-12,ELV,272.56,274.27,259.3,265.74,1744510.0
2020-06-15,ELV,257.83,264.76,250.875,262.33,2424205.0
2020-06-16,ELV,273.0,273.177,264.54,267.43,1574310.0
2020-06-17,ELV,268.66,269.53,264.1745,265.72,1402137.0
2020-06-18,ELV,263.92,265.91,260.19,265.53,1206507.0
2020-06-19,ELV,270.27,272.65,266.33,266.43,2126064.0
2020-06-22,ELV,265.0,266.53,261.58,265.21,1224611.0
2020-06-23,ELV,268.23,270.605,265.15,268.99,981202.0
2020-06-24,ELV,265.08,266.0,254.851,257.31,1660770.0
2020-06-25,ELV,256.71,261.36,253.27,261.0,1549664.0
2020-06-26,ELV,259.85,264.65,254.43,255.65,2493580.0
2020-06-29,ELV,258.15,262.29,257.36,259.27,1495288.0
2020-06-30,ELV,259.75,264.6,256.74,262.98,1441892.0
2020-07-01,ELV,267.19,270.1,264.53,268.68,1216140.0
2020-07-02,ELV,270.95,273.93,266.97,267.0,1099963.0
2020-07-06,ELV,271.37,271.63,267.11,269.0,953566.0
2020-07-07,ELV,266.52,268.88,264.42,264.89,972299.0
2020-07-08,ELV,266.27,266.93,260.43,262.54,1276151.0
2020-07-09,ELV,262.22,264.04,254.55,255.0,1383133.0
2020-07-10,ELV,256.93,257.0,253.75,255.0,1066444.0
2020-07-13,ELV,256.39,262.4,256.01,257.58,1445773.0
2020-07-14,ELV,256.44,263.88,256.09,263.47,1878342.0
2020-07-15,ELV,263.25,268.385,259.9,267.28,1658541.0
2020-07-16,ELV,267.28,269.22,263.68,264.09,1459386.0
2020-07-17,ELV,266.12,268.33,264.89,266.37,1230845.0
2020-07-20,ELV,266.12,267.37,258.84,259.0,1467333.0
2020-07-21,ELV,260.53,269.05,259.84,265.71,1665638.0
2020-07-22,ELV,266.28,268.25,261.054,268.09,1111235.0
2020-07-23,ELV,267.85,270.89,266.37,269.93,1092408.0
2020-07-24,ELV,271.0,273.71,269.57,270.49,1179342.0
2020-07-27,ELV,269.0,269.79,263.3,263.99,1848098.0
2020-07-28,ELV,263.35,267.685,263.27,265.23,1321997.0
2020-07-29,ELV,267.51,285.31,267.32,281.56,2132203.0
2020-07-30,ELV,276.42,279.67,272.345,277.19,1166361.0
2020-07-31,ELV,277.05,277.45,270.4,273.8,1201997.0
2020-08-03,ELV,275.22,277.385,269.36,270.75,1103034.0
2020-08-04,ELV,269.38,272.86,267.72,270.89,1095586.0
2020-08-05,ELV,272.85,276.01,270.21,275.65,1394055.0
2020-08-06,ELV,274.92,277.635,269.08,271.48,1082892.0
2020-08-07,ELV,271.23,278.18,271.23,276.66,998569.0
2020-08-10,ELV,277.09,280.15,276.24,278.85,886696.0
2020-08-11,ELV,283.07,288.0,279.09,280.33,1544523.0
2020-08-12,ELV,282.64,286.18,280.45,283.18,908899.0
2020-08-13,ELV,281.78,282.37,278.37,282.33,758836.0
2020-08-14,ELV,280.45,285.27,279.11,283.23,651925.0
2020-08-17,ELV,283.51,285.84,282.18,283.11,982560.0
2020-08-18,ELV,284.04,285.65,281.85,282.45,1113465.0
2020-08-19,ELV,282.78,286.298,282.74,283.4,717155.0
2020-08-20,ELV,281.83,283.745,280.55,281.75,967354.0
2020-08-21,ELV,282.5,286.27,281.75,284.63,1087134.0
2020-08-24,ELV,286.77,287.0,278.39,279.16,812021.0
2020-08-25,ELV,280.75,280.94,275.16,276.47,946360.0
2020-08-26,ELV,276.7,276.715,266.8,270.21,1477105.0
2020-08-27,ELV,271.41,278.64,269.28,274.59,1572478.0
2020-08-28,ELV,274.68,279.005,271.855,277.28,733199.0
2020-08-31,ELV,277.07,284.345,276.19,281.52,1852300.0
2020-09-01,ELV,278.02,280.64,272.83,273.08,1823685.0
2020-09-02,ELV,274.64,281.18,273.54,279.97,1518751.0
2020-09-03,ELV,281.84,284.37,274.19,277.0,1488795.0
2020-09-04,ELV,278.23,279.28,270.5,276.22,1010977.0
2020-09-08,ELV,275.0,275.27,266.32,267.21,1294762.0
2020-09-09,ELV,267.93,269.35,264.56,267.42,1108039.0
2020-09-10,ELV,268.08,270.03,260.59,260.84,1175033.0
2020-09-11,ELV,262.68,265.5,254.48,258.03,1451462.0
2020-09-14,ELV,258.99,269.2,258.99,265.6,1572095.0
2020-09-15,ELV,266.12,267.345,258.865,260.15,1380800.0
2020-09-16,ELV,261.82,265.73,258.52,263.62,1121594.0
2020-09-17,ELV,261.47,264.57,259.41,263.0,941962.0
2020-09-18,ELV,262.05,266.32,260.48,264.19,2739790.0
2020-09-21,ELV,257.24,257.88,250.4,257.71,1712774.0
2020-09-22,ELV,256.82,258.62,246.3779,247.44,2083085.0
2020-09-23,ELV,248.2,251.01,245.04,245.73,1756206.0
2020-09-24,ELV,245.04,249.27,244.1,248.78,1410502.0
2020-09-25,ELV,247.49,256.1,246.2,255.25,1532949.0
2020-09-28,ELV,258.83,261.8,255.78,257.06,1072732.0
2020-09-29,ELV,258.35,261.75,256.56,259.79,919018.0
2020-09-30,ELV,259.52,271.155,258.75,268.59,1587450.0
2020-10-01,ELV,268.59,270.765,266.11,270.17,1005331.0
2020-10-02,ELV,265.79,280.48,264.44,275.01,1673495.0
2020-10-05,ELV,276.98,285.0,276.68,284.79,1048633.0
2020-10-06,ELV,286.15,290.64,282.5,283.64,1183584.0
2020-10-07,ELV,285.23,293.935,285.23,293.12,1095638.0
2020-10-08,ELV,294.5,294.5,288.74,293.29,1129959.0
2020-10-09,ELV,295.0,298.45,293.83,294.41,896277.0
2020-10-12,ELV,295.43,300.915,294.43,298.57,1150530.0
2020-10-13,ELV,297.06,299.23,295.015,297.44,940974.0
2020-10-14,ELV,295.26,298.13,289.61,292.34,1076721.0
2020-10-15,ELV,287.48,296.91,287.166,294.9,862132.0
2020-10-16,ELV,295.1,300.3745,292.84,296.87,831491.0
2020-10-19,ELV,296.0,298.39,290.2098,292.21,1115592.0
2020-10-20,ELV,293.18,296.46,290.95,291.19,899969.0
2020-10-21,ELV,290.5,297.29,290.34,296.16,991154.0
2020-10-22,ELV,297.02,306.295,296.46,305.17,1264320.0
2020-10-23,ELV,306.72,311.75,305.32,310.76,1563316.0
2020-10-26,ELV,307.61,308.25,297.71,299.75,1297615.0
2020-10-27,ELV,297.78,300.5,293.01,298.88,1634972.0
2020-10-28,ELV,290.0,297.69,285.23,285.8,1707754.0
2020-10-29,ELV,284.47,285.35,272.34,273.26,1898489.0
2020-10-30,ELV,274.36,275.03,269.01,272.8,1728098.0
2020-11-02,ELV,278.19,279.68,270.44,278.25,2486361.0
2020-11-03,ELV,282.67,295.59,281.905,293.46,1867344.0
2020-11-04,ELV,312.8,332.4,311.75,327.86,4369700.0
2020-11-05,ELV,328.72,334.1,317.745,319.6,2445259.0
2020-11-06,ELV,316.9485,318.16,312.24,313.32,1764486.0
2020-11-09,ELV,334.98,337.68,321.83,322.41,1745858.0
2020-11-10,ELV,323.05,330.26,314.43,328.56,2068195.0
2020-11-11,ELV,330.19,332.75,323.12,323.37,1701343.0
2020-11-12,ELV,322.82,331.265,320.99,329.92,1635363.0
2020-11-13,ELV,329.94,334.695,327.74,332.96,1348161.0
2020-11-16,ELV,335.92,338.2,330.0435,333.15,1505960.0
2020-11-17,ELV,328.73,332.8,326.13,329.84,1190306.0
2020-11-18,ELV,331.16,333.49,322.13,322.38,1487011.0
2020-11-19,ELV,320.62,320.8,311.67,311.85,1821307.0
2020-11-20,ELV,311.43,312.115,304.67,305.62,2506259.0
2020-11-23,ELV,307.7,313.74,307.7,310.66,1266235.0
2020-11-24,ELV,310.57,317.88,310.0,313.94,1446803.0
2020-11-25,ELV,315.07,315.07,306.66,309.05,1270938.0
2020-11-27,ELV,308.69,313.54,308.24,312.8,577823.0
2020-11-30,ELV,311.79,315.3,309.34,311.52,1967995.0
2020-12-01,ELV,317.0,326.85,313.31,313.9,1473735.0
2020-12-02,ELV,313.12,321.64,313.07,318.45,1321997.0
2020-12-03,ELV,318.17,325.53,318.1,323.03,1376795.0
2020-12-04,ELV,321.61,326.9,321.08,323.27,1005403.0
2020-12-07,ELV,321.52,324.2,317.03,319.05,791080.0
2020-12-08,ELV,316.66,322.99,315.9,322.69,1826289.0
2020-12-09,ELV,323.0,324.07,316.25,318.44,1159086.0
2020-12-10,ELV,317.66,319.05,313.48,313.75,1327157.0
2020-12-11,ELV,312.16,315.91,310.16,311.4,1457220.0
2020-12-14,ELV,314.14,316.22,309.595,310.1,1015512.0
2020-12-15,ELV,312.99,314.66,310.52,313.22,1802349.0
2020-12-16,ELV,312.46,312.89,306.84,310.24,1159370.0
2020-12-17,ELV,309.78,315.39,309.78,314.08,1265996.0
2020-12-18,ELV,314.06,315.32,306.4,308.64,4180173.0
2020-12-21,ELV,303.34,306.64,298.6,306.38,1293445.0
