Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,EMN,43.19,44.12,36.55,42.41,4384613.0
2020-03-13,EMN,46.37,46.39,41.63,46.31,2193300.0
2020-03-16,EMN,38.29,43.93,38.0,40.01,2249837.0
2020-03-17,EMN,41.16,42.07,39.0001,40.77,2540504.0
2020-03-18,EMN,37.39,38.85,34.44,38.62,2198665.0
2020-03-19,EMN,37.5,43.16,35.93,41.25,1619352.0
2020-03-20,EMN,42.11,43.0,39.1,40.81,2438256.0
2020-03-23,EMN,39.98,41.975,38.12,38.39,1851101.0
2020-03-24,EMN,41.87,42.87,40.01,41.58,1645417.0
2020-03-25,EMN,43.1,48.59,42.5,46.58,1751709.0
2020-03-26,EMN,47.0,50.13,46.26,47.95,1521970.0
2020-03-27,EMN,46.14,47.71,45.01,46.47,1108999.0
2020-03-30,EMN,45.26,48.04,44.5,47.61,1442766.0
2020-03-31,EMN,47.44,48.23,46.09,46.58,2436641.0
2020-04-01,EMN,44.18,46.03,43.77,45.51,2103230.0
2020-04-02,EMN,45.88,48.13,44.81,45.38,2203971.0
2020-04-03,EMN,45.03,46.48,44.98,45.09,1644644.0
2020-04-06,EMN,47.68,50.57,47.29,50.18,1914077.0
2020-04-07,EMN,52.59,54.1369,52.2027,52.87,2908873.0
2020-04-08,EMN,53.02,57.0,52.77,56.54,1937690.0
2020-04-09,EMN,58.62,61.1,57.48,59.71,2161101.0
2020-04-13,EMN,59.52,59.64,56.87,57.93,2714904.0
2020-04-14,EMN,58.79,59.14,55.47,56.38,1952275.0
2020-04-15,EMN,53.52,54.18,51.68,52.0,2006968.0
2020-04-16,EMN,51.96,52.44,50.37,52.23,1537395.0
2020-04-17,EMN,53.85,55.635,53.85,55.1,1684200.0
2020-04-20,EMN,53.89,55.32,52.95,53.61,1153686.0
2020-04-21,EMN,52.19,53.72,51.549,52.72,1028184.0
2020-04-22,EMN,54.13,54.3994,52.83,53.87,625717.0
2020-04-23,EMN,54.68,56.84,54.61,56.0,963323.0
2020-04-24,EMN,56.76,57.56,55.72,57.27,1290628.0
2020-04-27,EMN,57.43,61.0,57.415,59.35,2467224.0
2020-04-28,EMN,60.55,61.58,59.15,60.65,1688165.0
2020-04-29,EMN,62.4,63.82,61.78,63.47,1700266.0
2020-04-30,EMN,62.16,62.22,60.44,60.51,2035373.0
2020-05-01,EMN,62.61,64.195,59.81,60.02,2214293.0
2020-05-04,EMN,58.8,60.7,58.17,60.65,2573435.0
2020-05-05,EMN,61.2,62.11,59.98,60.11,1182057.0
2020-05-06,EMN,60.77,61.2,59.275,59.53,1199296.0
2020-05-07,EMN,60.5,61.59,60.12,60.47,1319694.0
2020-05-08,EMN,61.65,62.715,61.33,62.53,857743.0
2020-05-11,EMN,61.4,62.03,60.5,61.73,1078122.0
2020-05-12,EMN,62.14,62.85,61.2819,61.51,1724432.0
2020-05-13,EMN,60.97,61.01,59.25,59.8,1964445.0
