Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,EOG,35.19,35.945,31.66,32.5,13442114.0
2020-03-13,EOG,35.25,35.82,30.25,34.8,15240790.0
2020-03-16,EOG,29.99,36.085,28.11,31.1,11106504.0
2020-03-17,EOG,31.39,33.24,29.62,30.89,11228672.0
2020-03-18,EOG,28.19,30.145,27.0001,29.76,8673059.0
2020-03-19,EOG,29.97,34.55,29.76,33.22,10707789.0
2020-03-20,EOG,34.69,37.24,33.5201,34.89,14244868.0
2020-03-23,EOG,34.6,36.53,33.11,34.54,9227680.0
2020-03-24,EOG,36.44,40.0,35.72,39.8,11465999.0
2020-03-25,EOG,39.09,41.57,36.7,39.69,10394689.0
2020-03-26,EOG,36.12,40.2,36.12,39.53,9940848.0
2020-03-27,EOG,37.83,38.39,34.88,36.0,10834397.0
2020-03-30,EOG,35.01,35.47,33.52,34.98,10727977.0
2020-03-31,EOG,36.85,38.61,35.18,35.92,8603648.0
2020-04-01,EOG,34.57,35.47,33.55,34.6,6980153.0
2020-04-02,EOG,36.56,43.45,36.2883,38.3,13386281.0
2020-04-03,EOG,40.0,41.29,38.43,39.89,14015036.0
2020-04-06,EOG,40.68,40.94,37.6603,39.43,9899021.0
2020-04-07,EOG,42.0,42.94,40.61,41.33,8337233.0
2020-04-08,EOG,42.26,45.39,42.17,45.29,8290605.0
2020-04-09,EOG,47.1,47.58,42.55,44.82,11388902.0
2020-04-13,EOG,46.3,46.98,42.74,43.29,6774431.0
2020-04-14,EOG,42.85,43.48,41.77,42.23,5841792.0
2020-04-15,EOG,39.37,40.4,38.78,39.89,6585746.0
2020-04-16,EOG,39.55,39.65,36.4,36.52,7184690.0
2020-04-17,EOG,37.49,42.13,37.49,41.84,13174559.0
2020-04-20,EOG,39.0,43.03,38.84,41.17,7398427.0
2020-04-21,EOG,39.36,41.64,39.27,40.5,6685548.0
2020-04-22,EOG,42.69,43.33,41.59,43.15,5942919.0
2020-04-23,EOG,45.25,46.12,44.08,44.22,9023816.0
2020-04-24,EOG,45.0,45.33,42.81,43.36,5775414.0
2020-04-27,EOG,42.86,45.08,42.05,44.54,5076695.0
2020-04-28,EOG,46.04,46.81,44.5,44.98,4630662.0
