Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,ERIE,138.62,141.8,133.45,135.27,178606.0
2020-03-13,ERIE,140.26,154.76,133.94,154.75,198175.0
2020-03-16,ERIE,130.2,151.14,130.2,146.12,173321.0
2020-03-17,ERIE,149.11,176.145,144.0221,172.45,170974.0
2020-03-18,ERIE,168.9,200.0,162.995,170.68,360873.0
2020-03-19,ERIE,166.01,178.03,153.63,161.26,136148.0
2020-03-20,ERIE,159.0,183.27,159.0,177.41,297546.0
2020-03-23,ERIE,180.0,182.03,152.005,155.02,225391.0
2020-03-24,ERIE,162.55,164.9521,151.2,152.95,243747.0
2020-03-25,ERIE,153.41,154.885,137.1,144.12,981225.0
2020-03-26,ERIE,144.36,165.63,138.86,165.21,175456.0
2020-03-27,ERIE,161.16,174.025,152.52,162.98,156303.0
2020-03-30,ERIE,164.8,176.25,156.99,174.34,126977.0
2020-03-31,ERIE,173.0,173.0,148.22,148.24,261859.0
2020-04-01,ERIE,146.0,153.48,143.6701,152.95,143977.0
2020-04-02,ERIE,150.58,163.35,147.845,161.42,109053.0
2020-04-03,ERIE,159.7,167.49,151.72,164.14,145325.0
2020-04-06,ERIE,166.82,170.66,163.8,170.38,131616.0
2020-04-07,ERIE,173.0,173.0,164.01,166.63,112256.0
2020-04-08,ERIE,168.4,169.83,162.741,168.73,77537.0
2020-04-09,ERIE,170.29,173.78,162.76,166.09,92557.0
2020-04-13,ERIE,164.75,168.47,161.53,168.06,60440.0
2020-04-14,ERIE,169.56,173.25,165.51,166.88,96446.0
2020-04-15,ERIE,165.21,169.94,160.525,162.46,128987.0
2020-04-16,ERIE,162.83,168.14,157.21,167.78,124171.0
2020-04-17,ERIE,172.95,178.07,170.89,176.84,199415.0
2020-04-20,ERIE,176.63,179.93,174.36,179.24,120207.0
2020-04-21,ERIE,179.99,184.21,177.0,177.41,263756.0
2020-04-22,ERIE,182.2,187.78,172.13,177.03,816784.0
2020-04-23,ERIE,175.17,178.63,169.975,171.65,153341.0
2020-04-24,ERIE,172.08,174.78,168.585,173.32,102853.0
2020-04-27,ERIE,174.63,181.155,174.63,180.14,97879.0
2020-04-28,ERIE,182.14,185.68,180.12,181.52,141242.0
2020-04-29,ERIE,182.88,186.816,182.16,184.03,109813.0
2020-04-30,ERIE,184.75,184.75,177.39,178.06,125429.0
2020-05-01,ERIE,175.86,178.77,172.315,172.44,47457.0
2020-05-04,ERIE,171.45,177.06,171.45,176.61,74318.0
2020-05-05,ERIE,179.47,183.305,178.26,180.26,98795.0
2020-05-06,ERIE,181.11,184.32,175.55,182.43,87849.0
2020-05-07,ERIE,184.31,187.43,182.91,184.66,125191.0
2020-05-08,ERIE,184.0,184.43,167.57,168.73,162278.0
2020-05-11,ERIE,168.28,174.2334,168.01,172.5,135171.0
2020-05-12,ERIE,173.62,174.68,169.775,170.66,72961.0
2020-05-13,ERIE,170.3,170.3,157.84,159.54,122892.0
2020-05-14,ERIE,158.52,163.23,154.63,162.35,91197.0
2020-05-15,ERIE,160.08,165.46,158.0,164.48,290265.0
2020-05-18,ERIE,169.7,171.32,166.59,169.73,108649.0
2020-05-19,ERIE,169.35,172.62,166.63,170.94,98746.0
2020-05-20,ERIE,171.46,173.98,167.42,172.42,95219.0
2020-05-21,ERIE,172.14,175.1,172.125,174.29,74387.0
2020-05-22,ERIE,173.84,173.84,170.02,172.19,71270.0
2020-05-26,ERIE,175.31,176.08,171.43,174.7,90648.0
2020-05-27,ERIE,177.37,177.37,170.01,171.0,106479.0
2020-05-28,ERIE,172.47,175.73,171.85,174.53,136415.0
2020-05-29,ERIE,174.31,180.45,172.16,180.24,439539.0
2020-06-01,ERIE,180.9,182.53,174.405,175.36,74222.0
2020-06-02,ERIE,176.22,180.63,175.67,180.4,102060.0
2020-06-03,ERIE,180.99,184.6,178.68,183.14,82230.0
2020-06-04,ERIE,183.28,183.28,178.18,180.9,66025.0
2020-06-05,ERIE,182.45,186.53,180.37,185.34,86371.0
2020-06-08,ERIE,185.0,189.995,184.635,189.95,88752.0
2020-06-09,ERIE,188.84,188.84,182.94,186.42,94329.0
2020-06-10,ERIE,186.15,188.395,181.92,186.27,73294.0
2020-06-11,ERIE,183.34,184.75,176.65,177.38,73924.0
2020-06-12,ERIE,181.24,182.53,174.61,177.74,62168.0
2020-06-15,ERIE,174.44,180.26,173.32,178.97,68714.0
2020-06-16,ERIE,182.14,182.14,178.55,179.46,84564.0
2020-06-17,ERIE,179.76,185.07,178.83,183.17,97685.0
2020-06-18,ERIE,182.19,184.7,180.4,180.5,59442.0
2020-06-19,ERIE,182.46,186.98,181.46,186.53,181182.0
2020-06-22,ERIE,186.94,189.0,182.2,183.67,60313.0
2020-06-23,ERIE,184.31,187.64,183.72,186.11,109674.0
2020-06-24,ERIE,186.35,186.35,182.01,183.41,101939.0
2020-06-25,ERIE,183.29,188.87,181.2,188.17,60432.0
2020-06-26,ERIE,187.38,188.88,184.9,186.055,202663.0
2020-06-29,ERIE,187.62,190.58,187.52,188.5,40849.0
2020-06-30,ERIE,189.31,194.07,186.79,191.9,118231.0
2020-07-01,ERIE,192.68,192.68,189.27,189.92,66484.0
2020-07-02,ERIE,191.39,192.88,189.81,190.23,57233.0
2020-07-06,ERIE,191.98,191.98,189.9,190.63,42755.0
2020-07-07,ERIE,190.55,191.02,187.25,189.48,47939.0
2020-07-08,ERIE,190.44,192.7,189.43,191.89,51438.0
2020-07-09,ERIE,193.02,193.02,183.855,188.63,82285.0
2020-07-10,ERIE,189.43,194.69,189.43,193.83,73387.0
2020-07-13,ERIE,194.32,195.475,191.73,192.0,52766.0
2020-07-14,ERIE,192.99,197.795,191.58,197.15,48269.0
2020-07-15,ERIE,198.46,201.79,196.84,200.57,60258.0
2020-07-16,ERIE,200.25,203.88,200.08,202.25,53681.0
2020-07-17,ERIE,202.76,206.87,201.37,203.76,67609.0
2020-07-20,ERIE,201.56,209.33,201.56,204.84,42254.0
2020-07-21,ERIE,207.81,207.81,204.67,206.07,33920.0
2020-07-22,ERIE,206.43,208.9488,205.12,208.01,65405.0
2020-07-23,ERIE,206.58,211.62,206.58,207.82,36825.0
2020-07-24,ERIE,209.42,209.42,204.05,206.25,34544.0
2020-07-27,ERIE,206.55,210.93,203.94,210.42,44559.0
2020-07-28,ERIE,209.03,210.0,206.2,209.02,49806.0
2020-07-29,ERIE,209.54,211.69,208.07,210.0,71972.0
2020-07-30,ERIE,208.68,213.23,208.68,209.24,42849.0
2020-07-31,ERIE,213.42,213.42,205.78,210.12,65664.0
2020-08-03,ERIE,212.05,214.99,211.445,214.78,57906.0
2020-08-04,ERIE,212.8,216.0,212.37,213.58,54496.0
2020-08-05,ERIE,215.14,218.72,213.42,216.44,46258.0
