Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,ESS,261.89,281.98,250.235,262.71,1400777.0
2020-03-13,ESS,274.12,277.015,258.77,275.73,902398.0
2020-03-16,ESS,250.92,257.19,223.13,223.67,807792.0
2020-03-17,ESS,228.12,238.92,219.75,236.07,756994.0
2020-03-18,ESS,225.09,232.92,201.25,206.25,771217.0
2020-03-19,ESS,205.25,214.85,201.17,209.07,669603.0
2020-03-20,ESS,212.0,214.88,192.22,196.33,1004860.0
2020-03-23,ESS,194.6,194.6,175.81,182.23,1055940.0
2020-03-24,ESS,189.41,193.43,177.77,188.01,995531.0
2020-03-25,ESS,186.62,212.855,183.77,200.77,899825.0
2020-03-26,ESS,202.1,218.75,198.0,218.7,768546.0
2020-03-27,ESS,212.21,234.8,209.41,228.6,870447.0
2020-03-30,ESS,228.6,232.13,211.89,225.51,663964.0
2020-03-31,ESS,223.8,224.95,211.61,220.24,1026251.0
2020-04-01,ESS,206.22,207.03,190.9006,200.32,841475.0
2020-04-02,ESS,190.0,202.93,189.34,194.47,855042.0
2020-04-03,ESS,193.03,201.5,188.53,190.86,534458.0
2020-04-06,ESS,202.0,214.85,201.2,212.61,622406.0
2020-04-07,ESS,223.05,225.83,213.3,214.63,614403.0
2020-04-08,ESS,215.29,236.14,212.94,234.12,795744.0
2020-04-09,ESS,239.76,254.67,237.96,246.96,861982.0
2020-04-13,ESS,244.59,248.48,236.05,239.8,558533.0
2020-04-14,ESS,246.63,253.99,243.94,252.62,733293.0
2020-04-15,ESS,242.7,249.08,239.12,245.4,695131.0
2020-04-16,ESS,246.86,247.63,240.06,246.03,736489.0
2020-04-17,ESS,251.71,262.23,250.76,260.84,735002.0
2020-04-20,ESS,257.38,257.38,241.69,241.9,521724.0
2020-04-21,ESS,234.85,241.35,234.17,238.79,497907.0
2020-04-22,ESS,242.97,247.16,240.87,244.72,486818.0
2020-04-23,ESS,244.14,244.14,238.125,241.25,964066.0
2020-04-24,ESS,243.01,245.015,235.52,241.61,697255.0
2020-04-27,ESS,245.2,252.74,242.44,252.07,304352.0
2020-04-28,ESS,259.04,260.4,244.05,247.46,331108.0
2020-04-29,ESS,252.4,254.4,247.02,249.22,311420.0
2020-04-30,ESS,246.36,246.36,239.4,244.1,575187.0
2020-05-01,ESS,238.26,240.15,234.015,236.81,433867.0
2020-05-04,ESS,233.58,243.01,231.02,242.29,485801.0
2020-05-05,ESS,244.22,249.34,243.03,244.52,482725.0
2020-05-06,ESS,246.05,248.31,241.28,241.39,458558.0
2020-05-07,ESS,237.77,251.84,237.77,249.06,575901.0
2020-05-08,ESS,252.97,254.84,245.44,246.65,413332.0
2020-05-11,ESS,244.42,245.725,239.415,242.92,426413.0
2020-05-12,ESS,243.33,243.33,227.9,229.9,841619.0
2020-05-13,ESS,225.02,231.745,225.01,230.78,700799.0
2020-05-14,ESS,227.52,228.6,219.16,225.01,522535.0
2020-05-15,ESS,223.77,227.525,218.53,226.55,1448025.0
2020-05-18,ESS,235.69,244.23,235.6,240.6,638345.0
2020-05-19,ESS,240.6,241.86,230.83,230.99,479288.0
2020-05-20,ESS,233.42,236.08,230.9,235.86,364879.0
2020-05-21,ESS,235.49,240.67,233.05,235.43,288686.0
2020-05-22,ESS,235.1,236.95,232.83,236.41,317992.0
2020-05-26,ESS,246.55,249.56,243.32,247.21,417914.0
2020-05-27,ESS,252.71,254.23,244.72,248.04,437201.0
2020-05-28,ESS,250.53,250.53,243.43,248.86,472701.0
2020-05-29,ESS,246.56,247.55,242.0,242.77,706065.0
2020-06-01,ESS,242.77,248.99,241.41,246.91,398042.0
2020-06-02,ESS,249.63,250.76,246.27,246.79,553698.0
2020-06-03,ESS,249.94,254.26,249.43,253.06,433869.0
2020-06-04,ESS,251.09,252.27,243.49,250.48,438433.0
2020-06-05,ESS,259.3,267.77,259.03,262.52,818753.0
2020-06-08,ESS,266.63,276.44,266.44,276.2,844909.0
2020-06-09,ESS,270.29,272.02,266.25,268.04,476334.0
2020-06-10,ESS,266.08,267.01,258.46,260.3,448279.0
