Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,ETN,78.25,80.49,75.01,75.92,6250042.0
2020-03-13,ETN,80.82,87.04,78.19,85.56,6311281.0
2020-03-16,ETN,75.81,81.28,74.87,75.32,5220664.0
2020-03-17,ETN,76.9,77.98,70.28,73.74,6247672.0
2020-03-18,ETN,68.13,69.44,58.72,68.82,6305732.0
2020-03-19,ETN,66.8527,72.68,62.1,72.45,5088035.0
2020-03-20,ETN,73.86,73.86,64.475,64.93,5462399.0
2020-03-23,ETN,63.83,64.31,56.415,57.77,6386916.0
2020-03-24,ETN,61.64,72.41,61.165,71.21,5507916.0
2020-03-25,ETN,72.09,79.31,69.412,74.6,5967682.0
2020-03-26,ETN,76.29,78.96,73.82,78.25,3483782.0
2020-03-27,ETN,73.14,76.51,71.92,74.54,2942887.0
2020-03-30,ETN,74.42,78.71,74.0,78.32,3127392.0
2020-03-31,ETN,77.67,79.04,75.87,77.69,7059666.0
2020-04-01,ETN,72.5,74.035,71.13,73.14,4247959.0
2020-04-02,ETN,72.44,75.09,71.58,73.59,3455391.0
2020-04-03,ETN,74.12,74.12,70.34,71.25,2888076.0
2020-04-06,ETN,75.21,77.89,75.13,77.4,3698792.0
2020-04-07,ETN,81.17,82.25,75.935,76.16,3702617.0
2020-04-08,ETN,77.24,80.7,76.13,80.14,3448340.0
2020-04-09,ETN,80.69,84.835,80.5,81.44,4665228.0
2020-04-13,ETN,79.02,79.93,76.7385,78.39,2518663.0
2020-04-14,ETN,80.51,81.24,78.68,79.84,2153433.0
2020-04-15,ETN,77.76,78.01,75.39,75.74,2292851.0
2020-04-16,ETN,75.6,76.24,74.35,75.82,3320357.0
2020-04-17,ETN,78.58,80.88,78.12,79.26,2775433.0
2020-04-20,ETN,77.53,79.45,76.71,77.89,2425219.0
2020-04-21,ETN,76.71,77.86,75.8,76.91,2627312.0
2020-04-22,ETN,78.92,79.68,77.495,77.65,3143810.0
2020-04-23,ETN,78.78,80.29,78.03,78.15,2766083.0
2020-04-24,ETN,78.98,79.3809,77.7,78.86,2346660.0
2020-04-27,ETN,79.29,83.23,79.29,82.54,2261603.0
2020-04-28,ETN,84.48,85.45,82.63,83.1,2439779.0
2020-04-29,ETN,84.99,86.77,84.3,85.78,2823987.0
2020-04-30,ETN,85.31,85.49,82.67,83.5,4424086.0
2020-05-01,ETN,82.0,82.89,79.87,82.07,2713945.0
2020-05-04,ETN,80.47,81.14,78.095,79.32,3108575.0
2020-05-05,ETN,81.05,82.3599,80.5,80.8,2421619.0
2020-05-06,ETN,80.77,81.65,79.92,79.92,2021786.0
2020-05-07,ETN,81.26,81.57,79.87,80.26,2506427.0
2020-05-08,ETN,81.5,82.4,81.09,82.25,1742732.0
2020-05-11,ETN,81.25,81.79,80.185,81.08,2038038.0
2020-05-12,ETN,81.47,82.09,77.27,77.46,2231649.0
2020-05-13,ETN,76.4,76.6,73.06,73.87,2582938.0
2020-05-14,ETN,71.91,74.99,70.54,74.91,3070108.0
2020-05-15,ETN,74.22,75.215,73.12,73.71,3069041.0
2020-05-18,ETN,77.0,79.0,76.64,78.27,2114671.0
2020-05-19,ETN,77.77,78.46,76.26,76.34,2529140.0
2020-05-20,ETN,77.68,78.62,76.56,77.93,2116949.0
2020-05-21,ETN,77.64,78.6724,77.47,78.29,2293935.0
2020-05-22,ETN,78.41,78.755,77.06,78.67,1992237.0
2020-05-26,ETN,80.23,82.45,80.17,81.92,2969961.0
2020-05-27,ETN,84.28,86.47,83.91,86.28,3442267.0
2020-05-28,ETN,86.96,87.1,84.635,85.13,3768547.0
2020-05-29,ETN,84.31,85.16,83.06,84.9,4326131.0
2020-06-01,ETN,84.67,85.36,84.18,84.66,1783721.0
2020-06-02,ETN,85.14,85.62,84.24,85.62,2006458.0
2020-06-03,ETN,86.9,89.5467,86.65,89.33,2035778.0
