Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,ETR,104.23,107.43,98.45,101.64,3176929.0
2020-03-13,ETR,106.64,107.28,96.62,102.93,3009593.0
2020-03-16,ETR,94.58,96.04,85.84,86.74,3770783.0
2020-03-17,ETR,88.71,99.85,87.39,99.62,3957051.0
2020-03-18,ETR,93.7,95.43,79.51,86.41,4410840.0
2020-03-19,ETR,85.6,88.1613,77.59,84.05,3031841.0
2020-03-20,ETR,85.72,89.58,79.07,79.99,2930023.0
2020-03-23,ETR,78.96,82.5,75.195,78.18,2321840.0
2020-03-24,ETR,81.61,87.25,79.6,86.33,2039068.0
2020-03-25,ETR,86.06,92.99,83.77,88.96,2142253.0
2020-03-26,ETR,89.63,98.07,89.12,96.71,1842358.0
2020-03-27,ETR,92.76,100.6,92.4,97.34,1973200.0
2020-03-30,ETR,98.37,101.19,95.32,100.07,2249019.0
2020-03-31,ETR,98.78,100.04,93.31,93.97,3435518.0
2020-04-01,ETR,89.97,91.7,84.15,85.58,1646809.0
2020-04-02,ETR,83.45,89.645,82.805,88.2,2235323.0
2020-04-03,ETR,87.2,89.16,82.94,83.38,3005365.0
2020-04-06,ETR,87.41,93.99,86.17,93.0,1464300.0
2020-04-07,ETR,96.1,96.67,92.64,93.65,1577555.0
2020-04-08,ETR,93.82,101.57,93.82,100.52,1578816.0
2020-04-09,ETR,102.08,107.22,101.63,102.91,1737265.0
2020-04-13,ETR,101.66,101.66,97.14,97.89,2261009.0
2020-04-14,ETR,99.91,101.3,98.81,100.66,1247121.0
2020-04-15,ETR,97.82,99.145,96.862,97.31,1613543.0
2020-04-16,ETR,97.56,98.21,95.44,97.16,2061162.0
2020-04-17,ETR,99.01,101.78,98.16,101.27,1490017.0
2020-04-20,ETR,99.83,100.095,95.83,96.45,1326060.0
2020-04-21,ETR,94.71,96.13,93.29,94.66,1352919.0
2020-04-22,ETR,96.55,100.16,95.325,99.48,1881566.0
2020-04-23,ETR,99.41,100.34,96.83,96.97,1259154.0
2020-04-24,ETR,97.09,98.16,95.68,97.53,1633723.0
2020-04-27,ETR,99.75,102.36,99.43,101.31,1974732.0
2020-04-28,ETR,103.66,104.96,99.07,99.67,1205084.0
2020-04-29,ETR,101.76,101.76,98.21,98.38,1305085.0
2020-04-30,ETR,97.93,98.0,93.97,95.51,2024343.0
2020-05-01,ETR,94.56,94.56,92.1,93.57,1101146.0
2020-05-04,ETR,93.37,96.02,92.26,95.42,1347976.0
2020-05-05,ETR,95.0,99.61,95.0,96.75,1519605.0
2020-05-06,ETR,96.25,96.48,92.24,92.67,1141302.0
2020-05-07,ETR,93.48,94.99,92.62,92.77,1316692.0
2020-05-08,ETR,94.01,95.655,92.92,95.01,2018802.0
2020-05-11,ETR,96.77,97.17,93.72,96.22,2833911.0
2020-05-12,ETR,96.24,96.72,94.67,96.0,2571985.0
2020-05-13,ETR,95.29,96.0,93.3,94.11,2517217.0
2020-05-14,ETR,92.94,95.18,90.99,94.94,1711475.0
2020-05-15,ETR,94.45,95.47,92.5,94.98,4192012.0
2020-05-18,ETR,97.68,100.46,97.51,99.42,1413642.0
2020-05-19,ETR,98.94,99.32,96.56,96.56,913423.0
2020-05-20,ETR,97.57,98.53,96.86,97.59,827731.0
2020-05-21,ETR,97.51,98.32,97.2,97.63,1281209.0
2020-05-22,ETR,97.55,98.24,97.06,97.96,1045849.0
2020-05-26,ETR,100.29,101.25,99.53,99.74,1225493.0
2020-05-27,ETR,101.33,101.48,98.27,99.47,881309.0
2020-05-28,ETR,100.95,103.38,100.41,103.07,1367722.0
2020-05-29,ETR,102.75,103.12,100.97,101.82,2254514.0
2020-06-01,ETR,101.62,103.8,101.25,102.68,1051253.0
2020-06-02,ETR,102.72,103.58,101.48,103.53,1405333.0
2020-06-03,ETR,104.11,105.28,103.63,104.04,1083823.0
2020-06-04,ETR,103.39,103.7,100.05,101.23,1164976.0
2020-06-05,ETR,103.82,106.48,103.09,103.73,1276663.0
2020-06-08,ETR,103.8,106.3,103.12,105.89,1343456.0
2020-06-09,ETR,104.49,104.54,102.52,103.34,1117168.0
2020-06-10,ETR,103.81,104.27,101.78,102.19,1236048.0
2020-06-11,ETR,100.01,100.08,95.99,96.77,1666249.0
2020-06-12,ETR,98.75,98.815,94.73,96.42,1964741.0
2020-06-15,ETR,94.34,97.625,93.269,97.19,1669523.0
2020-06-16,ETR,100.06,100.65,97.08,97.92,1276778.0
2020-06-17,ETR,98.84,99.02,95.83,97.07,1273868.0
2020-06-18,ETR,96.48,97.66,95.59,97.5,1359302.0
2020-06-19,ETR,99.06,99.06,94.21,94.52,5903512.0
2020-06-22,ETR,94.35,97.55,93.485,96.97,1804989.0
2020-06-23,ETR,97.9,97.98,94.96,95.0,1899432.0
2020-06-24,ETR,94.06,94.4,91.92,93.51,1388029.0
2020-06-25,ETR,93.4,93.4,91.1,92.36,1742538.0
2020-06-26,ETR,92.36,93.98,91.08,91.66,2524050.0
2020-06-29,ETR,92.49,93.79,91.04,93.77,897126.0
2020-06-30,ETR,93.84,94.64,93.08,93.81,1328005.0
2020-07-01,ETR,93.77,97.15,93.74,96.72,1028220.0
2020-07-02,ETR,97.91,98.67,96.51,96.86,972762.0
2020-07-06,ETR,97.84,98.7,95.1,96.4,733924.0
2020-07-07,ETR,95.51,96.51,94.945,95.85,1055728.0
2020-07-08,ETR,95.87,97.3,95.27,96.9,1705767.0
2020-07-09,ETR,97.2,97.2,93.8,96.45,1498693.0
2020-07-10,ETR,96.1,98.33,96.1,98.15,870493.0
2020-07-13,ETR,98.2,98.6,95.84,96.34,1436985.0
2020-07-14,ETR,96.4,98.28,96.33,97.63,1483037.0
2020-07-15,ETR,99.06,99.27,96.01,96.24,1770046.0
2020-07-16,ETR,96.53,98.65,96.1,98.33,1178762.0
2020-07-17,ETR,99.05,100.54,98.58,100.44,1015012.0
2020-07-20,ETR,100.0,100.22,98.12,98.39,848876.0
2020-07-21,ETR,100.19,100.38,98.71,99.55,1264370.0
2020-07-22,ETR,99.3,103.83,98.43,103.13,2463365.0
2020-07-23,ETR,103.22,104.96,102.655,104.02,1192298.0
2020-07-24,ETR,104.18,104.97,101.95,102.66,960863.0
2020-07-27,ETR,102.41,102.41,100.745,101.73,810237.0
2020-07-28,ETR,101.25,103.41,101.25,102.67,1040240.0
2020-07-29,ETR,103.49,105.41,102.44,104.13,1640265.0
2020-07-30,ETR,103.1,104.87,102.6,104.64,1099195.0
2020-07-31,ETR,104.04,105.27,103.71,105.13,2314972.0
2020-08-03,ETR,105.13,105.295,102.25,102.62,1069462.0
2020-08-04,ETR,102.5,104.1,102.19,103.16,801680.0
2020-08-05,ETR,103.4,103.5,100.33,100.36,1453686.0
2020-08-06,ETR,100.27,102.34,100.0,102.29,992980.0
2020-08-07,ETR,102.03,104.8,102.03,104.67,969228.0
2020-08-10,ETR,105.14,105.955,104.505,105.7,878639.0
2020-08-11,ETR,105.88,106.55,101.72,102.11,1628289.0
2020-08-12,ETR,101.63,103.0,100.91,101.65,1242605.0
2020-08-13,ETR,101.19,101.885,100.5,101.73,680445.0
2020-08-14,ETR,101.53,102.16,100.21,100.93,838618.0
2020-08-17,ETR,100.96,102.05,100.29,100.6,1374088.0
2020-08-18,ETR,100.73,101.01,98.93,100.1,854443.0
