Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,EXPE,65.99,71.3136,64.3,65.04,6836434.0
2020-03-13,EXPE,68.6,69.98,58.56,69.63,9850634.0
2020-03-16,EXPE,60.0,63.97,53.52,54.7,6073019.0
2020-03-17,EXPE,54.265,57.99,49.63,54.12,8035805.0
2020-03-18,EXPE,47.02,48.14,40.76,45.65,7645838.0
2020-03-19,EXPE,44.59,52.75,43.0,48.4262,8612810.0
2020-03-20,EXPE,50.4,56.885,45.48,48.8,8177897.0
2020-03-23,EXPE,49.2,54.46,46.29,50.85,6928502.0
2020-03-24,EXPE,54.32,61.97,53.845,59.48,5399931.0
2020-03-25,EXPE,62.1,70.71,59.08,65.89,6162338.0
2020-03-26,EXPE,64.66,66.29,60.86,64.41,5468206.0
2020-03-27,EXPE,61.92,61.92,57.695,60.03,5770938.0
2020-03-30,EXPE,60.01,60.03,54.125,56.39,6266268.0
2020-03-31,EXPE,56.33,61.3424,55.26,56.27,5040710.0
2020-04-01,EXPE,52.86,53.69,50.28,52.0,5037388.0
2020-04-02,EXPE,51.0,54.49,46.8,47.86,5346475.0
2020-04-03,EXPE,48.04,48.81,46.145,48.71,3954916.0
2020-04-06,EXPE,52.39,53.89,51.15,52.83,6002024.0
2020-04-07,EXPE,59.88,61.4765,54.42,56.51,6577795.0
2020-04-08,EXPE,58.75,61.99,57.99,60.55,5778351.0
2020-04-09,EXPE,64.04,66.06,61.27,62.42,5461265.0
2020-04-13,EXPE,62.39,63.0,58.07,58.79,3635126.0
2020-04-14,EXPE,61.37,62.38,59.44,61.58,4297594.0
2020-04-15,EXPE,58.655,61.18,57.29,60.56,3996333.0
2020-04-16,EXPE,59.61,59.94,55.83,58.22,5840366.0
2020-04-17,EXPE,62.05,63.77,61.015,63.22,4879608.0
2020-04-20,EXPE,61.68,63.28,59.87,59.95,4183199.0
2020-04-21,EXPE,58.09,58.59,55.2256,57.25,4089481.0
2020-04-22,EXPE,62.4965,64.12,60.76,61.42,5902721.0
2020-04-23,EXPE,61.84,67.36,61.84,63.37,8407494.0
2020-04-24,EXPE,65.27,67.24,63.3,66.57,4813487.0
2020-04-27,EXPE,67.36,69.68,66.7457,69.15,4172011.0
2020-04-28,EXPE,70.89,73.25,70.1,71.84,4073125.0
2020-04-29,EXPE,75.7,76.54,74.66,74.83,5160040.0
2020-04-30,EXPE,73.74,73.98,68.9201,70.969,4894008.0
2020-05-01,EXPE,68.14,69.905,66.37,67.29,3742317.0
2020-05-04,EXPE,65.0,67.44,62.6,67.02,3236583.0
2020-05-05,EXPE,68.41,68.41,63.8,64.08,5911006.0
2020-05-06,EXPE,64.79,65.98,63.15,64.38,2809078.0
2020-05-07,EXPE,65.1,67.3,65.1,66.46,2679413.0
2020-05-08,EXPE,66.63,69.49,66.05,69.27,2937701.0
2020-05-11,EXPE,68.53,69.38,67.44,67.62,2166496.0
2020-05-12,EXPE,67.83,68.42,64.99,64.99,3517049.0
