Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,FAST,30.54,32.84,29.79,30.87,10876796.0
2020-03-13,FAST,32.8,34.15,31.21,34.09,10198011.0
2020-03-16,FAST,30.51,33.98,30.0,31.72,10507045.0
2020-03-17,FAST,32.38,35.13,32.035,34.51,9138522.0
2020-03-18,FAST,32.74,34.8,31.385,33.45,11036135.0
2020-03-19,FAST,33.41,35.46,32.0,32.3,9959968.0
2020-03-20,FAST,32.36,32.38,28.47,28.74,11047784.0
2020-03-23,FAST,30.0,30.0,26.715,28.18,7036395.0
2020-03-24,FAST,29.03,31.48,29.03,31.37,8914567.0
2020-03-25,FAST,30.77,31.8,29.81,30.23,7881797.0
2020-03-26,FAST,30.32,32.545,29.46,32.31,7870256.0
2020-03-27,FAST,31.17,31.795,30.19,31.04,7032853.0
2020-03-30,FAST,31.08,32.23,30.8,31.8,6502849.0
2020-03-31,FAST,31.45,32.28,30.96,31.25,9122935.0
2020-04-01,FAST,30.17,31.0,29.92,30.61,5555297.0
2020-04-02,FAST,30.73,31.305,30.17,30.65,8001619.0
2020-04-03,FAST,30.5,31.34,30.005,30.48,5179782.0
2020-04-06,FAST,31.44,32.31,31.13,32.18,7312302.0
2020-04-07,FAST,32.04,33.65,31.93,32.01,7027220.0
2020-04-08,FAST,32.42,32.67,31.64,32.49,4932370.0
2020-04-09,FAST,32.74,33.71,32.55,33.62,6398468.0
2020-04-13,FAST,32.61,33.42,31.87,32.27,5885918.0
2020-04-14,FAST,34.43,35.168,32.82,34.54,7855053.0
2020-04-15,FAST,34.15,34.81,33.72,34.56,5352581.0
2020-04-16,FAST,34.78,35.52,34.175,35.43,6819957.0
2020-04-17,FAST,36.3108,36.92,35.39,35.93,5629756.0
2020-04-20,FAST,35.55,35.92,34.89,34.92,4128493.0
2020-04-21,FAST,34.49,34.815,33.96,34.14,5332487.0
2020-04-22,FAST,34.75,35.06,34.395,34.84,3952685.0
2020-04-23,FAST,34.77,35.56,34.68,34.92,4277848.0
2020-04-24,FAST,35.15,36.14,34.84,36.03,3911245.0
2020-04-27,FAST,36.11,37.075,36.085,36.845,4152508.0
2020-04-28,FAST,37.28,37.97,36.805,36.96,4655899.0
2020-04-29,FAST,37.0,37.54,36.45,36.74,4814670.0
2020-04-30,FAST,36.47,36.79,35.88,36.22,7627463.0
2020-05-01,FAST,35.79,36.045,35.37,35.7,3955244.0
2020-05-04,FAST,35.53,35.88,35.165,35.85,3266103.0
2020-05-05,FAST,36.27,37.16,36.08,36.63,4734707.0
2020-05-06,FAST,37.21,38.05,37.02,37.85,5610764.0
2020-05-07,FAST,38.13,38.61,37.745,38.18,5105212.0
2020-05-08,FAST,38.43,39.11,38.43,39.05,3688217.0
2020-05-11,FAST,38.47,39.88,38.47,39.74,3752509.0
2020-05-12,FAST,39.8,39.96,38.82,38.82,4210767.0
2020-05-13,FAST,38.71,39.24,37.79,38.34,4770460.0
2020-05-14,FAST,38.1,38.745,37.715,38.68,5198284.0
2020-05-15,FAST,38.3,39.115,38.05,38.92,6641675.0
2020-05-18,FAST,40.0,40.46,38.94,39.07,7449128.0
2020-05-19,FAST,39.0,39.34,38.545,38.56,4548493.0
2020-05-20,FAST,39.05,39.58,38.83,39.09,3807999.0
2020-05-21,FAST,39.17,39.17,38.52,38.71,3240300.0
2020-05-22,FAST,38.62,38.92,38.5,38.68,2268634.0
2020-05-26,FAST,39.07,40.21,38.88,39.72,6806566.0
2020-05-27,FAST,39.93,40.56,39.325,40.52,6229786.0
2020-05-28,FAST,40.68,40.92,40.15,40.38,4243912.0
2020-05-29,FAST,40.39,41.45,40.34,41.26,7311049.0
2020-06-01,FAST,41.38,41.38,40.535,40.66,3037784.0
2020-06-02,FAST,40.97,41.22,40.645,41.19,4638763.0
2020-06-03,FAST,41.48,42.27,41.07,42.06,4041618.0
2020-06-04,FAST,41.92,42.71,41.33,41.7,4803729.0
2020-06-05,FAST,42.06,42.885,41.78,42.66,6893319.0
2020-06-08,FAST,42.38,43.19,42.15,42.88,4889990.0
2020-06-09,FAST,42.31,43.12,42.22,42.86,3625672.0
2020-06-10,FAST,43.0,43.2,42.335,42.49,3752606.0
2020-06-11,FAST,42.03,42.09,40.59,40.64,4286455.0
2020-06-12,FAST,41.48,41.48,39.35,40.06,4494113.0
2020-06-15,FAST,39.64,40.73,39.15,40.71,5554182.0
2020-06-16,FAST,41.8,42.0867,40.91,41.81,5106824.0
2020-06-17,FAST,42.04,42.37,41.7,42.06,3524405.0
2020-06-18,FAST,41.88,42.285,41.61,41.99,3630395.0
2020-06-19,FAST,42.41,42.65,41.29,41.585,11986256.0
2020-06-22,FAST,41.5,42.21,41.07,41.98,3143040.0
