Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,FDX,103.2,105.18,96.2,97.0,5415587.0
2020-03-13,FDX,102.46,106.68,96.0,106.63,4631439.0
2020-03-16,FDX,91.69,99.87,90.49,90.49,4772518.0
2020-03-17,FDX,92.9,100.15,88.69,94.96,5783618.0
2020-03-18,FDX,90.39,100.7,89.802,99.68,7237377.0
2020-03-19,FDX,98.85,116.155,97.3712,111.68,4866589.0
2020-03-20,FDX,113.88,118.7,106.59,111.06,4997299.0
2020-03-23,FDX,110.94,115.0542,107.25,111.76,4140265.0
2020-03-24,FDX,118.0,121.8,115.43,120.04,3201353.0
2020-03-25,FDX,121.36,126.94,114.93,118.31,4797243.0
2020-03-26,FDX,119.36,127.0,119.01,125.6,2960058.0
2020-03-27,FDX,120.0,124.345,116.0,120.58,2841259.0
2020-03-30,FDX,122.38,125.61,119.25,124.31,2411517.0
2020-03-31,FDX,122.5,124.85,119.2619,121.26,2874477.0
2020-04-01,FDX,116.01,118.75,112.3,113.48,2792099.0
2020-04-02,FDX,112.53,117.3,111.59,116.64,2489980.0
2020-04-03,FDX,115.24,116.0,107.69,109.22,3369945.0
2020-04-06,FDX,113.19,119.81,113.01,119.02,3901010.0
2020-04-07,FDX,124.91,125.48,115.75,115.95,3388772.0
2020-04-08,FDX,123.0,127.23,119.92,125.54,5833125.0
2020-04-09,FDX,129.61,130.0,120.16,122.29,5110314.0
2020-04-13,FDX,125.19,125.19,121.74,123.53,2961094.0
2020-04-14,FDX,125.74,126.98,122.0516,125.08,3318769.0
2020-04-15,FDX,121.69,121.69,118.15,119.9,3096536.0
2020-04-16,FDX,119.73,121.0,117.12,119.08,2427893.0
2020-04-17,FDX,121.0,124.96,120.73,124.85,2603837.0
2020-04-20,FDX,122.53,125.67,121.83,122.64,2567609.0
2020-04-21,FDX,120.63,122.1754,119.62,120.48,1695319.0
2020-04-22,FDX,122.0,122.965,118.4526,118.54,2522662.0
2020-04-23,FDX,118.64,122.42,118.5001,120.88,2249187.0
2020-04-24,FDX,121.41,123.19,119.48,123.06,2286446.0
2020-04-27,FDX,124.16,128.5,122.315,127.29,2499997.0
2020-04-28,FDX,129.81,129.89,125.16,127.74,2854756.0
2020-04-29,FDX,129.81,131.8,128.46,129.48,2305967.0
2020-04-30,FDX,127.93,127.93,125.75,126.77,2200362.0
2020-05-01,FDX,124.52,124.56,117.5,118.2,3340343.0
2020-05-04,FDX,117.2,117.56,114.61,115.85,2528199.0
2020-05-05,FDX,117.83,120.12,117.13,117.67,1809396.0
2020-05-06,FDX,118.89,119.42,115.08,115.12,2079440.0
2020-05-07,FDX,116.94,118.87,116.15,116.74,1988079.0
2020-05-08,FDX,118.25,120.89,118.18,120.44,1894358.0
2020-05-11,FDX,118.32,119.37,116.28,117.56,2002756.0
2020-05-12,FDX,118.0,118.11,113.08,113.14,2113934.0
2020-05-13,FDX,113.08,113.15,108.25,109.34,3042509.0
2020-05-14,FDX,107.36,109.18,103.4001,109.11,3409458.0
2020-05-15,FDX,107.54,108.9596,106.25,107.52,3492382.0
2020-05-18,FDX,113.49,120.0,112.7948,119.19,3831402.0
2020-05-19,FDX,118.99,119.4,114.65,114.79,2688728.0
2020-05-20,FDX,116.8,119.48,115.83,117.01,2747541.0
2020-05-21,FDX,116.58,118.43,115.53,115.77,1832636.0
2020-05-22,FDX,115.73,117.5563,114.92,117.0,2373883.0
2020-05-26,FDX,122.89,126.74,121.94,124.81,4010702.0
2020-05-27,FDX,128.0,130.78,125.5,130.43,3362316.0
2020-05-28,FDX,131.0,133.91,129.3,131.15,3430776.0
2020-05-29,FDX,130.19,130.89,126.44,130.56,3841275.0
2020-06-01,FDX,129.17,130.46,127.46,129.71,2078803.0
2020-06-02,FDX,130.83,134.5938,130.705,134.2,2730119.0
2020-06-03,FDX,137.0,139.88,136.53,138.08,2874605.0
2020-06-04,FDX,137.3,139.25,135.65,139.21,2100928.0
2020-06-05,FDX,143.0,145.77,142.0,142.21,3761134.0
2020-06-08,FDX,144.58,149.99,144.14,149.38,2881917.0
2020-06-09,FDX,145.78,145.93,142.0957,144.69,2366350.0
2020-06-10,FDX,144.0,144.41,140.32,140.4,2178554.0
2020-06-11,FDX,133.95,134.47,127.81,128.81,4566483.0
2020-06-12,FDX,134.59,135.0,129.14,132.72,2398313.0
2020-06-15,FDX,128.42,134.63,127.29,133.68,2089156.0
2020-06-16,FDX,138.15,139.3708,133.0,135.54,1779931.0
2020-06-17,FDX,136.98,137.395,134.8718,135.66,1310642.0
2020-06-18,FDX,134.92,139.34,134.5,138.39,2575700.0
2020-06-19,FDX,140.76,140.88,135.615,137.63,3439009.0
2020-06-22,FDX,136.55,137.745,135.2,137.38,1538942.0
2020-06-23,FDX,138.55,139.8384,137.38,139.07,1528231.0
2020-06-24,FDX,137.64,138.0,134.13,135.09,2676228.0
2020-06-25,FDX,133.72,136.28,132.225,136.11,2466343.0
2020-06-26,FDX,135.19,135.38,129.28,130.08,4003367.0
2020-06-29,FDX,131.3,134.73,130.12,134.55,2568512.0
2020-06-30,FDX,136.22,140.75,134.92,140.22,7007906.0
2020-07-01,FDX,158.85,163.65,155.76,156.66,18168926.0
2020-07-02,FDX,158.6,159.7225,155.28,155.48,4319727.0
2020-07-06,FDX,157.9,158.4,153.6625,156.27,3182904.0
2020-07-07,FDX,154.27,159.95,154.13,158.54,2760020.0
2020-07-08,FDX,158.12,159.38,156.27,158.56,2398583.0
2020-07-09,FDX,157.94,158.75,155.32,155.74,2407274.0
2020-07-10,FDX,156.2,159.01,155.97,158.59,1819000.0
2020-07-13,FDX,160.0,160.22,155.66,156.23,1852466.0
2020-07-14,FDX,156.23,158.92,155.53,158.5,1762656.0
2020-07-15,FDX,160.45,162.53,159.04,161.25,4020581.0
2020-07-16,FDX,161.77,167.1,160.4689,166.1,4390031.0
2020-07-17,FDX,167.28,168.12,164.91,165.98,2210228.0
2020-07-20,FDX,164.89,165.55,162.81,164.13,1883449.0
2020-07-21,FDX,165.1,167.56,164.41,165.5,1886645.0
