Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,FE,40.15,41.61,37.95,38.52,7937495.0
2020-03-13,FE,40.69,41.25,38.72,41.24,6890979.0
2020-03-16,FE,37.7,39.76,33.865,34.3,7340897.0
2020-03-17,FE,35.26,40.49,32.91,40.11,9623125.0
2020-03-18,FE,37.49,38.69,33.555,37.2,7950318.0
2020-03-19,FE,37.32,37.36,33.5,35.99,5729204.0
2020-03-20,FE,35.97,36.695,33.98,34.28,6620057.0
2020-03-23,FE,34.02,35.75,32.0,33.19,6570092.0
2020-03-24,FE,34.21,36.02,33.91,35.48,5816668.0
2020-03-25,FE,35.33,37.29,33.575,35.5,5779514.0
2020-03-26,FE,35.47,39.27,35.42,38.67,5403494.0
2020-03-27,FE,37.36,40.325,37.11,38.6,6392373.0
2020-03-30,FE,39.19,40.91,38.31,40.49,6766744.0
2020-03-31,FE,40.03,40.83,39.11,40.07,9614487.0
2020-04-01,FE,38.33,39.32,38.14,38.86,7570902.0
2020-04-02,FE,38.23,40.52,38.23,40.0,5077156.0
2020-04-03,FE,39.58,40.27,37.56,37.95,3874442.0
2020-04-06,FE,39.39,41.9,39.37,41.36,5683920.0
2020-04-07,FE,42.43,42.76,40.39,40.47,7036617.0
2020-04-08,FE,40.72,43.59,40.4,43.23,4006851.0
2020-04-09,FE,43.77,45.315,43.77,44.75,6756198.0
2020-04-13,FE,44.14,44.5,43.06,43.93,3767811.0
2020-04-14,FE,44.86,45.7735,44.6,45.47,3804936.0
2020-04-15,FE,44.32,44.65,43.63,43.95,2755553.0
2020-04-16,FE,43.99,44.955,43.38,44.86,3029497.0
2020-04-17,FE,45.73,46.3604,44.8,46.21,2781308.0
2020-04-20,FE,45.82,45.82,44.32,44.49,3081199.0
2020-04-21,FE,43.77,43.94,42.63,43.2,4053169.0
2020-04-22,FE,44.07,44.551,43.17,44.22,2669334.0
2020-04-23,FE,44.45,44.64,42.78,43.03,3521808.0
2020-04-24,FE,40.01,43.2965,39.3443,42.32,6044371.0
2020-04-27,FE,42.6,43.88,42.44,43.51,4805805.0
2020-04-28,FE,44.01,44.22,42.45,42.64,4632732.0
2020-04-29,FE,43.37,43.84,42.26,42.35,3508079.0
2020-04-30,FE,42.01,42.22,40.62,41.27,3544237.0
2020-05-01,FE,40.88,40.88,40.215,40.84,3562103.0
