Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,FSLR,34.18,37.53,33.0,36.56,2789528.0
2020-03-13,FSLR,38.85,39.64,34.1405,35.96,1813570.0
2020-03-16,FSLR,31.9,35.0,30.7,31.54,3109999.0
2020-03-17,FSLR,32.2,34.9,29.5707,32.26,3740170.0
2020-03-18,FSLR,30.24,32.11,28.47,30.2,2597694.0
2020-03-19,FSLR,30.01,34.97,29.15,33.46,1853176.0
2020-03-20,FSLR,34.39,35.82,32.42,33.69,3421342.0
2020-03-23,FSLR,33.75,34.25,30.685,33.07,2259644.0
2020-03-24,FSLR,34.81,35.26,32.55,33.71,1790173.0
2020-03-25,FSLR,34.18,37.14,33.4,34.79,2060231.0
2020-03-26,FSLR,35.49,37.97,35.1,37.62,1820916.0
2020-03-27,FSLR,36.05,36.99,34.6,35.63,1826893.0
2020-03-30,FSLR,37.17,37.17,34.31,36.06,1275578.0
2020-03-31,FSLR,36.12,36.9,35.0,36.06,1358946.0
2020-04-01,FSLR,34.75,34.9,33.0,33.44,1045903.0
2020-04-02,FSLR,33.56,36.33,33.38,35.31,2087934.0
2020-04-03,FSLR,35.12,36.3,34.12,34.38,1163455.0
2020-04-06,FSLR,35.26,37.41,35.0,36.75,2137696.0
2020-04-07,FSLR,38.0,38.89,37.13,37.35,1430867.0
2020-04-08,FSLR,37.81,39.06,36.59,38.9,1210209.0
2020-04-09,FSLR,39.1,41.01,39.1,40.45,1438358.0
2020-04-13,FSLR,40.31,40.93,39.64,40.61,1133381.0
2020-04-14,FSLR,41.68,42.84,41.085,42.12,1174816.0
2020-04-15,FSLR,41.0,41.675,40.51,40.93,1036163.0
2020-04-16,FSLR,41.61,41.84,39.7,40.15,2131636.0
2020-04-17,FSLR,41.64,42.4,41.1801,42.2,1692507.0
2020-04-20,FSLR,41.77,42.28,40.89,41.0,1570333.0
2020-04-21,FSLR,40.16,40.88,38.96,39.18,1336634.0
2020-04-22,FSLR,40.44,40.53,39.6,40.23,989120.0
2020-04-23,FSLR,40.61,42.435,40.3,42.29,1909610.0
2020-04-24,FSLR,42.37,42.8354,40.57,40.84,1672944.0
2020-04-27,FSLR,41.06,43.42,41.06,43.26,1366436.0
2020-04-28,FSLR,43.69,44.4,41.75,41.77,1366800.0
2020-04-29,FSLR,43.03,45.6799,42.3,45.55,1295784.0
2020-04-30,FSLR,44.49,44.895,43.75,44.01,1466937.0
2020-05-01,FSLR,42.5,43.4,41.58,41.98,1237200.0
2020-05-04,FSLR,41.84,43.45,41.3214,43.4,1327990.0
2020-05-05,FSLR,44.93,44.93,42.835,43.1,1033838.0
2020-05-06,FSLR,43.58,44.6,43.07,43.12,1242290.0
2020-05-07,FSLR,43.6,44.76,43.47,44.66,1398016.0
2020-05-08,FSLR,45.4,45.5,43.4,44.16,2087915.0
2020-05-11,FSLR,43.55,44.06,42.45,42.87,1883422.0
2020-05-12,FSLR,43.37,43.4,40.3,40.35,1871016.0
