Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,FTNT,82.2,85.29,75.81,75.81,3043914.0
2020-03-13,FTNT,80.51,84.49,76.0408,82.64,2993402.0
2020-03-16,FTNT,72.54,81.74,70.2,75.7,3443636.0
2020-03-17,FTNT,77.09,79.91,75.06,78.02,3825417.0
2020-03-18,FTNT,72.83,82.1,72.02,76.52,4056073.0
2020-03-19,FTNT,75.83,91.23,75.83,86.16,5873078.0
2020-03-20,FTNT,87.68,93.915,84.62,84.91,4416077.0
2020-03-23,FTNT,85.56,90.5,85.01,85.9,4182234.0
2020-03-24,FTNT,90.51,100.8,90.51,99.78,5617009.0
2020-03-25,FTNT,99.48,102.5699,96.5316,96.91,3394350.0
2020-03-26,FTNT,96.97,101.48,96.97,99.44,3009047.0
2020-03-27,FTNT,96.53,99.89,94.55,97.28,3184525.0
2020-03-30,FTNT,99.33,101.85,98.0,100.95,2274826.0
2020-03-31,FTNT,100.11,104.0,99.64,101.17,3830294.0
2020-04-01,FTNT,96.94,102.41,96.01,100.47,3224104.0
2020-04-02,FTNT,100.04,102.02,98.79,100.92,3797079.0
2020-04-03,FTNT,100.81,102.35,99.61,101.44,2208588.0
2020-04-06,FTNT,104.29,108.605,102.01,107.88,2882763.0
2020-04-07,FTNT,110.91,111.99,105.4,106.69,4776725.0
2020-04-08,FTNT,108.12,110.18,106.69,109.18,1305731.0
2020-04-09,FTNT,109.79,109.79,100.65,101.93,2577883.0
2020-04-13,FTNT,102.0,105.13,100.03,104.64,2405338.0
2020-04-14,FTNT,107.4,109.85,105.05,109.35,1811022.0
2020-04-15,FTNT,107.54,110.76,106.96,109.85,1910903.0
2020-04-16,FTNT,111.27,111.7439,108.195,110.25,1643055.0
2020-04-17,FTNT,111.51,113.06,109.03,112.96,1775164.0
2020-04-20,FTNT,112.95,114.98,111.79,112.35,1673753.0
2020-04-21,FTNT,110.29,110.46,99.6117,101.18,3768662.0
2020-04-22,FTNT,103.8,105.21,102.5,104.31,1418419.0
2020-04-23,FTNT,104.25,104.7071,99.76,100.59,2619343.0
2020-04-24,FTNT,101.0,103.51,99.84,103.27,1512344.0
2020-04-27,FTNT,104.8,106.13,103.25,105.64,1200447.0
2020-04-28,FTNT,107.52,107.87,104.74,105.44,2714709.0
2020-04-29,FTNT,107.0,109.225,105.12,108.52,1232359.0
2020-04-30,FTNT,108.0,109.165,107.22,107.74,1185228.0
2020-05-01,FTNT,105.64,106.91,103.7607,104.34,894188.0
2020-05-04,FTNT,104.23,106.6,104.03,105.695,1057982.0
2020-05-05,FTNT,105.7,110.1279,105.7,108.56,1320578.0
2020-05-06,FTNT,109.89,112.2,109.05,111.46,1848341.0
2020-05-07,FTNT,120.93,136.85,120.43,135.12,5535484.0
2020-05-08,FTNT,134.23,137.08,128.65,136.84,2719326.0
2020-05-11,FTNT,135.44,142.36,134.79,140.46,2754035.0
2020-05-12,FTNT,141.91,143.405,138.39,138.39,2113384.0
2020-05-13,FTNT,139.31,139.86,133.91,137.16,1687087.0
2020-05-14,FTNT,135.1,138.44,134.78,138.06,1562009.0
2020-05-15,FTNT,136.79,144.03,136.015,143.43,1560241.0
2020-05-18,FTNT,148.85,148.85,144.05,144.67,3008020.0
2020-05-19,FTNT,144.0,147.5674,144.0,144.82,1188451.0
2020-05-20,FTNT,147.62,149.69,143.49,145.62,2290116.0
2020-05-21,FTNT,144.83,146.0,142.5,143.38,1408716.0
2020-05-22,FTNT,143.37,144.51,141.23,142.64,2100395.0
2020-05-26,FTNT,144.36,145.48,137.1,137.53,2358536.0
2020-05-27,FTNT,137.25,138.36,128.31,131.15,3524101.0
2020-05-28,FTNT,131.46,137.4849,129.93,134.67,1908445.0
2020-05-29,FTNT,135.78,139.49,135.29,139.2,2085530.0
2020-06-01,FTNT,139.81,146.63,139.2067,144.75,2196847.0
2020-06-02,FTNT,145.32,145.84,139.95,143.94,1516464.0
2020-06-03,FTNT,145.0,145.6899,141.66,142.89,1107252.0
2020-06-04,FTNT,141.91,143.295,137.88,139.58,1175066.0
2020-06-05,FTNT,137.96,141.64,135.49,140.48,1678145.0
2020-06-08,FTNT,138.08,139.23,135.36,137.51,1615423.0
2020-06-09,FTNT,137.5,137.7,135.04,135.92,1372065.0
2020-06-10,FTNT,137.35,139.99,137.35,137.64,1298587.0
2020-06-11,FTNT,136.39,137.97,131.34,131.73,1373294.0
2020-06-12,FTNT,133.86,135.7736,128.25,130.34,1264068.0
2020-06-15,FTNT,128.4,137.31,126.88,135.91,2180472.0
2020-06-16,FTNT,139.31,140.0,135.36,136.73,1406694.0
2020-06-17,FTNT,137.77,138.84,134.79,135.48,1422178.0
2020-06-18,FTNT,135.22,136.98,134.54,135.64,1417724.0
2020-06-19,FTNT,137.21,138.37,133.46,136.71,5126506.0
2020-06-22,FTNT,137.66,144.24,136.59,142.87,2659340.0
2020-06-23,FTNT,144.29,144.5,136.68,137.07,2276040.0
2020-06-24,FTNT,137.72,140.818,133.0038,134.33,2198232.0
2020-06-25,FTNT,134.65,136.81,133.28,135.83,1246081.0
2020-06-26,FTNT,136.0,136.49,133.11,134.55,1757405.0
2020-06-29,FTNT,134.01,134.3983,128.31,133.47,1596456.0
2020-06-30,FTNT,134.12,137.66,133.69,137.27,1508295.0
2020-07-01,FTNT,137.27,139.86,136.21,139.22,1339473.0
2020-07-02,FTNT,140.32,140.9424,137.788,138.44,1098000.0
2020-07-06,FTNT,139.67,142.655,138.655,139.7,1383594.0
2020-07-07,FTNT,136.99,140.76,136.07,137.96,1613918.0
2020-07-08,FTNT,139.19,146.76,138.5,146.35,2653937.0
2020-07-09,FTNT,148.69,151.95,145.42,149.6,2803973.0
2020-07-10,FTNT,150.97,150.97,145.41,145.8,1513164.0
2020-07-13,FTNT,145.89,146.62,130.441,131.12,3495368.0
2020-07-14,FTNT,132.81,136.38,128.63,134.48,2964142.0
2020-07-15,FTNT,131.4,131.55,124.24,129.32,2965748.0
2020-07-16,FTNT,127.69,128.5,124.821,127.35,1751598.0
2020-07-17,FTNT,127.62,129.65,125.42,129.12,1507123.0
2020-07-20,FTNT,129.31,135.13,128.87,134.79,1384009.0
2020-07-21,FTNT,136.0,136.2,131.55,133.66,1356044.0
2020-07-22,FTNT,135.88,137.39,133.68,134.29,2098295.0
2020-07-23,FTNT,134.39,138.39,133.75,135.16,1603570.0
2020-07-24,FTNT,133.08,134.33,130.35,133.04,1024509.0
2020-07-27,FTNT,134.59,136.98,133.65,136.65,766089.0
2020-07-28,FTNT,136.12,136.92,133.27,133.42,1041592.0
2020-07-29,FTNT,134.86,137.86,134.18,136.84,777180.0
2020-07-30,FTNT,135.06,138.23,133.33,136.75,986826.0
2020-07-31,FTNT,138.4,138.52,135.41,138.3,960214.0
2020-08-03,FTNT,140.0,141.385,136.52,138.22,1650779.0
2020-08-04,FTNT,137.32,138.86,136.2,138.83,1138964.0
2020-08-05,FTNT,140.12,140.8,137.6501,140.12,1501743.0
2020-08-06,FTNT,140.0,140.79,137.24,139.51,1741948.0
2020-08-07,FTNT,130.93,131.6849,125.58,131.0,4333777.0
2020-08-10,FTNT,131.17,132.82,125.71,126.88,1717189.0
2020-08-11,FTNT,126.0,128.17,123.0563,126.59,2271980.0
2020-08-12,FTNT,127.31,128.25,125.78,126.7,1231745.0
2020-08-13,FTNT,126.43,128.62,126.3,127.44,1088558.0
2020-08-14,FTNT,127.5,128.4,125.7,127.6,917445.0
2020-08-17,FTNT,128.5,130.4592,128.5,129.16,948235.0
2020-08-18,FTNT,130.1,131.37,128.21,129.92,1011662.0
2020-08-19,FTNT,129.25,130.76,127.601,129.51,1707374.0
2020-08-20,FTNT,130.43,133.94,128.75,133.59,999801.0
2020-08-21,FTNT,133.83,134.31,130.92,131.71,946815.0
2020-08-24,FTNT,133.32,134.53,129.16,133.06,1166191.0
2020-08-25,FTNT,131.94,133.405,131.135,133.28,970578.0
2020-08-26,FTNT,134.0,138.67,133.815,137.22,1429996.0
2020-08-27,FTNT,136.71,136.7123,130.41,132.07,1799384.0
2020-08-28,FTNT,133.0,134.24,130.06,130.74,1374900.0
2020-08-31,FTNT,131.0,132.3,129.165,132.005,2547499.0
2020-09-01,FTNT,132.74,134.4,129.85,130.52,1382645.0
2020-09-02,FTNT,131.77,133.3,129.99,132.6,1382918.0
2020-09-03,FTNT,130.22,130.48,119.04,120.7,2598262.0
2020-09-04,FTNT,119.99,121.68,112.68,117.64,2373916.0
2020-09-08,FTNT,114.0,118.14,113.89,115.42,1732169.0
2020-09-09,FTNT,118.22,118.22,114.77,117.11,1094414.0
2020-09-10,FTNT,117.76,120.59,116.3,116.76,1503036.0
2020-09-11,FTNT,118.05,119.0745,113.52,115.17,1092035.0
2020-09-14,FTNT,116.22,118.6226,116.1314,118.01,892701.0
