Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,F,5.38,5.69,5.2,5.34,93326607.0
2020-03-13,F,5.87,5.9,5.12,5.63,133250092.0
2020-03-16,F,5.01,5.22,5.0,5.01,114501616.0
2020-03-17,F,5.08,5.14,4.7,5.01,106872013.0
2020-03-18,F,4.75,4.84,4.1,4.5,129659362.0
2020-03-19,F,4.33,4.58,4.1,4.47,129589836.0
2020-03-20,F,4.54,4.75,4.25,4.33,140753046.0
2020-03-23,F,4.27,4.52,3.96,4.01,144085599.0
2020-03-24,F,4.47,4.99,4.26,4.95,149718634.0
2020-03-25,F,5.77,5.87,5.12,5.39,206943987.0
2020-03-26,F,5.36,5.65,5.16,5.25,144087820.0
2020-03-27,F,5.07,5.3,4.91,5.19,109533168.0
2020-03-30,F,5.11,5.1197,4.93,5.03,104871545.0
2020-03-31,F,5.03,5.19,4.75,4.83,291616485.0
2020-04-01,F,4.63,4.77,4.36,4.4,122267027.0
2020-04-02,F,4.39,4.57,4.25,4.36,94284617.0
2020-04-03,F,4.4,4.42,4.17,4.24,89060222.0
2020-04-06,F,4.54,4.67,4.41,4.53,107133052.0
2020-04-07,F,4.85,5.03,4.63,4.71,118848789.0
2020-04-08,F,4.86,5.09,4.8,5.03,121417595.0
2020-04-09,F,5.51,5.75,5.24,5.37,185278140.0
2020-04-13,F,5.43,5.43,5.02,5.16,102688482.0
2020-04-14,F,5.27,5.44,5.16,5.29,76665917.0
2020-04-15,F,5.06,5.14,4.95,5.03,77889778.0
2020-04-16,F,5.06,5.0697,4.89,4.94,61557504.0
2020-04-17,F,5.17,5.28,5.03,5.12,94478417.0
2020-04-20,F,5.01,5.09,4.91,4.98,75139639.0
2020-04-21,F,4.89,4.92,4.72,4.77,85236948.0
2020-04-22,F,4.87,4.89,4.75,4.77,64245836.0
2020-04-23,F,4.8,4.98,4.77,4.89,63477235.0
2020-04-24,F,4.94,4.96,4.8,4.87,58882201.0
2020-04-27,F,4.91,5.19,4.88,5.17,93672028.0
2020-04-28,F,5.49,5.54,5.215,5.38,108413257.0
2020-04-29,F,5.33,5.5,5.2104,5.26,128791440.0
2020-04-30,F,5.16,5.24,5.06,5.09,96425035.0
2020-05-01,F,5.01,5.05,4.9,4.92,84999935.0
2020-05-04,F,4.89,4.97,4.77,4.86,87454007.0
2020-05-05,F,4.99,5.09,4.94,4.97,98346390.0
2020-05-06,F,5.05,5.09,4.82,4.87,92338530.0
2020-05-07,F,4.91,4.98,4.85,4.87,68876333.0
2020-05-08,F,4.95,5.25,4.95,5.24,103970415.0
2020-05-11,F,5.18,5.19,5.05,5.12,77144117.0
2020-05-12,F,5.15,5.22,4.97,4.98,73330044.0
2020-05-13,F,5.0,5.01,4.66,4.72,102417669.0
2020-05-14,F,4.645,4.92,4.52,4.89,110186685.0
2020-05-15,F,4.8,4.94,4.75,4.9,82832151.0
2020-05-18,F,5.13,5.33,5.12,5.31,141019499.0
2020-05-19,F,5.27,5.45,5.15,5.3,98372446.0
2020-05-20,F,5.38,5.54,5.37,5.49,89457974.0
2020-05-21,F,5.45,5.69,5.44,5.63,89757217.0
2020-05-22,F,5.68,5.73,5.5,5.65,78117377.0
2020-05-26,F,5.92,5.99,5.82,5.84,87647511.0
2020-05-27,F,6.01,6.09,5.84,6.03,112331804.0
2020-05-28,F,6.05,6.07,5.81,5.85,78513358.0
2020-05-29,F,5.75,5.8,5.57,5.71,98948627.0
2020-06-01,F,5.73,5.88,5.67,5.87,63785661.0
2020-06-02,F,5.96,6.0,5.83,5.9,83342151.0
2020-06-03,F,5.99,6.27,5.92,6.19,101495850.0
2020-06-04,F,6.2,6.58,6.12,6.57,117704769.0
2020-06-05,F,7.24,7.5,7.02,7.34,211740820.0
2020-06-08,F,7.53,7.74,7.37,7.53,116096111.0
2020-06-09,F,7.22,7.44,7.05,7.24,119067197.0
2020-06-10,F,7.33,7.34,6.77,6.81,148806491.0
2020-06-11,F,6.07,6.46,6.04,6.13,119023590.0
2020-06-12,F,6.56,6.63,6.3,6.46,91222727.0
2020-06-15,F,6.18,6.58,6.11,6.5,106819216.0
2020-06-16,F,6.87,6.87,6.44,6.55,112212894.0
2020-06-17,F,6.56,6.56,6.31,6.33,70113730.0
2020-06-18,F,6.26,6.45,6.19,6.33,62867350.0
2020-06-19,F,6.64,6.69,6.23,6.23,147729102.0
2020-06-22,F,6.27,6.28,6.13,6.28,73711211.0
2020-06-23,F,6.33,6.38,6.14,6.15,88299826.0
2020-06-24,F,6.06,6.1225,5.86,5.95,77521306.0
2020-06-25,F,5.86,6.05,5.8,6.03,75839576.0
2020-06-26,F,6.07,6.07,5.81,5.91,144738385.0
2020-06-29,F,5.91,6.07,5.81,6.01,60011491.0
2020-06-30,F,5.99,6.1,5.9,6.08,65606020.0
