Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,GDDY,53.5,56.31,51.18,51.79,3918309.0
2020-03-13,GDDY,54.26,55.04,49.63,54.95,2294449.0
2020-03-16,GDDY,48.25,50.545,44.26,44.42,4039737.0
2020-03-17,GDDY,44.86,50.25,41.35,44.77,3959142.0
2020-03-18,GDDY,41.59,47.74,40.25,41.92,3572017.0
2020-03-19,GDDY,41.36,48.74,41.05,47.88,3955035.0
2020-03-20,GDDY,48.05,52.23,47.72,48.71,3508761.0
2020-03-23,GDDY,48.4,50.49,46.15,48.77,2990307.0
2020-03-24,GDDY,51.57,57.54,51.47,57.31,3592626.0
2020-03-25,GDDY,57.4,60.35,57.145,57.47,2518187.0
2020-03-26,GDDY,57.92,60.78,57.42,58.56,3983224.0
2020-03-27,GDDY,55.57,59.0,54.6,56.67,6154946.0
2020-03-30,GDDY,56.93,59.65,56.25,59.16,3533363.0
2020-03-31,GDDY,58.79,60.63,56.81,57.11,4322299.0
2020-04-01,GDDY,54.98,55.54,50.76,52.86,4658749.0
2020-04-02,GDDY,53.26,57.54,52.2,56.24,4958935.0
2020-04-03,GDDY,55.37,56.43,50.63,52.07,4992358.0
2020-04-06,GDDY,55.4,59.35,54.64,58.82,2865121.0
2020-04-07,GDDY,61.0,62.22,57.47,58.01,2308284.0
2020-04-08,GDDY,58.79,61.76,58.31,61.16,1427486.0
2020-04-09,GDDY,61.95,63.83,61.455,62.54,1241957.0
2020-04-13,GDDY,62.33,62.81,60.47,62.31,1384752.0
2020-04-14,GDDY,63.68,64.935,62.79,63.84,1715548.0
2020-04-15,GDDY,62.1,64.33,61.26,63.67,1004612.0
2020-04-16,GDDY,64.03,64.89,63.28,64.46,1071397.0
2020-04-17,GDDY,65.0,67.11,64.74,66.82,1349599.0
2020-04-20,GDDY,65.81,67.865,65.4,67.16,1163780.0
2020-04-21,GDDY,65.85,66.57,62.89,64.41,1032130.0
2020-04-22,GDDY,65.16,66.21,64.61,65.23,1616951.0
2020-04-23,GDDY,65.23,67.28,65.23,66.26,1197554.0
2020-04-24,GDDY,66.48,67.72,65.7486,67.39,849053.0
2020-04-27,GDDY,68.44,69.15,67.2,67.49,1708955.0
2020-04-28,GDDY,68.04,68.76,65.845,66.05,877892.0
2020-04-29,GDDY,67.35,68.72,66.88,68.12,1265038.0
2020-04-30,GDDY,68.26,69.55,67.68,69.43,2684210.0
2020-05-01,GDDY,67.66,68.69,65.51,65.82,1645658.0
2020-05-04,GDDY,65.27,67.19,64.56,66.81,1516518.0
2020-05-05,GDDY,67.4,69.54,67.01,68.62,1324649.0
2020-05-06,GDDY,69.2,70.4299,68.66,70.0,2408738.0
2020-05-07,GDDY,72.39,74.7,71.88,73.04,2554039.0
2020-05-08,GDDY,73.43,75.57,72.65,75.05,1500526.0
2020-05-11,GDDY,74.18,76.42,74.18,75.47,1791569.0
2020-05-12,GDDY,76.0,76.975,75.01,75.54,1445885.0
2020-05-13,GDDY,75.81,76.85,74.55,76.79,2287320.0
2020-05-14,GDDY,76.01,76.86,74.685,76.21,1652879.0
2020-05-15,GDDY,75.3,76.71,74.87,76.51,1297040.0
2020-05-18,GDDY,76.58,78.4399,75.02,75.07,1963848.0
2020-05-19,GDDY,75.69,75.74,74.32,74.48,1298142.0
2020-05-20,GDDY,75.89,76.54,74.83,75.15,2184152.0
2020-05-21,GDDY,75.31,75.63,73.68,74.37,1262358.0
2020-05-22,GDDY,74.75,75.73,73.25,75.66,882746.0
2020-05-26,GDDY,77.0,77.85,75.05,75.24,1379085.0
2020-05-27,GDDY,74.52,77.49,73.69,77.48,1524545.0
2020-05-28,GDDY,77.36,77.7599,76.31,76.5,1166146.0
2020-05-29,GDDY,76.4,77.29,75.55,77.25,1362474.0
2020-06-01,GDDY,77.0,78.5,76.76,77.96,1281726.0
2020-06-02,GDDY,78.39,80.7,77.8,80.32,2673981.0
2020-06-03,GDDY,80.57,82.47,79.9,81.47,1387276.0
2020-06-04,GDDY,81.21,81.63,78.52,79.14,1143841.0
2020-06-05,GDDY,79.62,81.13,78.32,78.59,1245485.0
2020-06-08,GDDY,78.64,81.29,77.53,80.86,1279580.0
2020-06-09,GDDY,80.99,81.41,78.91,79.63,714624.0
2020-06-10,GDDY,80.0,80.34,78.89,79.44,676114.0
2020-06-11,GDDY,77.35,77.71,75.1,75.27,1123364.0
2020-06-12,GDDY,77.85,78.6,74.58,76.26,906813.0
2020-06-15,GDDY,74.7,77.56,73.81,77.42,1119014.0
2020-06-16,GDDY,79.49,80.0,77.35,78.49,1174466.0
2020-06-17,GDDY,79.0,80.24,78.2,79.92,1199395.0
2020-06-18,GDDY,79.99,80.415,79.38,80.15,1051618.0
2020-06-19,GDDY,80.94,81.32,79.61,81.2,4482459.0
2020-06-22,GDDY,81.75,82.66,81.27,82.41,2321077.0
2020-06-23,GDDY,82.88,84.49,82.531,82.71,1956613.0
2020-06-24,GDDY,82.54,83.01,74.7839,75.59,3524376.0
2020-06-25,GDDY,75.0,76.35,73.82,74.79,2188811.0
2020-06-26,GDDY,74.7,75.12,71.47,71.56,3934234.0
2020-06-29,GDDY,71.93,72.63,70.7,72.59,1530434.0
2020-06-30,GDDY,72.6,73.83,71.39,73.33,2044196.0
2020-07-01,GDDY,73.3,74.16,72.775,73.85,1755379.0
2020-07-02,GDDY,74.68,74.8134,71.06,71.3,1800979.0
2020-07-06,GDDY,72.26,72.4,70.25,70.57,1940828.0
2020-07-07,GDDY,70.68,71.46,69.71,69.74,2676660.0
2020-07-08,GDDY,70.32,71.58,70.0,70.88,2250886.0
