Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,GEN,16.48,17.71,15.9,17.26,9654027.0
2020-03-13,GEN,18.12,18.34,16.95,17.45,11669528.0
2020-03-16,GEN,16.01,17.57,15.77,16.84,12029858.0
2020-03-17,GEN,16.93,17.27,15.74,16.64,13425237.0
2020-03-18,GEN,15.72,16.91,15.12,16.61,12260081.0
2020-03-19,GEN,16.56,17.26,15.83,16.82,16824241.0
2020-03-20,GEN,16.7,17.09,15.99,16.96,15248362.0
2020-03-23,GEN,16.8,16.9,16.06,16.58,15731930.0
2020-03-24,GEN,17.15,17.97,16.23,17.35,11201365.0
2020-03-25,GEN,17.78,18.99,17.04,17.89,8802304.0
2020-03-26,GEN,17.97,18.825,17.94,18.73,7587959.0
2020-03-27,GEN,18.4,19.385,18.11,18.93,7667249.0
2020-03-30,GEN,19.24,19.67,18.82,19.1,8808326.0
2020-03-31,GEN,18.97,19.525,18.47,18.71,13067289.0
2020-04-01,GEN,18.15,19.22,18.04,18.76,7229849.0
2020-04-02,GEN,18.53,18.95,18.15,18.47,7440733.0
2020-04-03,GEN,18.41,18.76,18.185,18.29,4459199.0
2020-04-06,GEN,18.78,19.12,18.48,18.97,5412729.0
2020-04-07,GEN,19.5,19.66,18.89,18.94,7815390.0
2020-04-08,GEN,19.11,19.71,18.9,19.58,3791283.0
2020-04-09,GEN,19.33,19.82,18.84,19.37,5818879.0
2020-04-13,GEN,19.26,19.41,18.63,18.86,7293692.0
2020-04-14,GEN,19.17,19.42,18.95,19.07,6596894.0
2020-04-15,GEN,18.8174,20.2,18.76,19.7,6416306.0
2020-04-16,GEN,20.24,20.605,19.9,20.42,10813431.0
2020-04-17,GEN,20.69,20.74,19.91,20.12,7674983.0
2020-04-20,GEN,20.09,20.295,19.785,20.01,5783219.0
2020-04-21,GEN,19.75,19.97,19.06,19.38,9535593.0
2020-04-22,GEN,19.63,20.02,19.41,19.91,7459939.0
2020-04-23,GEN,19.86,20.29,19.65,20.21,7320240.0
2020-04-24,GEN,20.21,21.22,19.89,20.96,12272210.0
2020-04-27,GEN,21.4,21.825,21.075,21.28,11104820.0
2020-04-28,GEN,21.43,21.49,20.885,20.97,5173750.0
2020-04-29,GEN,21.3286,21.54,20.84,21.28,12479590.0
2020-04-30,GEN,21.41,21.62,21.01,21.27,8077087.0
2020-05-01,GEN,20.99,21.185,20.63,20.86,4470928.0
2020-05-04,GEN,20.94,21.33,20.81,21.1,8217555.0
2020-05-05,GEN,21.17,21.795,21.11,21.53,4307767.0
2020-05-06,GEN,21.79,21.8,21.24,21.52,5703121.0
2020-05-07,GEN,21.76,21.7873,21.12,21.18,7734043.0
2020-05-08,GEN,21.3,21.47,20.925,21.28,5506722.0
2020-05-11,GEN,21.23,21.88,21.23,21.5,5631810.0
2020-05-12,GEN,21.57,21.65,20.8,20.8,6156983.0
2020-05-13,GEN,20.78,21.11,20.21,20.43,5540394.0
2020-05-14,GEN,20.51,20.99,19.98,20.93,5800071.0
2020-05-15,GEN,20.77,21.08,19.91,20.025,7560339.0
2020-05-18,GEN,20.41,20.49,19.8,19.94,6588616.0
2020-05-19,GEN,20.01,20.42,19.73,20.23,7795350.0
2020-05-20,GEN,20.39,21.15,20.24,21.0,10658596.0
