Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,GE,7.23,7.78,6.83,7.4,165821816.0
2020-03-13,GE,7.8,8.04,7.19,7.85,118359783.0
2020-03-16,GE,6.99,7.15,6.65,6.95,125969443.0
2020-03-17,GE,6.91,7.33,6.3,7.08,125413046.0
2020-03-18,GE,6.51,6.8,5.9,6.6,143800408.0
2020-03-19,GE,6.4,6.91,6.15,6.48,108454702.0
2020-03-20,GE,7.01,7.05,6.45,6.52,138250925.0
2020-03-23,GE,6.45,6.63,6.03,6.11,110928938.0
2020-03-24,GE,6.66,7.06,6.47,7.01,134478669.0
2020-03-25,GE,7.45,8.0,6.96,7.56,145361236.0
2020-03-26,GE,7.63,8.3,7.51,8.12,131867694.0
2020-03-27,GE,7.7,7.87,7.54,7.62,98441528.0
2020-03-30,GE,7.54,7.94,7.35,7.89,91208340.0
2020-03-31,GE,7.87,8.18,7.815,7.94,154374024.0
2020-04-01,GE,7.52,7.55,7.0,7.04,106002920.0
2020-04-02,GE,7.01,7.39,6.77,6.9,103154268.0
2020-04-03,GE,7.03,7.05,6.58,6.73,102235707.0
2020-04-06,GE,7.07,7.3,6.94,7.23,109473212.0
2020-04-07,GE,7.69,7.75,7.0,7.03,101005781.0
2020-04-08,GE,7.22,7.38,7.06,7.3,98503806.0
2020-04-09,GE,7.48,7.54,7.09,7.14,133561865.0
2020-04-13,GE,7.13,7.13,6.76,7.02,98616058.0
2020-04-14,GE,7.1,7.24,6.84,6.93,111692262.0
2020-04-15,GE,6.73,6.73,6.35,6.5,147591191.0
2020-04-16,GE,6.48,6.54,6.2,6.24,174733469.0
2020-04-17,GE,6.47,6.94,6.34,6.84,174878132.0
2020-04-20,GE,6.61,6.75,6.46,6.51,104006863.0
2020-04-21,GE,6.39,6.58,6.3,6.48,81266039.0
2020-04-22,GE,6.59,6.64,6.4,6.43,80927148.0
2020-04-23,GE,6.45,6.74,6.43,6.52,89819203.0
2020-04-24,GE,6.59,6.6,6.25,6.26,169327341.0
2020-04-27,GE,6.38,6.47,6.33,6.43,112665492.0
2020-04-28,GE,6.57,6.92,6.57,6.8,143695756.0
2020-04-29,GE,6.68,6.9,6.52,6.58,229879180.0
2020-04-30,GE,6.56,6.82,6.41,6.8,196647722.0
2020-05-01,GE,6.67,6.74,6.41,6.5,123924996.0
2020-05-04,GE,6.3,6.31,6.15,6.21,140135195.0
2020-05-05,GE,6.28,6.46,6.16,6.2,120462643.0
2020-05-06,GE,6.23,6.25,5.97,5.98,120748282.0
2020-05-07,GE,6.07,6.26,6.06,6.11,105177659.0
