Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,GL,67.99,68.695,62.57,63.78,1251318.0
2020-03-13,GL,68.18,71.65,63.8,71.58,1149202.0
2020-03-16,GL,62.57,67.64,61.6,61.95,1089570.0
2020-03-17,GL,63.4,67.79,60.73,67.63,1059440.0
2020-03-18,GL,63.92,69.01,62.01,67.06,1626689.0
2020-03-19,GL,65.66,67.09,62.38,64.5,895744.0
2020-03-20,GL,64.62,66.98,61.03,61.41,1418260.0
2020-03-23,GL,61.5,61.5,56.74,58.15,816661.0
2020-03-24,GL,60.57,65.6,60.51,65.38,777788.0
2020-03-25,GL,64.9,71.65,63.67,67.82,1149919.0
2020-03-26,GL,68.73,73.0,67.0736,72.31,1099745.0
2020-03-27,GL,70.13,72.99,68.92,71.23,698463.0
2020-03-30,GL,70.98,74.64,68.96,74.22,892232.0
2020-03-31,GL,73.19,74.78,71.29,71.97,1045820.0
2020-04-01,GL,68.07,69.675,65.04,66.02,960204.0
2020-04-02,GL,65.05,67.84,64.91,66.96,901499.0
2020-04-03,GL,65.81,66.72,63.08,63.93,971506.0
2020-04-06,GL,67.81,72.495,67.34,71.87,859745.0
2020-04-07,GL,75.56,76.6,71.04,71.3,832935.0
2020-04-08,GL,71.58,75.63,70.64,75.21,678803.0
2020-04-09,GL,76.07,81.27,75.94,80.4,751548.0
2020-04-13,GL,78.75,80.24,77.525,79.71,619856.0
2020-04-14,GL,81.5,81.665,78.63,80.02,926841.0
2020-04-15,GL,77.19,77.27,74.57,75.0,773962.0
2020-04-16,GL,74.19,75.145,72.55,72.8,729138.0
2020-04-17,GL,76.13,77.82,74.895,77.25,755623.0
2020-04-20,GL,75.82,76.7,74.07,75.6,792865.0
2020-04-21,GL,73.56,74.75,72.89,73.51,713859.0
2020-04-22,GL,75.67,75.67,73.2,73.22,560897.0
2020-04-23,GL,72.89,77.11,71.65,74.86,917999.0
2020-04-24,GL,75.69,76.21,73.89,76.07,721515.0
2020-04-27,GL,76.37,82.49,76.34,82.23,950807.0
2020-04-28,GL,84.44,86.08,82.815,83.07,876603.0
2020-04-29,GL,86.1,86.41,83.66,85.39,514604.0
2020-04-30,GL,83.1,84.57,82.25,82.34,582613.0
2020-05-01,GL,80.8,81.035,79.055,79.99,600427.0
2020-05-04,GL,78.99,79.71,77.46,78.56,685133.0
2020-05-05,GL,80.4,80.61,77.5,77.54,528791.0
2020-05-06,GL,78.07,78.32,74.09,74.19,572269.0
2020-05-07,GL,75.04,77.845,75.04,75.73,743477.0
2020-05-08,GL,77.39,77.75,75.52,77.75,713069.0
2020-05-11,GL,76.47,77.28,75.0,75.11,672500.0
2020-05-12,GL,74.98,75.39,71.61,71.61,643311.0
2020-05-13,GL,70.81,70.81,65.9,66.55,897919.0
2020-05-14,GL,65.29,67.545,62.75,67.37,802705.0
2020-05-15,GL,66.48,69.03,65.31,68.76,4411290.0
2020-05-18,GL,72.61,75.04,71.6,73.94,1975060.0
2020-05-19,GL,73.68,73.83,70.74,70.75,523100.0
2020-05-20,GL,71.81,73.62,71.57,72.6,487221.0
2020-05-21,GL,72.12,73.85,72.12,73.38,439077.0
2020-05-22,GL,73.36,73.45,71.67,72.54,601888.0
2020-05-26,GL,75.82,78.23,75.27,76.83,558998.0
2020-05-27,GL,80.35,81.055,78.14,78.44,639007.0
2020-05-28,GL,79.18,79.18,76.73,77.08,582021.0
2020-05-29,GL,76.04,77.81,75.25,77.02,1051135.0
2020-06-01,GL,77.33,79.95,76.38,79.25,756457.0
2020-06-02,GL,80.67,81.005,78.51,78.94,761288.0
2020-06-03,GL,80.94,82.77,80.34,80.86,594267.0
2020-06-04,GL,80.25,82.68,79.54,82.64,768699.0
2020-06-05,GL,87.36,88.43,85.69,85.92,680187.0
2020-06-08,GL,86.32,88.53,86.22,87.24,722366.0
2020-06-09,GL,84.63,85.94,83.765,85.01,500258.0
2020-06-10,GL,84.41,84.91,82.31,82.49,615493.0
2020-06-11,GL,78.14,79.69,73.92,74.0,658338.0
2020-06-12,GL,77.27,77.75,73.69,75.9,593438.0
2020-06-15,GL,72.95,77.4,72.82,76.86,634600.0
2020-06-16,GL,81.0,81.0,76.72,78.22,720937.0
2020-06-17,GL,78.43,78.6358,76.11,76.48,1171148.0
2020-06-18,GL,75.42,77.425,75.33,76.64,516845.0
2020-06-19,GL,78.46,78.64,74.6,76.2,1453197.0
2020-06-22,GL,75.81,75.81,74.32,75.45,614220.0
2020-06-23,GL,77.04,77.25,74.77,74.82,770469.0
2020-06-24,GL,73.83,73.83,71.13,71.19,1120201.0
2020-06-25,GL,70.65,72.8,70.46,72.66,739231.0
2020-06-26,GL,71.54,72.03,70.19,70.85,1286871.0
2020-06-29,GL,72.13,73.02,71.14,72.35,594560.0
2020-06-30,GL,72.18,74.76,72.18,74.23,790174.0
2020-07-01,GL,74.6,74.625,72.27,72.8,656453.0
2020-07-02,GL,74.61,75.04,72.285,72.53,532121.0
2020-07-06,GL,74.4,75.18,73.06,73.92,716141.0
2020-07-07,GL,72.79,73.08,71.38,71.5,851410.0
2020-07-08,GL,71.82,73.095,71.2,72.2,971408.0
2020-07-09,GL,72.15,72.15,69.47,70.19,481571.0
2020-07-10,GL,70.37,72.35,70.32,72.32,729266.0
2020-07-13,GL,73.35,73.68,71.98,72.52,418798.0
2020-07-14,GL,72.25,73.65,71.7801,73.38,448152.0
2020-07-15,GL,75.06,75.79,74.12,75.31,401933.0
2020-07-16,GL,74.56,77.32,74.4,75.97,458126.0
2020-07-17,GL,76.19,76.19,74.74,75.32,507685.0
