Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,GRMN,75.95,77.86,72.38,72.88,1831128.0
2020-03-13,GRMN,75.07,77.725,73.25,77.34,1661616.0
2020-03-16,GRMN,69.0,73.5,67.5,70.85,2148882.0
2020-03-17,GRMN,71.73,75.73,70.65,73.93,1753929.0
2020-03-18,GRMN,70.39,71.96,65.62,71.71,1383626.0
2020-03-19,GRMN,71.39,73.53,68.84,70.11,1210455.0
2020-03-20,GRMN,70.85,70.85,65.71,66.03,1983484.0
2020-03-23,GRMN,65.91,65.91,61.04,63.63,1790414.0
2020-03-24,GRMN,66.64,70.81,65.22,70.37,1413906.0
2020-03-25,GRMN,70.45,73.79,66.47,71.71,1781606.0
2020-03-26,GRMN,72.16,74.95,71.08,74.23,1620382.0
2020-03-27,GRMN,72.0,76.18,70.26,73.53,1480171.0
2020-03-30,GRMN,73.87,77.23,72.41,76.69,1341053.0
2020-03-31,GRMN,76.04,76.98,74.57,74.96,1234401.0
2020-04-01,GRMN,71.99,74.48,70.21,71.41,1384536.0
2020-04-02,GRMN,70.91,73.66,70.63,73.46,1477029.0
2020-04-03,GRMN,73.35,74.1,70.65,71.56,1243259.0
2020-04-06,GRMN,74.35,76.1799,74.11,75.44,1573132.0
2020-04-07,GRMN,77.52,78.48,73.63,74.23,1741112.0
2020-04-08,GRMN,74.69,77.73,74.05,77.36,1313147.0
2020-04-09,GRMN,78.77,79.74,77.61,78.65,1465698.0
2020-04-13,GRMN,78.57,78.57,76.84,77.82,1162216.0
2020-04-14,GRMN,79.22,82.41,78.92,81.99,1142669.0
2020-04-15,GRMN,79.94,80.41,77.65,77.93,1224862.0
2020-04-16,GRMN,78.13,79.08,77.32,78.66,1286669.0
2020-04-17,GRMN,80.98,83.25,80.52,82.11,3888851.0
2020-04-20,GRMN,81.41,81.74,79.53,80.05,934776.0
2020-04-21,GRMN,78.57,79.46,77.73,78.04,1097821.0
2020-04-22,GRMN,79.57,79.95,78.51,78.96,712931.0
2020-04-23,GRMN,78.67,80.53,78.67,79.3,724337.0
2020-04-24,GRMN,79.73,80.35,78.38,78.92,821299.0
2020-04-27,GRMN,78.78,81.25,78.29,80.74,1118978.0
2020-04-28,GRMN,82.27,83.97,81.7,83.4,1177661.0
2020-04-29,GRMN,86.05,87.495,82.61,82.91,1889670.0
2020-04-30,GRMN,82.25,82.361,79.62,81.16,1907901.0
2020-05-01,GRMN,79.74,81.16,79.22,79.81,1211489.0
2020-05-04,GRMN,79.11,80.0626,78.76,79.72,1114560.0
2020-05-05,GRMN,80.18,81.79,79.91,80.76,1100292.0
2020-05-06,GRMN,81.29,81.75,78.64,78.73,905020.0
2020-05-07,GRMN,79.27,80.18,77.98,78.04,1055210.0
2020-05-08,GRMN,79.5,81.48,78.51,81.34,1199294.0
2020-05-11,GRMN,80.48,81.72,80.0,80.83,807072.0
2020-05-12,GRMN,81.03,81.68,79.42,79.42,717283.0
2020-05-13,GRMN,78.98,79.26,77.0084,78.17,1098310.0
2020-05-14,GRMN,77.35,77.65,76.02,77.3,1156433.0
2020-05-15,GRMN,77.3,79.3,76.51,78.03,3922813.0
2020-05-18,GRMN,80.14,82.33,79.6401,81.89,976587.0
2020-05-19,GRMN,82.05,83.205,81.57,82.05,1053694.0
