Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,HAS,58.54,59.19,53.78,53.79,2754259.0
2020-03-13,HAS,56.43,57.79,52.02,55.02,3268866.0
2020-03-16,HAS,49.5,50.42,44.69,44.73,2731517.0
2020-03-17,HAS,45.9,48.9338,44.62,46.75,3308841.0
2020-03-18,HAS,44.43,48.36,41.33,46.82,2690034.0
2020-03-19,HAS,46.82,50.3099,45.03,47.29,2604710.0
2020-03-20,HAS,47.98,50.57,45.64,46.11,3137574.0
2020-03-23,HAS,52.08,54.78,49.23,51.87,3985013.0
2020-03-24,HAS,55.0,63.2,54.85,63.11,3688931.0
2020-03-25,HAS,63.82,69.26,62.5389,66.79,3316483.0
2020-03-26,HAS,66.65,71.22,65.0788,68.29,1897392.0
2020-03-27,HAS,64.06,67.2941,63.71,65.64,1457953.0
2020-03-30,HAS,65.21,72.6,65.0,71.48,2062325.0
2020-03-31,HAS,70.8,72.76,70.275,71.55,2713079.0
2020-04-01,HAS,68.04,72.165,67.25,70.08,2501341.0
2020-04-02,HAS,69.84,71.22,68.26,70.43,1593301.0
2020-04-03,HAS,70.59,72.15,66.47,66.94,1810144.0
2020-04-06,HAS,70.99,72.43,69.75,71.2,1377625.0
2020-04-07,HAS,74.72,75.58,73.1,74.41,2100964.0
2020-04-08,HAS,75.06,75.93,72.67,74.15,1304667.0
2020-04-09,HAS,75.22,78.25,74.26,75.67,1607054.0
2020-04-13,HAS,75.1,75.73,72.22,74.22,1097444.0
2020-04-14,HAS,75.4,76.74,73.97,74.66,1401368.0
2020-04-15,HAS,70.97,72.195,70.075,71.53,1747363.0
2020-04-16,HAS,72.25,73.84,71.355,73.01,1448820.0
2020-04-17,HAS,76.5125,76.5125,74.03,75.2,1433205.0
2020-04-20,HAS,74.49,77.37,74.25,75.68,1141792.0
2020-04-21,HAS,73.58,75.65,72.07,72.34,1356290.0
2020-04-22,HAS,73.66,74.85,73.23,74.15,864316.0
2020-04-23,HAS,74.11,74.69,72.68,72.76,1272947.0
2020-04-24,HAS,73.45,75.26,71.75,74.87,1675750.0
2020-04-27,HAS,75.7,77.4,75.6,76.76,1107253.0
2020-04-28,HAS,78.46,80.49,77.3,77.86,2033744.0
2020-04-29,HAS,75.91,76.48,72.45,72.91,4022315.0
2020-04-30,HAS,72.77,73.97,70.56,72.21,2049036.0
2020-05-01,HAS,70.65,70.98,68.24,68.73,1869918.0
2020-05-04,HAS,68.0,69.1,66.62,69.07,1214567.0
2020-05-05,HAS,70.49,70.65,67.14,67.21,1295126.0
2020-05-06,HAS,67.44,68.935,65.8,65.89,1326545.0
2020-05-07,HAS,66.95,68.925,66.82,68.38,982052.0
2020-05-08,HAS,68.99,69.92,68.22,69.7,785448.0
2020-05-11,HAS,69.09,69.46,67.5002,68.6,856050.0
2020-05-12,HAS,68.79,68.81,65.5,65.54,891317.0
2020-05-13,HAS,65.8,65.8,62.01,62.84,1137243.0
2020-05-14,HAS,62.1989,64.83,60.2,64.62,1159458.0
2020-05-15,HAS,64.0,65.28,62.85,64.8,1420226.0
2020-05-18,HAS,67.0,69.49,66.8,68.26,1343347.0
2020-05-19,HAS,68.67,69.22,67.37,67.97,908665.0
2020-05-20,HAS,69.03,69.33,68.17,68.86,730803.0
2020-05-21,HAS,68.51,68.97,67.42,68.8,750490.0
2020-05-22,HAS,68.68,68.9277,66.47,66.69,1079521.0
2020-05-26,HAS,68.85,72.66,68.1,72.56,2441380.0
2020-05-27,HAS,73.61,74.96,72.24,73.35,1207804.0
2020-05-28,HAS,74.07,74.48,72.635,73.46,1366151.0
2020-05-29,HAS,74.2,74.3,72.55,73.51,1952364.0
2020-06-01,HAS,73.56,74.21,72.35,72.66,839639.0
2020-06-02,HAS,73.12,74.82,72.91,73.32,1161930.0
