Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,HES,33.7,35.24,32.19,32.84,8873729.0
2020-03-13,HES,35.2,37.24,31.0,34.92,7066045.0
2020-03-16,HES,31.0,33.71,30.47,31.05,7782978.0
2020-03-17,HES,30.94,34.49,29.8,30.62,8273734.0
2020-03-18,HES,28.39,30.43,26.06,30.14,8667659.0
2020-03-19,HES,30.4,33.73,29.1213,31.13,5017141.0
2020-03-20,HES,32.0,32.82,29.59,30.69,6770302.0
2020-03-23,HES,30.7,31.3,27.77,28.91,5704463.0
2020-03-24,HES,30.46,34.9,30.3826,34.52,4609111.0
2020-03-25,HES,34.76,37.17,32.71,34.74,4453531.0
2020-03-26,HES,34.82,37.62,34.5101,36.68,4517969.0
2020-03-27,HES,34.9,35.85,33.755,34.03,3565921.0
2020-03-30,HES,33.19,33.19,29.83,31.93,8206876.0
2020-03-31,HES,33.33,35.34,32.6225,33.3,4086622.0
2020-04-01,HES,32.2,32.535,30.58,31.98,4298880.0
2020-04-02,HES,33.73,37.5,32.15,35.3,5682163.0
2020-04-03,HES,36.83,37.42,31.05,33.52,5932126.0
2020-04-06,HES,33.95,35.63,32.59,35.13,3775850.0
2020-04-07,HES,37.87,38.99,34.99,35.14,4026525.0
2020-04-08,HES,35.97,39.37,35.79,39.18,3472854.0
2020-04-09,HES,41.25,43.8,38.55,40.38,5409302.0
2020-04-13,HES,42.02,42.27,39.32,39.91,2696008.0
2020-04-14,HES,39.42,39.56,38.05,38.6,3875941.0
2020-04-15,HES,36.02,36.68,34.025,35.42,4916275.0
2020-04-16,HES,34.86,34.89,32.41,32.54,4542306.0
2020-04-17,HES,32.99,37.54,32.62,37.35,4973579.0
2020-04-20,HES,33.96,37.42,33.69,35.93,4933624.0
2020-04-21,HES,34.19,37.1827,33.735,36.37,4421901.0
2020-04-22,HES,38.56,39.51,37.1,39.38,3494702.0
2020-04-23,HES,41.71,42.67,40.63,41.67,3905412.0
2020-04-24,HES,42.64,43.34,40.71,42.46,4418371.0
2020-04-27,HES,41.18,43.48,40.44,43.17,2713533.0
2020-04-28,HES,44.17,44.67,42.83,44.3,2863387.0
2020-04-29,HES,46.58,49.27,45.81,49.01,4319637.0
2020-04-30,HES,49.62,50.4,47.4701,48.64,4289277.0
2020-05-01,HES,47.28,47.74,43.97,44.28,3120910.0
2020-05-04,HES,43.13,46.72,42.71,46.29,3797845.0
2020-05-05,HES,48.96,49.18,45.887,46.14,2968192.0
2020-05-06,HES,46.1,46.65,44.55,45.01,2863724.0
2020-05-07,HES,46.9,48.7,45.71,46.4,3178209.0
2020-05-08,HES,47.69,48.51,47.11,48.48,2288243.0
2020-05-11,HES,47.74,48.3,46.82,47.13,2308827.0
2020-05-12,HES,47.5,47.75,44.59,44.8,2719221.0
2020-05-13,HES,45.1,46.07,41.88,42.36,3117055.0
2020-05-14,HES,41.54,43.89,40.3,42.77,3744700.0
2020-05-15,HES,42.48,45.23,42.335,44.07,3058591.0
2020-05-18,HES,47.22,50.05,46.9201,49.11,3547702.0
2020-05-19,HES,48.71,49.3,45.76,45.86,2083724.0
2020-05-20,HES,47.18,48.37,47.0,47.34,1861436.0
2020-05-21,HES,47.65,48.2,46.51,47.24,1430664.0
2020-05-22,HES,46.64,47.19,46.26,47.1,2030890.0
2020-05-26,HES,49.07,49.61,48.08,48.63,2113674.0
2020-05-27,HES,49.35,49.57,47.34,49.39,1667920.0
2020-05-28,HES,49.56,49.7899,48.3301,48.44,2556312.0
2020-05-29,HES,48.75,48.75,46.48,47.47,3306163.0
2020-06-01,HES,47.59,48.94,47.11,48.7,2677965.0
2020-06-02,HES,50.08,52.01,49.73,51.74,3407784.0
2020-06-03,HES,52.81,52.99,50.66,52.11,2435936.0
