Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,HOLX,41.28,42.12,39.36,39.44,3885242.0
2020-03-13,HOLX,40.97,42.09,38.13,40.58,4495920.0
2020-03-16,HOLX,34.42,37.105,32.13,32.25,4286920.0
2020-03-17,HOLX,34.05,34.05,28.94,31.47,6956046.0
2020-03-18,HOLX,33.2,33.99,26.49,29.62,6884772.0
2020-03-19,HOLX,29.64,32.83,28.71,31.95,5550268.0
2020-03-20,HOLX,32.01,32.85,30.12,31.05,5288172.0
2020-03-23,HOLX,31.04,31.15,29.09,29.38,3716531.0
2020-03-24,HOLX,30.82,31.77,30.23,31.44,4079448.0
2020-03-25,HOLX,31.61,33.2,30.4032,32.26,4682839.0
2020-03-26,HOLX,32.85,34.26,32.5,34.02,4846718.0
2020-03-27,HOLX,32.77,34.09,32.46,33.26,3265237.0
2020-03-30,HOLX,33.0,35.36,32.7032,35.0,4332040.0
2020-03-31,HOLX,34.75,35.3917,34.39,35.1,4974523.0
2020-04-01,HOLX,33.74,34.34,32.55,32.7,3423216.0
2020-04-02,HOLX,32.14,34.24,32.001,34.06,2831931.0
2020-04-03,HOLX,33.91,34.34,32.55,32.82,2362642.0
2020-04-06,HOLX,34.08,36.32,34.04,35.86,2949337.0
2020-04-07,HOLX,38.02,38.89,37.377,37.77,4126573.0
2020-04-08,HOLX,37.31,39.66,37.2605,39.38,2434701.0
2020-04-09,HOLX,40.17,41.67,40.01,41.11,3459320.0
2020-04-13,HOLX,40.76,41.07,39.79,40.96,5438897.0
2020-04-14,HOLX,41.11,42.66,41.04,42.01,3109102.0
2020-04-15,HOLX,40.84,41.64,40.65,41.33,2332489.0
2020-04-16,HOLX,41.48,42.0,41.11,41.46,3040594.0
2020-04-17,HOLX,42.66,43.79,42.42,43.79,2490562.0
2020-04-20,HOLX,42.98,44.32,42.52,43.24,3217442.0
2020-04-21,HOLX,41.68,43.26,41.03,42.35,3168195.0
2020-04-22,HOLX,42.89,43.19,42.4,42.88,3152313.0
2020-04-23,HOLX,43.68,46.34,43.08,45.38,4869922.0
2020-04-24,HOLX,45.9,47.46,45.81,47.11,3376157.0
2020-04-27,HOLX,47.87,49.9,47.51,49.51,2935720.0
2020-04-28,HOLX,49.98,50.5,48.4,48.685,4251443.0
2020-04-29,HOLX,49.52,50.055,48.47,48.95,4061661.0
2020-04-30,HOLX,53.43,53.45,49.22,50.1,9744417.0
2020-05-01,HOLX,49.05,49.69,48.39,49.4,3496841.0
2020-05-04,HOLX,49.47,50.26,48.95,49.93,3060315.0
2020-05-05,HOLX,50.56,51.43,50.085,50.28,3071988.0
2020-05-06,HOLX,51.3,52.3689,50.5371,52.01,3689366.0
2020-05-07,HOLX,52.75,53.25,52.21,52.94,2933813.0
2020-05-08,HOLX,53.22,53.4,51.86,51.99,2336790.0
2020-05-11,HOLX,51.74,53.0,51.69,52.81,1986627.0
2020-05-12,HOLX,53.1,53.47,51.89,51.89,1893178.0
2020-05-13,HOLX,51.53,52.36,50.465,51.35,2547624.0
2020-05-14,HOLX,50.48,51.51,49.9113,51.41,2274164.0
2020-05-15,HOLX,52.0742,52.46,50.98,51.93,2594195.0
2020-05-18,HOLX,52.95,53.99,52.115,52.48,2321984.0
2020-05-19,HOLX,52.24,53.48,52.24,52.89,2269700.0
2020-05-20,HOLX,53.14,54.58,53.12,53.98,2868189.0
2020-05-21,HOLX,53.53,53.925,52.46,52.56,2957505.0
2020-05-22,HOLX,52.41,52.68,51.71,52.33,2140156.0
2020-05-26,HOLX,53.27,53.58,50.93,51.1,2505280.0
2020-05-27,HOLX,51.4,51.43,49.725,51.39,3068790.0
2020-05-28,HOLX,51.68,53.2,51.13,52.32,2090157.0
2020-05-29,HOLX,52.39,53.18,51.29,53.0,4644254.0
2020-06-01,HOLX,52.56,53.8,51.915,53.25,1388576.0
2020-06-02,HOLX,53.06,53.13,52.07,52.71,1616321.0
2020-06-03,HOLX,53.91,54.615,53.36,53.69,4437683.0
2020-06-04,HOLX,53.13,53.76,52.0,52.32,2291414.0
2020-06-05,HOLX,53.09,53.58,52.25,52.41,3793446.0
2020-06-08,HOLX,51.78,53.315,51.64,53.11,1621616.0
2020-06-09,HOLX,53.95,53.95,52.13,52.75,2457330.0
2020-06-10,HOLX,53.04,53.26,51.86,52.01,1808414.0
2020-06-11,HOLX,51.03,51.33,49.82,50.46,2907751.0
2020-06-12,HOLX,51.58,51.77,49.45,50.15,3520412.0
2020-06-15,HOLX,49.32,52.592,49.19,52.4,2958396.0
2020-06-16,HOLX,53.33,53.89,52.49,52.83,2494006.0
2020-06-17,HOLX,53.04,53.33,52.475,52.64,2734464.0
2020-06-18,HOLX,52.19,53.12,52.06,53.07,2923724.0
2020-06-19,HOLX,53.9,55.28,53.5,55.16,8676358.0
2020-06-22,HOLX,55.01,55.5,54.05,55.21,4323829.0
2020-06-23,HOLX,55.75,55.96,55.2,55.5,3744865.0
2020-06-24,HOLX,55.12,55.25,53.145,53.67,4498725.0
2020-06-25,HOLX,54.04,54.78,53.55,54.57,2968731.0
2020-06-26,HOLX,54.77,54.95,53.26,53.52,3330653.0
2020-06-29,HOLX,53.91,53.98,53.02,53.33,2558721.0
2020-06-30,HOLX,54.07,57.32,53.85,57.0,3933286.0
2020-07-01,HOLX,57.47,57.48,55.8,56.97,2158827.0
2020-07-02,HOLX,57.54,58.72,57.54,57.86,3188171.0
2020-07-06,HOLX,58.55,59.14,57.63,57.86,2926879.0
2020-07-07,HOLX,57.42,57.82,56.71,56.85,1966537.0
2020-07-08,HOLX,56.84,57.75,56.79,57.62,1948891.0
2020-07-09,HOLX,57.59,57.92,56.3,57.47,1891305.0
2020-07-10,HOLX,57.38,58.29,56.92,57.695,3168838.0
2020-07-13,HOLX,58.1,59.69,57.23,57.5,2332097.0
2020-07-14,HOLX,57.64,59.47,57.28,59.43,2417281.0
2020-07-15,HOLX,59.99,60.59,59.19,60.26,2098658.0
2020-07-16,HOLX,60.25,60.25,59.545,59.96,1191928.0
2020-07-17,HOLX,60.28,62.29,60.0,61.88,2851028.0
2020-07-20,HOLX,61.79,61.8287,60.99,61.43,1772856.0
2020-07-21,HOLX,61.2935,62.38,61.22,61.84,1925471.0
2020-07-22,HOLX,61.98,62.69,61.69,62.17,1769536.0
2020-07-23,HOLX,63.39,63.6,61.645,61.94,2332303.0
2020-07-24,HOLX,61.56,61.89,60.9322,61.75,2220738.0
2020-07-27,HOLX,61.79,62.87,61.42,62.69,1688393.0
2020-07-28,HOLX,62.43,62.75,61.92,62.1,1594560.0
2020-07-29,HOLX,62.45,64.21,62.15,64.0,2475796.0
2020-07-30,HOLX,69.52,70.15,67.45,69.71,5007906.0
2020-07-31,HOLX,68.6666,70.35,68.6666,69.78,2814266.0
2020-08-03,HOLX,70.6,71.49,70.08,71.32,2822005.0
2020-08-04,HOLX,71.22,72.21,70.8003,72.06,1994282.0
2020-08-05,HOLX,72.26,73.63,72.21,73.32,2497644.0
2020-08-06,HOLX,72.8,73.25,69.44,70.25,3413594.0
2020-08-07,HOLX,70.3,71.3,68.0818,68.55,3306537.0
2020-08-10,HOLX,68.62,68.73,65.71,65.9,2994808.0
2020-08-11,HOLX,66.34,66.34,64.1732,65.79,3007633.0
2020-08-12,HOLX,66.26,68.55,66.14,67.99,2014554.0
2020-08-13,HOLX,67.54,68.77,67.42,68.12,1851254.0
2020-08-14,HOLX,67.64,68.02,66.4726,66.81,1205389.0
2020-08-17,HOLX,67.01,68.48,66.92,68.08,1948794.0
2020-08-18,HOLX,68.2,68.625,67.6,67.8,1743841.0
2020-08-19,HOLX,67.98,68.42,66.88,67.04,2262479.0
2020-08-20,HOLX,66.66,67.38,66.511,67.08,1682193.0
2020-08-21,HOLX,66.75,67.03,66.4,66.75,2024312.0
2020-08-24,HOLX,66.94,67.235,65.11,65.33,1582752.0
2020-08-25,HOLX,65.65,66.2,64.9928,66.115,1293047.0
2020-08-26,HOLX,66.06,66.42,65.3,65.91,1205861.0
2020-08-27,HOLX,60.03,62.45,57.94,61.54,8239564.0
2020-08-28,HOLX,61.9662,61.9662,59.5,60.37,4335616.0
2020-08-31,HOLX,60.6,61.1119,59.61,59.72,4238789.0
2020-09-01,HOLX,59.84,60.51,58.4,59.22,2808128.0
2020-09-02,HOLX,59.49,61.91,58.82,61.74,3206370.0
2020-09-03,HOLX,61.14,61.74,58.66,59.21,3066822.0
2020-09-04,HOLX,59.36,59.61,56.81,58.24,2801932.0
2020-09-08,HOLX,57.61,58.97,57.02,57.6,2550293.0
2020-09-09,HOLX,58.07,59.46,57.98,59.23,2873497.0
2020-09-10,HOLX,59.34,60.91,58.66,59.92,3184641.0
2020-09-11,HOLX,63.875,64.0,61.32,62.04,3834823.0
2020-09-14,HOLX,62.28,62.59,60.45,60.65,2114632.0
2020-09-15,HOLX,61.13,61.95,60.68,60.89,2107362.0
2020-09-16,HOLX,61.28,61.74,60.54,60.77,1840716.0
2020-09-17,HOLX,59.94,63.28,59.71,63.22,3416241.0
2020-09-18,HOLX,63.17,64.28,62.27,63.57,4989951.0
2020-09-21,HOLX,62.5,65.22,61.285,65.12,3437437.0
2020-09-22,HOLX,65.0,65.575,63.65,65.38,2326306.0
2020-09-23,HOLX,65.72,65.72,63.69,63.75,1602287.0
2020-09-24,HOLX,63.72,63.88,62.49,63.01,1276212.0
2020-09-25,HOLX,63.05,64.44,62.45,64.35,1258060.0
2020-09-28,HOLX,65.73,66.61,65.1,65.77,1786450.0
2020-09-29,HOLX,65.82,66.73,65.49,66.12,1353035.0
2020-09-30,HOLX,66.04,67.45,65.56,66.47,2036782.0
2020-10-01,HOLX,67.0,67.86,65.97,66.35,1696832.0
