Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,HSIC,54.47,56.94,53.76,55.06,4176061.0
2020-03-13,HSIC,57.02,59.31,51.985,56.71,3149197.0
2020-03-16,HSIC,57.28,57.65,51.26,51.65,2638081.0
2020-03-17,HSIC,52.75,55.27,50.37,54.61,3805332.0
2020-03-18,HSIC,52.14,52.82,42.27,50.73,3145866.0
2020-03-19,HSIC,50.13,53.52,48.1,49.81,3137633.0
2020-03-20,HSIC,49.7,50.74,44.7886,45.01,2687821.0
2020-03-23,HSIC,44.94,45.54,41.85,43.18,2493083.0
2020-03-24,HSIC,45.38,49.03,44.84,46.98,2455992.0
2020-03-25,HSIC,46.9,52.82,46.53,50.03,3667829.0
2020-03-26,HSIC,51.81,60.8199,49.65,53.56,10467443.0
2020-03-27,HSIC,52.44,52.98,49.86,50.0,2939289.0
2020-03-30,HSIC,52.59,52.77,50.3,52.09,3287312.0
2020-03-31,HSIC,52.42,52.6,50.38,50.52,2935410.0
2020-04-01,HSIC,50.67,51.46,48.0342,48.57,2052420.0
2020-04-02,HSIC,48.9,50.1973,47.25,48.44,2616466.0
2020-04-03,HSIC,48.12,48.78,45.95,46.35,2328102.0
2020-04-06,HSIC,47.63,47.88,46.22,47.14,2803070.0
2020-04-07,HSIC,48.72,50.66,46.98,49.3,3589753.0
2020-04-08,HSIC,49.3,52.57,49.3,52.37,2727634.0
2020-04-09,HSIC,52.86,54.51,51.44,52.25,1813049.0
2020-04-13,HSIC,51.99,52.44,50.63,51.7,1355305.0
2020-04-14,HSIC,52.47,53.74,52.111,53.55,1416381.0
2020-04-15,HSIC,52.47,52.81,50.95,52.16,1329248.0
2020-04-16,HSIC,52.44,52.92,51.615,52.58,1704418.0
2020-04-17,HSIC,53.97,54.245,53.0,53.64,1486351.0
2020-04-20,HSIC,52.33,54.24,52.15,53.15,1166279.0
2020-04-21,HSIC,52.11,53.03,51.44,52.03,1030076.0
2020-04-22,HSIC,52.44,52.94,51.06,51.71,1304489.0
2020-04-23,HSIC,52.27,52.88,51.42,51.63,1459518.0
2020-04-24,HSIC,51.91,52.57,50.55,52.39,1510842.0
2020-04-27,HSIC,52.53,54.93,52.48,54.86,1382503.0
2020-04-28,HSIC,55.77,56.45,54.39,55.27,1392009.0
2020-04-29,HSIC,56.05,57.38,55.44,56.95,2316086.0
2020-04-30,HSIC,56.22,56.22,54.43,54.56,1520165.0
2020-05-01,HSIC,53.6,53.98,51.28,52.15,1439147.0
2020-05-04,HSIC,52.0,52.81,51.34,52.49,2132631.0
2020-05-05,HSIC,55.34,56.95,51.75,53.7,3908525.0
2020-05-06,HSIC,53.41,54.145,51.985,52.69,2565400.0
2020-05-07,HSIC,53.17,54.28,53.17,53.89,1920479.0
2020-05-08,HSIC,54.23,55.0,53.74,54.03,1205126.0
2020-05-11,HSIC,54.0,55.65,53.51,55.47,1835335.0
2020-05-12,HSIC,55.27,55.51,53.05,53.06,1633162.0
2020-05-13,HSIC,52.75,52.92,50.1,51.13,1946161.0
2020-05-14,HSIC,50.1,52.19,49.83,52.0,1923839.0
2020-05-15,HSIC,52.03,52.72,51.47,51.751,6088641.0
2020-05-18,HSIC,53.05,56.83,52.96,56.41,2091581.0
2020-05-19,HSIC,56.37,58.18,56.01,57.05,1948180.0
2020-05-20,HSIC,57.12,58.77,56.86,57.78,1234595.0
2020-05-21,HSIC,57.27,58.12,56.73,57.18,1129016.0
2020-05-22,HSIC,57.45,57.505,56.19,56.71,1390262.0
2020-05-26,HSIC,58.68,60.195,58.28,59.57,1700805.0
2020-05-27,HSIC,60.72,62.36,60.23,62.24,2150689.0
2020-05-28,HSIC,62.69,63.05,61.08,61.45,1256622.0
2020-05-29,HSIC,61.38,61.59,59.93,60.72,3475475.0
2020-06-01,HSIC,60.71,61.5,60.0,61.13,825319.0
2020-06-02,HSIC,61.47,63.62,61.19,63.22,2677343.0
2020-06-03,HSIC,63.54,64.2,62.87,63.24,1203723.0
2020-06-04,HSIC,62.81,63.66,62.05,63.28,1489110.0
2020-06-05,HSIC,64.48,66.15,64.46,65.83,1933717.0
2020-06-08,HSIC,65.68,67.88,65.17,66.96,1897855.0
2020-06-09,HSIC,65.69,65.69,61.08,61.16,2691544.0
2020-06-10,HSIC,61.22,61.72,58.665,58.82,1902372.0
2020-06-11,HSIC,57.53,57.53,55.395,55.831,2677480.0
2020-06-12,HSIC,57.31,57.56,55.79,56.63,1952210.0
2020-06-15,HSIC,55.14,58.77,54.88,58.18,1438931.0
2020-06-16,HSIC,60.44,60.98,59.08,59.79,1583738.0
2020-06-17,HSIC,59.94,60.54,59.52,59.77,1287952.0
2020-06-18,HSIC,59.16,59.97,58.71,59.37,1645042.0
2020-06-19,HSIC,60.24,61.33,59.335,60.42,3784827.0
2020-06-22,HSIC,60.03,60.67,59.0,59.5,1567481.0
2020-06-23,HSIC,60.4,60.44,59.03,59.35,1789691.0
2020-06-24,HSIC,58.91,59.07,56.03,56.18,2459153.0
2020-06-25,HSIC,56.03,56.57,54.89,56.4,1429695.0
2020-06-26,HSIC,56.29,57.01,55.66,56.67,2413508.0
2020-06-29,HSIC,57.41,58.08,56.35,58.06,1062440.0
2020-06-30,HSIC,57.7,58.86,57.35,58.39,1818517.0
2020-07-01,HSIC,58.61,59.66,58.31,58.86,1380658.0
2020-07-02,HSIC,59.83,60.43,58.97,59.07,1261942.0
2020-07-06,HSIC,59.83,60.21,58.61,59.52,1439229.0
2020-07-07,HSIC,58.9,59.17,58.0,58.51,984760.0
