Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,HUBB,112.0,114.93,106.92,106.92,823760.0
2020-03-13,HUBB,113.51,119.5,108.44,119.14,492611.0
2020-03-16,HUBB,107.9,114.56,107.14,108.51,410352.0
2020-03-17,HUBB,110.3,111.805,106.04,108.69,535827.0
2020-03-18,HUBB,101.34,104.14,94.04,96.67,445159.0
2020-03-19,HUBB,95.17,102.515,91.25,101.38,378558.0
2020-03-20,HUBB,101.41,107.5987,96.19,96.58,446120.0
2020-03-23,HUBB,95.43,96.5699,85.62,86.71,491905.0
2020-03-24,HUBB,91.0,100.3499,90.455,98.62,344237.0
2020-03-25,HUBB,98.93,111.35,97.0542,107.25,569778.0
2020-03-26,HUBB,108.42,113.805,106.96,113.04,347439.0
2020-03-27,HUBB,108.68,110.85,104.76,106.97,353980.0
2020-03-30,HUBB,107.22,113.94,105.03,112.97,462918.0
2020-03-31,HUBB,111.38,115.09,110.54,114.74,441663.0
2020-04-01,HUBB,109.52,111.63,107.93,110.25,476112.0
2020-04-02,HUBB,109.85,113.63,107.46,112.59,444845.0
2020-04-03,HUBB,111.29,112.66,107.11,107.8,397497.0
2020-04-06,HUBB,113.31,116.91,112.115,115.86,411129.0
2020-04-07,HUBB,118.66,122.7,116.21,116.29,333763.0
2020-04-08,HUBB,118.68,120.76,115.71,120.06,299906.0
2020-04-09,HUBB,122.52,126.015,121.69,124.44,257391.0
2020-04-13,HUBB,123.58,124.56,118.42,119.15,209275.0
2020-04-14,HUBB,122.74,124.27,120.9437,123.59,265761.0
2020-04-15,HUBB,119.66,121.08,117.33,119.39,274717.0
2020-04-16,HUBB,119.18,119.81,115.74,117.96,356146.0
2020-04-17,HUBB,121.57,124.185,119.23,120.47,385534.0
2020-04-20,HUBB,118.2,119.8,116.35,116.96,245006.0
2020-04-21,HUBB,114.59,115.85,113.19,114.65,227304.0
2020-04-22,HUBB,117.85,119.065,116.0322,117.96,275724.0
2020-04-23,HUBB,119.71,121.73,118.41,118.69,265517.0
2020-04-24,HUBB,120.21,120.89,118.908,119.43,450153.0
2020-04-27,HUBB,119.86,123.185,119.14,122.6,275095.0
2020-04-28,HUBB,125.55,126.16,122.77,123.74,224685.0
2020-04-29,HUBB,126.74,127.59,125.5,126.79,333478.0
2020-04-30,HUBB,131.33,134.504,122.04,124.43,377762.0
2020-05-01,HUBB,121.52,122.15,118.92,122.08,278955.0
2020-05-04,HUBB,120.32,120.35,117.39,120.0,318875.0
2020-05-05,HUBB,121.96,123.84,121.58,121.58,308091.0
2020-05-06,HUBB,121.87,121.87,119.13,119.18,349202.0
2020-05-07,HUBB,121.48,122.7,119.01,119.33,282331.0
2020-05-08,HUBB,121.84,123.66,121.54,122.47,276335.0
2020-05-11,HUBB,121.01,122.49,119.925,121.49,472596.0
