Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,IEX,125.69,135.19,122.475,123.14,1221142.0
2020-03-13,IEX,130.89,130.89,121.96,130.85,1291918.0
2020-03-16,IEX,116.67,123.46,115.01,115.7,917661.0
2020-03-17,IEX,118.33,126.35,117.1588,125.96,1070618.0
2020-03-18,IEX,109.91,119.585,104.555,114.0,1121352.0
2020-03-19,IEX,113.38,124.922,111.57,123.36,1365075.0
2020-03-20,IEX,125.41,125.41,114.8,116.48,1203169.0
2020-03-23,IEX,115.25,120.255,109.721,114.65,1011569.0
2020-03-24,IEX,120.33,121.435,116.26,119.99,1415418.0
2020-03-25,IEX,119.84,125.065,118.54,119.36,1404118.0
2020-03-26,IEX,120.48,127.475,117.02,125.81,1546808.0
2020-03-27,IEX,122.66,134.19,121.62,131.18,905571.0
2020-03-30,IEX,132.45,137.595,127.48,136.88,1027865.0
2020-03-31,IEX,138.71,140.7,135.2,138.11,1276462.0
2020-04-01,IEX,132.75,135.33,130.74,133.2,1171381.0
2020-04-02,IEX,132.68,138.34,132.68,136.38,1042430.0
2020-04-03,IEX,135.02,139.4,135.02,138.51,921909.0
2020-04-06,IEX,143.9,145.95,142.56,143.96,1229936.0
2020-04-07,IEX,148.04,151.06,145.76,146.09,989462.0
2020-04-08,IEX,145.81,152.56,145.14,151.0,636781.0
2020-04-09,IEX,152.66,155.28,150.61,151.52,607137.0
2020-04-13,IEX,151.58,152.77,145.28,146.63,585471.0
2020-04-14,IEX,150.09,152.09,148.96,150.22,578879.0
2020-04-15,IEX,145.86,147.28,143.28,145.4,514491.0
2020-04-16,IEX,145.6,147.22,143.12,146.83,555987.0
2020-04-17,IEX,150.27,153.63,150.15,152.73,685035.0
2020-04-20,IEX,150.57,153.085,148.29,151.58,431526.0
2020-04-21,IEX,148.08,150.35,146.7,148.63,493120.0
2020-04-22,IEX,151.71,152.49,147.59,151.66,474915.0
2020-04-23,IEX,151.5,155.37,151.32,152.36,579913.0
2020-04-24,IEX,146.37,154.21,143.63,152.72,863922.0
2020-04-27,IEX,154.77,157.3,153.02,156.29,583017.0
2020-04-28,IEX,158.5,162.12,155.98,157.78,526643.0
2020-04-29,IEX,160.0,161.65,156.85,157.88,544979.0
2020-04-30,IEX,156.22,156.25,152.97,153.63,784846.0
2020-05-01,IEX,151.63,153.03,149.7,151.29,394968.0
2020-05-04,IEX,150.0,150.77,147.43,150.63,434421.0
2020-05-05,IEX,152.76,153.87,151.49,151.78,375687.0
2020-05-06,IEX,152.38,153.09,150.25,151.7,543718.0
2020-05-07,IEX,154.1,155.21,152.89,153.4,492697.0
2020-05-08,IEX,155.82,157.97,153.62,154.7,504142.0
2020-05-11,IEX,153.09,153.9,150.86,153.56,543291.0
2020-05-12,IEX,153.96,153.96,148.0,148.07,386135.0
2020-05-13,IEX,147.67,148.84,144.31,146.8,659856.0
2020-05-14,IEX,144.42,149.24,141.86,149.03,803707.0
2020-05-15,IEX,148.14,152.89,147.93,148.42,3341569.0
2020-05-18,IEX,152.46,155.63,152.46,154.63,500280.0
2020-05-19,IEX,154.21,155.4,150.93,151.15,503804.0
2020-05-20,IEX,152.93,154.75,152.01,152.37,444771.0
2020-05-21,IEX,151.94,152.51,149.69,151.56,402362.0
2020-05-22,IEX,151.55,151.94,148.825,150.45,420488.0
2020-05-26,IEX,154.2,157.03,153.7,155.09,451210.0
2020-05-27,IEX,157.39,159.32,155.49,159.21,569582.0
2020-05-28,IEX,160.68,160.984,156.99,157.47,702089.0
2020-05-29,IEX,156.93,159.66,155.7606,159.37,652336.0
2020-06-01,IEX,159.51,160.46,157.01,158.12,408926.0
2020-06-02,IEX,158.78,159.92,157.65,159.9,533240.0
2020-06-03,IEX,161.45,166.21,161.16,165.86,733039.0
2020-06-04,IEX,164.4,164.4,162.315,163.96,571508.0
2020-06-05,IEX,167.39,167.8,163.75,167.29,521255.0
2020-06-08,IEX,167.16,169.18,165.44,166.86,617610.0
2020-06-09,IEX,165.07,165.91,161.88,162.11,564807.0
2020-06-10,IEX,162.51,163.3,159.715,160.18,459347.0
2020-06-11,IEX,156.15,156.27,151.03,151.12,734113.0
2020-06-12,IEX,155.51,155.51,149.23,152.59,662589.0
2020-06-15,IEX,149.26,154.02,148.45,152.72,563314.0
2020-06-16,IEX,157.27,158.56,152.91,154.99,405068.0
2020-06-17,IEX,155.77,156.49,154.15,154.68,399514.0
2020-06-18,IEX,153.89,155.12,152.32,153.11,383148.0
2020-06-19,IEX,156.23,156.23,151.79,153.24,761393.0
2020-06-22,IEX,151.76,154.58,150.63,153.44,473100.0
2020-06-23,IEX,155.01,155.95,154.19,154.3,523095.0
2020-06-24,IEX,152.81,152.81,148.42,148.76,495342.0
2020-06-25,IEX,148.7,152.3,145.85,152.19,604114.0
2020-06-26,IEX,151.6,155.58,151.5,154.76,2545610.0
2020-06-29,IEX,155.84,156.05,153.49,154.39,479191.0
2020-06-30,IEX,153.86,159.03,153.43,158.04,496817.0
2020-07-01,IEX,158.25,158.47,155.275,155.84,291904.0
2020-07-02,IEX,157.45,160.0,156.88,157.89,398744.0
2020-07-06,IEX,160.35,160.69,158.24,160.03,417907.0
2020-07-07,IEX,158.9,160.62,157.62,158.33,262779.0
2020-07-08,IEX,158.41,159.1,156.69,157.81,216178.0
2020-07-09,IEX,156.94,158.39,155.16,157.19,352225.0
2020-07-10,IEX,157.24,157.7,155.825,156.94,282703.0
2020-07-13,IEX,157.99,161.55,157.99,159.44,375101.0
2020-07-14,IEX,159.08,163.295,159.03,162.79,418665.0
2020-07-15,IEX,164.33,168.47,163.31,168.12,671555.0
2020-07-16,IEX,167.76,169.145,167.0,168.46,369169.0
2020-07-17,IEX,169.68,170.33,168.16,169.57,432472.0
2020-07-20,IEX,169.2,170.25,167.13,168.98,426459.0
2020-07-21,IEX,169.46,171.88,169.01,170.15,465805.0
2020-07-22,IEX,170.15,171.725,169.28,169.34,554852.0
2020-07-23,IEX,170.32,172.36,169.64,170.91,567039.0
2020-07-24,IEX,169.99,170.34,165.04,167.67,683407.0
2020-07-27,IEX,168.54,171.03,167.11,169.56,543013.0
2020-07-28,IEX,169.22,169.52,165.35,165.38,321744.0
2020-07-29,IEX,166.38,167.795,165.905,166.6,296013.0
2020-07-30,IEX,164.94,165.65,162.605,164.6,368987.0
2020-07-31,IEX,164.3,165.12,162.78,164.82,374449.0
2020-08-03,IEX,165.58,167.5717,165.36,166.29,398933.0
2020-08-04,IEX,165.44,166.03,164.33,165.05,253218.0
2020-08-05,IEX,165.96,167.36,165.82,166.15,400180.0
2020-08-06,IEX,166.07,166.6208,164.58,166.52,229915.0
2020-08-07,IEX,166.66,167.56,165.705,167.54,417706.0
2020-08-10,IEX,167.22,171.25,167.22,171.21,523500.0
2020-08-11,IEX,172.0,175.96,171.44,174.02,544004.0
2020-08-12,IEX,175.21,177.62,174.26,176.98,440162.0
2020-08-13,IEX,175.85,175.85,173.64,174.86,314787.0
2020-08-14,IEX,173.82,177.08,173.44,176.7,481013.0
2020-08-17,IEX,176.66,177.12,174.17,174.86,367899.0
2020-08-18,IEX,174.81,177.18,174.81,176.56,419144.0
2020-08-19,IEX,177.22,177.5707,175.38,175.79,340247.0
2020-08-20,IEX,174.49,176.31,173.58,176.28,462876.0
2020-08-21,IEX,176.38,179.58,175.84,178.85,718471.0
2020-08-24,IEX,179.02,181.13,178.87,180.59,418116.0
2020-08-25,IEX,180.9,181.085,179.11,179.7,573816.0
2020-08-26,IEX,179.53,180.59,178.38,180.0,325572.0
2020-08-27,IEX,180.63,181.25,178.68,178.74,398602.0
2020-08-28,IEX,178.73,180.9,177.63,180.89,337978.0
2020-08-31,IEX,180.69,180.69,178.97,180.23,466096.0
2020-09-01,IEX,179.55,182.56,178.81,182.08,281443.0
2020-09-02,IEX,182.43,185.18,181.98,184.17,380772.0
2020-09-03,IEX,184.48,184.48,178.97,180.15,380013.0
2020-09-04,IEX,182.72,183.2,176.9,177.62,496815.0
2020-09-08,IEX,176.86,178.94,173.98,176.01,441852.0
2020-09-09,IEX,177.22,181.46,176.2,179.69,339631.0
2020-09-10,IEX,179.86,180.53,177.33,177.4,424950.0
2020-09-11,IEX,178.39,181.55,177.97,181.12,399638.0
2020-09-14,IEX,181.82,184.65,181.42,184.1,397059.0
2020-09-15,IEX,184.2,186.63,184.2,186.21,344552.0
2020-09-16,IEX,187.22,188.14,185.68,186.46,441857.0
2020-09-17,IEX,185.31,188.17,183.13,186.52,450391.0
2020-09-18,IEX,186.16,187.5,184.88,186.04,818097.0
2020-09-21,IEX,183.57,184.16,176.5,178.25,620880.0
2020-09-22,IEX,179.06,180.785,177.53,180.34,498921.0
2020-09-23,IEX,180.12,181.59,176.4,176.51,330653.0
2020-09-24,IEX,176.96,179.82,175.585,177.76,282365.0
2020-09-25,IEX,176.83,179.86,175.92,179.03,421919.0
2020-09-28,IEX,180.87,183.47,180.83,181.32,257171.0
2020-09-29,IEX,180.68,182.665,180.68,181.75,224927.0
