Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,IPG,16.86,16.86,15.24,15.26,6482652.0
2020-03-13,IPG,16.24,17.13,15.185,17.11,8653344.0
2020-03-16,IPG,14.85,16.37,14.67,15.17,7725929.0
2020-03-17,IPG,15.47,15.68,14.36,15.47,7441242.0
2020-03-18,IPG,14.52,14.92,13.61,14.7,8840830.0
2020-03-19,IPG,14.51,15.085,14.03,14.1,7522751.0
2020-03-20,IPG,14.25,14.28,12.2,12.52,14234218.0
2020-03-23,IPG,12.4,13.23,11.63,12.88,10172205.0
2020-03-24,IPG,13.66,14.95,13.455,14.77,9477010.0
2020-03-25,IPG,14.84,16.09,13.803,15.05,8768703.0
2020-03-26,IPG,15.3,16.76,15.11,16.64,6400245.0
2020-03-27,IPG,15.88,16.29,14.85,15.21,7028430.0
2020-03-30,IPG,15.05,16.55,14.86,16.2,7884413.0
2020-03-31,IPG,16.24,16.67,15.93,16.19,8104198.0
2020-04-01,IPG,15.25,15.56,14.18,14.54,6593829.0
2020-04-02,IPG,14.32,14.94,13.891,14.37,5049668.0
2020-04-03,IPG,14.24,14.535,13.38,13.58,6303099.0
2020-04-06,IPG,14.32,15.14,14.22,15.02,6146913.0
2020-04-07,IPG,16.21,16.65,15.3,15.39,8410779.0
2020-04-08,IPG,15.55,16.05,15.365,15.9,5165022.0
2020-04-09,IPG,16.27,16.67,15.99,16.28,5853714.0
2020-04-13,IPG,15.98,16.22,15.06,16.04,5808425.0
2020-04-14,IPG,16.45,16.6,15.885,16.05,7084121.0
2020-04-15,IPG,15.33,15.61,14.565,14.7,8337052.0
2020-04-16,IPG,14.74,14.865,14.07,14.53,8787984.0
2020-04-17,IPG,15.09,15.41,14.81,15.06,5288247.0
2020-04-20,IPG,14.7,15.17,14.37,14.72,5674175.0
2020-04-21,IPG,14.21,14.47,13.91,14.03,9076218.0
2020-04-22,IPG,14.42,14.87,13.98,14.04,7350609.0
2020-04-23,IPG,14.18,15.29,14.01,14.7,7379916.0
2020-04-24,IPG,14.78,14.9,14.53,14.74,6222107.0
2020-04-27,IPG,14.83,15.905,14.77,15.73,5121158.0
2020-04-28,IPG,16.24,16.71,15.97,16.55,6523192.0
2020-04-29,IPG,17.15,18.5,17.09,18.01,8022585.0
2020-04-30,IPG,17.51,17.78,16.94,16.98,7156349.0
2020-05-01,IPG,16.63,16.64,16.06,16.43,4475748.0
2020-05-04,IPG,16.08,16.24,15.39,15.87,4284201.0
2020-05-05,IPG,16.08,16.39,15.775,15.79,4339921.0
2020-05-06,IPG,15.86,16.255,15.615,16.22,6715408.0
2020-05-07,IPG,16.44,16.985,16.205,16.27,6114670.0
2020-05-08,IPG,16.63,17.4,16.52,17.32,4964757.0
2020-05-11,IPG,17.1,17.1,16.32,16.69,3597890.0
2020-05-12,IPG,16.8,16.87,16.12,16.13,2519195.0
2020-05-13,IPG,15.96,16.01,14.8,15.13,5834717.0
2020-05-14,IPG,14.93,15.6078,14.345,15.36,7970313.0
2020-05-15,IPG,15.18,15.645,14.99,15.37,7194417.0
2020-05-18,IPG,16.17,16.79,16.095,16.62,5370837.0
2020-05-19,IPG,16.54,16.62,15.96,16.05,4528210.0
2020-05-20,IPG,16.33,16.755,16.29,16.67,4458910.0
2020-05-21,IPG,16.62,16.835,16.29,16.33,4098350.0
2020-05-22,IPG,16.34,16.54,16.145,16.48,3053757.0
2020-05-26,IPG,17.2,17.83,16.96,17.53,5337242.0
2020-05-27,IPG,18.0,18.68,17.88,18.19,6546451.0
2020-05-28,IPG,18.27,18.4,17.395,17.44,6752838.0
2020-05-29,IPG,17.03,17.195,16.6,17.11,9313419.0
2020-06-01,IPG,17.13,17.6,17.05,17.47,3200519.0
2020-06-02,IPG,17.63,17.71,17.32,17.55,6243268.0
2020-06-03,IPG,17.91,18.365,17.78,18.3,5095133.0
2020-06-04,IPG,18.22,18.61,17.99,18.61,6532166.0
2020-06-05,IPG,19.41,20.04,19.215,19.35,5839876.0
2020-06-08,IPG,19.54,20.27,19.45,20.23,5910583.0
2020-06-09,IPG,19.82,19.9,19.19,19.24,4518358.0
2020-06-10,IPG,19.19,19.22,18.28,18.66,4726237.0
2020-06-11,IPG,17.62,17.78,16.965,17.06,6702015.0
2020-06-12,IPG,17.86,17.86,16.775,17.28,6191751.0
2020-06-15,IPG,16.59,17.925,16.49,17.69,5258361.0
2020-06-16,IPG,18.38,18.48,17.505,17.84,4783648.0
2020-06-17,IPG,17.9,17.99,17.33,17.46,4624576.0
2020-06-18,IPG,17.21,17.61,17.085,17.55,4218081.0
2020-06-19,IPG,17.96,17.96,16.84,17.06,14597360.0
2020-06-22,IPG,16.94,16.98,16.56,16.75,3888533.0
2020-06-23,IPG,17.07,17.405,16.785,17.24,4097199.0
2020-06-24,IPG,17.01,17.07,16.25,16.44,3903355.0
2020-06-25,IPG,16.35,16.535,16.02,16.46,5051061.0
2020-06-26,IPG,16.35,16.46,15.92,16.22,6719907.0
2020-06-29,IPG,16.39,17.25,16.36,16.97,5598424.0
2020-06-30,IPG,16.92,17.49,16.8179,17.16,6401307.0
2020-07-01,IPG,17.2,17.62,16.995,17.06,3992826.0
2020-07-02,IPG,17.44,17.5,16.875,17.06,2860541.0
2020-07-06,IPG,17.46,17.73,17.21,17.36,6373622.0
2020-07-07,IPG,17.12,17.37,16.995,17.19,4016180.0
2020-07-08,IPG,17.09,17.09,16.66,17.0,4653477.0
2020-07-09,IPG,16.9,16.97,16.12,16.39,3602097.0
2020-07-10,IPG,16.4,17.12,16.38,16.97,3773337.0
2020-07-13,IPG,17.2,17.36,16.935,16.98,2997678.0
2020-07-14,IPG,16.93,17.39,16.74,17.35,2645018.0
