Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,IR,20.97,22.83,19.89,21.34,10998078.0
2020-03-13,IR,22.44,23.56,20.2045,23.0,9072000.0
2020-03-16,IR,20.34,22.04,19.69,21.25,6986666.0
2020-03-17,IR,21.5,22.61,20.75,21.54,8309873.0
2020-03-18,IR,19.83,20.41,17.01,19.22,8744962.0
2020-03-19,IR,18.91,22.35,18.82,20.01,6129423.0
2020-03-20,IR,20.22,21.39,19.37,19.61,6728606.0
2020-03-23,IR,19.49,20.21,18.28,19.5,6808670.0
2020-03-24,IR,20.59,22.57,19.79,22.41,5667505.0
2020-03-25,IR,22.7,25.23,21.52,23.28,5568642.0
2020-03-26,IR,22.59,24.13,22.53,23.41,6066596.0
2020-03-27,IR,22.54,23.06,21.69,22.63,4627828.0
2020-03-30,IR,22.74,23.93,22.18,23.75,4179015.0
2020-03-31,IR,23.53,25.14,23.53,24.8,7725651.0
2020-04-01,IR,23.94,25.1,23.6,23.79,8246199.0
2020-04-02,IR,23.53,24.69,22.59,23.04,6832029.0
2020-04-03,IR,23.05,23.89,22.57,23.49,4340152.0
2020-04-06,IR,24.7,26.04,24.55,25.43,5721783.0
2020-04-07,IR,26.46,26.82,24.635,24.82,4564618.0
2020-04-08,IR,24.9,25.85,24.425,25.7,3436596.0
2020-04-09,IR,26.15,27.51,25.87,26.5,3550985.0
2020-04-13,IR,26.46,26.94,25.63,26.22,3519168.0
2020-04-14,IR,26.88,27.46,26.1,26.35,2734816.0
2020-04-15,IR,25.45,25.57,24.15,24.36,2810897.0
2020-04-16,IR,24.19,24.78,23.21,24.6,4098749.0
2020-04-17,IR,25.41,26.99,25.31,26.81,4051161.0
2020-04-20,IR,26.25,27.1219,25.63,26.43,5090644.0
2020-04-21,IR,25.7,26.54,25.6,26.38,3375306.0
2020-04-22,IR,26.81,27.1,25.95,26.82,3038492.0
2020-04-23,IR,27.0,28.09,26.83,27.36,3265216.0
2020-04-24,IR,27.63,28.1,27.24,27.82,3872297.0
2020-04-27,IR,28.08,29.43,27.86,28.77,3861007.0
2020-04-28,IR,29.39,30.0,28.73,29.27,2983178.0
2020-04-29,IR,30.0,30.48,29.715,30.32,2324560.0
2020-04-30,IR,29.91,29.95,28.87,29.08,3335531.0
2020-05-01,IR,28.65,28.755,27.61,28.13,1678256.0
2020-05-04,IR,27.75,27.76,26.78,27.37,2038302.0
