Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,ITW,148.0,151.78,139.49,140.19,4072037.0
2020-03-13,ITW,147.02,156.45,143.3,156.45,3325785.0
2020-03-16,ITW,142.44,165.3,139.27,149.22,4068864.0
2020-03-17,ITW,152.27,159.96,149.69,159.5,3189674.0
2020-03-18,ITW,149.11,153.21,134.58,141.76,3913125.0
2020-03-19,ITW,140.04,140.69,131.38,136.33,2871035.0
2020-03-20,ITW,138.59,138.87,123.89,125.78,3234726.0
2020-03-23,ITW,122.12,125.38,115.94,118.09,2967091.0
2020-03-24,ITW,122.57,138.82,122.28,137.7,3346569.0
2020-03-25,ITW,138.05,149.9,137.6,143.53,3652557.0
2020-03-26,ITW,147.58,151.78,142.8789,150.49,2322953.0
2020-03-27,ITW,144.32,148.52,139.15,143.3,2049347.0
2020-03-30,ITW,141.81,145.36,138.4,142.35,2422363.0
2020-03-31,ITW,140.05,145.43,138.85,142.12,4084848.0
2020-04-01,ITW,135.38,137.83,133.23,137.27,2200325.0
2020-04-02,ITW,136.92,142.48,135.85,141.6,1589925.0
2020-04-03,ITW,141.85,144.0,137.635,140.41,1766121.0
2020-04-06,ITW,147.57,152.245,145.9536,151.04,2371061.0
2020-04-07,ITW,156.49,157.64,151.07,152.27,2209129.0
2020-04-08,ITW,153.99,159.87,152.38,158.8,1520934.0
2020-04-09,ITW,160.64,164.25,158.26,159.28,1876556.0
2020-04-13,ITW,158.08,158.08,150.21,151.93,1769108.0
2020-04-14,ITW,155.74,156.99,153.7336,156.06,2000317.0
2020-04-15,ITW,151.81,153.09,148.27,152.7,1632402.0
2020-04-16,ITW,151.66,153.72,148.405,153.32,1692630.0
2020-04-17,ITW,157.75,160.135,155.63,158.58,1456639.0
2020-04-20,ITW,155.62,156.78,153.18,155.21,1353335.0
2020-04-21,ITW,150.26,153.11,149.43,151.77,1461600.0
2020-04-22,ITW,155.62,156.82,152.78,155.54,1572107.0
2020-04-23,ITW,156.48,160.79,154.12,155.12,1522543.0
2020-04-24,ITW,156.4,158.41,152.94,158.23,1472559.0
2020-04-27,ITW,159.32,165.13,158.56,163.23,1681068.0
2020-04-28,ITW,166.6,170.25,165.63,166.48,1287477.0
2020-04-29,ITW,170.4,170.9,166.65,167.51,1085104.0
2020-04-30,ITW,164.32,165.19,161.45,162.5,3302338.0
2020-05-01,ITW,160.23,160.23,158.05,159.45,2084905.0
2020-05-04,ITW,158.0,159.42,155.24,158.34,1847761.0
2020-05-05,ITW,152.75,162.595,152.27,159.69,2335127.0
2020-05-06,ITW,160.47,162.0994,156.75,158.78,1405906.0
2020-05-07,ITW,160.76,161.95,156.25,156.95,1483901.0
2020-05-08,ITW,159.43,161.62,159.01,161.01,931655.0
2020-05-11,ITW,159.27,163.57,158.46,161.89,1221410.0
2020-05-12,ITW,162.32,162.7,154.46,154.71,1515045.0
2020-05-13,ITW,154.03,155.85,150.88,152.49,1450368.0
2020-05-14,ITW,150.38,154.96,148.66,154.85,1909227.0
2020-05-15,ITW,153.83,156.22,153.33,155.68,2699738.0
2020-05-18,ITW,162.49,165.76,161.35,164.71,1627482.0
2020-05-19,ITW,163.86,165.48,161.26,161.3,1241331.0
2020-05-20,ITW,163.5,166.49,163.5,165.0,1109961.0
2020-05-21,ITW,163.67,165.7,163.43,164.1,1109745.0
2020-05-22,ITW,164.27,164.36,162.77,163.75,823659.0
2020-05-26,ITW,168.51,174.05,168.05,173.1,1867784.0
2020-05-27,ITW,175.77,178.71,174.74,176.24,1383032.0
2020-05-28,ITW,177.52,177.52,172.75,172.91,1356869.0
2020-05-29,ITW,171.76,173.52,170.08,172.46,2089080.0
2020-06-01,ITW,172.94,174.1,170.99,171.23,877046.0
2020-06-02,ITW,172.63,173.4252,171.09,172.28,1285728.0
2020-06-03,ITW,173.63,178.89,173.32,178.45,1144639.0
2020-06-04,ITW,176.52,178.9686,175.87,178.72,1111119.0
2020-06-05,ITW,184.49,184.72,180.97,182.87,1919905.0
2020-06-08,ITW,182.0,184.42,178.8,180.23,1298359.0
2020-06-09,ITW,177.84,179.59,176.76,178.03,961743.0
2020-06-10,ITW,177.99,177.99,174.43,174.5,1063159.0
2020-06-11,ITW,170.0,170.19,164.99,165.17,1419814.0
2020-06-12,ITW,170.21,170.21,160.62,164.94,1886925.0
2020-06-15,ITW,161.16,166.33,160.34,164.95,2154542.0
2020-06-16,ITW,171.25,172.21,166.835,169.4,2031417.0
2020-06-17,ITW,170.86,173.6,169.43,172.43,1795346.0
2020-06-18,ITW,169.44,171.87,169.32,170.49,1562747.0
2020-06-19,ITW,173.89,174.37,169.42,170.88,6233096.0
2020-06-22,ITW,169.85,171.75,168.59,171.69,1280015.0
2020-06-23,ITW,173.61,174.58,172.46,172.57,1223518.0
2020-06-24,ITW,170.12,171.82,168.11,169.03,1520187.0
2020-06-25,ITW,168.4,171.6422,167.42,170.96,1280757.0
2020-06-26,ITW,169.84,171.4849,166.42,167.82,4540649.0
2020-06-29,ITW,169.29,171.34,168.49,170.4,1264878.0
2020-06-30,ITW,170.01,175.71,170.01,174.85,1399893.0
2020-07-01,ITW,174.85,175.58,172.17,172.44,1022881.0
2020-07-02,ITW,174.99,177.73,173.7,174.6,994822.0
2020-07-06,ITW,177.23,178.37,175.77,177.66,960601.0
2020-07-07,ITW,176.84,177.8644,174.9276,175.33,1689863.0
2020-07-08,ITW,175.19,176.5,173.08,174.32,1106023.0
2020-07-09,ITW,173.9,175.53,172.73,173.29,1228189.0
2020-07-10,ITW,173.63,174.17,172.29,174.06,849253.0
2020-07-13,ITW,174.75,177.16,174.43,174.78,1235865.0
2020-07-14,ITW,175.06,179.575,174.25,179.43,1203966.0
2020-07-15,ITW,182.14,183.05,180.03,182.21,1300295.0
2020-07-16,ITW,181.75,183.12,180.13,181.61,1113663.0
2020-07-17,ITW,182.79,183.21,181.76,182.08,2863336.0
2020-07-20,ITW,180.92,181.56,177.62,178.34,943414.0
2020-07-21,ITW,179.02,182.295,179.01,181.94,1059796.0
2020-07-22,ITW,181.31,183.4328,180.8005,182.62,1072412.0
2020-07-23,ITW,182.85,185.215,182.42,183.81,791616.0
2020-07-24,ITW,184.36,185.0,183.62,184.79,886258.0
2020-07-27,ITW,184.58,187.87,183.755,187.72,740230.0
2020-07-28,ITW,186.95,187.54,184.91,185.12,806759.0
2020-07-29,ITW,185.92,188.11,185.675,187.49,609281.0
2020-07-30,ITW,185.44,186.54,183.08,185.67,1290708.0
2020-07-31,ITW,184.23,185.44,182.54,184.99,1481939.0
2020-08-03,ITW,185.84,188.089,185.455,185.92,1167214.0
2020-08-04,ITW,185.89,186.28,184.2686,185.09,732876.0
2020-08-05,ITW,186.3,188.66,186.3,188.53,1032020.0
2020-08-06,ITW,188.33,189.0,186.88,187.95,835307.0
2020-08-07,ITW,188.0,190.71,187.53,190.55,862635.0
2020-08-10,ITW,190.89,195.9,190.57,195.83,1038571.0
2020-08-11,ITW,196.66,199.35,195.81,196.32,1316959.0
2020-08-12,ITW,198.41,199.9,197.185,198.53,1056311.0
2020-08-13,ITW,196.84,198.63,196.44,197.51,850110.0
2020-08-14,ITW,197.01,198.7636,195.72,196.13,897182.0
2020-08-17,ITW,196.74,198.07,196.08,196.57,1133006.0
2020-08-18,ITW,196.91,198.075,195.8,196.29,826146.0
2020-08-19,ITW,196.97,197.8199,195.24,195.77,812687.0
2020-08-20,ITW,193.72,194.26,192.77,193.74,971357.0
2020-08-21,ITW,193.9,195.97,193.7,195.14,705388.0
2020-08-24,ITW,195.67,197.37,195.27,197.27,578558.0
2020-08-25,ITW,198.45,198.45,196.17,197.38,692483.0
