Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,JBHT,86.0,86.1495,81.26,83.39,1514636.0
2020-03-13,JBHT,86.05,88.79,83.915,87.89,1317725.0
2020-03-16,JBHT,79.11,81.67,75.29,75.38,1137057.0
2020-03-17,JBHT,77.39,87.35,75.56,85.29,1236983.0
2020-03-18,JBHT,81.6,85.16,78.79,84.67,1218098.0
2020-03-19,JBHT,85.1,87.7,81.86,84.09,884086.0
2020-03-20,JBHT,84.0,86.8644,80.2,80.63,1221389.0
2020-03-23,JBHT,81.09,82.24,77.77,79.04,966235.0
2020-03-24,JBHT,82.11,86.49,80.77,85.98,1064815.0
2020-03-25,JBHT,86.14,94.91,84.3881,91.62,1588720.0
2020-03-26,JBHT,91.64,94.93,88.93,93.73,1100009.0
2020-03-27,JBHT,89.64,92.68,87.34,90.06,1024635.0
2020-03-30,JBHT,89.95,95.0,89.39,93.56,768066.0
2020-03-31,JBHT,92.43,94.54,91.1,92.23,1168619.0
2020-04-01,JBHT,88.91,93.16,88.055,90.5,875726.0
2020-04-02,JBHT,89.23,91.39,88.03,90.88,977628.0
2020-04-03,JBHT,90.39,92.045,88.69,89.76,951047.0
2020-04-06,JBHT,92.98,97.71,92.06,96.93,1351708.0
2020-04-07,JBHT,99.71,101.12,97.25,98.45,1750356.0
2020-04-08,JBHT,99.2,99.79,98.04,98.83,1196043.0
2020-04-09,JBHT,100.22,103.04,97.52,99.19,1078081.0
2020-04-13,JBHT,99.29,99.3,94.38,94.93,964002.0
2020-04-14,JBHT,96.86,99.51,96.23,97.89,1808152.0
2020-04-15,JBHT,100.28,102.29,97.6,100.82,1672164.0
2020-04-16,JBHT,100.38,104.12,99.5,103.75,1272185.0
2020-04-17,JBHT,106.01,108.14,105.01,107.58,1074419.0
2020-04-20,JBHT,106.14,107.24,100.61,100.89,1118011.0
2020-04-21,JBHT,97.02,100.94,97.02,99.88,821334.0
2020-04-22,JBHT,101.83,101.83,98.88,100.25,700197.0
2020-04-23,JBHT,100.23,101.91,99.46,100.87,1143896.0
2020-04-24,JBHT,101.66,102.14,100.15,101.6,1001393.0
2020-04-27,JBHT,102.38,105.8,101.72,104.65,724689.0
2020-04-28,JBHT,106.71,107.59,105.16,105.42,810785.0
2020-04-29,JBHT,107.64,107.79,104.4729,105.69,1042242.0
2020-04-30,JBHT,105.0,105.15,100.795,101.12,1137011.0
2020-05-01,JBHT,99.59,101.99,98.92,100.865,819311.0
2020-05-04,JBHT,100.52,100.52,96.66,100.38,1031396.0
2020-05-05,JBHT,102.2,102.2,100.46,101.04,759392.0
