Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,JBL,25.27,26.38,23.29,25.41,3377380.0
2020-03-13,JBL,23.05,25.68,22.29,24.83,4546847.0
2020-03-16,JBL,22.42,22.72,21.15,21.66,3363467.0
2020-03-17,JBL,22.09,22.475,20.33,21.72,3388017.0
2020-03-18,JBL,20.06,21.4,18.02,18.66,3569848.0
2020-03-19,JBL,18.51,21.06,17.63,19.95,3953922.0
2020-03-20,JBL,20.38,21.19,18.16,18.49,3366540.0
2020-03-23,JBL,18.36,20.0,18.0,19.2,2334637.0
2020-03-24,JBL,20.84,22.36,19.64,22.0,2961322.0
2020-03-25,JBL,22.47,25.26,21.27,23.63,3577474.0
2020-03-26,JBL,23.92,25.82,23.53,25.66,2144498.0
2020-03-27,JBL,24.57,24.92,23.3,23.85,2094404.0
2020-03-30,JBL,23.84,24.65,23.5984,24.6,2470536.0
2020-03-31,JBL,24.6,25.385,24.03,24.58,2071749.0
2020-04-01,JBL,23.29,23.9,22.53,22.87,1824841.0
2020-04-02,JBL,22.75,23.44,22.08,22.86,1738500.0
2020-04-03,JBL,22.69,22.96,21.94,22.39,1935160.0
2020-04-06,JBL,23.73,25.02,23.34,24.45,1478375.0
2020-04-07,JBL,25.73,26.19,24.73,24.76,1504568.0
2020-04-08,JBL,25.15,26.34,24.69,25.97,1165092.0
2020-04-09,JBL,26.47,27.29,26.01,26.41,1651500.0
2020-04-13,JBL,26.18,26.18,25.11,25.53,1655771.0
2020-04-14,JBL,26.1,26.9,25.72,26.2,1539320.0
2020-04-15,JBL,25.0,25.22,24.28,24.44,2338128.0
2020-04-16,JBL,24.56,24.79,23.63,24.61,1571626.0
2020-04-17,JBL,25.19,26.31,25.0,25.85,2333811.0
2020-04-20,JBL,25.18,25.5972,24.14,24.41,1684049.0
2020-04-21,JBL,23.68,23.81,23.05,23.33,2054002.0
2020-04-22,JBL,24.17,24.33,23.73,23.96,1050096.0
2020-04-23,JBL,24.34,25.14,24.1,24.72,1347085.0
2020-04-24,JBL,24.95,25.26,24.7,25.12,1655973.0
2020-04-27,JBL,25.36,26.69,25.32,26.49,1138588.0
2020-04-28,JBL,27.44,27.6,26.41,26.85,1062983.0
2020-04-29,JBL,27.86,29.4,27.36,29.35,1437392.0
2020-04-30,JBL,28.72,29.0,28.15,28.44,2031070.0
2020-05-01,JBL,27.49,27.49,26.33,26.58,1243319.0
2020-05-04,JBL,26.23,26.77,25.8536,26.12,948472.0
2020-05-05,JBL,26.3,26.99,26.25,26.25,895544.0
2020-05-06,JBL,26.56,26.68,26.01,26.2,835181.0
2020-05-07,JBL,26.52,26.885,26.43,26.78,924789.0
2020-05-08,JBL,27.35,28.51,27.31,28.47,1143707.0
2020-05-11,JBL,27.95,28.13,27.41,27.66,1699806.0
2020-05-12,JBL,27.97,28.57,27.73,27.74,1749865.0
2020-05-13,JBL,27.41,27.495,26.01,26.47,1514845.0
2020-05-14,JBL,25.87,26.81,25.1,26.72,1268480.0
2020-05-15,JBL,27.18,28.05,26.66,28.03,1246827.0
2020-05-18,JBL,29.27,30.61,29.22,30.38,1736649.0
2020-05-19,JBL,30.34,31.28,30.16,30.26,988569.0
2020-05-20,JBL,30.83,31.34,30.56,30.8,1127897.0
2020-05-21,JBL,30.6,30.76,29.56,29.65,1728027.0
2020-05-22,JBL,29.3,29.5,28.875,29.11,1022343.0
2020-05-26,JBL,30.43,31.32,30.08,30.83,1313883.0
2020-05-27,JBL,31.41,32.02,31.3375,31.67,1264304.0
2020-05-28,JBL,31.87,31.87,30.2,30.29,1115035.0
2020-05-29,JBL,30.25,30.26,29.54,29.92,1523531.0
2020-06-01,JBL,30.11,31.29,29.86,30.98,1350082.0
2020-06-02,JBL,31.36,31.77,31.08,31.39,1534791.0
2020-06-03,JBL,31.92,32.53,31.85,32.36,1030263.0
2020-06-04,JBL,31.99,33.67,31.915,33.64,1880209.0
2020-06-05,JBL,34.67,35.7,34.58,34.86,1354493.0
2020-06-08,JBL,35.05,35.45,34.66,34.86,1951226.0
2020-06-09,JBL,34.06,34.195,33.43,33.74,1136240.0
2020-06-10,JBL,33.81,33.93,32.4,32.47,1607844.0
2020-06-11,JBL,31.02,31.19,29.77,29.8,1367272.0
2020-06-12,JBL,31.14,31.6,29.98,30.8,969947.0
2020-06-15,JBL,29.69,31.855,29.24,31.81,1953631.0
2020-06-16,JBL,33.0,33.5339,32.06,33.09,1682371.0
2020-06-17,JBL,33.11,33.16,32.375,32.86,1523302.0
2020-06-18,JBL,32.54,33.07,32.255,32.79,2607000.0
2020-06-19,JBL,35.13,35.17,32.69,33.51,4547732.0
2020-06-22,JBL,33.51,34.0,32.81,33.87,2704060.0
2020-06-23,JBL,34.25,34.63,33.66,33.66,1336472.0
2020-06-24,JBL,33.28,33.41,31.45,31.47,2560352.0
2020-06-25,JBL,31.4,31.71,30.735,31.65,2179002.0
2020-06-26,JBL,31.49,31.69,30.52,30.58,2982618.0
