Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,J,79.38,85.61,77.45,79.12,1747991.0
2020-03-13,J,82.46,86.77,80.7,86.76,2147394.0
2020-03-16,J,79.05,81.71,75.65,78.87,2024933.0
2020-03-17,J,79.69,81.43,76.34,80.59,2489105.0
2020-03-18,J,76.04,80.95,65.13,79.43,1852823.0
2020-03-19,J,76.1,77.99,72.76,74.69,1765691.0
2020-03-20,J,74.7,75.42,65.49,65.65,2519070.0
2020-03-23,J,64.81,64.94,59.29,63.01,2006104.0
2020-03-24,J,65.85,70.99,65.6,69.49,1776996.0
2020-03-25,J,69.41,76.75,68.44,73.25,1576635.0
2020-03-26,J,74.19,80.44,73.53,79.82,925479.0
2020-03-27,J,77.96,78.54,74.02,74.88,929681.0
2020-03-30,J,75.1,79.71,72.76,77.99,1052284.0
2020-03-31,J,77.85,82.32,75.6863,79.27,1513028.0
2020-04-01,J,75.6,79.52,75.04,79.22,1337612.0
2020-04-02,J,78.12,82.45,77.9,81.18,1267521.0
2020-04-03,J,80.28,81.2,76.7,78.97,1108533.0
2020-04-06,J,81.59,84.87,81.49,83.42,1187339.0
2020-04-07,J,85.5,86.86,81.79,81.88,875925.0
2020-04-08,J,83.04,84.0,80.265,80.94,1251450.0
2020-04-09,J,81.87,83.86,79.65,81.31,1918600.0
2020-04-13,J,80.59,80.91,79.0832,79.83,970447.0
2020-04-14,J,81.35,82.685,80.46,81.81,800658.0
2020-04-15,J,79.61,80.56,78.58,80.02,684286.0
2020-04-16,J,79.5,80.39,77.89,79.05,1103877.0
2020-04-17,J,81.22,84.94,81.06,84.2,1121349.0
2020-04-20,J,83.7,83.94,80.12,80.7,1799283.0
2020-04-21,J,79.73,80.03,78.0,78.21,698710.0
2020-04-22,J,79.7,80.465,79.1,79.51,543482.0
2020-04-23,J,80.56,81.56,79.68,79.75,732637.0
2020-04-24,J,79.49,80.42,78.65,80.0,823660.0
2020-04-27,J,81.0,81.59,79.58,79.79,1093057.0
2020-04-28,J,81.86,84.49,81.01,83.5,962874.0
2020-04-29,J,85.11,85.9299,82.6,82.73,1032335.0
2020-04-30,J,82.35,83.55,81.138,82.75,883523.0
