Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,KEYS,85.71,88.55,82.33,85.91,3628436.0
2020-03-13,KEYS,87.09,92.03,85.11,92.03,2663593.0
2020-03-16,KEYS,80.7,89.3815,80.0,83.78,2968450.0
2020-03-17,KEYS,85.4,94.5,80.2001,94.19,3121054.0
2020-03-18,KEYS,86.63,91.11,82.42,86.0,3266262.0
2020-03-19,KEYS,85.16,86.49,79.87,85.97,2903835.0
2020-03-20,KEYS,86.18,86.49,81.14,83.09,3632690.0
2020-03-23,KEYS,82.28,83.9,79.0,81.17,2318374.0
2020-03-24,KEYS,84.76,86.85,81.89,85.06,2654821.0
2020-03-25,KEYS,84.18,85.0,80.59,81.96,2503538.0
2020-03-26,KEYS,82.1,86.25,81.71,84.21,2183713.0
2020-03-27,KEYS,82.98,82.98,77.93,78.28,2510754.0
2020-03-30,KEYS,79.39,86.49,78.96,85.66,2071647.0
2020-03-31,KEYS,85.18,86.58,83.19,83.68,3088848.0
2020-04-01,KEYS,81.19,83.38,80.07,80.89,1410719.0
2020-04-02,KEYS,79.89,83.88,79.405,83.75,1656062.0
2020-04-03,KEYS,83.6,84.94,80.67,82.52,1420121.0
2020-04-06,KEYS,85.67,91.53,85.0,90.73,2173422.0
2020-04-07,KEYS,93.31,94.63,89.0,89.21,2463351.0
2020-04-08,KEYS,90.11,91.74,88.3011,91.0,1409804.0
2020-04-09,KEYS,91.06,93.27,90.38,92.1,1142900.0
2020-04-13,KEYS,91.6,92.86,90.7157,92.55,1229044.0
2020-04-14,KEYS,93.64,96.15,93.5987,94.86,1104557.0
2020-04-15,KEYS,93.1,93.48,91.86,92.97,1043294.0
2020-04-16,KEYS,93.13,96.88,92.585,96.58,1210818.0
2020-04-17,KEYS,97.65,98.57,94.86,95.84,1762490.0
2020-04-20,KEYS,95.37,97.09,94.7,95.31,1240128.0
2020-04-21,KEYS,94.47,94.47,91.2829,91.6,1108324.0
2020-04-22,KEYS,93.61,95.83,93.359,95.27,811027.0
2020-04-23,KEYS,95.59,97.28,95.1,95.76,1260471.0
2020-04-24,KEYS,96.0,97.85,94.55,97.54,1351043.0
2020-04-27,KEYS,97.75,98.18,95.84,96.33,2435171.0
2020-04-28,KEYS,98.26,98.32,95.06,95.93,1117869.0
2020-04-29,KEYS,98.5,99.44,97.312,98.91,1087397.0
2020-04-30,KEYS,98.18,98.18,96.34,96.77,1111891.0
2020-05-01,KEYS,95.05,95.595,93.14,93.84,890327.0
2020-05-04,KEYS,93.44,93.9,92.21,93.49,868633.0
2020-05-05,KEYS,94.43,97.42,94.36,96.02,1075959.0
2020-05-06,KEYS,97.31,100.19,96.81,98.89,1380837.0
2020-05-07,KEYS,99.8,100.36,96.86,96.99,1392903.0
2020-05-08,KEYS,98.18,101.0,97.84,100.69,1253438.0
2020-05-11,KEYS,99.76,102.33,99.24,101.07,1367320.0
2020-05-12,KEYS,101.4,102.05,99.01,99.01,1234158.0
2020-05-13,KEYS,99.06,100.64,96.365,97.56,1163476.0
