Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,KIM,13.86,13.9,10.0,12.72,10437703.0
2020-03-13,KIM,13.45,13.61,12.47,13.22,10109340.0
2020-03-16,KIM,12.31,12.41,10.57,10.6,11503917.0
2020-03-17,KIM,10.85,11.07,10.0,10.86,10910945.0
2020-03-18,KIM,10.15,10.25,9.3,9.76,8392068.0
2020-03-19,KIM,9.63,10.9,9.01,10.25,6082672.0
2020-03-20,KIM,10.47,11.32,10.07,10.63,15936204.0
2020-03-23,KIM,10.52,10.63,9.12,9.41,10501560.0
2020-03-24,KIM,10.05,10.56,9.75,10.49,8721095.0
2020-03-25,KIM,10.68,12.07,10.06,11.19,7427374.0
2020-03-26,KIM,11.39,11.79,10.6,11.32,7621718.0
2020-03-27,KIM,10.84,10.88,10.29,10.4,7554529.0
2020-03-30,KIM,10.36,10.465,9.56,10.1,9989262.0
2020-03-31,KIM,9.94,10.11,9.27,9.67,12783825.0
2020-04-01,KIM,8.72,9.0,8.25,8.3,9774017.0
2020-04-02,KIM,8.3,8.46,7.45,7.75,9677358.0
2020-04-03,KIM,7.69,8.135,7.52,7.77,8897193.0
2020-04-06,KIM,8.55,8.8421,8.14,8.66,9547227.0
2020-04-07,KIM,9.48,10.255,9.13,9.15,13017485.0
2020-04-08,KIM,9.36,9.69,9.05,9.63,6631484.0
2020-04-09,KIM,10.18,11.24,10.18,10.82,10900928.0
2020-04-13,KIM,10.8,10.84,10.12,10.55,6605153.0
2020-04-14,KIM,10.77,11.1,10.55,10.73,5982571.0
2020-04-15,KIM,10.03,10.1503,9.58,9.71,5699716.0
2020-04-16,KIM,9.58,9.61,8.41,8.48,7962708.0
2020-04-17,KIM,9.13,9.55,8.79,8.92,7912231.0
2020-04-20,KIM,8.56,8.89,8.33,8.56,12878068.0
2020-04-21,KIM,8.15,8.54,8.033,8.3,6542200.0
2020-04-22,KIM,8.69,8.69,8.195,8.33,6890926.0
2020-04-23,KIM,8.41,8.875,8.34,8.64,7643470.0
2020-04-24,KIM,8.75,8.97,8.38,8.6,11763627.0
2020-04-27,KIM,8.66,9.32,8.56,9.3,11304116.0
2020-04-28,KIM,9.81,10.38,9.81,10.15,9585586.0
2020-04-29,KIM,10.67,11.27,10.65,11.19,7910421.0
2020-04-30,KIM,10.81,11.04,10.44,10.91,10043809.0
2020-05-01,KIM,10.44,10.68,10.25,10.6,8081888.0
2020-05-04,KIM,10.1,10.51,9.99,10.4,5852003.0
2020-05-05,KIM,10.8,10.91,10.345,10.38,3886039.0
2020-05-06,KIM,10.4,10.45,9.76,9.82,6992341.0
2020-05-07,KIM,10.0,10.335,9.845,10.05,6809643.0
2020-05-08,KIM,10.3,11.09,10.16,10.9,8352548.0
2020-05-11,KIM,10.58,10.59,9.875,10.09,12646724.0
2020-05-12,KIM,10.17,10.24,9.37,9.38,9887152.0
2020-05-13,KIM,9.26,9.29,8.579,8.76,14866023.0
2020-05-14,KIM,8.52,9.25,8.35,9.22,10219349.0
2020-05-15,KIM,8.9,9.265,8.7,9.15,10365820.0
2020-05-18,KIM,9.73,10.5,9.63,10.41,7506092.0
2020-05-19,KIM,10.23,10.665,9.98,10.46,8634104.0
2020-05-20,KIM,10.59,10.98,10.37,10.96,12884672.0
2020-05-21,KIM,10.92,11.36,10.81,11.26,10414328.0
2020-05-22,KIM,11.26,11.41,11.075,11.33,9579693.0
2020-05-26,KIM,12.03,12.42,12.0,12.24,8142485.0
2020-05-27,KIM,12.77,12.96,12.09,12.43,9599092.0
2020-05-28,KIM,12.6,12.698,11.605,11.71,15361809.0
2020-05-29,KIM,11.49,11.6,10.96,11.11,55159189.0
2020-06-01,KIM,11.15,12.17,11.1001,11.98,8835180.0
2020-06-02,KIM,12.24,12.64,12.105,12.48,8123776.0
2020-06-03,KIM,12.9,14.09,12.8623,13.9,11385699.0
2020-06-04,KIM,13.8,14.35,13.425,14.31,8058317.0
2020-06-05,KIM,15.28,15.89,15.02,15.22,9689491.0
2020-06-08,KIM,15.8,16.06,15.54,15.69,8272081.0
2020-06-09,KIM,14.44,15.24,14.43,14.92,7733116.0
2020-06-10,KIM,14.71,14.81,13.84,14.06,9528798.0
2020-06-11,KIM,12.67,13.54,12.42,12.55,10497720.0
2020-06-12,KIM,13.48,13.86,12.985,13.76,7352708.0
2020-06-15,KIM,12.62,13.8,12.51,13.62,7179219.0
2020-06-16,KIM,14.62,14.69,13.805,14.13,6757655.0
2020-06-17,KIM,14.15,14.16,13.32,13.33,4516677.0
2020-06-18,KIM,13.11,13.41,12.9,13.33,5000803.0
2020-06-19,KIM,13.61,13.66,12.7,12.72,17256477.0
2020-06-22,KIM,12.63,13.115,12.485,13.06,5700606.0
2020-06-23,KIM,13.32,13.54,12.95,13.05,4913704.0
2020-06-24,KIM,12.77,12.88,12.19,12.81,5995006.0
2020-06-25,KIM,12.5,12.91,12.44,12.75,6180113.0
2020-06-26,KIM,12.7,12.92,12.4401,12.52,8856376.0
2020-06-29,KIM,12.7,12.92,12.38,12.72,6843624.0
2020-06-30,KIM,12.77,13.145,12.65,12.84,7630281.0
2020-07-01,KIM,12.95,13.4,12.89,12.91,6863916.0
2020-07-02,KIM,13.33,13.46,12.73,12.76,3978709.0
2020-07-06,KIM,13.3,13.395,12.78,12.93,3778242.0
2020-07-07,KIM,12.67,12.67,12.14,12.15,4475055.0
2020-07-08,KIM,12.14,12.215,11.765,12.15,4098974.0
2020-07-09,KIM,12.1,12.17,11.66,11.84,5109587.0
2020-07-10,KIM,11.76,12.115,11.74,12.1,3995698.0
2020-07-13,KIM,12.25,12.3,11.645,11.8,4491900.0
2020-07-14,KIM,11.71,11.77,11.43,11.5,4293717.0
2020-07-15,KIM,11.9,12.07,11.66,12.02,10491246.0
2020-07-16,KIM,11.85,12.0,11.74,11.84,5995974.0
2020-07-17,KIM,11.88,11.88,11.45,11.62,5103255.0
2020-07-20,KIM,11.59,11.6993,11.21,11.25,5002900.0
2020-07-21,KIM,11.37,11.52,11.14,11.21,6419094.0
2020-07-22,KIM,11.11,11.418,10.99,11.29,5835465.0
2020-07-23,KIM,11.19,11.3565,11.02,11.09,6611336.0
2020-07-24,KIM,11.09,11.26,10.74,10.75,6266196.0
2020-07-27,KIM,10.68,10.77,10.35,10.71,7055356.0
2020-07-28,KIM,10.65,11.24,10.53,11.12,6744869.0
2020-07-29,KIM,11.32,11.45,10.825,11.33,9454254.0
2020-07-30,KIM,11.07,11.28,10.82,11.23,6530832.0
2020-07-31,KIM,11.23,11.2318,10.84,11.15,19331304.0
2020-08-03,KIM,11.11,11.18,10.88,11.09,3472126.0
2020-08-04,KIM,11.14,11.605,11.12,11.54,4342927.0
2020-08-05,KIM,11.68,11.77,11.22,11.32,5539431.0
2020-08-06,KIM,11.24,11.61,11.24,11.44,5616607.0
2020-08-07,KIM,11.36,11.94,11.18,11.93,4963953.0
2020-08-10,KIM,11.96,12.26,11.905,12.07,6564509.0
2020-08-11,KIM,12.65,12.885,12.43,12.46,6025163.0
2020-08-12,KIM,12.52,12.66,12.19,12.39,3462289.0
2020-08-13,KIM,12.18,12.47,11.97,12.01,3457481.0
2020-08-14,KIM,11.93,12.205,11.88,11.98,4792527.0
2020-08-17,KIM,11.99,12.08,11.83,12.0,4151591.0
2020-08-18,KIM,11.96,12.0,11.52,11.75,3793810.0
2020-08-19,KIM,11.78,11.8,11.4,11.43,4585489.0
2020-08-20,KIM,11.34,11.75,11.23,11.55,3487834.0
2020-08-21,KIM,11.54,11.61,11.32,11.43,4804234.0
2020-08-24,KIM,11.49,11.865,11.35,11.85,3954969.0
2020-08-25,KIM,11.89,12.03,11.59,11.82,3052164.0
2020-08-26,KIM,11.85,11.9,11.505,11.57,2761668.0
2020-08-27,KIM,11.63,11.985,11.63,11.88,3264024.0
2020-08-28,KIM,11.92,12.09,11.615,12.07,6828777.0
2020-08-31,KIM,12.07,12.07,11.855,11.99,7002307.0
2020-09-01,KIM,11.78,12.36,11.68,12.21,5300299.0
2020-09-02,KIM,12.23,12.37,12.0,12.36,5605777.0
2020-09-03,KIM,12.46,12.73,12.2901,12.51,4051886.0
2020-09-04,KIM,12.6,12.755,12.335,12.66,5550052.0
2020-09-08,KIM,12.51,12.6,12.21,12.26,5916734.0
2020-09-09,KIM,12.21,12.29,11.98,12.09,4695778.0
2020-09-10,KIM,12.1,12.32,12.05,12.13,6664231.0
2020-09-11,KIM,12.05,12.06,11.54,11.66,10471234.0
2020-09-14,KIM,11.91,12.415,11.85,12.37,6532368.0
2020-09-15,KIM,12.44,13.18,12.36,12.97,6775516.0
2020-09-16,KIM,13.0,13.18,12.8,13.06,5912740.0
2020-09-17,KIM,12.84,13.03,12.745,12.85,4738432.0
2020-09-18,KIM,12.72,12.805,12.19,12.2,10486730.0
2020-09-21,KIM,11.86,11.9,11.36,11.55,6607177.0
2020-09-22,KIM,11.58,11.815,11.34,11.35,6599238.0
2020-09-23,KIM,11.3,11.555,10.78,10.79,4179738.0
2020-09-24,KIM,10.74,10.995,10.59,10.9,5740621.0
2020-09-25,KIM,10.79,11.265,10.76,11.22,3143495.0
2020-09-28,KIM,11.55,11.75,11.405,11.56,3785218.0
2020-09-29,KIM,11.48,11.48,10.96,11.28,5871117.0
2020-09-30,KIM,11.37,11.6,11.1,11.26,5161105.0
2020-10-01,KIM,11.32,11.65,11.165,11.61,5837472.0
2020-10-02,KIM,11.27,11.92,11.2106,11.9,6348478.0
2020-10-05,KIM,12.03,12.1,11.655,11.95,4436492.0
2020-10-06,KIM,12.11,12.32,11.865,11.95,5016031.0
2020-10-07,KIM,12.01,12.1,11.68,11.76,6421113.0
2020-10-08,KIM,11.89,12.02,11.78,12.02,6275721.0
2020-10-09,KIM,12.13,12.13,11.6,11.62,3806818.0
