Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,KLAC,135.24,139.0,125.25,125.36,3065728.0
2020-03-13,KLAC,132.82,145.76,127.89,145.37,3198189.0
2020-03-16,KLAC,128.69,140.48,126.1926,129.5,3135573.0
2020-03-17,KLAC,131.87,150.44,125.635,149.63,3592448.0
2020-03-18,KLAC,135.7,143.13,127.36,132.02,3017589.0
2020-03-19,KLAC,131.88,135.42,126.76,127.36,2205943.0
2020-03-20,KLAC,129.71,132.55,113.08,114.02,3180723.0
2020-03-23,KLAC,114.32,120.69,110.19,116.36,2343988.0
2020-03-24,KLAC,121.7,136.55,120.0,136.36,3308225.0
2020-03-25,KLAC,135.72,145.94,134.385,137.47,1952466.0
2020-03-26,KLAC,140.77,150.47,139.06,149.76,2097496.0
2020-03-27,KLAC,145.04,147.17,141.32,141.92,2546791.0
2020-03-30,KLAC,142.07,150.57,142.0,149.52,1874995.0
2020-03-31,KLAC,150.84,150.84,141.53,143.74,3878562.0
2020-04-01,KLAC,138.7,141.22,129.6588,131.61,2027906.0
2020-04-02,KLAC,129.57,133.795,129.31,132.44,1559347.0
2020-04-03,KLAC,130.82,132.99,125.56,127.94,1362203.0
2020-04-06,KLAC,135.21,149.21,132.93,148.5,2165328.0
2020-04-07,KLAC,154.1,155.0,146.52,147.27,1606523.0
2020-04-08,KLAC,149.59,153.15,146.91,152.37,1517579.0
2020-04-09,KLAC,152.15,157.87,148.485,150.12,1512055.0
2020-04-13,KLAC,149.5,152.42,148.1756,152.09,1027248.0
2020-04-14,KLAC,155.1,162.34,153.81,161.73,1542779.0
2020-04-15,KLAC,158.18,158.3,151.11,153.22,1436145.0
2020-04-16,KLAC,158.21,160.75,154.23,156.65,1795121.0
2020-04-17,KLAC,160.93,162.29,157.79,161.21,1216767.0
2020-04-20,KLAC,158.79,160.34,156.05,156.3,735203.0
2020-04-21,KLAC,153.44,154.18,147.46,148.59,1534825.0
2020-04-22,KLAC,154.31,159.36,151.29,158.68,1421349.0
2020-04-23,KLAC,158.44,160.8399,157.01,159.45,1585383.0
2020-04-24,KLAC,160.98,165.57,158.02,164.92,1728121.0
2020-04-27,KLAC,167.04,169.24,164.64,166.06,1127172.0
2020-04-28,KLAC,168.39,170.77,165.95,166.27,1367616.0
2020-04-29,KLAC,169.93,177.17,168.21,175.89,1859545.0
2020-04-30,KLAC,173.95,175.3115,163.97,164.09,1420769.0
2020-05-01,KLAC,158.3,158.89,147.71,150.27,2959764.0
2020-05-04,KLAC,149.68,152.8699,147.54,151.995,1639147.0
2020-05-05,KLAC,156.46,160.685,153.96,155.63,2056530.0
2020-05-06,KLAC,163.41,169.13,158.46,163.81,2556437.0
2020-05-07,KLAC,167.37,169.685,163.57,163.84,1799106.0
2020-05-08,KLAC,166.83,172.39,165.681,171.5,1408678.0
2020-05-11,KLAC,169.19,169.95,167.28,168.78,1252032.0
2020-05-12,KLAC,170.22,171.1925,165.41,165.57,1094166.0
2020-05-13,KLAC,165.37,168.61,160.6592,164.07,1996502.0
2020-05-14,KLAC,162.55,176.96,158.89,176.75,2916856.0
2020-05-15,KLAC,168.03,171.62,165.98,167.43,4715725.0
2020-05-18,KLAC,171.81,173.47,168.78,172.31,1706660.0
2020-05-19,KLAC,172.21,177.63,171.14,172.52,1199614.0
2020-05-20,KLAC,175.5,180.21,174.9706,177.92,1455341.0
2020-05-21,KLAC,176.13,177.25,171.8605,172.43,1185726.0
2020-05-22,KLAC,173.77,173.97,170.4,173.0,758123.0
2020-05-26,KLAC,176.91,180.33,174.6903,176.64,2093122.0
2020-05-27,KLAC,178.12,178.9,168.24,176.73,1827776.0
2020-05-28,KLAC,177.66,180.218,173.4,174.61,1491559.0
2020-05-29,KLAC,176.0,177.97,173.57,175.96,2150555.0
2020-06-01,KLAC,175.0,178.4,173.45,175.96,1232205.0
2020-06-02,KLAC,175.3,177.55,172.9401,177.29,1053242.0
2020-06-03,KLAC,178.84,186.95,178.38,186.05,1821260.0
2020-06-04,KLAC,184.81,189.12,183.69,186.29,1155028.0
2020-06-05,KLAC,190.22,196.25,189.33,192.48,1698568.0
2020-06-08,KLAC,193.62,194.06,188.77,191.87,923426.0
2020-06-09,KLAC,190.54,192.55,188.65,191.03,872192.0
2020-06-10,KLAC,192.43,195.0,190.34,192.77,884680.0
2020-06-11,KLAC,191.32,191.32,179.84,180.58,1737870.0
2020-06-12,KLAC,186.17,188.4,180.07,184.69,1393835.0
2020-06-15,KLAC,178.24,188.125,176.58,187.75,1402828.0
2020-06-16,KLAC,193.855,196.97,188.73,192.99,1698216.0
2020-06-17,KLAC,193.17,196.3,192.17,193.89,1422399.0
2020-06-18,KLAC,194.29,194.29,192.05,193.74,1098935.0
2020-06-19,KLAC,196.43,197.5,192.05,193.1,5359595.0
2020-06-22,KLAC,189.35,193.77,189.35,191.86,1382788.0
2020-06-23,KLAC,195.16,195.16,192.29,193.21,1275854.0
2020-06-24,KLAC,192.21,193.0,185.69,188.62,1666339.0
2020-06-25,KLAC,190.91,192.71,187.42,192.35,1358819.0
2020-06-26,KLAC,192.63,193.2,189.04,189.57,2293483.0
2020-06-29,KLAC,190.54,191.75,186.585,191.73,799089.0
2020-06-30,KLAC,191.03,195.86,191.03,194.48,1489277.0
2020-07-01,KLAC,194.48,195.27,191.92,193.15,1396930.0
2020-07-02,KLAC,194.56,198.21,194.27,196.51,1405265.0
2020-07-06,KLAC,199.385,206.51,198.22,203.59,1558525.0
2020-07-07,KLAC,203.48,205.33,201.8,202.69,1424828.0
2020-07-08,KLAC,203.3346,205.73,201.175,204.51,848593.0
