Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,KMI,14.22,14.6,13.4501,13.86,38655452.0
2020-03-13,KMI,15.03,15.13,13.215,14.78,44343278.0
2020-03-16,KMI,13.25,13.88,12.65,12.73,28722224.0
2020-03-17,KMI,12.88,13.4,12.32,12.64,30657772.0
2020-03-18,KMI,11.78,11.87,9.44,10.25,49198165.0
2020-03-19,KMI,10.03,11.45,9.42,11.2,36130971.0
2020-03-20,KMI,11.85,12.44,11.15,12.35,44899182.0
2020-03-23,KMI,12.02,12.32,11.01,11.03,27827485.0
2020-03-24,KMI,11.95,12.94,11.355,12.88,23130008.0
2020-03-25,KMI,13.11,14.75,12.45,13.73,30671818.0
2020-03-26,KMI,13.94,14.85,13.76,14.48,27452145.0
2020-03-27,KMI,13.75,14.36,13.59,13.75,23251776.0
2020-03-30,KMI,13.42,13.5,12.64,13.27,30263047.0
2020-03-31,KMI,13.46,14.2,13.17,13.92,26714385.0
2020-04-01,KMI,13.08,13.28,12.5,12.73,19449139.0
2020-04-02,KMI,13.17,14.13,12.99,13.45,21794892.0
2020-04-03,KMI,13.45,13.77,12.88,13.41,27792620.0
2020-04-06,KMI,13.96,14.2,13.62,13.99,22707989.0
2020-04-07,KMI,14.65,14.77,14.02,14.2,20531332.0
2020-04-08,KMI,14.51,14.89,14.18,14.83,15673060.0
2020-04-09,KMI,15.2,15.885,14.9,15.36,18733987.0
2020-04-13,KMI,15.75,15.88,14.725,14.95,14710906.0
2020-04-14,KMI,15.01,15.237,14.83,15.12,19716823.0
2020-04-15,KMI,14.56,14.77,14.02,14.35,16943369.0
2020-04-16,KMI,14.24,14.39,13.94,14.11,17573338.0
2020-04-17,KMI,14.3,15.0,14.3,14.97,22103686.0
2020-04-20,KMI,14.17,15.16,14.025,14.69,18437187.0
2020-04-21,KMI,14.21,14.71,13.98,14.46,18325577.0
2020-04-22,KMI,15.0,15.04,14.24,14.67,18379668.0
2020-04-23,KMI,14.93,15.225,13.95,14.21,25565155.0
2020-04-24,KMI,14.44,14.86,14.125,14.62,20057759.0
2020-04-27,KMI,14.49,15.22,14.47,15.02,13758331.0
2020-04-28,KMI,15.31,15.49,14.915,15.19,15344659.0
2020-04-29,KMI,15.67,15.95,15.52,15.71,20444076.0
2020-04-30,KMI,15.6,15.62,15.1,15.23,23287473.0
2020-05-01,KMI,14.85,14.91,14.36,14.56,17548667.0
2020-05-04,KMI,14.33,14.79,14.29,14.65,18146028.0
2020-05-05,KMI,14.93,15.16,14.8,14.95,15802344.0
2020-05-06,KMI,14.99,15.1655,14.6,14.72,11314327.0
2020-05-07,KMI,14.99,15.24,14.82,14.94,13871608.0
2020-05-08,KMI,15.22,15.4,15.1,15.35,12049811.0
2020-05-11,KMI,15.17,15.46,15.16,15.36,10978811.0
2020-05-12,KMI,15.41,15.53,14.96,14.99,11170574.0
2020-05-13,KMI,14.92,14.99,14.635,14.73,13621953.0
2020-05-14,KMI,14.48,14.89,14.16,14.84,13733762.0
2020-05-15,KMI,14.86,15.035,14.6565,14.84,25477630.0
2020-05-18,KMI,15.53,15.68,15.33,15.49,21096929.0
2020-05-19,KMI,15.47,15.51,15.22,15.34,11712327.0
2020-05-20,KMI,15.57,15.765,15.415,15.65,20002505.0
2020-05-21,KMI,15.68,15.765,15.31,15.36,10468705.0
2020-05-22,KMI,15.22,15.44,14.955,15.41,8816457.0
2020-05-26,KMI,15.8,15.98,15.715,15.8,11269448.0
2020-05-27,KMI,16.0,16.08,15.455,15.97,12118459.0
2020-05-28,KMI,16.08,16.12,15.65,15.72,12278958.0
2020-05-29,KMI,15.6,15.85,15.31,15.8,19229694.0
2020-06-01,KMI,15.77,15.82,15.535,15.77,8992882.0
2020-06-02,KMI,15.87,15.95,15.72,15.88,10397720.0
2020-06-03,KMI,16.02,16.18,15.885,16.15,13308423.0
2020-06-04,KMI,16.13,16.25,16.01,16.23,11584695.0
2020-06-05,KMI,16.75,16.96,16.58,16.72,16619039.0
2020-06-08,KMI,17.1,17.97,17.035,17.97,22888913.0
2020-06-09,KMI,17.48,17.51,17.15,17.29,20264611.0
2020-06-10,KMI,17.12,17.25,16.82,16.93,19646279.0
2020-06-11,KMI,16.06,16.26,15.45,15.51,28874635.0
2020-06-12,KMI,15.99,16.0,15.16,15.5,18648003.0
2020-06-15,KMI,15.0,16.035,14.84,15.85,15772809.0
2020-06-16,KMI,16.35,16.3798,15.61,15.97,14557156.0
2020-06-17,KMI,15.93,16.01,15.67,15.68,11036472.0
2020-06-18,KMI,15.56,15.91,15.51,15.77,14718086.0
2020-06-19,KMI,16.14,16.14,15.51,15.52,31187733.0
2020-06-22,KMI,15.44,15.62,15.31,15.61,14215633.0
2020-06-23,KMI,15.82,15.86,15.41,15.44,9603074.0
2020-06-24,KMI,15.27,15.278,14.61,14.81,14685345.0
2020-06-25,KMI,14.75,15.08,14.68,14.96,11723624.0
2020-06-26,KMI,14.88,14.89,14.37,14.47,20590080.0
2020-06-29,KMI,14.54,14.79,14.47,14.66,12120474.0
2020-06-30,KMI,14.55,15.23,14.5,15.17,17115631.0
2020-07-01,KMI,15.19,15.4079,14.89,14.91,10256753.0
2020-07-02,KMI,15.15,15.32,15.07,15.12,10581316.0
2020-07-06,KMI,15.42,15.58,14.965,15.19,15042678.0
2020-07-07,KMI,14.78,15.06,14.57,14.67,16388675.0
2020-07-08,KMI,14.7,14.86,14.47,14.52,12066925.0
2020-07-09,KMI,14.53,14.53,13.9,13.91,22215735.0
2020-07-10,KMI,13.94,14.25,13.85,14.24,15107461.0
2020-07-13,KMI,14.27,14.42,14.0928,14.19,10694502.0
2020-07-14,KMI,14.17,14.59,14.07,14.55,15229039.0
2020-07-15,KMI,14.84,15.04,14.7,14.96,9581606.0
2020-07-16,KMI,14.9,15.08,14.73,14.99,10463668.0
2020-07-17,KMI,15.08,15.27,14.79,14.92,10714621.0
2020-07-20,KMI,14.85,14.87,14.5,14.5,10444481.0
2020-07-21,KMI,14.65,15.215,14.6,15.09,12594237.0
2020-07-22,KMI,14.87,14.95,14.7,14.89,14780980.0
2020-07-23,KMI,14.32,14.58,14.06,14.49,25265763.0
2020-07-24,KMI,14.55,14.55,14.2,14.25,12996835.0
2020-07-27,KMI,14.31,14.33,14.08,14.2,13090380.0
2020-07-28,KMI,14.18,14.26,14.1,14.12,9263020.0
2020-07-29,KMI,14.05,14.55,14.02,14.53,9566612.0
2020-07-30,KMI,14.33,14.385,14.1598,14.32,11635007.0
2020-07-31,KMI,14.04,14.12,13.8,14.1,19593423.0
