Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,KMX,71.23,74.6,67.32,67.87,2689298.0
2020-03-13,KMX,72.44,72.55,65.1204,69.19,2727108.0
2020-03-16,KMX,62.65,63.13,51.27,54.95,4887560.0
2020-03-17,KMX,55.4,57.6,49.42,53.76,4144037.0
2020-03-18,KMX,50.21,50.4,37.59,48.22,4403026.0
2020-03-19,KMX,47.26,49.64,41.51,48.13,3213709.0
2020-03-20,KMX,49.06,52.37,44.02,44.27,4677835.0
2020-03-23,KMX,43.6,48.23,43.14,47.7,2963820.0
2020-03-24,KMX,51.31,56.81,51.1053,56.32,2390265.0
2020-03-25,KMX,58.23,68.24,54.24,63.88,3231907.0
2020-03-26,KMX,64.9,67.45,60.46,60.92,2939232.0
2020-03-27,KMX,57.12,59.27,53.44,58.93,2559743.0
2020-03-30,KMX,57.46,58.9,54.21,55.75,2173987.0
2020-03-31,KMX,55.0,55.74,53.22,53.83,2666573.0
2020-04-01,KMX,49.52,53.71,48.1,52.36,3547281.0
2020-04-02,KMX,49.01,52.83,48.26,50.2,4795061.0
2020-04-03,KMX,48.75,49.89,47.06,48.6,3498943.0
2020-04-06,KMX,52.2,55.57,50.28,54.45,2689588.0
2020-04-07,KMX,58.41,60.98,56.05,58.01,2933748.0
2020-04-08,KMX,59.0,64.13,57.7,63.22,2193687.0
2020-04-09,KMX,64.97,70.265,64.5,66.5,2918542.0
2020-04-13,KMX,66.11,66.47,61.78,62.6,1995158.0
2020-04-14,KMX,63.85,66.18,63.85,64.39,2209034.0
2020-04-15,KMX,62.38,63.88,60.81,61.58,1538253.0
2020-04-16,KMX,61.69,61.98,58.93,59.07,2584702.0
2020-04-17,KMX,62.45,65.8477,61.89,65.22,4544233.0
2020-04-20,KMX,63.81,65.43,63.11,64.56,4170086.0
2020-04-21,KMX,61.35,64.01,61.23,63.58,3902913.0
2020-04-22,KMX,64.79,65.545,64.398,64.91,2519918.0
2020-04-23,KMX,65.03,66.835,64.84,65.99,2231828.0
2020-04-24,KMX,66.89,71.62,66.89,70.96,3550831.0
2020-04-27,KMX,71.9,75.8,71.8319,74.97,2896326.0
2020-04-28,KMX,76.69,79.48,73.685,74.1,2592956.0
2020-04-29,KMX,76.19,80.26,75.26,78.99,1977784.0
2020-04-30,KMX,77.68,77.72,73.35,73.65,2161576.0
2020-05-01,KMX,70.98,71.98,70.17,71.07,2160404.0
2020-05-04,KMX,69.505,71.72,69.4127,71.68,2007608.0
2020-05-05,KMX,73.04,74.48,72.76,72.97,1605904.0
2020-05-06,KMX,73.97,74.25,72.39,72.97,1488946.0
2020-05-07,KMX,73.74,74.95,72.3606,72.87,1535296.0
2020-05-08,KMX,75.01,76.94,73.82,76.69,1633467.0
2020-05-11,KMX,76.2,76.858,74.34,75.96,1108883.0
2020-05-12,KMX,77.51,78.68,74.73,74.78,1850920.0
2020-05-13,KMX,74.35,74.99,72.44,73.95,1754615.0
2020-05-14,KMX,71.01,75.245,70.72,75.17,1455509.0
2020-05-15,KMX,74.12,75.97,72.97,75.8,1623563.0
2020-05-18,KMX,79.97,83.7644,79.58,79.75,2148335.0
2020-05-19,KMX,79.66,81.19,78.42,78.95,1117296.0
2020-05-20,KMX,79.79,80.57,77.92,78.35,1330406.0
