Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,LHX,174.66,181.55,164.1217,176.53,3292925.0
2020-03-13,LHX,174.63,178.64,164.475,177.63,2480992.0
2020-03-16,LHX,157.0,166.47,149.21,152.23,2142967.0
2020-03-17,LHX,155.32,170.68,151.4,168.95,2342403.0
2020-03-18,LHX,154.94,175.1,152.17,166.26,3104412.0
2020-03-19,LHX,166.34,167.37,153.45,160.14,2705988.0
2020-03-20,LHX,160.48,160.48,150.8,154.04,3202447.0
2020-03-23,LHX,153.03,154.54,142.01,150.22,2466193.0
2020-03-24,LHX,153.55,162.56,152.95,162.07,1960105.0
2020-03-25,LHX,160.74,179.77,160.0,173.46,2076828.0
2020-03-26,LHX,175.67,191.19,174.83,190.5,2468137.0
2020-03-27,LHX,183.64,190.535,178.46,185.0,2621077.0
2020-03-30,LHX,186.91,187.49,179.24,181.96,2073938.0
2020-03-31,LHX,180.83,183.56,177.01,180.12,3546287.0
2020-04-01,LHX,172.1,177.91,170.23,177.17,1654581.0
2020-04-02,LHX,176.13,183.96,175.22,183.52,2049244.0
2020-04-03,LHX,183.43,184.76,177.35,178.5,1634511.0
2020-04-06,LHX,186.39,187.21,181.6,184.0,2153075.0
2020-04-07,LHX,190.63,190.64,178.67,179.9,2669020.0
2020-04-08,LHX,181.0,188.675,179.545,185.2,1385062.0
2020-04-09,LHX,186.37,194.245,186.03,190.79,2072168.0
2020-04-13,LHX,190.44,190.76,185.03,188.32,882642.0
2020-04-14,LHX,193.56,197.86,191.48,197.0,1388614.0
2020-04-15,LHX,198.04,198.46,190.76,195.0,1403182.0
2020-04-16,LHX,195.21,198.63,194.18,198.22,1741247.0
2020-04-17,LHX,202.14,204.125,200.82,203.5,1862214.0
2020-04-20,LHX,200.31,202.58,194.65,194.84,1217410.0
2020-04-21,LHX,192.27,194.62,186.07,187.78,1361698.0
2020-04-22,LHX,192.23,194.59,190.89,191.76,1076211.0
2020-04-23,LHX,193.44,194.24,188.7,189.43,1459226.0
2020-04-24,LHX,190.0,190.47,186.42,189.85,1195024.0
2020-04-27,LHX,190.64,193.99,190.54,192.7,858995.0
2020-04-28,LHX,195.0,198.1,194.17,195.79,1019649.0
2020-04-29,LHX,195.66,198.25,193.62,195.3,1174376.0
2020-04-30,LHX,193.24,194.49,191.76,193.7,1215101.0
2020-05-01,LHX,190.78,190.96,186.77,189.46,955809.0
2020-05-04,LHX,187.54,188.09,183.79,186.82,1213891.0
2020-05-05,LHX,185.58,192.95,184.05,189.0,1520359.0
2020-05-06,LHX,189.94,190.0,182.239,182.51,1096439.0
2020-05-07,LHX,185.0,185.75,182.01,182.49,1547542.0
2020-05-08,LHX,184.35,184.62,180.24,180.95,1942919.0
2020-05-11,LHX,180.0,181.34,178.03,179.4,1873441.0
2020-05-12,LHX,180.0,184.05,179.45,180.61,1846285.0
2020-05-13,LHX,180.13,180.88,175.56,177.54,1555305.0
2020-05-14,LHX,175.28,177.99,171.82,177.84,1865591.0
2020-05-15,LHX,175.81,177.47,174.68,176.78,2114518.0
2020-05-18,LHX,182.68,182.68,179.33,180.92,1641419.0
2020-05-19,LHX,181.33,183.2982,179.76,179.89,1284563.0
2020-05-20,LHX,182.09,182.87,178.82,179.18,1632711.0
2020-05-21,LHX,180.0,185.12,179.33,184.12,1683791.0
2020-05-22,LHX,184.9,184.9,179.85,180.45,1186357.0
2020-05-26,LHX,184.75,186.075,182.72,184.77,2981392.0
2020-05-27,LHX,188.0,193.04,186.03,192.95,2403229.0
2020-05-28,LHX,196.84,197.925,193.0,196.73,1732218.0
2020-05-29,LHX,195.0,199.9,193.43,199.45,2081983.0
2020-06-01,LHX,197.16,198.523,195.58,196.12,1568797.0
2020-06-02,LHX,196.25,196.615,192.95,194.57,2133171.0
2020-06-03,LHX,196.78,201.76,196.08,200.61,2024011.0
2020-06-04,LHX,200.0,202.39,198.59,199.48,1637685.0
