Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,LH,150.0,150.75,136.53,136.89,2097284.0
2020-03-13,LH,145.93,151.188,134.13,151.02,2230156.0
2020-03-16,LH,140.98,142.35,121.57,140.12,1938546.0
2020-03-17,LH,125.98,127.46,113.54,124.43,1888027.0
2020-03-18,LH,116.56,119.525,101.26,107.76,1638778.0
2020-03-19,LH,106.44,118.1,98.02,114.51,1252977.0
2020-03-20,LH,116.94,121.39,106.45,107.24,1791699.0
2020-03-23,LH,106.65,108.49,100.33,104.32,1189416.0
2020-03-24,LH,110.47,118.62,108.61,117.77,1417330.0
2020-03-25,LH,118.72,126.91,116.35,122.82,1226027.0
2020-03-26,LH,123.62,138.44,123.14,137.05,1723946.0
2020-03-27,LH,132.0,133.295,126.36,128.71,1140142.0
2020-03-30,LH,128.0,132.58,123.35,131.95,1042869.0
2020-03-31,LH,130.75,131.27,123.06,126.39,1416676.0
2020-04-01,LH,119.81,120.37,114.31,116.17,1439425.0
2020-04-02,LH,115.9,118.76,111.79,116.01,958239.0
2020-04-03,LH,115.11,115.79,110.3976,113.31,1028190.0
2020-04-06,LH,120.38,127.93,119.04,126.41,1015595.0
2020-04-07,LH,133.75,141.63,130.21,133.45,1802148.0
2020-04-08,LH,135.34,145.2,134.59,141.16,1196225.0
2020-04-09,LH,144.67,149.66,142.0,146.8,1596903.0
2020-04-13,LH,147.91,148.1914,139.02,140.45,582926.0
2020-04-14,LH,142.93,145.0,141.375,144.68,702881.0
2020-04-15,LH,141.0,142.585,138.4106,141.48,732711.0
2020-04-16,LH,142.45,142.45,136.38,138.53,978856.0
2020-04-17,LH,142.56,149.0,141.32,148.52,1452609.0
2020-04-20,LH,145.29,148.145,143.0787,145.61,1046429.0
2020-04-21,LH,153.0,153.0,145.61,148.18,1967917.0
2020-04-22,LH,159.44,159.46,150.64,154.13,2192803.0
2020-04-23,LH,156.28,163.4068,155.5,159.67,1907412.0
2020-04-24,LH,161.5,165.59,156.83,163.72,1870989.0
2020-04-27,LH,173.49,180.0485,170.1,178.49,2570051.0
2020-04-28,LH,185.18,187.7,174.652,175.96,1980358.0
2020-04-29,LH,165.31,179.79,158.81,173.48,2301720.0
2020-04-30,LH,168.67,170.52,164.25,164.45,1789325.0
2020-05-01,LH,160.03,161.35,153.72,159.03,1548902.0
2020-05-04,LH,156.85,158.98,155.63,157.65,1084497.0
2020-05-05,LH,159.69,164.91,159.37,162.75,920779.0
2020-05-06,LH,164.57,164.87,158.86,159.1,649478.0
2020-05-07,LH,160.62,162.44,159.48,160.18,577460.0
2020-05-08,LH,162.4,167.42,160.6,167.26,702773.0
2020-05-11,LH,164.5,169.995,163.425,168.87,1003148.0
2020-05-12,LH,170.68,172.425,163.325,163.33,1289265.0
2020-05-13,LH,167.16,167.16,156.43,158.69,1417443.0
2020-05-14,LH,155.93,164.0,155.191,163.75,1204240.0
2020-05-15,LH,164.75,168.765,163.09,167.43,983002.0
2020-05-18,LH,171.68,172.75,167.08,167.09,1015395.0
2020-05-19,LH,166.02,169.21,164.11,167.01,664197.0
2020-05-20,LH,170.57,173.93,169.66,170.52,896916.0
2020-05-21,LH,170.86,174.11,169.57,172.32,645726.0
2020-05-22,LH,172.69,173.01,169.33,170.16,586142.0
2020-05-26,LH,175.28,175.28,168.15,168.57,950995.0
2020-05-27,LH,170.56,175.0,166.76,174.86,915542.0
2020-05-28,LH,176.21,179.17,173.24,175.66,910676.0
2020-05-29,LH,175.66,177.7,172.16,175.32,1336579.0
2020-06-01,LH,174.07,179.12,174.07,177.02,568243.0
2020-06-02,LH,178.19,180.18,176.69,179.82,1065418.0
2020-06-03,LH,182.5,183.17,179.01,179.19,632637.0
2020-06-04,LH,179.21,183.26,178.005,180.64,1080103.0
2020-06-05,LH,183.86,185.82,179.11,179.74,731746.0
2020-06-08,LH,179.7,184.55,179.23,182.44,836763.0
2020-06-09,LH,182.0,183.57,178.58,178.94,616488.0
2020-06-10,LH,178.71,179.9391,174.645,175.1,783413.0
2020-06-11,LH,170.19,170.9,163.4,163.55,1055515.0
2020-06-12,LH,170.17,170.17,162.545,167.73,876244.0
2020-06-15,LH,163.06,171.735,162.53,170.51,685107.0
2020-06-16,LH,175.09,175.59,169.165,173.72,875431.0
2020-06-17,LH,174.67,174.67,169.855,170.22,656175.0
2020-06-18,LH,169.0,169.93,167.57,168.43,611379.0
2020-06-19,LH,172.27,172.27,162.35,162.35,2350607.0
2020-06-22,LH,162.4,165.63,161.42,165.1,1161010.0
2020-06-23,LH,166.75,166.75,162.06,162.27,916972.0
2020-06-24,LH,160.01,161.85,155.6481,157.09,1049715.0
2020-06-25,LH,157.08,161.47,155.72,161.32,1092098.0
2020-06-26,LH,161.05,163.64,160.345,161.96,1410777.0
2020-06-29,LH,163.0,163.12,159.24,162.03,670429.0
2020-06-30,LH,162.27,166.88,160.88,166.11,1043119.0
2020-07-01,LH,165.98,168.04,163.25,167.03,794686.0
2020-07-02,LH,169.17,171.18,168.26,170.27,1148262.0
2020-07-06,LH,172.88,173.98,171.0,172.59,777579.0
2020-07-07,LH,171.87,174.51,171.745,173.12,1090239.0
2020-07-08,LH,173.12,174.77,171.945,174.46,854934.0
