Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,L,36.52,37.31,33.18,33.19,3245238.0
2020-03-13,L,35.47,37.04,34.175,37.01,3204140.0
2020-03-16,L,32.59,37.96,32.22,33.42,3309498.0
2020-03-17,L,34.36,37.7,32.2525,36.72,3073403.0
2020-03-18,L,33.32,34.9,31.655,34.59,2726887.0
2020-03-19,L,34.0,38.23,32.0,37.31,2558214.0
2020-03-20,L,37.54,37.97,30.87,31.26,4271160.0
2020-03-23,L,31.24,32.0,28.52,29.74,2029380.0
2020-03-24,L,31.66,33.99,30.51,33.74,2213795.0
2020-03-25,L,33.78,35.17,32.24,33.29,2893616.0
2020-03-26,L,33.63,35.7,32.72,35.41,1351360.0
2020-03-27,L,33.85,34.97,33.03,33.7,1268251.0
2020-03-30,L,33.72,35.57,32.9,35.43,1529592.0
2020-03-31,L,34.84,35.36,34.37,34.83,2188791.0
2020-04-01,L,32.83,33.2,31.87,32.63,1443455.0
2020-04-02,L,32.4,34.61,32.15,33.18,1537376.0
2020-04-03,L,32.63,33.72,32.38,32.7,1698616.0
2020-04-06,L,34.5,36.0,34.24,35.7,1577104.0
2020-04-07,L,37.63,38.05,36.18,36.27,1713169.0
2020-04-08,L,36.64,38.23,35.98,37.97,1243152.0
2020-04-09,L,38.43,40.47,38.43,39.42,1619987.0
2020-04-13,L,39.41,39.41,36.98,37.42,911117.0
2020-04-14,L,38.52,38.52,36.82,37.42,1201983.0
2020-04-15,L,36.07,36.2936,34.41,34.56,1440783.0
2020-04-16,L,34.5,34.59,32.99,34.0,1977684.0
2020-04-17,L,35.24,36.38,34.86,36.14,1869718.0
2020-04-20,L,35.39,35.9468,34.45,34.97,1263970.0
2020-04-21,L,33.78,34.49,33.56,33.71,966197.0
2020-04-22,L,34.54,34.67,33.7,33.77,914218.0
2020-04-23,L,33.99,34.3,32.87,32.92,1621912.0
2020-04-24,L,33.56,33.56,32.16,32.4,2594589.0
2020-04-27,L,32.16,32.685,31.38,32.56,2569848.0
2020-04-28,L,33.66,34.71,33.33,34.11,1524257.0
2020-04-29,L,35.17,36.94,35.16,36.7,2491896.0
2020-04-30,L,36.01,36.18,34.53,34.66,1663161.0
2020-05-01,L,33.79,33.89,31.54,31.62,2077580.0
2020-05-04,L,31.1,31.86,30.13,31.76,2208805.0
2020-05-05,L,32.03,32.3114,30.7,30.79,1547497.0
2020-05-06,L,30.93,30.93,29.53,29.68,1620470.0
2020-05-07,L,30.03,31.71,29.9,30.34,1301008.0
2020-05-08,L,30.99,31.34,30.36,31.02,1044168.0
2020-05-11,L,30.55,30.55,29.5,30.01,1676651.0
2020-05-12,L,30.1,30.13,29.33,29.6,1759755.0
2020-05-13,L,29.16,29.42,28.24,28.8,2722763.0
2020-05-14,L,28.25,29.44,27.325,29.09,1583554.0
2020-05-15,L,28.71,29.89,28.16,29.81,6307493.0
2020-05-18,L,31.45,32.09,31.26,31.65,1982170.0
2020-05-19,L,31.53,31.73,31.05,31.06,1351968.0
2020-05-20,L,31.54,32.44,31.54,32.19,1129954.0
2020-05-21,L,32.07,32.46,31.83,32.09,1235303.0
2020-05-22,L,32.24,32.28,31.31,31.91,999677.0
2020-05-26,L,33.28,33.65,32.91,33.04,1242780.0
2020-05-27,L,34.38,34.75,33.81,34.24,1192739.0
2020-05-28,L,34.69,34.8,33.6,33.78,1239070.0
2020-05-29,L,33.27,33.64,32.66,33.24,3627542.0
2020-06-01,L,33.16,33.89,32.75,33.77,1101376.0
2020-06-02,L,34.43,35.09,34.02,34.64,1899613.0
2020-06-03,L,35.36,35.9,35.28,35.48,1280381.0
2020-06-04,L,35.31,36.52,34.55,36.5,1424197.0
2020-06-05,L,38.73,39.82,38.18,39.08,1704354.0
2020-06-08,L,39.79,40.07,39.105,39.95,1675818.0
2020-06-09,L,38.9,38.91,37.85,38.26,1318637.0
2020-06-10,L,37.88,37.88,36.01,36.17,1884968.0
2020-06-11,L,34.22,34.56,32.145,32.19,2706329.0
2020-06-12,L,33.75,33.77,31.71,33.02,2252926.0
2020-06-15,L,31.34,33.82,31.18,33.58,1528597.0
2020-06-16,L,35.4,35.4,33.33,33.92,1432219.0
2020-06-17,L,34.03,34.03,33.14,33.4,1828685.0
2020-06-18,L,32.93,34.03,32.51,33.88,1922262.0
2020-06-19,L,34.63,34.85,33.89,34.73,7098547.0
2020-06-22,L,34.36,34.36,33.55,34.06,1932444.0
2020-06-23,L,34.65,35.0,34.3,34.34,1689367.0
2020-06-24,L,33.78,33.78,32.42,33.17,1335821.0
2020-06-25,L,32.88,33.9,32.71,33.84,1277479.0
2020-06-26,L,33.32,33.49,32.29,32.81,3618441.0
2020-06-29,L,33.2,33.82,32.84,33.69,1088182.0
2020-06-30,L,33.54,34.55,33.34,34.29,1276450.0
2020-07-01,L,34.18,34.56,33.46,33.54,1130766.0
2020-07-02,L,34.44,34.97,33.56,33.69,1177678.0
2020-07-06,L,34.53,35.17,34.37,34.52,950940.0
2020-07-07,L,34.17,34.3,33.56,33.67,836368.0
2020-07-08,L,33.38,34.25,33.38,33.92,1104012.0
2020-07-09,L,33.66,33.97,32.35,32.82,1236486.0
2020-07-10,L,32.92,34.53,32.73,34.5,1198954.0
2020-07-13,L,34.71,35.23,34.45,34.67,1063319.0
2020-07-14,L,34.98,35.65,34.54,35.52,931531.0
2020-07-15,L,36.36,36.7,35.655,36.05,856550.0
2020-07-16,L,35.83,36.77,35.57,36.24,539908.0
2020-07-17,L,36.3,36.42,35.95,36.17,828526.0
2020-07-20,L,35.91,36.01,35.24,35.44,847181.0
2020-07-21,L,35.7,36.83,35.5366,36.45,967675.0
2020-07-22,L,35.97,36.73,35.83,36.67,703452.0
2020-07-23,L,36.63,37.27,36.57,37.06,655457.0
2020-07-24,L,37.29,37.54,36.77,36.87,865577.0
2020-07-27,L,36.67,36.67,35.94,36.28,594970.0
2020-07-28,L,36.13,36.63,36.04,36.38,816268.0
2020-07-29,L,36.4,37.4624,36.4,37.37,749637.0
2020-07-30,L,36.35,36.9,35.8,36.53,755167.0
2020-07-31,L,36.51,36.58,35.75,36.41,856995.0
2020-08-03,L,33.86,36.045,33.7,35.6,1582443.0
2020-08-04,L,35.5,35.7838,35.1,35.38,1008333.0
2020-08-05,L,36.03,36.88,35.81,36.48,1080564.0
2020-08-06,L,36.25,37.18,36.25,36.51,884638.0
2020-08-07,L,36.38,37.79,36.375,37.76,676449.0
2020-08-10,L,37.96,38.8,37.86,38.6,937660.0
2020-08-11,L,39.58,40.18,38.58,38.61,1406242.0
2020-08-12,L,39.4,39.44,38.01,38.14,924051.0
2020-08-13,L,37.6,38.33,37.29,37.86,622817.0
2020-08-14,L,37.49,38.06,37.32,37.61,657924.0
2020-08-17,L,37.61,37.73,36.75,36.8,639002.0
2020-08-18,L,36.86,37.49,36.23,36.37,1323682.0
2020-08-19,L,36.57,36.94,36.02,36.21,1003736.0
2020-08-20,L,35.75,36.25,35.6,35.61,777703.0
2020-08-21,L,35.64,35.97,35.1618,35.32,1018423.0
2020-08-24,L,35.45,36.61,35.45,36.61,1188120.0
2020-08-25,L,37.07,37.14,36.19,36.48,865481.0
2020-08-26,L,36.32,36.46,35.63,35.9,1164499.0
2020-08-27,L,36.09,37.05,35.93,36.78,684989.0
2020-08-28,L,37.0,37.0,36.08,36.92,682756.0
2020-08-31,L,36.71,36.78,35.84,35.86,1670239.0
2020-09-01,L,35.58,36.64,35.31,36.17,1188387.0
2020-09-02,L,36.01,36.78,35.86,36.6,1486951.0
2020-09-03,L,37.03,37.9,36.34,36.62,1186083.0
2020-09-04,L,37.25,37.57,36.57,36.87,995652.0
2020-09-08,L,36.44,36.53,35.25,35.63,1268085.0
2020-09-09,L,36.03,36.35,35.61,35.81,1214271.0
2020-09-10,L,36.13,36.44,35.13,35.16,1083063.0
2020-09-11,L,34.97,35.6,34.67,35.27,1183401.0
2020-09-14,L,35.56,36.47,35.3325,36.1,1236350.0
2020-09-15,L,36.17,36.57,35.35,35.39,1386641.0
2020-09-16,L,35.65,37.5,35.44,37.07,2699125.0
2020-09-17,L,36.61,37.25,36.4,36.99,1222481.0
2020-09-18,L,36.83,37.28,36.62,36.69,3376045.0
2020-09-21,L,35.73,35.9141,34.13,34.82,1785931.0
2020-09-22,L,34.62,35.31,34.38,34.72,1303648.0
2020-09-23,L,34.77,35.15,33.51,33.54,968056.0
2020-09-24,L,33.53,34.18,32.83,33.54,1030449.0
2020-09-25,L,33.06,33.79,32.9,33.68,874686.0
2020-09-28,L,34.46,35.19,34.12,34.73,817312.0
2020-09-29,L,34.46,34.7,33.83,34.2,843455.0
2020-09-30,L,34.49,35.06,34.33,34.75,1262148.0
2020-10-01,L,34.91,35.12,34.37,34.86,908680.0
2020-10-02,L,34.27,35.7976,34.0,35.5,651019.0
2020-10-05,L,36.09,36.45,35.54,36.15,527628.0
2020-10-06,L,36.55,36.59,35.48,35.5,836091.0
2020-10-07,L,35.78,36.26,35.73,36.1,767758.0
2020-10-08,L,36.48,37.06,36.32,36.99,593404.0
2020-10-09,L,37.31,37.44,36.67,36.98,678544.0
2020-10-12,L,36.87,37.49,36.77,37.36,765509.0
2020-10-13,L,36.91,37.26,35.77,35.88,714007.0
2020-10-14,L,35.77,36.28,35.32,35.35,935714.0
2020-10-15,L,34.8,35.68,34.72,35.64,470887.0
2020-10-16,L,35.62,36.21,35.29,35.74,426683.0
2020-10-19,L,35.68,35.98,34.89,34.94,479632.0
2020-10-20,L,35.32,35.94,35.17,35.24,791089.0
2020-10-21,L,35.24,35.87,35.12,35.6,933535.0
2020-10-22,L,35.46,36.1399,35.33,35.93,921243.0
2020-10-23,L,36.26,36.56,35.97,36.23,664617.0
2020-10-26,L,35.72,35.7422,34.89,35.13,840732.0
2020-10-27,L,34.96,35.18,34.15,34.15,870822.0
2020-10-28,L,33.19,33.9,33.115,33.26,1129799.0
2020-10-29,L,33.05,34.545,32.75,34.22,994898.0
2020-10-30,L,34.17,34.88,34.07,34.68,1092763.0
2020-11-02,L,35.91,37.57,35.39,37.33,1425403.0
2020-11-03,L,38.03,38.26,37.56,37.89,934105.0
2020-11-04,L,36.81,37.8,36.25,36.41,1187106.0
2020-11-05,L,36.6,38.2,36.6,37.89,1054430.0
2020-11-06,L,38.03,38.59,37.64,37.69,885545.0
2020-11-09,L,41.38,43.46,41.035,42.55,1534212.0
2020-11-10,L,42.97,43.43,42.21,42.36,1260432.0
2020-11-11,L,42.58,42.585,41.05,41.35,1082332.0
