Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,MAA,126.48,130.0,117.45,117.61,1494935.0
2020-03-13,MAA,124.03,126.9694,117.04,126.0,1386941.0
2020-03-16,MAA,113.54,116.27,104.89,104.95,1301623.0
2020-03-17,MAA,107.67,115.76,102.85,113.17,1477948.0
2020-03-18,MAA,105.82,110.64,96.69,100.1,1238889.0
2020-03-19,MAA,99.27,102.35,96.17,99.47,941787.0
2020-03-20,MAA,99.82,100.35,85.45,87.5,1991678.0
2020-03-23,MAA,87.25,87.41,82.0001,84.67,1405031.0
2020-03-24,MAA,88.32,93.62,86.36,89.18,1635483.0
2020-03-25,MAA,88.6,105.2,88.6,97.84,1512557.0
2020-03-26,MAA,98.15,103.37,96.195,102.79,1315718.0
2020-03-27,MAA,101.76,111.96,100.485,107.6,1468183.0
2020-03-30,MAA,108.58,109.25,100.82,107.13,1262272.0
2020-03-31,MAA,105.82,107.82,99.37,103.03,2859339.0
2020-04-01,MAA,98.2,99.23,93.24,98.74,1413156.0
2020-04-02,MAA,96.75,99.77,92.115,94.25,1745580.0
2020-04-03,MAA,92.99,96.24,92.44,94.31,1374348.0
2020-04-06,MAA,99.4,106.08,99.15,105.28,1324703.0
2020-04-07,MAA,110.1,112.16,103.385,103.79,894195.0
2020-04-08,MAA,104.64,111.78,102.96,110.93,1269453.0
2020-04-09,MAA,112.35,119.49,112.35,116.65,1449564.0
2020-04-13,MAA,115.47,117.0,110.04,111.37,929493.0
2020-04-14,MAA,112.66,115.85,111.1,114.02,1567727.0
2020-04-15,MAA,109.4,111.19,108.0,109.98,981276.0
2020-04-16,MAA,110.41,110.745,107.55,108.31,700476.0
2020-04-17,MAA,111.06,114.43,110.34,113.5,791376.0
2020-04-20,MAA,111.68,112.75,108.46,108.49,685485.0
2020-04-21,MAA,105.87,108.91,105.14,107.54,1019495.0
2020-04-22,MAA,109.16,110.74,107.4,108.31,794612.0
2020-04-23,MAA,107.87,108.5,104.22,104.98,786326.0
2020-04-24,MAA,105.67,107.1,104.01,106.43,698591.0
2020-04-27,MAA,107.0,111.01,106.555,110.68,571497.0
2020-04-28,MAA,113.3,115.94,111.98,112.15,902146.0
2020-04-29,MAA,114.87,115.68,111.86,112.68,832443.0
2020-04-30,MAA,110.66,112.39,109.81,111.92,758400.0
2020-05-01,MAA,109.41,110.59,108.92,109.63,932359.0
2020-05-04,MAA,108.21,110.88,106.97,110.3,1264056.0
2020-05-05,MAA,111.64,113.78,110.8,112.41,889322.0
2020-05-06,MAA,113.0,114.22,109.92,110.01,825499.0
2020-05-07,MAA,110.77,116.06,109.27,113.75,1043106.0
2020-05-08,MAA,115.89,117.14,113.67,115.57,681239.0
2020-05-11,MAA,114.08,114.85,112.495,113.01,1089872.0
2020-05-12,MAA,113.47,113.47,108.65,108.74,1247261.0
2020-05-13,MAA,107.94,109.95,107.1331,108.09,966414.0
2020-05-14,MAA,106.06,106.72,102.89,105.52,1147307.0
2020-05-15,MAA,104.67,107.06,102.23,106.87,2784502.0
2020-05-18,MAA,111.69,115.57,111.69,114.36,1046908.0
2020-05-19,MAA,113.65,114.86,110.82,111.12,704657.0
2020-05-20,MAA,112.05,112.635,109.96,111.49,911533.0
2020-05-21,MAA,111.47,114.46,111.47,113.82,794124.0
2020-05-22,MAA,114.08,114.71,112.63,114.28,473012.0
2020-05-26,MAA,118.08,119.195,116.0,116.8,683242.0
2020-05-27,MAA,119.62,119.85,114.0371,116.88,950264.0
2020-05-28,MAA,118.19,118.19,114.7,117.66,725303.0
2020-05-29,MAA,116.37,118.51,114.98,116.36,1117335.0
2020-06-01,MAA,116.47,118.82,115.5,117.57,524078.0
2020-06-02,MAA,117.0,119.45,117.0,117.76,755921.0
2020-06-03,MAA,118.93,122.99,118.93,122.39,795220.0
2020-06-04,MAA,121.73,121.7799,118.56,118.77,825550.0
2020-06-05,MAA,122.26,126.13,122.26,124.44,938039.0
2020-06-08,MAA,125.97,127.74,124.17,126.53,890047.0
2020-06-09,MAA,123.85,124.77,122.125,124.66,760091.0
2020-06-10,MAA,123.29,124.04,121.35,121.84,704444.0
2020-06-11,MAA,117.22,118.716,115.22,115.46,958822.0
2020-06-12,MAA,119.66,120.43,114.82,119.08,1244467.0
2020-06-15,MAA,115.04,119.4,114.53,118.01,1363417.0
2020-06-16,MAA,122.77,122.77,119.18,121.09,943019.0
2020-06-17,MAA,122.04,122.6962,117.84,118.64,697913.0
2020-06-18,MAA,117.07,117.67,115.5,117.09,1035549.0
2020-06-19,MAA,118.69,119.47,114.64,114.68,3314330.0
2020-06-22,MAA,114.64,116.19,113.01,114.19,785296.0
2020-06-23,MAA,115.21,116.26,113.3,113.54,749865.0
2020-06-24,MAA,111.92,112.53,108.06,110.52,949958.0
2020-06-25,MAA,109.78,111.46,109.1,111.35,730115.0
2020-06-26,MAA,110.76,111.9,109.43,110.27,1046469.0
2020-06-29,MAA,111.31,111.745,108.78,111.52,511246.0
2020-06-30,MAA,111.76,115.09,111.67,114.67,1213743.0
2020-07-01,MAA,115.03,117.96,114.22,117.67,557635.0
2020-07-02,MAA,119.52,119.56,116.32,117.53,679672.0
2020-07-06,MAA,120.02,120.08,115.96,116.03,470029.0
2020-07-07,MAA,114.44,115.8996,113.88,114.57,612237.0
2020-07-08,MAA,114.57,115.18,113.38,113.82,719809.0
2020-07-09,MAA,113.26,113.28,111.25,112.56,534253.0
2020-07-10,MAA,112.49,114.325,112.025,113.6,599905.0
2020-07-13,MAA,114.1,114.1,112.19,112.34,621693.0
2020-07-14,MAA,111.57,113.49,111.5,112.94,771493.0
2020-07-15,MAA,114.52,114.7,112.14,112.43,782413.0
2020-07-16,MAA,111.7,112.875,111.19,112.02,531965.0
2020-07-17,MAA,112.5,113.62,111.46,112.92,556087.0
2020-07-20,MAA,112.31,113.07,109.08,110.02,485071.0
2020-07-21,MAA,110.62,111.15,108.86,109.36,517569.0
2020-07-22,MAA,108.81,112.87,108.63,112.17,1218526.0
2020-07-23,MAA,111.88,112.75,110.42,111.65,483315.0
2020-07-24,MAA,112.13,112.205,110.71,111.27,503385.0
