Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,MA,244.53,262.485,240.93,241.5,16097795.0
2020-03-13,MA,258.78,270.03,245.5,270.01,10883815.0
2020-03-16,MA,234.49,257.73,229.255,235.65,13180738.0
2020-03-17,MA,240.48,250.5,231.96,237.88,13566542.0
2020-03-18,MA,222.34,229.1,213.22,215.84,12183601.0
2020-03-19,MA,224.01,238.5,211.55,227.15,10391245.0
2020-03-20,MA,236.02,236.02,210.0,211.42,11479982.0
2020-03-23,MA,202.11,215.68,199.99,203.3,12193657.0
2020-03-24,MA,215.92,238.444,215.0,237.07,12542983.0
2020-03-25,MA,247.93,266.3,240.36,256.48,13400694.0
2020-03-26,MA,257.9,265.81,252.62,263.18,11034928.0
2020-03-27,MA,250.01,256.07,244.7,247.65,8617142.0
2020-03-30,MA,245.85,254.25,244.65,253.25,6167350.0
2020-03-31,MA,253.42,253.42,241.08,241.56,13207642.0
2020-04-01,MA,230.8,237.1,227.1,228.61,7198913.0
2020-04-02,MA,228.39,239.37,227.3535,238.88,6885070.0
2020-04-03,MA,237.0,239.88,230.31,237.03,4532617.0
2020-04-06,MA,252.0,267.11,250.0101,265.94,9271654.0
2020-04-07,MA,281.61,282.87,258.48,259.08,9052381.0
2020-04-08,MA,262.71,271.88,258.91,270.95,6130201.0
2020-04-09,MA,275.33,276.0,267.72,269.4,7128797.0
2020-04-13,MA,268.2,268.7,255.75,263.34,7580640.0
2020-04-14,MA,269.88,275.64,269.2,270.72,6763031.0
2020-04-15,MA,260.51,262.95,255.62,257.14,10954147.0
2020-04-16,MA,258.39,258.39,244.71,246.76,11869789.0
2020-04-17,MA,258.25,260.7,251.51,259.97,11216036.0
2020-04-20,MA,254.51,256.63,249.67,251.73,6447043.0
2020-04-21,MA,246.65,249.39,244.1,245.35,6529535.0
2020-04-22,MA,251.46,258.6,251.0,256.91,5497588.0
2020-04-23,MA,259.39,262.42,255.27,255.86,4469845.0
2020-04-24,MA,258.43,259.83,252.83,258.76,4152334.0
2020-04-27,MA,260.22,265.7156,259.51,265.12,4396390.0
2020-04-28,MA,270.4,272.65,262.96,264.6,4612005.0
2020-04-29,MA,278.0035,285.0,276.2571,283.69,9001903.0
2020-04-30,MA,278.43,281.63,273.41,274.97,6521836.0
2020-05-01,MA,269.01,273.9899,267.2134,268.74,5462192.0
2020-05-04,MA,265.165,270.07,263.01,269.26,3960683.0
2020-05-05,MA,276.84,277.85,273.3,273.98,4143692.0
2020-05-06,MA,276.96,276.96,271.55,272.44,3493336.0
2020-05-07,MA,277.81,282.45,277.24,278.47,4714607.0
2020-05-08,MA,283.4,283.42,279.5,282.44,3465301.0
2020-05-11,MA,279.5,282.81,277.63,281.23,4328101.0
2020-05-12,MA,280.45,282.33,272.11,272.11,4375022.0
2020-05-13,MA,272.3,276.07,264.19,269.16,5121611.0
2020-05-14,MA,270.2,277.56,263.96,277.31,6850226.0
2020-05-15,MA,276.04,279.14,273.29,278.94,4270093.0
