Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,MCHP,69.76,70.41,61.84,62.32,10973631.0
2020-03-13,MCHP,66.75,69.99,62.39,69.97,7217541.0
2020-03-16,MCHP,61.45,65.7,55.77,55.77,7324292.0
2020-03-17,MCHP,58.5,62.97,54.86,62.5,8143446.0
2020-03-18,MCHP,56.32,60.84,54.57,57.95,7273755.0
2020-03-19,MCHP,55.57,63.04,53.15,60.56,7048231.0
2020-03-20,MCHP,62.12,64.38,58.29,59.64,5994994.0
2020-03-23,MCHP,64.26,68.64,62.36,65.51,10221948.0
2020-03-24,MCHP,69.89,75.99,69.89,75.72,9726516.0
2020-03-25,MCHP,75.75,78.33,73.79,74.93,9348696.0
2020-03-26,MCHP,75.45,76.1,72.29,74.52,4920359.0
2020-03-27,MCHP,71.44,71.94,67.94,68.2,4986508.0
2020-03-30,MCHP,69.4,70.66,67.33,68.99,3805541.0
2020-03-31,MCHP,68.11,70.93,67.375,67.8,5772976.0
2020-04-01,MCHP,65.1,66.97,62.0,62.79,4331189.0
2020-04-02,MCHP,61.76,65.21,61.62,64.98,4301061.0
2020-04-03,MCHP,64.35,66.01,63.02,64.04,3667779.0
2020-04-06,MCHP,67.88,74.4,67.25,73.98,5260963.0
2020-04-07,MCHP,76.5,77.0,72.49,73.34,4820126.0
2020-04-08,MCHP,75.38,80.03,74.39,79.52,7236663.0
2020-04-09,MCHP,79.5,83.89,77.86,78.45,6426854.0
2020-04-13,MCHP,78.13,80.05,76.51,79.56,2627815.0
2020-04-14,MCHP,81.61,83.41,80.6,81.94,3189808.0
2020-04-15,MCHP,79.48,79.64,77.3216,78.57,2808927.0
2020-04-16,MCHP,78.93,79.67,76.6609,77.56,3137003.0
2020-04-17,MCHP,80.59,81.47,78.18,80.34,3481991.0
2020-04-20,MCHP,78.96,80.06,77.56,77.71,2505585.0
2020-04-21,MCHP,76.49,77.1,74.58,74.85,2570609.0
2020-04-22,MCHP,78.01,79.53,76.76,79.03,2164484.0
2020-04-23,MCHP,79.0,80.99,78.5,78.8,1829184.0
2020-04-24,MCHP,79.23,82.42,78.8,82.01,2560841.0
2020-04-27,MCHP,82.6,84.87,82.6,84.71,3472155.0
2020-04-28,MCHP,87.62,89.79,86.31,87.35,3792882.0
2020-04-29,MCHP,90.05,92.72,89.55,92.27,4271455.0
2020-04-30,MCHP,91.48,91.6,87.08,87.73,3296595.0
2020-05-01,MCHP,85.47,85.62,81.36,81.52,3571481.0
2020-05-04,MCHP,81.71,82.15,80.12,82.02,2507258.0
2020-05-05,MCHP,83.65,86.57,82.97,83.47,2353955.0
2020-05-06,MCHP,85.0,85.538,83.345,83.76,1588859.0
2020-05-07,MCHP,85.46,87.08,84.56,85.5,3191975.0
2020-05-08,MCHP,84.84,89.83,83.5,89.7,3649242.0
2020-05-11,MCHP,88.0,89.64,87.13,88.3,2067026.0
2020-05-12,MCHP,88.09,89.91,85.99,85.99,2072000.0
2020-05-13,MCHP,87.11,87.35,82.56,83.95,2421964.0
2020-05-14,MCHP,82.7868,85.94,81.0949,85.8,2633999.0
2020-05-15,MCHP,82.62,83.99,82.13,83.55,3152653.0
2020-05-18,MCHP,85.81,89.51,85.56,89.02,2568258.0
2020-05-19,MCHP,88.46,90.52,88.09,88.14,2178161.0
2020-05-20,MCHP,89.54,92.1,89.02,91.3,4330613.0
2020-05-21,MCHP,90.47,91.48,87.471,87.63,2524895.0
2020-05-22,MCHP,86.92,88.18,86.4349,87.81,2016612.0
2020-05-26,MCHP,91.46,95.165,91.0,93.85,5409777.0
2020-05-27,MCHP,95.37,99.24,95.07,96.75,10748197.0
2020-05-28,MCHP,96.54,98.72,95.01,95.43,6476851.0
2020-05-29,MCHP,95.65,97.87,95.125,96.02,8066477.0
2020-06-01,MCHP,94.98,96.64,94.05,95.74,2659530.0
2020-06-02,MCHP,96.25,98.2,95.93,96.84,3758964.0
2020-06-03,MCHP,103.05,109.79,102.8,108.79,9228745.0
2020-06-04,MCHP,108.09,108.76,105.74,106.85,4085700.0
2020-06-05,MCHP,109.16,113.28,109.16,110.0,4342624.0
2020-06-08,MCHP,111.07,111.62,106.46,108.47,3692528.0
2020-06-09,MCHP,106.96,108.49,105.29,105.73,4823107.0
2020-06-10,MCHP,106.5,106.51,103.66,104.35,3082219.0
2020-06-11,MCHP,101.5,101.97,97.165,97.45,4263262.0
2020-06-12,MCHP,101.46,102.59,96.86,99.63,2165753.0
2020-06-15,MCHP,96.62,101.34,96.51,101.25,3227373.0
2020-06-16,MCHP,104.98,105.97,102.0,103.78,3092571.0
2020-06-17,MCHP,104.83,105.91,103.85,104.59,2599329.0
2020-06-18,MCHP,103.89,104.85,103.19,104.29,1975413.0
2020-06-19,MCHP,106.37,107.58,103.37,103.45,6500077.0
2020-06-22,MCHP,103.76,104.3,102.04,103.71,1664719.0
2020-06-23,MCHP,105.02,105.56,103.99,104.08,1309082.0
2020-06-24,MCHP,103.05,104.08,100.55,101.08,3214216.0
2020-06-25,MCHP,99.97,102.19,99.0,101.98,1836623.0
2020-06-26,MCHP,101.7,101.94,99.5,100.05,5820451.0
2020-06-29,MCHP,100.84,103.24,99.41,102.57,2147755.0
2020-06-30,MCHP,102.86,105.76,102.24,105.31,3292140.0
2020-07-01,MCHP,105.1295,105.48,103.11,103.12,1723391.0
2020-07-02,MCHP,105.4,106.28,103.94,104.61,2317842.0
2020-07-06,MCHP,106.74,108.87,106.01,107.75,1742361.0
2020-07-07,MCHP,107.29,107.87,104.8,104.99,2525362.0
2020-07-08,MCHP,104.96,105.395,102.53,103.98,5046778.0
2020-07-09,MCHP,103.82,109.34,101.6,107.55,5247321.0
2020-07-10,MCHP,108.44,108.6,105.22,106.61,2238411.0
2020-07-13,MCHP,108.72,110.1225,104.46,104.57,3660826.0
2020-07-14,MCHP,103.88,107.85,103.31,107.57,3601813.0
2020-07-15,MCHP,108.37,108.845,106.71,107.88,1796366.0
2020-07-16,MCHP,106.14,106.84,105.02,105.64,2059321.0
2020-07-17,MCHP,106.47,107.11,105.23,105.67,2233801.0
2020-07-20,MCHP,106.1,107.91,104.985,107.68,2302910.0
2020-07-21,MCHP,107.74,108.65,106.38,106.69,2149149.0
2020-07-22,MCHP,107.14,107.39,104.37,104.49,2339399.0
2020-07-23,MCHP,104.39,104.93,100.83,101.53,3189514.0
2020-07-24,MCHP,100.6635,102.56,99.331,100.21,2555473.0
2020-07-27,MCHP,101.81,104.37,101.25,103.09,3019339.0
2020-07-28,MCHP,102.56,102.56,100.07,100.52,1721220.0
2020-07-29,MCHP,101.0,103.19,100.685,102.69,2056798.0
2020-07-30,MCHP,100.52,102.38,99.75,102.25,2289639.0
2020-07-31,MCHP,102.19,102.65,100.42,101.73,1792541.0
2020-08-03,MCHP,102.51,105.16,102.27,104.87,2129955.0
2020-08-04,MCHP,104.22,107.65,104.19,107.32,2998948.0
2020-08-05,MCHP,100.0744,100.76,97.86,98.5,7676602.0
2020-08-06,MCHP,98.01,99.19,97.51,99.19,2419339.0
2020-08-07,MCHP,99.18,99.7984,97.665,98.97,2337330.0
2020-08-10,MCHP,98.6,100.3334,98.44,100.26,1806470.0
2020-08-11,MCHP,100.6,103.15,100.48,100.64,2834068.0
2020-08-12,MCHP,101.86,102.42,101.04,102.09,1944167.0
2020-08-13,MCHP,102.29,102.31,100.1,100.58,1899130.0
2020-08-14,MCHP,100.39,101.07,99.93,100.2,1362224.0
2020-08-17,MCHP,100.6,103.58,100.44,103.36,2222433.0
2020-08-18,MCHP,103.91,107.66,103.53,107.35,5909171.0
2020-08-19,MCHP,107.67,110.99,107.01,108.12,5427152.0
2020-08-20,MCHP,106.53,107.35,104.18,104.92,2257866.0
2020-08-21,MCHP,104.6,108.385,103.493,107.93,4181735.0
2020-08-24,MCHP,108.39,109.42,105.34,107.42,3404857.0
2020-08-25,MCHP,107.5,109.19,107.21,109.0,1760827.0
2020-08-26,MCHP,107.82,108.61,107.1255,107.63,1915025.0
2020-08-27,MCHP,109.32,109.32,106.41,107.41,1440016.0
2020-08-28,MCHP,107.7,110.55,107.46,110.52,1828942.0
2020-08-31,MCHP,110.0,110.44,109.15,109.7,2349263.0
2020-09-01,MCHP,109.92,112.39,109.21,112.35,2137984.0
2020-09-02,MCHP,113.0,115.105,111.5,114.69,2714144.0
2020-09-03,MCHP,113.37,113.431,108.22,109.01,2844221.0
2020-09-04,MCHP,108.66,109.7,104.66,108.15,2433793.0
2020-09-08,MCHP,104.97,106.25,102.79,102.88,2546313.0
2020-09-09,MCHP,101.99,103.29,100.84,101.45,3867509.0
2020-09-10,MCHP,102.54,104.03,99.93,100.6,2574626.0
2020-09-11,MCHP,101.5,102.416,99.57,100.7,1429006.0
2020-09-14,MCHP,103.05,103.335,101.59,102.21,1576713.0
2020-09-15,MCHP,103.47,104.21,102.57,103.62,1295467.0
2020-09-16,MCHP,104.19,105.42,103.29,103.565,1842045.0
2020-09-17,MCHP,100.06,103.84,99.83,103.52,1689372.0
2020-09-18,MCHP,103.79,104.31,99.81,101.4,6786955.0
2020-09-21,MCHP,99.5,99.82,96.16,98.5,2558951.0
2020-09-22,MCHP,99.0,99.47,97.99,99.2,1836109.0
2020-09-23,MCHP,99.25,100.31,97.3,97.65,2111767.0
2020-09-24,MCHP,96.82,99.1,96.31,97.75,1615379.0
2020-09-25,MCHP,97.35,99.27,95.53,99.05,1614248.0
2020-09-28,MCHP,101.11,103.09,100.51,103.07,2200322.0
2020-09-29,MCHP,102.74,104.04,102.01,102.74,1523961.0
2020-09-30,MCHP,103.04,104.67,102.43,102.76,2739979.0
2020-10-01,MCHP,106.08,108.01,105.01,107.05,2703884.0
2020-10-02,MCHP,104.25,107.33,103.76,103.76,2003817.0
2020-10-05,MCHP,104.74,107.41,104.74,107.31,1610476.0
2020-10-06,MCHP,107.34,109.89,106.26,106.49,1509386.0
2020-10-07,MCHP,108.38,109.18,107.73,108.79,1598486.0
2020-10-08,MCHP,109.79,111.82,109.295,111.58,1921321.0
2020-10-09,MCHP,114.24,116.56,113.22,113.98,1810004.0
2020-10-12,MCHP,115.36,115.5,113.62,114.13,2270781.0
2020-10-13,MCHP,112.76,113.0,111.08,111.58,2060815.0
2020-10-14,MCHP,111.58,112.3,110.46,110.75,1329786.0
2020-10-15,MCHP,109.38,111.456,108.8601,111.34,1099236.0
2020-10-16,MCHP,111.76,112.34,110.73,110.81,1636671.0
2020-10-19,MCHP,114.99,115.04,111.0,111.66,1716712.0
2020-10-20,MCHP,112.21,113.775,111.22,111.23,1371489.0
2020-10-21,MCHP,111.36,112.31,109.84,110.48,1236628.0
2020-10-22,MCHP,110.51,112.88,109.55,112.52,2027683.0
2020-10-23,MCHP,113.36,113.36,111.72,112.52,1069405.0
2020-10-26,MCHP,111.3,111.56,108.06,109.73,1171046.0
2020-10-27,MCHP,109.64,110.58,107.66,107.95,1159639.0
2020-10-28,MCHP,106.05,106.52,102.4,102.54,2423366.0
2020-10-29,MCHP,102.47,107.56,102.345,106.35,2099614.0
2020-10-30,MCHP,105.0,106.4,103.725,105.08,1939485.0
2020-11-02,MCHP,106.87,106.98,103.99,105.11,1456260.0
2020-11-03,MCHP,106.29,109.64,106.21,108.97,1827251.0
2020-11-04,MCHP,112.17,114.08,108.54,113.32,2275650.0
2020-11-05,MCHP,115.31,118.63,114.005,118.38,2864742.0
2020-11-06,MCHP,122.32,126.79,120.05,125.28,3784214.0
2020-11-09,MCHP,130.99,131.65,126.29,126.51,2728541.0
2020-11-10,MCHP,124.59,125.71,121.25,121.92,2759381.0
2020-11-11,MCHP,123.74,126.985,123.01,126.25,2285527.0
2020-11-12,MCHP,125.73,126.55,122.93,123.46,1249744.0
2020-11-13,MCHP,125.15,127.14,124.705,126.15,1075437.0
2020-11-16,MCHP,127.84,129.74,126.305,129.65,1170069.0
2020-11-17,MCHP,127.62,128.51,125.97,127.37,1454344.0
2020-11-18,MCHP,127.27,127.79,124.74,124.85,1561755.0
2020-11-19,MCHP,123.29,127.68,122.8866,127.51,1830668.0
2020-11-20,MCHP,129.92,135.29,129.3572,130.98,7060974.0
2020-11-23,MCHP,130.7,132.39,129.56,131.62,2729354.0
2020-11-24,MCHP,132.97,134.64,131.02,133.56,1536496.0
2020-11-25,MCHP,132.46,133.53,131.2,131.92,1359093.0
2020-11-27,MCHP,133.77,133.99,132.3,133.01,762618.0
2020-11-30,MCHP,133.0,134.81,131.325,134.39,2289317.0
2020-12-01,MCHP,136.9932,138.84,133.87,136.97,2685033.0
2020-12-02,MCHP,135.48,138.0,135.38,137.38,2149249.0
2020-12-03,MCHP,137.81,140.52,137.13,138.51,3128214.0
2020-12-04,MCHP,138.6,144.49,138.325,144.24,2584060.0
2020-12-07,MCHP,143.76,145.34,142.6,144.99,1404641.0
2020-12-08,MCHP,143.75,145.27,143.17,144.75,1478915.0
