Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,MDLZ,49.23,50.52,46.57,47.51,17570398.0
2020-03-13,MDLZ,49.64,50.94,47.2101,50.92,17105927.0
2020-03-16,MDLZ,46.41,47.39,44.74,45.1,14295670.0
2020-03-17,MDLZ,45.85,49.715,44.73,48.82,17654720.0
2020-03-18,MDLZ,45.37,48.12,43.19,46.55,17475155.0
2020-03-19,MDLZ,46.91,47.29,43.19,45.47,16942206.0
2020-03-20,MDLZ,46.06,46.21,42.85,43.32,21088901.0
2020-03-23,MDLZ,43.32,45.02,41.19,41.93,16917625.0
2020-03-24,MDLZ,44.08,47.255,42.95,46.66,14725689.0
2020-03-25,MDLZ,46.46,47.76,45.81,46.11,14047760.0
2020-03-26,MDLZ,46.11,49.24,46.0,48.9,13354275.0
2020-03-27,MDLZ,47.42,49.27,47.12,47.89,9628795.0
2020-03-30,MDLZ,48.81,51.41,48.21,51.13,9814149.0
2020-03-31,MDLZ,51.41,51.43,49.93,50.08,11217919.0
2020-04-01,MDLZ,48.38,49.895,48.0,48.68,10992115.0
2020-04-02,MDLZ,48.25,50.68,48.05,50.38,7950050.0
2020-04-03,MDLZ,50.36,51.14,49.83,50.79,8939547.0
2020-04-06,MDLZ,52.89,52.89,51.52,52.03,11185248.0
2020-04-07,MDLZ,52.93,53.25,51.4,51.8,11353439.0
2020-04-08,MDLZ,52.02,52.23,51.16,51.79,6886793.0
2020-04-09,MDLZ,51.79,53.6,51.7,52.34,9102475.0
2020-04-13,MDLZ,52.38,52.52,51.38,52.02,6353854.0
2020-04-14,MDLZ,53.06,54.61,52.625,54.51,7907766.0
2020-04-15,MDLZ,53.87,53.97,53.4,53.71,8444743.0
2020-04-16,MDLZ,53.87,54.38,53.3,53.43,8147228.0
2020-04-17,MDLZ,54.14,54.5,52.78,53.48,14146202.0
2020-04-20,MDLZ,53.08,54.445,52.865,53.49,8875329.0
2020-04-21,MDLZ,52.53,52.975,51.0,51.08,9168732.0
2020-04-22,MDLZ,51.67,52.61,51.24,52.22,7007248.0
2020-04-23,MDLZ,51.89,52.6067,51.17,51.33,12932569.0
2020-04-24,MDLZ,51.43,51.625,50.95,51.41,7109410.0
2020-04-27,MDLZ,51.69,51.81,50.98,51.48,8703319.0
2020-04-28,MDLZ,52.06,52.34,50.86,51.17,9586739.0
2020-04-29,MDLZ,51.63,51.65,49.98,51.05,10859758.0
2020-04-30,MDLZ,50.53,51.6,49.74,51.44,15186679.0
2020-05-01,MDLZ,51.14,51.7,50.44,50.7,8101502.0
2020-05-04,MDLZ,50.76,50.77,49.73,50.06,8190282.0
2020-05-05,MDLZ,50.21,50.875,49.94,50.32,5754787.0
2020-05-06,MDLZ,50.76,50.99,50.085,50.14,6971305.0
2020-05-07,MDLZ,50.62,50.65,49.94,50.16,7406016.0
2020-05-08,MDLZ,50.97,51.1,50.47,50.9,6481738.0
2020-05-11,MDLZ,50.59,51.67,50.59,50.79,6073177.0
2020-05-12,MDLZ,50.86,51.215,50.4,50.4,5393844.0
2020-05-13,MDLZ,50.55,50.6,49.22,49.56,5228336.0
2020-05-14,MDLZ,49.76,49.81,48.77,49.52,5792054.0
2020-05-15,MDLZ,49.5,50.29,49.26,49.96,7094404.0
2020-05-18,MDLZ,50.7361,51.44,49.71,50.97,10351733.0
2020-05-19,MDLZ,51.0,51.29,49.85,49.89,6563004.0
2020-05-20,MDLZ,50.04,50.305,49.65,49.75,7614055.0
2020-05-21,MDLZ,49.61,49.91,49.11,49.28,6939099.0
2020-05-22,MDLZ,49.03,49.75,48.975,49.7,4752621.0
2020-05-26,MDLZ,50.16,50.48,49.38,49.59,8250996.0
2020-05-27,MDLZ,49.77,50.46,49.41,50.35,10819816.0
2020-05-28,MDLZ,50.83,51.52,50.26,51.41,7921348.0
2020-05-29,MDLZ,51.58,52.295,50.9,52.12,9942375.0
2020-06-01,MDLZ,52.03,52.635,51.825,52.25,5112871.0
2020-06-02,MDLZ,52.15,52.37,51.62,52.22,8827677.0
2020-06-03,MDLZ,52.51,52.55,51.95,52.09,5850558.0
2020-06-04,MDLZ,51.97,52.6,51.24,51.29,8220529.0
2020-06-05,MDLZ,51.59,52.63,51.3,52.53,16599525.0
2020-06-08,MDLZ,52.373,53.645,52.165,53.61,10582971.0
2020-06-09,MDLZ,53.52,53.55,52.65,52.95,5981220.0
2020-06-10,MDLZ,52.98,53.54,52.69,53.11,7253035.0
2020-06-11,MDLZ,52.61,52.76,50.49,50.53,9895200.0
2020-06-12,MDLZ,51.5,51.63,50.25,50.73,6891344.0
2020-06-15,MDLZ,50.76,51.27,50.015,51.22,5967701.0
2020-06-16,MDLZ,52.69,52.82,51.67,52.58,9272038.0
2020-06-17,MDLZ,52.44,53.275,52.4,52.71,5925227.0
2020-06-18,MDLZ,52.37,53.15,52.37,53.09,7246239.0
2020-06-19,MDLZ,53.7,53.78,52.3993,52.56,12728416.0
2020-06-22,MDLZ,52.3,52.605,51.91,52.35,4314904.0
2020-06-23,MDLZ,52.6,52.6,51.825,51.92,4359031.0
2020-06-24,MDLZ,51.61,51.61,50.3,50.64,7152540.0
2020-06-25,MDLZ,50.58,50.96,50.07,50.83,5617496.0
2020-06-26,MDLZ,50.71,51.16,49.92,50.08,14653931.0
2020-06-29,MDLZ,50.44,50.72,50.0,50.58,5356460.0
2020-06-30,MDLZ,50.7,51.225,50.54,51.13,7790357.0
2020-07-01,MDLZ,51.06,51.33,50.885,51.08,5755612.0
2020-07-02,MDLZ,51.17,52.05,51.17,51.49,7092385.0
2020-07-06,MDLZ,51.72,52.08,51.2,51.62,5005284.0
2020-07-07,MDLZ,51.36,51.74,51.29,51.5,5477925.0
2020-07-08,MDLZ,51.37,51.49,50.9,51.24,4738863.0
2020-07-09,MDLZ,51.13,51.2,50.0,50.26,5807066.0
2020-07-10,MDLZ,50.6,51.52,50.31,51.44,6000245.0
2020-07-13,MDLZ,51.97,52.2,51.51,51.65,6649307.0
2020-07-14,MDLZ,51.3,53.025,51.3,52.85,7821847.0
2020-07-15,MDLZ,53.29,53.54,52.36,52.57,10793811.0
2020-07-16,MDLZ,52.57,53.44,52.511,53.04,6012238.0
2020-07-17,MDLZ,53.43,54.335,53.14,54.07,6582806.0
2020-07-20,MDLZ,54.0,54.07,53.255,53.42,5885937.0
2020-07-21,MDLZ,53.4525,54.8,53.44,54.04,6248298.0
2020-07-22,MDLZ,54.1,54.65,53.82,54.55,5583942.0
2020-07-23,MDLZ,54.94,55.18,54.565,54.88,5906387.0
2020-07-24,MDLZ,55.35,55.63,54.54,54.87,6291864.0
2020-07-27,MDLZ,54.85,55.63,54.55,55.58,5634481.0
2020-07-28,MDLZ,55.55,56.0,55.46,55.71,6977051.0
2020-07-29,MDLZ,57.255,57.7,55.92,56.79,9973744.0
2020-07-30,MDLZ,56.1507,56.38,55.695,55.77,8529314.0
2020-07-31,MDLZ,55.39,55.68,54.565,55.49,8863689.0
2020-08-03,MDLZ,55.6,55.955,55.36,55.49,5194622.0
2020-08-04,MDLZ,55.33,55.84,54.97,55.58,5389092.0
2020-08-05,MDLZ,55.37,55.69,55.095,55.15,5050103.0
2020-08-06,MDLZ,54.4,55.53,54.4,55.49,6590494.0
2020-08-07,MDLZ,55.46,55.69,55.28,55.6,5875126.0
2020-08-10,MDLZ,55.45,55.6987,55.215,55.49,5125157.0
2020-08-11,MDLZ,55.7,55.89,55.055,55.2,5337597.0
2020-08-12,MDLZ,55.05,56.41,55.03,56.03,7672761.0
2020-08-13,MDLZ,56.19,56.35,55.86,56.01,4215586.0
2020-08-14,MDLZ,56.09,56.42,55.87,56.12,4743536.0
2020-08-17,MDLZ,55.99,56.685,55.855,56.52,5506229.0
2020-08-18,MDLZ,56.58,57.34,56.425,57.27,7941366.0
2020-08-19,MDLZ,57.17,57.33,56.66,56.76,9088132.0
2020-08-20,MDLZ,56.4,57.27,56.251,57.24,5949976.0
2020-08-21,MDLZ,57.03,57.725,57.03,57.47,7388909.0
2020-08-24,MDLZ,57.44,58.0,57.39,57.98,5169670.0
2020-08-25,MDLZ,58.01,58.24,57.63,57.89,5337428.0
2020-08-26,MDLZ,57.85,58.4,57.54,58.36,5497910.0
2020-08-27,MDLZ,58.64,58.87,58.06,58.13,5151430.0
2020-08-28,MDLZ,58.0,58.355,57.51,58.31,4486409.0
2020-08-31,MDLZ,58.2,58.8,58.03,58.42,7948118.0
2020-09-01,MDLZ,58.4,58.43,57.592,58.2,6158076.0
2020-09-02,MDLZ,58.17,59.25,58.01,59.01,5975472.0
2020-09-03,MDLZ,59.03,59.72,57.42,57.83,10796983.0
2020-09-04,MDLZ,58.3465,58.3465,57.08,57.88,9896570.0
2020-09-08,MDLZ,57.36,57.88,56.12,56.39,9702532.0
2020-09-09,MDLZ,56.7,57.9982,56.53,57.5,7934810.0
2020-09-10,MDLZ,57.25,57.97,56.87,57.1,7546549.0
2020-09-11,MDLZ,57.3,57.74,56.91,57.55,7074141.0
2020-09-14,MDLZ,57.69,58.32,57.425,58.01,5349724.0
2020-09-15,MDLZ,58.25,58.32,57.915,58.09,5915068.0
2020-09-16,MDLZ,58.25,58.67,57.895,57.97,6488466.0
2020-09-17,MDLZ,57.44,57.66,56.66,57.21,9319674.0
2020-09-18,MDLZ,57.23,57.465,56.13,56.52,14344558.0
2020-09-21,MDLZ,56.04,56.15,55.24,55.85,7093668.0
2020-09-22,MDLZ,55.78,56.3,55.54,55.81,10609026.0
2020-09-23,MDLZ,55.5923,56.19,54.725,54.815,9252097.0
2020-09-24,MDLZ,54.83,55.93,54.48,55.61,7032572.0
2020-09-25,MDLZ,55.055,56.24,54.97,56.155,5450820.0
2020-09-28,MDLZ,56.96,57.37,56.5,57.01,6367145.0
2020-09-29,MDLZ,57.07,57.09,56.3,56.48,7684220.0
2020-09-30,MDLZ,56.59,57.73,56.42,57.45,7584294.0
2020-10-01,MDLZ,57.63,57.96,57.16,57.91,6657468.0
2020-10-02,MDLZ,57.44,57.78,56.565,56.86,6924396.0
2020-10-05,MDLZ,56.95,57.14,56.7,57.08,6336523.0
2020-10-06,MDLZ,57.07,57.2,55.92,56.09,5706598.0
2020-10-07,MDLZ,56.15,56.42,55.6686,56.19,5509510.0
2020-10-08,MDLZ,56.48,56.7465,56.23,56.5,5228794.0
2020-10-09,MDLZ,56.92,57.48,56.675,57.3,5228022.0
2020-10-12,MDLZ,57.63,59.065,57.62,58.65,9695679.0
2020-10-13,MDLZ,58.92,59.02,58.53,58.9,6150169.0
2020-10-14,MDLZ,58.66,59.11,58.11,58.585,5893515.0
2020-10-15,MDLZ,57.8,58.49,57.63,58.34,6671236.0
2020-10-16,MDLZ,58.58,58.7,57.83,57.97,6833290.0
2020-10-19,MDLZ,57.98,58.31,57.03,57.17,4796836.0
2020-10-20,MDLZ,57.53,57.6143,56.8,56.98,4772682.0
2020-10-21,MDLZ,56.66,57.245,56.64,56.82,4703627.0
2020-10-22,MDLZ,56.83,56.91,56.24,56.82,3935872.0
2020-10-23,MDLZ,57.26,57.295,56.47,56.61,4426960.0
2020-10-26,MDLZ,56.16,56.17,54.79,55.23,8538858.0
2020-10-27,MDLZ,55.13,55.76,54.93,55.01,4965289.0
2020-10-28,MDLZ,54.28,54.59,53.075,53.15,7813766.0
2020-10-29,MDLZ,53.14,53.78,52.51,53.19,6700333.0
2020-10-30,MDLZ,53.03,53.51,52.56,53.12,7716335.0
2020-11-02,MDLZ,53.94,54.6,53.6,54.34,6790647.0
2020-11-03,MDLZ,54.03,55.49,54.0,54.39,7954782.0
2020-11-04,MDLZ,55.61,55.81,54.67,54.94,9638302.0
2020-11-05,MDLZ,55.56,56.105,55.375,55.64,6490606.0
2020-11-06,MDLZ,55.86,56.38,55.62,55.84,5171274.0
2020-11-09,MDLZ,57.75,58.24,55.88,55.92,9186952.0
2020-11-10,MDLZ,55.42,57.36,55.06,57.09,8364309.0
2020-11-11,MDLZ,57.2,58.095,57.04,57.74,6641021.0
2020-11-12,MDLZ,57.8,57.8,57.0,57.47,4674172.0
2020-11-13,MDLZ,57.52,58.13,57.34,58.06,5610545.0
2020-11-16,MDLZ,58.3,58.7,57.97,58.68,5662942.0
2020-11-17,MDLZ,58.26,58.95,58.19,58.54,5403332.0
2020-11-18,MDLZ,58.73,59.025,57.75,57.76,5793337.0
2020-11-19,MDLZ,57.52,57.65,56.93,57.6,6960425.0
2020-11-20,MDLZ,57.42,57.78,56.97,57.14,5752024.0
2020-11-23,MDLZ,57.1,57.51,56.87,57.35,5614787.0
