Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,MGM,16.5,17.58,14.845,15.26,38990686.0
2020-03-13,MGM,15.94,16.82,14.03,15.44,47388531.0
2020-03-16,MGM,12.5,14.06,10.22,10.25,32938665.0
2020-03-17,MGM,10.92,11.01,9.0,9.55,31671899.0
2020-03-18,MGM,9.0,9.03,5.9001,7.14,48862227.0
2020-03-19,MGM,7.17,9.24,6.45,7.7,39871571.0
2020-03-20,MGM,8.89,11.16,8.67,9.11,58515080.0
2020-03-23,MGM,9.72,9.82,8.921,9.15,31678541.0
2020-03-24,MGM,11.45,12.9,10.66,12.18,52485662.0
2020-03-25,MGM,14.45,14.72,11.6,12.95,54990893.0
2020-03-26,MGM,13.25,15.3,12.87,13.45,46847578.0
2020-03-27,MGM,12.75,12.965,12.1,12.19,38412898.0
2020-03-30,MGM,11.55,12.37,10.5,11.53,33678650.0
2020-03-31,MGM,11.94,12.39,11.55,11.8,26699672.0
2020-04-01,MGM,11.01,12.22,10.6,11.77,30956917.0
2020-04-02,MGM,11.67,12.19,11.22,11.51,21050187.0
2020-04-03,MGM,11.66,11.97,10.0,10.58,38328351.0
2020-04-06,MGM,11.68,13.07,11.62,12.91,33417139.0
2020-04-07,MGM,15.25,15.73,13.4,13.63,42352547.0
2020-04-08,MGM,14.11,15.28,13.87,15.0,30935059.0
2020-04-09,MGM,16.24,16.44,14.05,14.55,41041318.0
2020-04-13,MGM,14.8,14.8,13.4,13.91,31183147.0
2020-04-14,MGM,14.47,15.09,14.02,15.04,27395112.0
2020-04-15,MGM,14.4,14.66,14.01,14.42,20614250.0
2020-04-16,MGM,14.26,14.41,13.465,13.82,21410088.0
2020-04-17,MGM,14.79,14.9399,13.74,14.08,34859502.0
2020-04-20,MGM,13.45,14.31,13.35,13.53,24447703.0
2020-04-21,MGM,13.01,13.5,12.79,13.19,19566738.0
2020-04-22,MGM,13.58,13.64,13.135,13.29,14335828.0
2020-04-23,MGM,13.71,14.04,13.62,13.78,25553009.0
2020-04-24,MGM,13.89,14.13,13.5,13.94,20399653.0
2020-04-27,MGM,14.25,15.5,14.1,15.23,31086229.0
2020-04-28,MGM,16.5,16.5,15.0908,15.81,29294228.0
2020-04-29,MGM,16.75,17.6281,16.48,17.46,33413106.0
2020-04-30,MGM,16.93,17.31,16.21,16.83,28626556.0
2020-05-01,MGM,15.58,15.99,14.91,15.01,28369122.0
2020-05-04,MGM,14.54,15.38,14.03,14.78,23427061.0
2020-05-05,MGM,15.32,15.32,14.23,14.27,23411101.0
2020-05-06,MGM,14.37,14.55,13.86,13.91,17365221.0
2020-05-07,MGM,14.0,15.24,13.96,14.93,26455170.0
2020-05-08,MGM,15.33,15.71,14.88,15.59,24153194.0
2020-05-11,MGM,15.19,15.2,14.61,14.65,21711688.0
2020-05-12,MGM,14.81,15.01,13.81,13.84,25479417.0
2020-05-13,MGM,13.8,13.84,12.5,12.68,35960688.0
