Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,MOS,10.64,10.74,9.62,10.42,10586627.0
2020-03-13,MOS,10.48,11.03,9.005,11.01,8567959.0
2020-03-16,MOS,9.48,10.15,9.3,9.95,6620915.0
2020-03-17,MOS,10.1,10.565,9.38,9.67,10724982.0
2020-03-18,MOS,8.95,9.0,6.5,7.75,11747601.0
2020-03-19,MOS,7.01,8.64,6.92,8.22,10258358.0
2020-03-20,MOS,8.57,9.84,8.03,9.59,11753969.0
2020-03-23,MOS,9.28,10.13,9.18,9.22,6312431.0
2020-03-24,MOS,10.0,11.13,9.76,10.7,6934723.0
2020-03-25,MOS,10.94,11.3,9.864,10.87,7887213.0
2020-03-26,MOS,10.76,11.68,10.47,10.72,7829945.0
2020-03-27,MOS,10.1,10.39,9.52,9.9,6503484.0
2020-03-30,MOS,9.81,10.2,9.35,10.0,4973755.0
2020-03-31,MOS,10.78,11.05,10.39,10.82,8700578.0
2020-04-01,MOS,10.2,10.48,10.0,10.11,6020274.0
2020-04-02,MOS,10.24,11.17,9.66,9.82,6605091.0
2020-04-03,MOS,9.89,10.28,9.66,9.94,5807207.0
2020-04-06,MOS,10.64,11.63,10.53,11.33,7723573.0
2020-04-07,MOS,11.99,12.445,11.53,11.67,9004723.0
2020-04-08,MOS,11.49,12.01,11.435,11.8,5055370.0
2020-04-09,MOS,12.26,13.41,12.16,12.97,8711210.0
2020-04-13,MOS,12.82,13.0521,12.04,12.2,3851406.0
2020-04-14,MOS,12.2,12.645,11.85,12.18,5054828.0
2020-04-15,MOS,11.46,11.54,11.13,11.37,3606334.0
2020-04-16,MOS,11.31,11.43,10.61,10.83,3591578.0
2020-04-17,MOS,11.41,12.0,11.35,11.45,5134099.0
2020-04-20,MOS,11.1,11.73,10.82,11.14,4419627.0
2020-04-21,MOS,10.73,11.105,10.37,10.89,5325138.0
2020-04-22,MOS,11.37,11.47,10.8,11.04,5095457.0
2020-04-23,MOS,11.29,11.64,11.14,11.23,3483482.0
2020-04-24,MOS,11.42,11.54,10.96,11.33,6013015.0
2020-04-27,MOS,11.3,11.87,11.22,11.58,4269093.0
2020-04-28,MOS,11.91,12.2,11.135,11.53,5521319.0
2020-04-29,MOS,12.05,12.12,11.725,12.0,5431394.0
2020-04-30,MOS,11.71,11.74,11.21,11.51,7221299.0
2020-05-01,MOS,11.22,11.28,10.9,11.15,4842718.0
2020-05-04,MOS,10.88,11.06,10.56,10.98,6129031.0
2020-05-05,MOS,11.57,12.57,11.56,11.78,8402730.0
2020-05-06,MOS,11.95,12.1,10.79,10.8,5926950.0
2020-05-07,MOS,11.08,11.58,11.06,11.1,5018221.0
2020-05-08,MOS,11.35,11.965,11.35,11.91,5344248.0
2020-05-11,MOS,11.27,11.27,10.625,11.22,6250639.0
2020-05-12,MOS,11.26,11.56,10.81,10.82,4303208.0
2020-05-13,MOS,10.73,10.74,10.105,10.2,5592514.0
2020-05-14,MOS,9.95,10.625,9.575,10.4,4095306.0
2020-05-15,MOS,10.26,10.49,10.02,10.08,5505688.0
2020-05-18,MOS,10.63,11.03,10.615,10.96,6295244.0
2020-05-19,MOS,10.98,11.36,10.505,11.03,4086888.0
2020-05-20,MOS,11.27,11.78,11.18,11.72,4749953.0
2020-05-21,MOS,11.75,11.915,11.41,11.55,3992003.0
2020-05-22,MOS,11.47,11.69,11.43,11.56,3664652.0
2020-05-26,MOS,12.08,12.44,12.08,12.15,6598973.0
2020-05-27,MOS,12.61,12.99,12.33,12.94,6119217.0
2020-05-28,MOS,13.13,13.17,12.1,12.2,4123531.0
2020-05-29,MOS,12.09,12.29,11.96,12.09,6751458.0
2020-06-01,MOS,12.05,12.76,11.93,12.52,3434799.0
