Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,MSFT,145.3,153.47,138.58,139.06,104346751.0
2020-03-13,MSFT,147.5,161.91,140.73,158.8438,103242488.0
2020-03-16,MSFT,140.0,149.35,135.0,135.42,98591049.0
2020-03-17,MSFT,140.0,147.4998,135.0,146.57,89324252.0
2020-03-18,MSFT,138.0,146.0,135.02,143.6038,89501492.0
2020-03-19,MSFT,142.77,150.15,139.0,143.0,97457259.0
2020-03-20,MSFT,146.0,147.1,135.86,137.35,101838869.0
2020-03-23,MSFT,137.01,140.57,132.52,135.98,86256750.0
2020-03-24,MSFT,143.75,149.6,141.27,148.38,92183364.0
2020-03-25,MSFT,148.91,154.33,144.44,146.92,83930305.0
2020-03-26,MSFT,148.4,156.66,148.37,155.88,73961800.0
2020-03-27,MSFT,151.75,154.89,149.2,149.7,64722583.0
2020-03-30,MSFT,152.44,160.6,150.01,160.23,69086374.0
2020-03-31,MSFT,159.4,164.78,156.56,157.71,85816295.0
2020-04-01,MSFT,153.0,157.75,150.82,152.11,63658780.0
2020-04-02,MSFT,151.86,155.48,150.36,155.26,53818174.0
2020-04-03,MSFT,155.1,157.38,152.19,153.9,44995297.0
2020-04-06,MSFT,160.32,166.5,157.58,165.33,76267410.0
2020-04-07,MSFT,169.585,170.0,163.26,163.49,68044790.0
2020-04-08,MSFT,165.67,166.67,163.5,165.13,52889141.0
2020-04-09,MSFT,166.36,167.37,163.33,165.14,55243017.0
2020-04-13,MSFT,164.35,165.57,162.3,165.51,45841020.0
2020-04-14,MSFT,169.0,173.75,168.0,173.7,57713056.0
2020-04-15,MSFT,171.2,173.57,169.24,171.88,44984344.0
2020-04-16,MSFT,174.3,177.28,172.9,177.04,55438969.0
2020-04-17,MSFT,179.5,180.0,175.87,178.6,61423918.0
2020-04-20,MSFT,176.63,178.75,174.99,175.06,40142334.0
2020-04-21,MSFT,173.5,173.6699,166.1102,167.82,61082697.0
2020-04-22,MSFT,171.39,174.0,170.82,173.52,38804194.0
2020-04-23,MSFT,174.11,175.06,170.91,171.42,35460956.0
2020-04-24,MSFT,172.06,174.56,170.71,174.55,38395641.0
2020-04-27,MSFT,176.59,176.9,173.3,174.05,36084915.0
2020-04-28,MSFT,175.59,175.67,169.39,169.81,37340912.0
2020-04-29,MSFT,173.22,177.68,171.88,177.43,56779806.0
2020-04-30,MSFT,180.0,180.4,176.23,179.129,59215658.0
2020-05-01,MSFT,175.8,178.64,174.01,174.57,43462932.0
2020-05-04,MSFT,174.49,179.0,173.8,178.84,32870377.0
2020-05-05,MSFT,180.62,183.65,179.9,180.76,39432324.0
2020-05-06,MSFT,182.08,184.2,181.6306,182.54,34147010.0
2020-05-07,MSFT,184.17,184.55,182.58,183.6,31197383.0
2020-05-08,MSFT,184.9797,185.0,183.36,184.68,33813030.0
2020-05-11,MSFT,183.15,187.51,182.85,186.74,33750081.0
2020-05-12,MSFT,186.8,187.04,182.3,182.51,37105926.0
2020-05-13,MSFT,182.55,184.05,176.54,179.75,48481788.0
2020-05-14,MSFT,177.54,180.69,175.68,180.53,46591133.0
2020-05-15,MSFT,179.06,187.06,177.0,183.16,55964824.0
2020-05-18,MSFT,185.75,186.2,183.96,184.91,39692298.0
2020-05-19,MSFT,185.03,186.6,183.49,183.63,28826386.0
2020-05-20,MSFT,184.81,185.85,183.94,185.66,34971063.0
2020-05-21,MSFT,185.4,186.67,183.29,183.43,31735551.0
2020-05-22,MSFT,183.25,184.46,182.54,183.51,22804510.0
2020-05-26,MSFT,186.2,186.5,181.1,181.57,42339641.0
2020-05-27,MSFT,180.14,181.9877,176.6,181.81,42882044.0
2020-05-28,MSFT,180.74,184.1474,180.38,181.4,38063261.0
2020-05-29,MSFT,182.73,184.27,180.41,183.25,50866658.0
2020-06-01,MSFT,182.54,183.0,181.46,182.83,24952562.0
2020-06-02,MSFT,184.25,185.0,181.35,184.91,34653657.0
2020-06-03,MSFT,184.815,185.94,183.58,185.36,30653914.0
2020-06-04,MSFT,184.3,185.84,182.3,182.92,31575118.0
2020-06-05,MSFT,182.62,187.73,182.01,187.2,44662853.0
2020-06-08,MSFT,185.94,188.55,184.44,188.36,37916395.0
2020-06-09,MSFT,188.0,190.7,187.2605,189.8,32728182.0
2020-06-10,MSFT,191.125,198.52,191.01,196.84,47243917.0
2020-06-11,MSFT,193.13,195.76,186.07,186.27,59362569.0
2020-06-12,MSFT,190.54,191.72,185.18,187.74,47481026.0
2020-06-15,MSFT,184.58,190.82,184.01,188.94,36517107.0
2020-06-16,MSFT,192.89,195.58,191.46,193.57,46957880.0
2020-06-17,MSFT,195.03,196.32,193.69,194.24,28544143.0
2020-06-18,MSFT,194.06,196.49,194.0,196.32,25699764.0
2020-06-19,MSFT,198.59,199.29,194.37,195.15,56876483.0
2020-06-22,MSFT,195.79,200.76,195.2301,200.57,36987066.0
2020-06-23,MSFT,202.09,203.95,201.425,201.91,34180343.0
2020-06-24,MSFT,201.6043,203.25,196.56,197.84,41701372.0
2020-06-25,MSFT,197.8,200.61,195.4675,200.34,30609511.0
2020-06-26,MSFT,199.73,199.89,194.88,196.33,65407058.0
2020-06-29,MSFT,195.78,198.53,193.55,198.44,29667507.0
2020-06-30,MSFT,197.8816,204.4,197.74,203.48,40780146.0
2020-07-01,MSFT,203.14,206.35,201.77,204.7,35098411.0
2020-07-02,MSFT,205.68,208.02,205.0,206.26,32525991.0
2020-07-06,MSFT,208.8335,211.13,208.09,210.7,35251748.0
2020-07-07,MSFT,210.45,214.67,207.99,208.25,36828128.0
2020-07-08,MSFT,210.07,213.26,208.69,212.83,37214408.0
2020-07-09,MSFT,216.33,216.38,211.47,214.32,35689014.0
2020-07-10,MSFT,213.62,214.08,211.08,213.67,28310683.0
2020-07-13,MSFT,214.48,215.8,206.5,207.07,41175939.0
2020-07-14,MSFT,206.13,208.85,202.03,208.35,41132209.0
2020-07-15,MSFT,209.56,211.33,205.03,208.04,35131828.0
2020-07-16,MSFT,205.4,205.7,202.31,203.92,32410535.0
2020-07-17,MSFT,204.47,205.04,201.39,202.88,35717211.0
2020-07-20,MSFT,205.0,212.3,203.01,211.6,41161916.0
2020-07-21,MSFT,213.66,213.94,208.03,208.75,42365386.0
2020-07-22,MSFT,209.2,212.3,208.39,211.75,52366010.0
2020-07-23,MSFT,207.19,210.92,202.15,202.54,71279138.0
2020-07-24,MSFT,200.42,202.86,197.51,201.3,42266078.0
2020-07-27,MSFT,201.47,203.97,200.86,203.85,32858088.0
2020-07-28,MSFT,203.61,204.7,201.74,202.02,25265716.0
2020-07-29,MSFT,202.5,204.65,202.01,204.06,21368720.0
2020-07-30,MSFT,201.0,204.46,199.57,203.9,26623902.0
2020-07-31,MSFT,204.4,205.1,199.01,205.01,56629524.0
2020-08-03,MSFT,211.52,217.64,210.44,216.54,83145652.0
2020-08-04,MSFT,214.17,214.77,210.31,213.29,52981736.0
2020-08-05,MSFT,214.9,215.0,211.57,212.94,31122388.0
2020-08-06,MSFT,212.34,216.3705,211.55,216.35,35794935.0
2020-08-07,MSFT,214.85,215.7,210.93,212.48,30061135.0
2020-08-10,MSFT,211.67,211.88,206.35,208.25,39194382.0
2020-08-11,MSFT,207.155,207.65,203.14,203.38,40032284.0
2020-08-12,MSFT,205.29,210.28,204.75,209.19,31277288.0
2020-08-13,MSFT,209.44,211.35,208.15,208.7,24109530.0
2020-08-14,MSFT,208.76,209.59,207.51,208.9,19894745.0
2020-08-17,MSFT,209.6,211.1874,208.915,210.28,23040856.0
2020-08-18,MSFT,210.53,212.36,209.21,211.49,23977247.0
2020-08-19,MSFT,211.49,212.1,209.25,209.7,32272528.0
2020-08-20,MSFT,209.54,215.0,208.91,214.58,30390010.0
2020-08-21,MSFT,213.86,216.25,212.85,213.02,41878175.0
2020-08-24,MSFT,214.79,215.52,212.43,213.69,29016589.0
2020-08-25,MSFT,213.1,216.61,213.1,216.47,25661923.0
2020-08-26,MSFT,217.88,222.09,217.36,221.15,43595032.0
2020-08-27,MSFT,222.89,231.15,219.4,226.58,60813711.0
2020-08-28,MSFT,228.18,230.644,226.58,228.91,28666191.0
