Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,MSI,150.49,152.87,136.01,141.37,2699318.0
2020-03-13,MSI,149.71,154.99,144.23,154.95,2422157.0
2020-03-16,MSI,138.58,150.1,138.47,145.24,2625784.0
2020-03-17,MSI,148.39,157.08,144.1801,149.33,2182453.0
2020-03-18,MSI,142.82,148.985,136.29,148.2,1591731.0
2020-03-19,MSI,147.94,154.81,145.95,149.72,1805138.0
2020-03-20,MSI,149.13,150.08,132.79,136.61,2993794.0
2020-03-23,MSI,135.82,136.445,120.77,124.56,2190655.0
2020-03-24,MSI,129.11,136.6,127.44,130.81,2226143.0
2020-03-25,MSI,130.47,135.68,129.51,133.66,2516425.0
2020-03-26,MSI,135.42,149.69,134.48,148.99,1843716.0
2020-03-27,MSI,144.91,145.79,133.58,135.07,1954787.0
2020-03-30,MSI,135.94,136.68,130.19,133.37,2186663.0
2020-03-31,MSI,133.05,134.93,130.39,132.92,3426415.0
2020-04-01,MSI,128.22,129.36,123.56,126.09,2410427.0
2020-04-02,MSI,125.6,130.96,124.74,130.4,1370054.0
2020-04-03,MSI,129.75,131.587,125.97,126.62,1565683.0
2020-04-06,MSI,131.84,141.88,131.55,140.9,2020474.0
2020-04-07,MSI,144.97,148.31,142.25,142.44,1646744.0
2020-04-08,MSI,144.1,149.52,143.44,147.77,1203741.0
2020-04-09,MSI,149.24,153.47,147.591,152.89,1375773.0
2020-04-13,MSI,150.3,152.66,145.1101,146.24,1003150.0
2020-04-14,MSI,149.28,153.21,149.04,152.79,931936.0
2020-04-15,MSI,149.71,150.64,147.86,148.62,972045.0
2020-04-16,MSI,148.53,153.2,148.19,152.75,867179.0
2020-04-17,MSI,155.93,157.95,154.695,157.77,1032711.0
2020-04-20,MSI,156.11,159.145,155.0151,155.38,801219.0
2020-04-21,MSI,152.2,153.1,144.35,144.68,1532405.0
2020-04-22,MSI,148.29,153.0,146.39,151.59,1051691.0
2020-04-23,MSI,153.11,154.74,151.1108,153.61,1278708.0
2020-04-24,MSI,154.59,154.75,151.59,152.8,1715108.0
2020-04-27,MSI,153.78,155.96,152.82,154.44,621669.0
2020-04-28,MSI,155.77,156.23,145.22,145.43,2411010.0
2020-04-29,MSI,146.91,150.03,145.0,148.92,1786939.0
2020-04-30,MSI,148.36,148.38,143.56,143.81,1399750.0
2020-05-01,MSI,141.5,143.14,138.46,138.83,1352372.0
2020-05-04,MSI,138.73,141.22,137.01,141.16,1997336.0
2020-05-05,MSI,141.91,143.47,140.655,140.82,1120303.0
2020-05-06,MSI,141.79,142.0043,135.28,135.3,1765040.0
2020-05-07,MSI,137.13,138.0,135.5,136.21,2738000.0
2020-05-08,MSI,130.49,135.62,124.6,131.27,5464551.0
2020-05-11,MSI,130.05,133.13,128.86,130.14,2610930.0
